date,FU893065603.Q,FU183165605.Q,FU233165605.Q,FU893065603.Q,FU153065605.Q,FU113065603.Q,FU313065605.Q,FU213065603.Q,FU763065633.Q,FU753065603.Q,FU543065633.Q,FU223065643.Q,FU403065605.Q,FU413065605.Q
1950:Q4,492.00,10.00,482.00,492.00,158.00,0.00,7.00,6.00,59.00,0.00,189.00,1.00,47.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,580.00,11.00,569.00,580.00,276.00,0.00,-10.00,7.00,36.00,0.00,200.00,2.00,58.00,11.00
1952:Q1,163.00,8.00,155.00,163.00,10.00,0.00,50.00,10.00,26.00,0.00,47.00,0.00,18.00,2.00
1952:Q2,207.00,8.00,199.00,207.00,81.00,0.00,9.00,5.00,33.00,0.00,58.00,1.00,18.00,2.00
1952:Q3,113.00,3.00,110.00,113.00,35.00,0.00,11.00,6.00,-3.00,0.00,39.00,0.00,22.00,3.00
1952:Q4,102.00,-2.00,104.00,102.00,28.00,0.00,10.00,5.00,-2.00,0.00,34.00,1.00,23.00,3.00
1953:Q1,160.00,11.00,149.00,160.00,57.00,0.00,5.00,5.00,22.00,0.00,46.00,0.00,23.00,2.00
1953:Q2,191.00,6.00,185.00,191.00,70.00,0.00,5.00,6.00,24.00,0.00,63.00,0.00,22.00,1.00
1953:Q3,80.00,0.00,80.00,80.00,19.00,0.00,6.00,6.00,-14.00,0.00,39.00,0.00,22.00,2.00
1953:Q4,70.00,-1.00,71.00,70.00,9.00,0.00,6.00,6.00,-8.00,0.00,33.00,0.00,22.00,2.00
1954:Q1,179.00,9.00,170.00,179.00,71.00,0.00,2.00,6.00,18.00,0.00,49.00,1.00,31.00,1.00
1954:Q2,200.00,8.00,192.00,200.00,65.00,0.00,2.00,6.00,40.00,0.00,54.00,1.00,31.00,1.00
1954:Q3,71.00,4.00,67.00,71.00,-15.00,0.00,11.00,6.00,10.00,0.00,32.00,-1.00,20.00,8.00
1954:Q4,59.00,2.00,57.00,59.00,-23.00,0.00,11.00,7.00,9.00,0.00,27.00,1.00,19.00,8.00
1955:Q1,226.00,14.00,212.00,226.00,138.00,0.00,-90.00,6.00,46.00,0.00,54.00,1.00,63.00,8.00
1955:Q2,235.00,14.00,221.00,235.00,27.00,0.00,-5.00,6.00,58.00,0.00,76.00,0.00,64.00,9.00
1955:Q3,159.00,7.00,152.00,159.00,29.00,0.00,-3.00,5.00,17.00,0.00,55.00,1.00,45.00,10.00
1955:Q4,156.00,-4.00,160.00,156.00,39.00,0.00,0.00,4.00,17.00,0.00,40.00,1.00,44.00,11.00
1956:Q1,269.00,21.00,248.00,269.00,98.00,0.00,1.00,3.00,23.00,0.00,63.00,0.00,70.00,11.00
1956:Q2,298.00,13.00,285.00,298.00,105.00,0.00,1.00,2.00,33.00,0.00,74.00,1.00,71.00,11.00
1956:Q3,170.00,3.00,167.00,170.00,43.00,0.00,8.00,2.00,5.00,0.00,56.00,0.00,51.00,5.00
1956:Q4,76.00,-1.00,77.00,76.00,16.00,0.00,6.00,2.00,-22.00,0.00,15.00,1.00,52.00,6.00
1957:Q1,198.00,2.00,196.00,198.00,68.00,0.00,23.00,2.00,14.00,0.00,20.00,0.00,63.00,8.00
1957:Q2,198.00,-1.00,199.00,198.00,64.00,0.00,-7.00,1.00,20.00,0.00,45.00,2.00,64.00,9.00
1957:Q3,117.00,5.00,112.00,117.00,35.00,0.00,23.00,2.00,5.00,0.00,23.00,0.00,25.00,4.00
1957:Q4,49.00,23.00,26.00,49.00,-2.00,0.00,14.00,2.00,-8.00,0.00,15.00,1.00,24.00,3.00
1958:Q1,127.00,-11.00,138.00,127.00,42.00,0.00,1.00,3.00,28.00,0.00,15.00,1.00,35.00,2.00
1958:Q2,230.00,8.00,222.00,230.00,96.00,0.00,14.00,3.00,45.00,0.00,32.00,3.00,35.00,2.00
1958:Q3,203.00,19.00,184.00,203.00,83.00,0.00,14.00,3.00,21.00,0.00,25.00,1.00,50.00,6.00
1958:Q4,152.00,23.00,129.00,152.00,52.00,0.00,19.00,3.00,10.00,0.00,11.00,0.00,50.00,7.00
1959:Q1,248.00,15.00,233.00,248.00,78.00,0.00,15.00,3.00,34.00,0.00,25.00,2.00,86.00,5.00
1959:Q2,387.00,23.00,364.00,387.00,148.00,0.00,13.00,2.00,65.00,0.00,64.00,2.00,87.00,6.00
1959:Q3,204.00,15.00,189.00,204.00,76.00,0.00,18.00,2.00,15.00,0.00,40.00,2.00,50.00,1.00
1959:Q4,153.00,3.00,150.00,153.00,58.00,0.00,5.00,3.00,3.00,0.00,31.00,2.00,50.00,1.00
1960:Q1,170.00,22.00,148.00,170.00,51.00,0.00,13.00,3.00,3.00,0.00,32.00,3.00,64.00,1.00
1960:Q2,288.00,14.00,274.00,288.00,107.00,0.00,3.00,2.00,55.00,0.00,53.00,3.00,63.00,2.00
1960:Q3,138.00,6.00,132.00,138.00,47.00,0.00,18.00,3.00,-3.00,0.00,34.00,3.00,38.00,-2.00
1960:Q4,141.00,12.00,129.00,141.00,43.00,0.00,14.00,4.00,5.00,0.00,36.00,3.00,39.00,-3.00
1961:Q1,225.00,8.00,217.00,225.00,74.00,0.00,10.00,5.00,29.00,0.00,23.00,3.00,82.00,-1.00
1961:Q2,374.00,18.00,356.00,374.00,150.00,0.00,23.00,6.00,39.00,0.00,74.00,3.00,82.00,-3.00
1961:Q3,300.00,20.00,280.00,300.00,63.00,0.00,60.00,7.00,24.00,0.00,49.00,4.00,50.00,43.00
1961:Q4,180.00,16.00,164.00,180.00,-24.00,0.00,49.00,8.00,7.00,0.00,42.00,2.00,50.00,46.00
1962:Q1,305.00,10.00,295.00,305.00,99.00,0.00,-10.00,10.00,69.00,0.00,42.00,4.00,70.00,21.00
1962:Q2,452.00,15.00,437.00,452.00,173.00,0.00,-13.00,13.00,111.00,0.00,74.00,1.00,70.00,23.00
1962:Q3,270.00,17.00,253.00,270.00,49.00,0.00,18.00,12.00,51.00,0.00,60.00,2.00,42.00,36.00
1962:Q4,249.00,30.00,219.00,249.00,69.00,0.00,-8.00,6.00,44.00,0.00,54.00,3.00,42.00,39.00
1963:Q1,368.00,12.00,356.00,368.00,59.00,0.00,24.00,1.00,105.00,0.00,64.00,3.00,73.00,39.00
1963:Q2,590.00,36.00,554.00,590.00,235.00,0.00,0.00,-4.00,114.00,0.00,128.00,3.00,73.00,41.00
1963:Q3,422.00,32.00,390.00,422.00,167.00,0.00,12.00,-5.00,61.00,0.00,121.00,1.00,55.00,10.00
1963:Q4,249.00,13.00,236.00,249.00,71.00,0.00,7.00,-5.00,25.00,0.00,79.00,2.00,56.00,14.00
1964:Q1,512.00,44.00,468.00,512.00,140.00,0.00,26.00,0.00,85.00,0.00,129.00,5.00,104.00,23.00
1964:Q2,734.00,38.00,696.00,734.00,269.00,0.00,18.00,1.00,146.00,0.00,165.00,5.00,103.00,27.00
1964:Q3,468.00,19.00,449.00,468.00,179.00,0.00,-1.00,1.00,62.00,0.00,111.00,4.00,101.00,11.00
1964:Q4,406.00,14.00,392.00,406.00,170.00,0.00,-4.00,-1.00,18.00,0.00,107.00,4.00,101.00,11.00
1965:Q1,532.00,35.00,497.00,532.00,123.00,0.00,23.00,0.00,50.00,0.00,121.00,6.00,170.00,39.00
1965:Q2,710.00,43.00,667.00,710.00,208.00,0.00,26.00,0.00,106.00,0.00,153.00,7.00,170.00,40.00
1965:Q3,513.00,30.00,483.00,513.00,186.00,0.00,15.00,0.00,59.00,0.00,110.00,6.00,112.00,25.00
1965:Q4,490.00,17.00,473.00,490.00,138.00,0.00,16.00,0.00,58.00,0.00,135.00,6.00,111.00,26.00
1966:Q1,510.00,34.00,476.00,510.00,21.00,0.00,12.00,1.00,77.00,0.00,145.00,7.00,222.00,25.00
1966:Q2,624.00,26.00,598.00,624.00,142.00,0.00,-13.00,3.00,40.00,0.00,197.00,8.00,222.00,25.00
1966:Q3,454.00,25.00,429.00,454.00,114.00,0.00,27.00,2.00,81.00,0.00,62.00,8.00,116.00,44.00
1966:Q4,277.00,33.00,244.00,277.00,32.00,0.00,59.00,1.00,4.00,0.00,13.00,6.00,117.00,45.00
1967:Q1,388.00,23.00,365.00,388.00,171.00,0.00,-58.00,0.00,10.00,0.00,34.00,8.00,173.00,50.00
1967:Q2,553.00,48.00,505.00,553.00,162.00,0.00,-18.00,-3.00,76.00,0.00,103.00,8.00,173.00,52.00
1967:Q3,553.00,43.00,510.00,553.00,189.00,0.00,20.00,-2.00,69.00,0.00,86.00,2.00,152.00,37.00
1967:Q4,471.00,10.00,461.00,471.00,129.00,0.00,-5.00,-4.00,53.00,0.00,106.00,2.00,153.00,37.00
1968:Q1,606.00,71.00,535.00,606.00,205.00,0.00,14.00,3.00,95.00,0.00,52.00,8.00,184.00,45.00
1968:Q2,764.00,48.00,716.00,764.00,245.00,0.00,5.00,6.00,165.00,0.00,110.00,7.00,180.00,46.00
1968:Q3,449.00,19.00,430.00,449.00,276.00,0.00,46.00,7.00,-24.00,0.00,44.00,1.00,91.00,8.00
1968:Q4,341.00,9.00,332.00,341.00,211.00,0.00,47.00,5.00,-19.00,0.00,28.00,1.00,62.00,6.00
1969:Q1,470.00,24.00,446.00,470.00,97.00,0.00,56.00,3.00,124.00,0.00,-18.00,3.00,191.00,14.00
1969:Q2,695.00,33.00,662.00,695.00,107.00,0.00,58.00,0.00,211.00,0.00,64.00,4.00,240.00,11.00
1969:Q3,410.00,30.00,380.00,410.00,137.00,0.00,-56.00,2.00,10.00,0.00,16.00,83.00,119.00,99.00
1969:Q4,243.00,42.00,201.00,243.00,315.00,0.00,-57.00,8.00,-52.00,0.00,-92.00,-18.00,38.00,101.00
1970:Q1,597.00,4.00,593.00,597.00,251.00,0.00,-51.00,65.00,207.00,0.00,-98.00,-18.00,119.00,122.00
1970:Q2,330.00,25.00,305.00,330.00,124.00,0.00,42.00,3.00,16.00,0.00,-5.00,-42.00,162.00,30.00
1970:Q3,319.00,39.00,280.00,319.00,15.00,0.00,-71.00,6.00,196.00,0.00,-3.00,-10.00,106.00,80.00
1970:Q4,251.00,31.00,220.00,251.00,59.00,0.00,-71.00,9.00,101.00,0.00,-18.00,6.00,86.00,79.00
1971:Q1,331.00,32.00,299.00,331.00,74.00,0.00,-50.00,4.00,135.00,0.00,-104.00,-19.00,160.00,131.00
1971:Q2,963.00,98.00,865.00,963.00,385.00,0.00,-56.00,8.00,241.00,0.00,19.00,-2.00,232.00,136.00
1971:Q3,329.00,22.00,307.00,329.00,-66.00,0.00,-77.00,14.00,157.00,0.00,30.00,7.00,188.00,76.00
1971:Q4,266.00,8.00,258.00,266.00,39.00,0.00,-77.00,17.00,49.00,0.00,7.00,-5.00,150.00,86.00
1972:Q1,715.00,35.00,680.00,715.00,315.00,0.00,-32.00,10.00,119.00,0.00,-66.00,-11.00,222.00,158.00
1972:Q2,1013.00,40.00,973.00,1013.00,429.00,0.00,-49.00,13.00,223.00,0.00,47.00,0.00,291.00,59.00
1972:Q3,746.00,41.00,705.00,746.00,220.00,0.00,-3.00,9.00,110.00,0.00,35.00,7.00,315.00,53.00
1972:Q4,506.00,76.00,430.00,506.00,-122.00,0.00,-38.00,12.00,124.00,0.00,61.00,42.00,349.00,78.00
1973:Q1,1129.00,28.00,1101.00,1129.00,383.00,3.00,62.00,4.00,189.00,0.00,-35.00,59.00,473.00,-9.00
1973:Q2,1471.00,96.00,1375.00,1471.00,510.00,3.00,-102.00,4.00,270.00,0.00,94.00,18.00,510.00,164.00
1973:Q3,991.00,92.00,899.00,991.00,206.00,3.00,61.00,14.00,138.00,0.00,130.00,3.00,448.00,-12.00
1973:Q4,854.00,73.00,781.00,854.00,153.00,4.00,-36.00,18.00,64.00,0.00,129.00,22.00,423.00,77.00
1974:Q1,888.00,56.00,832.00,888.00,324.00,0.00,16.00,4.00,165.00,0.00,3.00,-1.00,351.00,26.00
1974:Q2,1624.00,81.00,1543.00,1624.00,304.00,0.00,154.00,12.00,221.00,0.00,129.00,-4.00,878.00,-70.00
1974:Q3,1419.00,102.00,1317.00,1419.00,383.00,0.00,2.00,8.00,179.00,0.00,119.00,0.00,700.00,28.00
1974:Q4,1185.00,164.00,1021.00,1185.00,453.00,-2.00,59.00,10.00,42.00,0.00,80.00,-61.00,607.00,-3.00
1975:Q1,1863.00,101.00,1762.00,1863.00,449.00,2.00,-24.00,8.00,58.00,0.00,101.00,-6.00,1215.00,60.00
1975:Q2,1745.00,161.00,1584.00,1745.00,568.00,3.00,380.00,8.00,135.00,0.00,145.00,3.00,808.00,-305.00
1975:Q3,554.00,111.00,443.00,554.00,278.00,3.00,228.00,14.00,66.00,0.00,58.00,-3.00,100.00,-190.00
1975:Q4,769.00,88.00,681.00,769.00,349.00,5.00,154.00,16.00,63.00,0.00,122.00,-236.00,509.00,-213.00
1976:Q1,944.00,144.00,800.00,944.00,99.00,-1.00,109.00,18.00,-18.00,0.00,62.00,0.00,666.00,9.00
1976:Q2,1513.00,138.00,1375.00,1513.00,479.00,0.00,144.00,64.00,10.00,0.00,190.00,-1.00,703.00,-76.00
1976:Q3,1611.00,118.00,1493.00,1611.00,502.00,1.00,130.00,20.00,200.00,0.00,179.00,-1.00,597.00,-17.00
1976:Q4,1491.00,88.00,1403.00,1491.00,460.00,6.00,182.00,19.00,158.00,0.00,241.00,0.00,561.00,-136.00
1977:Q1,1968.00,197.00,1771.00,1968.00,576.00,4.00,114.00,4.00,277.00,0.00,220.00,0.00,809.00,-36.00
1977:Q2,2958.00,243.00,2715.00,2958.00,1106.00,5.00,239.00,11.00,363.00,0.00,501.00,21.00,862.00,-150.00
1977:Q3,2028.00,153.00,1875.00,2028.00,643.00,6.00,304.00,6.00,256.00,0.00,338.00,-4.00,700.00,-221.00
1977:Q4,1583.00,90.00,1493.00,1583.00,400.00,12.00,187.00,6.00,134.00,0.00,367.00,7.00,609.00,-139.00
1978:Q1,2000.00,191.00,1809.00,2000.00,582.00,6.00,77.00,25.00,150.00,0.00,354.00,-1.00,761.00,46.00
1978:Q2,2793.00,207.00,2586.00,2793.00,907.00,6.00,284.00,19.00,309.00,0.00,507.00,-1.00,890.00,-128.00
1978:Q3,2303.00,166.00,2137.00,2303.00,645.00,6.00,370.00,9.00,202.00,0.00,404.00,-1.00,830.00,-162.00
1978:Q4,1712.00,149.00,1563.00,1712.00,391.00,8.00,94.00,31.00,85.00,0.00,383.00,0.00,751.00,-31.00
1979:Q1,3677.00,335.00,3342.00,3677.00,1241.00,2.00,727.00,50.00,26.00,0.00,414.00,-1.00,1168.00,50.00
1979:Q2,4501.00,421.00,4080.00,4501.00,1570.00,3.00,778.00,48.00,140.00,0.00,548.00,0.00,1395.00,19.00
1979:Q3,3398.00,291.00,3107.00,3398.00,1089.00,4.00,622.00,54.00,53.00,0.00,376.00,5.00,1186.00,9.00
1979:Q4,2422.00,77.00,2345.00,2422.00,667.00,9.00,197.00,57.00,-126.00,0.00,306.00,0.00,1315.00,-3.00
1980:Q1,3827.00,468.00,3359.00,3827.00,960.00,-3.00,705.00,64.00,-64.00,0.00,290.00,-1.00,1871.00,5.00
1980:Q2,3553.00,295.00,3258.00,3553.00,754.00,2.00,394.00,74.00,-58.00,0.00,310.00,-9.00,2071.00,15.00
1980:Q3,1736.00,80.00,1656.00,1736.00,33.00,13.00,374.00,80.00,29.00,0.00,75.00,0.00,1204.00,-72.00
1980:Q4,1616.00,51.00,1565.00,1616.00,-33.00,26.00,286.00,39.00,66.00,0.00,140.00,-1.00,1215.00,-122.00
1981:Q1,2610.00,295.00,2315.00,2610.00,506.00,28.00,82.00,38.00,-84.00,0.00,17.00,0.00,1995.00,28.00
1981:Q2,3084.00,333.00,2751.00,3084.00,471.00,30.00,335.00,30.00,2.00,0.00,69.00,0.00,2248.00,-101.00
1981:Q3,2428.00,220.00,2208.00,2428.00,290.00,38.00,183.00,33.00,-31.00,0.00,105.00,0.00,1842.00,-32.00
1981:Q4,1620.00,21.00,1599.00,1620.00,86.00,44.00,7.00,28.00,-66.00,0.00,-49.00,0.00,1574.00,-4.00
1982:Q1,1722.00,256.00,1466.00,1722.00,324.00,47.00,161.00,4.00,-9.00,0.00,-146.00,0.00,1462.00,-121.00
1982:Q2,1331.00,114.00,1217.00,1331.00,-322.00,38.00,146.00,-10.00,157.00,0.00,51.00,0.00,1289.00,-18.00
1982:Q3,815.00,22.00,793.00,815.00,-13.00,18.00,132.00,-8.00,56.00,0.00,-66.00,0.00,722.00,-26.00
1982:Q4,214.00,0.00,214.00,214.00,-12.00,4.00,59.00,11.00,-153.00,0.00,-104.00,0.00,411.00,-2.00
1983:Q1,229.00,8.00,221.00,229.00,0.00,-39.00,-4.00,-13.00,76.00,0.00,-148.00,-11.00,289.00,79.00
1983:Q2,832.00,64.00,768.00,832.00,-69.00,-31.00,240.00,-14.00,387.00,0.00,-16.00,-4.00,433.00,-94.00
1983:Q3,736.00,67.00,669.00,736.00,68.00,-11.00,70.00,2.00,226.00,0.00,85.00,0.00,315.00,-19.00
1983:Q4,613.00,72.00,541.00,613.00,159.00,2.00,141.00,-8.00,263.00,0.00,-14.00,0.00,69.00,1.00
1984:Q1,-751.00,-30.00,-721.00,-751.00,-1096.00,68.00,87.00,0.00,272.00,0.00,-172.00,0.00,92.00,-2.00
1984:Q2,369.00,54.00,315.00,369.00,-493.00,71.00,169.00,11.00,342.00,0.00,25.00,0.00,282.00,-38.00
1984:Q3,128.00,5.00,123.00,128.00,-598.00,79.00,-84.00,8.00,183.00,0.00,48.00,0.00,224.00,268.00
1984:Q4,-1045.00,-163.00,-882.00,-1045.00,-725.00,87.00,371.00,6.00,-7.00,0.00,-177.00,0.00,-340.00,-260.00
1985:Q1,300.00,115.00,185.00,300.00,550.00,31.00,190.00,9.00,128.00,0.00,-461.00,0.00,-147.00,0.00
1985:Q2,-1143.00,-69.00,-1074.00,-1143.00,-205.00,19.00,150.00,4.00,302.00,0.00,-466.00,0.00,-990.00,43.00
1985:Q3,-2842.00,-230.00,-2612.00,-2842.00,-1166.00,-11.00,184.00,1.00,429.00,0.00,-471.00,0.00,-1690.00,-118.00
1985:Q4,-14647.00,-1085.00,-13562.00,-14647.00,-6499.00,-34.00,111.00,0.00,-948.00,0.00,-472.00,0.00,-6722.00,-83.00
1986:Q1,-2466.00,-199.00,-2267.00,-2466.00,-1022.00,-46.00,-51.00,178.00,251.00,0.00,-233.00,0.00,-1612.00,69.00
1986:Q2,-2494.00,-180.00,-2314.00,-2494.00,-971.00,-26.00,109.00,8.00,254.00,0.00,-236.00,0.00,-1629.00,-3.00
1986:Q3,-2521.00,-162.00,-2359.00,-2521.00,-920.00,24.00,34.00,8.00,257.00,0.00,-238.00,0.00,-1648.00,-38.00
1986:Q4,-2521.00,-140.00,-2381.00,-2521.00,-881.00,66.00,258.00,-22.00,256.00,0.00,-238.00,0.00,-1648.00,-312.00
1987:Q1,-2041.00,-196.00,-1845.00,-2041.00,-796.00,7.00,-102.00,-12.00,334.00,0.00,-258.00,0.00,-1210.00,-4.00
1987:Q2,-2064.00,-176.00,-1888.00,-2064.00,-847.00,7.00,-73.00,-2.00,337.00,0.00,-260.00,0.00,-1223.00,-3.00
1987:Q3,-2087.00,-124.00,-1963.00,-2087.00,-723.00,7.00,-195.00,-14.00,340.00,0.00,-263.00,0.00,-1237.00,-2.00
1987:Q4,-2086.00,-41.00,-2045.00,-2086.00,-801.00,7.00,-137.00,8.00,341.00,0.00,-263.00,0.00,-1237.00,-4.00
1988:Q1,-1238.00,-181.00,-1057.00,-1238.00,-632.00,7.00,-99.00,-1.00,168.00,0.00,-95.00,0.00,-574.00,-12.00
1988:Q2,-1239.00,-98.00,-1141.00,-1239.00,-617.00,7.00,-118.00,-4.00,169.00,0.00,-95.00,0.00,-574.00,-7.00
1988:Q3,-1252.00,-48.00,-1204.00,-1252.00,-653.00,7.00,-99.00,-1.00,170.00,0.00,-95.00,0.00,-580.00,-1.00
1988:Q4,-1252.00,-22.00,-1230.00,-1252.00,-645.00,7.00,-104.00,-2.00,170.00,0.00,-96.00,0.00,-581.00,-1.00
1989:Q1,-509.00,-65.00,-444.00,-509.00,-301.00,7.00,-98.00,-1.00,261.00,0.00,5.00,0.00,-380.00,-2.00
1989:Q2,-516.00,-47.00,-469.00,-516.00,-343.00,7.00,-60.00,-3.00,265.00,0.00,6.00,0.00,-386.00,-2.00
1989:Q3,-521.00,-14.00,-507.00,-521.00,-181.00,7.00,-227.00,-2.00,267.00,0.00,5.00,0.00,-389.00,-1.00
1989:Q4,-522.00,16.00,-538.00,-522.00,-232.00,7.00,-173.00,-5.00,267.00,0.00,5.00,0.00,-389.00,-2.00
1990:Q1,-278.00,-16.00,-262.00,-278.00,-14.00,-49.00,-260.00,-3.00,135.00,0.00,132.00,0.00,-217.00,-2.00
1990:Q2,-281.00,13.00,-294.00,-281.00,-149.00,-17.00,-162.00,-3.00,136.00,0.00,134.00,0.00,-219.00,-1.00
1990:Q3,-285.00,27.00,-312.00,-285.00,-190.00,-13.00,-127.00,-3.00,137.00,0.00,134.00,0.00,-222.00,-1.00
1990:Q4,-284.00,19.00,-303.00,-284.00,-183.00,-19.00,-126.00,-5.00,138.00,0.00,135.00,0.00,-221.00,-3.00
1991:Q1,-45.00,57.00,-102.00,-45.00,208.00,-29.00,-232.00,-3.00,230.00,0.00,-47.00,0.00,-170.00,-2.00
1991:Q2,-46.00,46.00,-92.00,-46.00,62.00,-27.00,-89.00,-3.00,233.00,0.00,-48.00,0.00,-171.00,-3.00
1991:Q3,-46.00,21.00,-67.00,-46.00,78.00,-26.00,-112.00,1.00,235.00,0.00,-48.00,0.00,-173.00,-1.00
1991:Q4,-46.00,-12.00,-34.00,-46.00,-56.00,-19.00,22.00,-5.00,236.00,0.00,-48.00,0.00,-173.00,-3.00
1992:Q1,107.00,42.00,65.00,107.00,246.00,-13.00,-269.00,-4.00,300.00,0.00,-174.00,0.00,23.00,-2.00
1992:Q2,106.00,-7.00,113.00,106.00,124.00,-12.00,-151.00,-3.00,300.00,0.00,-175.00,0.00,23.00,0.00
1992:Q3,108.00,5.00,103.00,108.00,69.00,2.00,-108.00,-3.00,303.00,0.00,-177.00,0.00,23.00,-1.00
1992:Q4,108.00,69.00,39.00,108.00,71.00,6.00,-115.00,-4.00,303.00,0.00,-176.00,0.00,23.00,-1.00
1993:Q1,137.00,-23.00,160.00,137.00,195.00,-33.00,-142.00,-2.00,186.00,0.00,48.00,0.00,-113.00,-2.00
1993:Q2,138.00,44.00,94.00,138.00,159.00,-10.00,-131.00,-3.00,188.00,0.00,50.00,0.00,-114.00,0.00
1993:Q3,139.00,90.00,49.00,139.00,147.00,-7.00,-123.00,-2.00,190.00,0.00,50.00,0.00,-115.00,-1.00
1993:Q4,140.00,111.00,29.00,140.00,155.00,-16.00,-121.00,-3.00,190.00,0.00,50.00,0.00,-115.00,-1.00
1994:Q1,364.00,91.00,273.00,364.00,254.00,-20.00,-137.00,-3.00,330.00,0.00,9.00,0.00,-68.00,-1.00
1994:Q2,369.00,111.00,258.00,369.00,146.00,36.00,-83.00,-3.00,333.00,0.00,9.00,0.00,-68.00,-1.00
1994:Q3,373.00,116.00,257.00,373.00,146.00,5.00,-51.00,-3.00,336.00,0.00,9.00,0.00,-68.00,-1.00
1994:Q4,373.00,118.00,255.00,373.00,129.00,18.00,-47.00,-4.00,337.00,0.00,9.00,0.00,-69.00,0.00
1995:Q1,446.00,144.00,302.00,446.00,154.00,-16.00,-105.00,-3.00,291.00,0.00,25.00,0.00,85.00,15.00
1995:Q2,452.00,158.00,294.00,452.00,146.00,-7.00,-108.00,0.00,294.00,0.00,25.00,0.00,85.00,17.00
1995:Q3,456.00,150.00,306.00,456.00,168.00,-11.00,-127.00,-2.00,298.00,0.00,26.00,0.00,87.00,17.00
1995:Q4,457.00,150.00,307.00,457.00,174.00,-7.00,-133.00,-4.00,297.00,0.00,26.00,0.00,86.00,17.00
1996:Q1,671.00,155.00,516.00,671.00,297.00,-8.00,-146.00,-76.00,264.00,0.00,100.00,0.00,242.00,-2.00
1996:Q2,671.00,152.00,519.00,671.00,197.00,-11.00,-121.00,1.00,265.00,0.00,101.00,0.00,241.00,-2.00
1996:Q3,679.00,172.00,507.00,679.00,153.00,-4.00,-85.00,2.00,267.00,0.00,101.00,0.00,248.00,-3.00
1996:Q4,678.00,222.00,456.00,678.00,163.00,-4.00,-101.00,0.00,267.00,0.00,102.00,0.00,252.00,-1.00
1997:Q1,1009.00,164.00,845.00,1009.00,211.00,-14.00,-119.00,0.00,493.00,0.00,72.00,0.00,360.00,6.00
1997:Q2,1020.00,214.00,806.00,1020.00,389.00,-6.00,-328.00,0.00,499.00,0.00,73.00,0.00,387.00,6.00
1997:Q3,1031.00,230.00,801.00,1031.00,492.00,-7.00,-405.00,0.00,505.00,0.00,73.00,0.00,367.00,6.00
1997:Q4,1032.00,197.00,835.00,1032.00,123.00,-6.00,-64.00,-1.00,504.00,0.00,74.00,0.00,395.00,7.00
1998:Q1,1131.00,328.00,803.00,1131.00,-20.00,38.00,-123.00,0.00,488.00,0.00,252.00,0.00,473.00,23.00
