1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,2911415.00,884106.00,2027309.00,345895.00,124133.00,41275.00,575996.00,544127.00,31869.00,79.00,6741.00,0.00,0.00,25049.00,940010.00,323369.00,2588046.00,19.78,28.41
1965:Q1,2959624.00,895205.00,2064419.00,351297.00,126691.00,41419.00,590812.00,557830.00,32982.00,80.00,6991.00,0.00,0.00,25911.00,954200.00,326864.00,2632760.00,19.96,28.62
1965:Q2,2965365.00,903700.00,2061665.00,357846.00,126933.00,41802.00,567092.00,534567.00,32525.00,78.00,6914.00,0.00,0.00,25533.00,967992.00,336469.00,2628896.00,19.12,27.51
1965:Q3,3049919.00,912539.00,2137380.00,369423.00,128195.00,41843.00,616785.00,581085.00,35700.00,87.00,7722.00,0.00,0.00,27891.00,981134.00,343385.00,2706534.00,20.22,28.86
1965:Q4,3138630.00,930935.00,2207695.00,380095.00,127470.00,42301.00,654629.00,616096.00,38533.00,229.00,8151.00,0.00,0.00,30153.00,1003200.00,352786.00,2785844.00,20.86,29.65
1966:Q1,3148890.00,935815.00,2213075.00,384123.00,134926.00,41956.00,635579.00,596561.00,39018.00,228.00,8153.00,0.00,0.00,30637.00,1016490.00,355964.00,2792926.00,20.18,28.72
1966:Q2,3189353.00,971316.00,2218037.00,388507.00,136655.00,43122.00,608840.00,571128.00,37712.00,224.00,7974.00,0.00,0.00,29514.00,1040912.00,365660.00,2823693.00,19.09,27.45
1966:Q3,3164173.00,979812.00,2184361.00,393446.00,142742.00,43937.00,546017.00,512747.00,33270.00,206.00,7342.00,0.00,0.00,25722.00,1058219.00,369551.00,2794622.00,17.26,25.00
1966:Q4,3261339.00,1005984.00,2255355.00,400590.00,145474.00,44552.00,584802.00,548264.00,36538.00,515.00,7894.00,0.00,0.00,28129.00,1079936.00,376022.00,2885317.00,17.93,25.93
1967:Q1,3369046.00,1013794.00,2355252.00,410252.00,145259.00,45721.00,660001.00,617507.00,42494.00,588.00,9099.00,0.00,0.00,32807.00,1094018.00,375812.00,2993234.00,19.59,28.02
1967:Q2,3414980.00,1028913.00,2386067.00,421951.00,140763.00,46643.00,667207.00,622982.00,44225.00,595.00,9364.00,0.00,0.00,34266.00,1109503.00,383147.00,3031833.00,19.54,27.96
1967:Q3,3506664.00,1047814.00,2458850.00,433419.00,144422.00,47453.00,707949.00,659985.00,47964.00,633.00,10104.00,0.00,0.00,37227.00,1125607.00,389209.00,3117455.00,20.19,28.79
1967:Q4,3595262.00,1074443.00,2520819.00,446058.00,148675.00,48766.00,731403.00,682128.00,49275.00,1058.00,10221.00,0.00,0.00,37996.00,1145917.00,410869.00,3184393.00,20.34,29.01
1968:Q1,3607260.00,1104938.00,2502322.00,450905.00,152100.00,48881.00,677926.00,632831.00,45095.00,996.00,9656.00,0.00,0.00,34443.00,1172510.00,402468.00,3204792.00,18.79,27.09
1968:Q2,3758708.00,1130406.00,2628302.00,458357.00,153949.00,51479.00,771735.00,718675.00,53060.00,1158.00,11195.00,0.00,0.00,40707.00,1192782.00,415182.00,3343526.00,20.53,29.36
1968:Q3,3828717.00,1152242.00,2676475.00,470535.00,155007.00,53888.00,783537.00,727875.00,55662.00,1225.00,11774.00,0.00,0.00,42663.00,1213508.00,422781.00,3405936.00,20.46,29.27
1968:Q4,4011685.00,1200813.00,2810872.00,485278.00,154515.00,53960.00,874121.00,815334.00,58787.00,1946.00,12291.00,0.00,0.00,44550.00,1242998.00,436144.00,3575541.00,21.79,31.10
1969:Q1,4027740.00,1233242.00,2794498.00,482823.00,166241.00,48804.00,826872.00,770526.00,56346.00,1938.00,12163.00,0.00,0.00,42245.00,1269758.00,434920.00,3592820.00,20.53,29.59
1969:Q2,4046065.00,1259294.00,2786771.00,489073.00,166029.00,50309.00,788211.00,733883.00,54328.00,1960.00,12185.00,0.00,0.00,40183.00,1293149.00,446332.00,3599733.00,19.48,28.28
1969:Q3,4074554.00,1278065.00,2796489.00,486346.00,182984.00,47642.00,766226.00,713075.00,53151.00,1938.00,11951.00,0.00,0.00,39262.00,1313291.00,452181.00,3622373.00,18.81,27.40
1969:Q4,4105750.00,1308560.00,2797190.00,492217.00,192255.00,51888.00,721546.00,667356.00,54190.00,2774.00,12285.00,0.00,0.00,39131.00,1339284.00,463780.00,3641970.00,17.57,25.80
1970:Q1,4126976.00,1318187.00,2808789.00,489126.00,204628.00,48591.00,700887.00,643541.00,57346.00,2787.00,15335.00,0.00,0.00,39224.00,1365558.00,456241.00,3670735.00,16.98,24.95
1970:Q2,4064174.00,1356672.00,2707502.00,503670.00,199431.00,49323.00,553897.00,509525.00,44372.00,2234.00,12530.00,0.00,0.00,29608.00,1401182.00,462800.00,3601374.00,13.63,20.46
1970:Q3,4193419.00,1362730.00,2830689.00,525371.00,194146.00,51592.00,645736.00,593764.00,51972.00,2755.00,14978.00,0.00,0.00,34239.00,1413845.00,469739.00,3723680.00,15.40,22.81
1970:Q4,4326874.00,1390695.00,2936179.00,542084.00,192435.00,53672.00,708715.00,650213.00,58502.00,4006.00,16772.00,0.00,0.00,37724.00,1439273.00,478741.00,3848133.00,16.38,24.14
1971:Q1,4490580.00,1427016.00,3063564.00,566008.00,187847.00,51838.00,780596.00,712824.00,67772.00,4615.00,19215.00,0.00,0.00,43942.00,1477275.00,481494.00,4009086.00,17.38,25.48
