1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q2,-16876.00,-16876.00,-20478.00,-1749.00,683.00,0.00,357.00,100.00,1181.00,350.00,2680.00,0.00
1988:Q3,-651.00,-651.00,2441.00,-1465.00,390.00,0.00,347.00,173.00,482.00,201.00,-3220.00,0.00
1988:Q4,11705.00,11705.00,8360.00,-956.00,362.00,0.00,210.00,-2.00,150.00,148.00,3433.00,0.00
1989:Q1,26199.00,26199.00,27116.00,-578.00,257.00,0.00,68.00,-321.00,785.00,278.00,-1406.00,0.00
1989:Q2,20795.00,20795.00,17529.00,-154.00,-112.00,0.00,-78.00,-790.00,1172.00,261.00,2967.00,0.00
1989:Q3,30926.00,30926.00,31819.00,264.00,-111.00,0.00,-79.00,-421.00,200.00,159.00,-1101.00,196.00
1989:Q4,13225.00,13225.00,2110.00,508.00,431.00,0.00,62.00,781.00,1258.00,296.00,7584.00,195.00
1990:Q1,35689.00,35689.00,27001.00,1454.00,410.00,0.00,233.00,2170.00,971.00,244.00,3010.00,196.00
1990:Q2,-10401.00,-10401.00,-18881.00,4232.00,193.00,0.00,428.00,136.00,-652.00,-20.00,3967.00,196.00
1990:Q3,31603.00,31603.00,21957.00,1142.00,430.00,0.00,374.00,749.00,-303.00,123.00,6936.00,195.00
1990:Q4,14370.00,14370.00,8846.00,2448.00,-143.00,0.00,69.00,149.00,456.00,190.00,2159.00,196.00
1991:Q1,54143.00,54143.00,51632.00,2014.00,-312.00,0.00,-210.00,1216.00,-882.00,-569.00,1059.00,195.00
1991:Q2,-19754.00,-19754.00,-27369.00,830.00,431.00,0.00,-553.00,131.00,517.00,78.00,5985.00,196.00
1991:Q3,351.00,351.00,-9150.00,791.00,292.00,0.00,-526.00,-340.00,1343.00,261.00,7484.00,196.00
1991:Q4,6433.00,6433.00,2867.00,841.00,326.00,0.00,-131.00,-329.00,-288.00,22.00,2930.00,195.00
1992:Q1,32395.00,32395.00,18812.00,3054.00,1054.00,0.00,262.00,337.00,104.00,-5.00,8581.00,196.00
1992:Q2,-15098.00,-15098.00,-16836.00,4232.00,490.00,0.00,650.00,-256.00,68.00,22.00,-3664.00,196.00
1992:Q3,-2874.00,-2874.00,-27095.00,4239.00,217.00,0.00,686.00,-84.00,732.00,139.00,18097.00,195.00
1992:Q4,-10670.00,-10670.00,-17514.00,1963.00,564.00,0.00,367.00,-308.00,165.00,85.00,3812.00,196.00
1993:Q1,13330.00,13330.00,9738.00,896.00,-278.00,293.00,83.00,-443.00,2216.00,397.00,232.00,196.00
1993:Q2,-7112.00,-7112.00,-10271.00,-1839.00,570.00,292.00,-167.00,-17.00,2057.00,343.00,1725.00,195.00
1993:Q3,-1890.00,-1890.00,-10710.00,-2285.00,708.00,585.00,-200.00,269.00,188.00,67.00,9292.00,196.00
1993:Q4,14797.00,14797.00,8170.00,-444.00,138.00,585.00,-14.00,111.00,2103.00,305.00,3648.00,195.00
1994:Q1,16969.00,16969.00,2927.00,215.00,288.00,585.00,-245.00,1401.00,2505.00,422.00,8675.00,196.00
1994:Q2,-5656.00,-5656.00,-14404.00,1445.00,1944.00,1171.00,-175.00,701.00,1635.00,296.00,1535.00,196.00
1994:Q3,9563.00,9563.00,-8528.00,171.00,229.00,1170.00,-175.00,231.00,294.00,57.00,15919.00,195.00
1994:Q4,24810.00,24810.00,31942.00,1326.00,1782.00,1170.00,-203.00,472.00,996.00,188.00,-13059.00,196.00
1995:Q1,30869.00,30869.00,24520.00,179.00,15.00,784.00,710.00,-333.00,888.00,201.00,3717.00,188.00
1995:Q2,44799.00,44799.00,28070.00,12177.00,1026.00,2167.00,710.00,881.00,2530.00,446.00,-3396.00,188.00
1995:Q3,24200.00,24200.00,19176.00,2668.00,225.00,475.00,710.00,261.00,1188.00,183.00,-874.00,188.00
1995:Q4,42145.00,42145.00,27059.00,7835.00,661.00,1395.00,710.00,338.00,1876.00,282.00,1801.00,188.00
1996:Q1,71184.00,71184.00,37979.00,9882.00,-271.00,558.00,710.00,702.00,2900.00,465.00,18071.00,188.00
1996:Q2,-6454.00,-6454.00,-25393.00,6333.00,1052.00,-74.00,-2015.00,620.00,1756.00,254.00,10826.00,187.00
1996:Q3,34315.00,34315.00,8623.00,7719.00,279.00,173.00,1049.00,658.00,2708.00,507.00,12411.00,188.00
1996:Q4,49744.00,49744.00,7587.00,10729.00,1142.00,708.00,-477.00,700.00,4098.00,781.00,24288.00,188.00
1997:Q1,63626.00,63626.00,36413.00,7044.00,1097.00,1075.00,930.00,1134.00,4822.00,1121.00,9802.00,188.00
1997:Q2,-1733.00,-1733.00,-17898.00,4401.00,617.00,604.00,-542.00,-260.00,2442.00,663.00,8052.00,188.00
1997:Q3,51427.00,51427.00,26822.00,6854.00,1063.00,1041.00,333.00,-632.00,7389.00,1416.00,6953.00,188.00
1997:Q4,43758.00,43758.00,24456.00,5909.00,892.00,872.00,-797.00,232.00,-1038.00,142.00,12902.00,188.00
1998:Q1,83521.00,83521.00,57255.00,5906.00,1766.00,862.00,338.00,444.00,606.00,422.00,15734.00,188.00
