1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,84518.00,728.00,1436.00,0.00,577.00,20014.00,0.00,2032.00,315.00,17667.00,3175.00,27656.00,341.00,30591.00,0.00,1087.00,27862.00,1642.00,85094.00
1965:Q3,86087.00,760.00,1491.00,0.00,594.00,20136.00,0.00,1843.00,336.00,17957.00,3298.00,30886.00,349.00,28573.00,0.00,1157.00,25742.00,1674.00,86682.00
1965:Q4,87852.00,941.00,1548.00,0.00,616.00,20420.00,0.00,1904.00,354.00,18162.00,3385.00,32603.00,360.00,27979.00,0.00,1203.00,25040.00,1736.00,88508.00
1966:Q1,89859.00,957.00,1608.00,0.00,642.00,21214.00,0.00,1859.00,363.00,18992.00,3508.00,32612.00,372.00,28946.00,0.00,1226.00,25900.00,1820.00,90523.00
1966:Q2,92098.00,791.00,1670.00,0.00,671.00,21484.00,0.00,1783.00,371.00,19330.00,3591.00,31894.00,384.00,31613.00,0.00,1223.00,28462.00,1928.00,92766.00
1966:Q3,94518.00,719.00,1734.00,0.00,702.00,21802.00,0.00,1763.00,345.00,19694.00,3710.00,29369.00,397.00,36085.00,0.00,1189.00,32843.00,2053.00,95193.00
1966:Q4,97041.00,758.00,1812.00,0.00,734.00,22261.00,0.00,1728.00,348.00,20185.00,3911.00,31574.00,414.00,35577.00,0.00,1249.00,32186.00,2142.00,97722.00
1967:Q1,99554.00,824.00,1876.00,0.00,767.00,22466.00,0.00,1611.00,337.00,20518.00,3991.00,36398.00,435.00,32797.00,0.00,1353.00,29224.00,2220.00,100251.00
1967:Q2,102112.00,839.00,1951.00,0.00,803.00,22448.00,0.00,1499.00,304.00,20645.00,3976.00,37456.00,459.00,34180.00,0.00,1380.00,30463.00,2337.00,102832.00
1967:Q3,104708.00,882.00,2029.00,0.00,838.00,22737.00,0.00,1475.00,283.00,20979.00,4059.00,40415.00,485.00,33263.00,0.00,1451.00,29376.00,2436.00,105451.00
1967:Q4,107322.00,894.00,2127.00,0.00,870.00,22837.00,0.00,1490.00,263.00,21084.00,4083.00,40883.00,510.00,35118.00,0.00,1470.00,31104.00,2544.00,108092.00
1968:Q1,109968.00,871.00,2192.00,0.00,900.00,23325.00,0.00,1655.00,280.00,21390.00,4091.00,38624.00,535.00,39430.00,0.00,1443.00,35325.00,2662.00,110784.00
1968:Q2,112803.00,950.00,2281.00,0.00,928.00,23338.00,0.00,1636.00,296.00,21406.00,4050.00,44779.00,561.00,35916.00,0.00,1566.00,31638.00,2712.00,113658.00
1968:Q3,115985.00,983.00,2377.00,0.00,954.00,23490.00,0.00,1590.00,313.00,21587.00,4071.00,47095.00,587.00,36428.00,0.00,1621.00,32021.00,2786.00,116893.00
1968:Q4,119613.00,1015.00,2480.00,0.00,980.00,23679.00,0.00,1769.00,310.00,21600.00,4067.00,49165.00,614.00,37613.00,0.00,1671.00,33082.00,2860.00,120573.00
1969:Q1,123651.00,1005.00,2543.00,0.00,1006.00,23652.00,0.00,1845.00,338.00,21469.00,4079.00,48650.00,639.00,42077.00,0.00,1667.00,37457.00,2953.00,124618.00
1969:Q2,128094.00,1009.00,2671.00,0.00,1030.00,23538.00,0.00,1643.00,365.00,21530.00,4069.00,48740.00,664.00,46373.00,0.00,1674.00,41663.00,3036.00,129063.00
1969:Q3,132750.00,1004.00,2767.00,0.00,1053.00,24009.00,0.00,1619.00,429.00,21961.00,4134.00,47805.00,689.00,51289.00,0.00,1672.00,46494.00,3123.00,133728.00
1969:Q4,137367.00,1024.00,2877.00,0.00,1079.00,24202.00,0.00,1637.00,475.00,22090.00,4216.00,49140.00,715.00,54114.00,0.00,1710.00,49205.00,3199.00,138348.00
1970:Q1,141679.00,1029.00,2992.00,0.00,1105.00,24410.00,0.00,1561.00,451.00,22398.00,4230.00,46004.00,737.00,61172.00,0.00,1720.00,56161.00,3291.00,142676.00
1970:Q2,145748.00,918.00,3109.00,0.00,1133.00,24508.00,0.00,1488.00,515.00,22505.00,4213.00,37589.00,752.00,73526.00,0.00,1560.00,68514.00,3452.00,146777.00
1970:Q3,149560.00,1028.00,3232.00,0.00,1161.00,25232.00,0.00,1614.00,715.00,22903.00,4193.00,44935.00,774.00,69005.00,0.00,1730.00,63789.00,3486.00,150624.00
1970:Q4,153120.00,1106.00,3347.00,0.00,1190.00,25852.00,0.00,1593.00,705.00,23554.00,4171.00,50315.00,817.00,66322.00,0.00,1858.00,60923.00,3541.00,154210.00
1971:Q1,156379.00,1199.00,3481.00,0.00,1221.00,25288.00,0.00,1694.00,592.00,23002.00,4080.00,57645.00,882.00,62583.00,0.00,2004.00,56986.00,3593.00,157547.00
1971:Q2,159623.00,1205.00,3585.00,0.00,1252.00,24648.00,0.00,1501.00,463.00,22684.00,3914.00,59203.00,968.00,64848.00,0.00,2029.00,59123.00,3696.00,160875.00
1971:Q3,163022.00,1242.00,3727.00,0.00,1286.00,24306.00,0.00,1533.00,460.00,22313.00,3768.00,62474.00,1062.00,65157.00,0.00,2097.00,59271.00,3789.00,164357.00
1971:Q4,166668.00,1305.00,3853.00,0.00,1321.00,24958.00,0.00,1594.00,473.00,22891.00,3658.00,66488.00,1150.00,63935.00,0.00,2199.00,57859.00,3877.00,168094.00
1972:Q1,170496.00,1413.00,3982.00,0.00,1474.00,25553.00,185.00,1905.00,670.00,22793.00,3332.00,72173.00,1237.00,61332.00,0.00,2350.00,54616.00,4366.00,172080.00
1972:Q2,174604.00,1471.00,4145.00,0.00,1707.00,26757.00,476.00,1838.00,942.00,23501.00,3133.00,72812.00,1330.00,63249.00,0.00,2426.00,55649.00,5174.00,176286.00
1972:Q3,178816.00,1577.00,4322.00,0.00,1948.00,28605.00,793.00,1967.00,1358.00,24487.00,2865.00,74524.00,1419.00,63556.00,0.00,2537.00,55020.00,5999.00,180600.00
1972:Q4,182963.00,1790.00,4511.00,0.00,2130.00,29693.00,1053.00,2536.00,1621.00,24483.00,2728.00,80863.00,1494.00,59754.00,0.00,2722.00,50454.00,6578.00,184824.00
1973:Q1,186877.00,1889.00,4712.00,0.00,2260.00,31330.00,1262.00,2794.00,2027.00,25247.00,2514.00,76694.00,1555.00,65923.00,0.00,2695.00,56170.00,7058.00,188842.00
1973:Q2,190789.00,2016.00,4893.00,0.00,2348.00,32246.00,1429.00,3008.00,2175.00,25634.00,2439.00,71699.00,1603.00,73545.00,0.00,2634.00,63511.00,7400.00,192894.00
1973:Q3,194941.00,2340.00,5130.00,0.00,2427.00,33836.00,1606.00,3533.00,2315.00,26382.00,2361.00,78584.00,1647.00,68616.00,0.00,2826.00,58182.00,7608.00,197203.00
1973:Q4,199505.00,2455.00,5314.00,0.00,2530.00,34557.00,1847.00,4034.00,2490.00,26186.00,2376.00,70168.00,1695.00,80410.00,0.00,2697.00,69686.00,8027.00,201926.00
1974:Q1,204419.00,2604.00,5535.00,0.00,2645.00,35406.00,2132.00,4582.00,2537.00,26155.00,2393.00,72647.00,1734.00,81455.00,0.00,2791.00,70258.00,8406.00,206968.00
1974:Q2,209608.00,2840.00,5763.00,0.00,2765.00,36489.00,2441.00,5184.00,2546.00,26318.00,2377.00,66424.00,1751.00,91199.00,0.00,2718.00,79617.00,8864.00,212322.00
1974:Q3,214726.00,3093.00,6005.00,0.00,2894.00,38713.00,2802.00,6176.00,2739.00,26996.00,2368.00,49709.00,1790.00,110154.00,0.00,2459.00,98259.00,9436.00,217656.00
1974:Q4,219443.00,3366.00,6337.00,0.00,3041.00,41026.00,3242.00,6419.00,3358.00,28007.00,2372.00,56066.00,1895.00,105340.00,0.00,2670.00,92791.00,9879.00,222589.00
1975:Q1,223503.00,3626.00,6622.00,0.00,3211.00,44349.00,3797.00,7217.00,3645.00,29690.00,2409.00,66166.00,2065.00,95055.00,0.00,3035.00,81676.00,10344.00,226943.00
1975:Q2,227359.00,3915.00,6970.00,0.00,3575.00,47128.00,4505.00,7887.00,3822.00,30914.00,2378.00,79204.00,2301.00,81888.00,0.00,3436.00,66956.00,11496.00,231031.00
1975:Q3,231374.00,4183.00,7331.00,0.00,4042.00,49977.00,5068.00,8922.00,3885.00,32102.00,2366.00,71922.00,2559.00,88994.00,0.00,3431.00,72385.00,13178.00,235234.00
1975:Q4,235830.00,4400.00,7661.00,0.00,4346.00,52530.00,5440.00,9297.00,4264.00,33529.00,2383.00,77759.00,2795.00,83956.00,0.00,3665.00,66111.00,14180.00,239903.00
1976:Q1,240990.00,4617.00,8000.00,0.00,4385.00,54742.00,5935.00,10210.00,4642.00,33955.00,2383.00,89038.00,2795.00,75030.00,0.00,3965.00,56866.00,14199.00,245134.00
1976:Q2,246655.00,4704.00,8292.00,0.00,4140.00,56945.00,6264.00,11408.00,4935.00,34338.00,2383.00,88961.00,3033.00,78197.00,0.00,3984.00,60902.00,13311.00,250871.00
1976:Q3,252549.00,4619.00,8531.00,0.00,4386.00,56948.00,6454.00,12278.00,5084.00,33132.00,2373.00,88937.00,3297.00,83458.00,0.00,4032.00,65248.00,14178.00,256841.00
1976:Q4,258269.00,4510.00,8819.00,0.00,4736.00,57061.00,6571.00,13556.00,4739.00,32195.00,2414.00,90361.00,3534.00,86834.00,0.00,4130.00,67307.00,15397.00,262636.00
1977:Q1,263550.00,4499.00,9169.00,0.00,5319.00,57712.00,6683.00,13405.00,5530.00,32094.00,2420.00,85468.00,3692.00,95271.00,0.00,4140.00,73641.00,17490.00,268038.00
1977:Q2,268774.00,4567.00,9558.00,0.00,5335.00,60678.00,6763.00,14968.00,5952.00,32995.00,2539.00,88692.00,3771.00,93634.00,0.00,4284.00,71857.00,17493.00,273389.00
1977:Q3,274337.00,4694.00,9975.00,0.00,5803.00,61815.00,6785.00,15060.00,6716.00,33254.00,2486.00,86742.00,3771.00,99051.00,0.00,4348.00,75551.00,19152.00,279082.00
1977:Q4,280490.00,4835.00,10411.00,0.00,5717.00,65042.00,6788.00,15981.00,6631.00,35642.00,2497.00,88999.00,3746.00,99243.00,0.00,4459.00,75987.00,18797.00,285369.00
1978:Q1,286914.00,4944.00,10914.00,0.00,6268.00,65810.00,6810.00,16108.00,6608.00,36284.00,2559.00,87893.00,3750.00,104776.00,0.00,4551.00,79480.00,20745.00,291981.00
1978:Q2,293321.00,5031.00,11443.00,0.00,6136.00,69581.00,6801.00,16639.00,6570.00,39571.00,2647.00,98659.00,3750.00,96074.00,0.00,4845.00,71078.00,20151.00,298574.00
1978:Q3,298723.00,5119.00,11930.00,0.00,6488.00,71707.00,6704.00,15817.00,7780.00,41406.00,2706.00,111166.00,3708.00,85899.00,0.00,5214.00,59414.00,21271.00,304185.00
1978:Q4,302428.00,5184.00,12540.00,0.00,6935.00,73242.00,6697.00,17384.00,6771.00,42390.00,2721.00,108222.00,3715.00,89869.00,0.00,5270.00,61741.00,22858.00,308103.00
1979:Q1,304559.00,5207.00,13105.00,0.00,7253.00,75696.00,6956.00,17795.00,7718.00,43227.00,2798.00,113778.00,3862.00,82860.00,0.00,5571.00,53407.00,23882.00,310727.00
1979:Q2,307028.00,5189.00,13609.00,0.00,7490.00,80393.00,7499.00,18696.00,8373.00,45825.00,2750.00,116178.00,4152.00,77267.00,0.00,5772.00,46839.00,24656.00,313709.00
1979:Q3,312426.00,5142.00,14158.00,0.00,7532.00,85435.00,8336.00,19327.00,9363.00,48409.00,2968.00,124961.00,4585.00,67645.00,0.00,6095.00,36875.00,24675.00,319654.00
1979:Q4,323037.00,5055.00,14784.00,0.00,7768.00,89483.00,9238.00,19496.00,9796.00,50953.00,3139.00,122806.00,5066.00,74936.00,0.00,6196.00,43256.00,25484.00,330836.00
1980:Q1,339089.00,4919.00,15280.00,0.00,7979.00,94827.00,9973.00,20402.00,10408.00,54044.00,3191.00,121978.00,5500.00,85415.00,0.00,6240.00,52946.00,26229.00,347595.00
1980:Q2,359536.00,4721.00,15740.00,0.00,8189.00,101149.00,10603.00,22040.00,11721.00,56785.00,3263.00,138118.00,5994.00,82362.00,0.00,6761.00,48827.00,26774.00,368745.00
1980:Q3,381634.00,4447.00,16176.00,0.00,8485.00,106896.00,11190.00,22927.00,12829.00,59950.00,3471.00,152506.00,6655.00,82998.00,0.00,7241.00,48109.00,27648.00,391576.00
1980:Q4,401913.00,4162.00,16868.00,0.00,8378.00,112368.00,11719.00,24161.00,14309.00,62179.00,3564.00,162432.00,7149.00,86992.00,0.00,7566.00,52291.00,27135.00,412620.00
1981:Q1,418061.00,3931.00,17449.00,0.00,8237.00,116768.00,12172.00,25014.00,15838.00,63744.00,3748.00,164597.00,7139.00,96192.00,0.00,7697.00,61919.00,26576.00,429638.00
1981:Q2,430278.00,3740.00,17875.00,0.00,8355.00,121499.00,13072.00,25907.00,17882.00,64638.00,3871.00,161203.00,6556.00,107179.00,0.00,7753.00,72448.00,26978.00,442842.00
1981:Q3,439558.00,3571.00,18529.00,0.00,8525.00,125816.00,13936.00,26066.00,20056.00,65758.00,3878.00,147431.00,5326.00,126482.00,0.00,7600.00,91231.00,27651.00,453076.00
1981:Q4,447235.00,3426.00,19332.00,0.00,8258.00,132133.00,14703.00,35013.00,15755.00,66662.00,3913.00,159220.00,4071.00,116882.00,0.00,7953.00,82382.00,26547.00,461922.00
1982:Q1,454575.00,2924.00,20980.00,0.00,7728.00,143095.00,13185.00,42026.00,18644.00,69240.00,3913.00,163046.00,3928.00,108961.00,0.00,8215.00,76213.00,24533.00,470987.00
1982:Q2,465308.00,2818.00,22808.00,0.00,7840.00,151558.00,12364.00,46530.00,21512.00,71152.00,5386.00,166545.00,4464.00,103889.00,0.00,8534.00,70545.00,24810.00,482333.00
1982:Q3,480013.00,2569.00,24458.00,0.00,8648.00,158808.00,10680.00,50928.00,23163.00,74037.00,6361.00,193610.00,5378.00,80181.00,0.00,9410.00,43404.00,27367.00,497787.00
1982:Q4,499947.00,2259.00,26190.00,0.00,8705.00,166638.00,9122.00,56378.00,24958.00,76180.00,7770.00,206075.00,5835.00,76475.00,0.00,9871.00,39216.00,27388.00,518242.00
1983:Q1,522345.00,2113.00,28350.00,0.00,9291.00,173640.00,8546.00,59797.00,25919.00,79378.00,9056.00,232558.00,6356.00,60981.00,0.00,10730.00,21096.00,29155.00,542586.00
