1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q4,86620.00,-16128.00,50840.00,-10080.00,32855.00,-55233.00,17704.00,-6008.00,7968.00,68424.00,26671.00,8448.00,18223.00,6580.00,1192.00,3484.00,-8794.00,-34440.00,2312.00,-9968.00,1248.00,61684.00,-124672.00,29300.00,12880.00,-7224.00
2012:Q1,72096.00,-3336.00,-15316.00,11148.00,97992.00,13052.00,3220.00,2504.00,12824.00,66392.00,15362.00,-7900.00,23262.00,-10432.00,-1956.00,8172.00,-29538.00,40884.00,8160.00,-11504.00,4844.00,2676.00,28944.00,-16116.00,-5448.00,29328.00
2012:Q2,-101660.00,12908.00,11536.00,684.00,-207561.00,21543.00,-22876.00,-39820.00,-528.00,-165880.00,18951.00,4184.00,14767.00,-532.00,-1956.00,4388.00,59923.00,-91920.00,2856.00,-11884.00,13648.00,-61280.00,-56068.00,17268.00,5824.00,-2284.00
2012:Q3,78912.00,-10264.00,-3284.00,1828.00,79729.00,7625.00,2764.00,4076.00,10160.00,55104.00,10969.00,4796.00,6173.00,5632.00,-1956.00,2588.00,-6330.00,102580.00,6128.00,-7628.00,-368.00,14308.00,-10516.00,-2272.00,7556.00,95372.00
2012:Q4,42577.00,5864.00,-1360.00,-5244.00,39349.00,23841.00,4360.00,-2932.00,7740.00,6340.00,14786.00,6756.00,8030.00,3996.00,-1956.00,8472.00,-21330.00,21832.00,-8084.00,-8644.00,-5168.00,19336.00,44948.00,-23372.00,1040.00,1776.00
2013:Q1,42544.00,4524.00,-27476.00,-14312.00,59602.00,-8714.00,-19532.00,-6000.00,11028.00,82820.00,3642.00,-3284.00,6926.00,-10064.00,76.00,-2224.00,28776.00,46848.00,31780.00,-6620.00,3888.00,10056.00,75012.00,488.00,8348.00,-76104.00
2013:Q2,40819.00,-38716.00,-6444.00,3124.00,59829.00,1473.00,-10904.00,-5432.00,9780.00,64912.00,22290.00,6864.00,15426.00,6332.00,76.00,4300.00,-9972.00,38220.00,2276.00,-9704.00,4828.00,26528.00,44408.00,-7596.00,5832.00,-28352.00
2013:Q3,82709.00,36680.00,9988.00,1000.00,23314.00,8390.00,-9228.00,-12240.00,8020.00,28372.00,29196.00,3512.00,25684.00,-15632.00,76.00,3464.00,-5376.00,86816.00,-1480.00,-10672.00,-3556.00,44324.00,40640.00,4088.00,5984.00,7488.00
2013:Q4,240354.00,-21664.00,-5336.00,-12068.00,139796.00,20688.00,-16236.00,-8536.00,18576.00,125304.00,26492.00,7060.00,19432.00,21668.00,76.00,6072.00,85318.00,168064.00,-6484.00,-9644.00,2680.00,32392.00,25056.00,-2136.00,-23688.00,149888.00
2014:Q1,188525.00,13800.00,-876.00,-844.00,90460.00,-4088.00,8192.00,-560.00,3960.00,82956.00,24804.00,8020.00,16784.00,2244.00,472.00,2192.00,56273.00,157272.00,156.00,-14308.00,1548.00,32440.00,90320.00,3784.00,72.00,43260.00
