1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3.00,3.00,0.00,-222.00,-222.00,37.00,37.00,0.00,0.00,79.00,79.00,259.00,71.00,188.00,0.00,259.00,882.00,547.00,131.00,204.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3695.00,5581.00,1117.00,3695.00,5581.00,1117.00
1952:Q1,-6.00,-6.00,0.00,-36.00,-36.00,84.00,84.00,0.00,0.00,19.00,19.00,68.00,16.00,52.00,0.00,68.00,244.00,148.00,31.00,65.00,0.00,0.00,0.00,139.00,139.00,0.00,0.00,0.00,0.00,343.00,1641.00,246.00,343.00,1641.00,246.00
1952:Q2,-6.00,-6.00,0.00,-49.00,-49.00,62.00,62.00,0.00,0.00,18.00,18.00,68.00,15.00,53.00,0.00,68.00,261.00,158.00,30.00,73.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,705.00,1389.00,322.00,705.00,1389.00,322.00
1952:Q3,-13.00,-13.00,0.00,-48.00,-48.00,-27.00,-27.00,0.00,0.00,19.00,19.00,71.00,15.00,56.00,0.00,71.00,260.00,155.00,30.00,75.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,664.00,1395.00,178.00,664.00,1395.00,178.00
1952:Q4,11.00,11.00,0.00,-24.00,-24.00,40.00,40.00,0.00,0.00,20.00,20.00,87.00,16.00,61.00,10.00,87.00,239.00,139.00,30.00,70.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,681.00,1790.00,331.00,681.00,1790.00,331.00
1953:Q1,11.00,11.00,0.00,-38.00,-38.00,49.00,49.00,0.00,0.00,22.00,22.00,92.00,17.00,65.00,10.00,92.00,224.00,127.00,32.00,65.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,745.00,1750.00,252.00,745.00,1750.00,252.00
1953:Q2,-22.00,-22.00,0.00,-51.00,-51.00,36.00,36.00,0.00,0.00,23.00,23.00,100.00,19.00,71.00,10.00,100.00,215.00,118.00,33.00,64.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,841.00,1506.00,168.00,841.00,1506.00,168.00
1953:Q3,-4.00,-4.00,0.00,-58.00,-58.00,-24.00,-24.00,0.00,0.00,24.00,24.00,101.00,19.00,73.00,9.00,101.00,202.00,107.00,31.00,64.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,884.00,1767.00,198.00,884.00,1767.00,198.00
1953:Q4,2.00,2.00,0.00,-44.00,-44.00,77.00,77.00,0.00,0.00,23.00,23.00,98.00,16.00,72.00,10.00,98.00,184.00,93.00,27.00,64.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,838.00,1831.00,350.00,838.00,1831.00,350.00
1954:Q1,-25.00,-25.00,0.00,-50.00,-50.00,181.00,181.00,0.00,0.00,21.00,21.00,93.00,13.00,71.00,9.00,93.00,160.00,72.00,23.00,65.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,691.00,1816.00,191.00,691.00,1816.00,191.00
1954:Q2,59.00,59.00,0.00,-60.00,-60.00,80.00,80.00,0.00,0.00,19.00,19.00,90.00,10.00,70.00,10.00,90.00,131.00,49.00,16.00,66.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,583.00,1554.00,190.00,583.00,1554.00,190.00
1954:Q3,67.00,67.00,0.00,-51.00,-51.00,-46.00,-46.00,0.00,0.00,21.00,21.00,91.00,9.00,73.00,9.00,91.00,128.00,46.00,18.00,64.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,488.00,1894.00,317.00,488.00,1894.00,317.00
1954:Q4,10.00,10.00,0.00,-65.00,-65.00,29.00,29.00,0.00,0.00,26.00,26.00,100.00,12.00,78.00,10.00,100.00,150.00,60.00,27.00,63.00,0.00,0.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00,426.00,1844.00,326.00,426.00,1844.00,326.00
1955:Q1,102.00,102.00,0.00,-39.00,-39.00,57.00,57.00,0.00,0.00,30.00,30.00,107.00,14.00,83.00,10.00,107.00,169.00,74.00,34.00,61.00,0.00,0.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00,418.00,1914.00,354.00,418.00,1914.00,354.00
1955:Q2,99.00,99.00,0.00,-93.00,-93.00,-4.00,-4.00,0.00,0.00,34.00,34.00,116.00,17.00,90.00,9.00,116.00,182.00,85.00,36.00,61.00,0.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00,439.00,1589.00,382.00,439.00,1589.00,382.00
1955:Q3,75.00,75.00,0.00,-110.00,-110.00,-186.00,-186.00,0.00,0.00,37.00,37.00,117.00,16.00,91.00,10.00,117.00,188.00,84.00,44.00,60.00,0.00,0.00,0.00,21.00,21.00,0.00,0.00,0.00,0.00,480.00,1711.00,346.00,480.00,1711.00,346.00
1955:Q4,67.00,67.00,0.00,-13.00,-13.00,29.00,29.00,0.00,0.00,40.00,40.00,110.00,14.00,87.00,9.00,110.00,185.00,67.00,58.00,60.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,509.00,1929.00,340.00,509.00,1929.00,340.00
1956:Q1,110.00,110.00,0.00,-91.00,-91.00,73.00,73.00,0.00,0.00,43.00,43.00,109.00,10.00,85.00,14.00,109.00,181.00,56.00,76.00,49.00,0.00,0.00,0.00,16.00,16.00,0.00,0.00,0.00,0.00,453.00,1991.00,237.00,453.00,1991.00,237.00
1956:Q2,121.00,121.00,0.00,-35.00,-35.00,-32.00,-32.00,0.00,0.00,48.00,48.00,104.00,7.00,83.00,14.00,104.00,175.00,40.00,90.00,45.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,456.00,1726.00,463.00,456.00,1726.00,463.00
1956:Q3,185.00,185.00,0.00,-66.00,-66.00,-80.00,-80.00,0.00,0.00,49.00,49.00,102.00,7.00,82.00,13.00,102.00,184.00,41.00,97.00,46.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,534.00,1582.00,495.00,534.00,1582.00,495.00
1956:Q4,147.00,147.00,0.00,-52.00,-52.00,24.00,24.00,0.00,0.00,47.00,47.00,110.00,13.00,83.00,14.00,110.00,209.00,57.00,100.00,52.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,687.00,2207.00,525.00,687.00,2207.00,525.00
1957:Q1,257.00,257.00,0.00,-47.00,-47.00,-14.00,-14.00,0.00,0.00,45.00,45.00,116.00,19.00,83.00,14.00,116.00,236.00,55.00,126.00,55.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,883.00,2220.00,383.00,883.00,2220.00,383.00
1957:Q2,295.00,295.00,0.00,-101.00,-101.00,27.00,27.00,0.00,0.00,46.00,46.00,122.00,26.00,82.00,14.00,122.00,266.00,60.00,147.00,59.00,0.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00,1079.00,2031.00,402.00,1079.00,2031.00,402.00
1957:Q3,133.00,133.00,0.00,-102.00,-102.00,-147.00,-147.00,0.00,0.00,44.00,44.00,120.00,25.00,82.00,13.00,120.00,269.00,57.00,154.00,58.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,1128.00,2367.00,368.00,1128.00,2367.00,368.00
1957:Q4,-61.00,-61.00,0.00,-77.00,-77.00,104.00,104.00,0.00,0.00,39.00,39.00,111.00,16.00,81.00,14.00,111.00,246.00,49.00,149.00,48.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,972.00,2373.00,465.00,972.00,2373.00,465.00
1958:Q1,121.00,121.00,0.00,-25.00,-25.00,321.00,321.00,0.00,0.00,34.00,34.00,103.00,8.00,81.00,14.00,103.00,222.00,38.00,136.00,48.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,685.00,2251.00,332.00,685.00,2251.00,332.00
1958:Q2,186.00,186.00,0.00,-100.00,-100.00,144.00,144.00,0.00,0.00,26.00,26.00,94.00,-1.00,81.00,14.00,94.00,198.00,24.00,136.00,38.00,0.00,0.00,0.00,21.00,21.00,0.00,0.00,0.00,0.00,489.00,2111.00,600.00,489.00,2111.00,600.00
1958:Q3,106.00,106.00,0.00,-1.00,-1.00,-259.00,-259.00,0.00,0.00,28.00,28.00,93.00,-1.00,80.00,14.00,93.00,202.00,27.00,137.00,38.00,0.00,0.00,0.00,26.00,26.00,0.00,0.00,0.00,0.00,408.00,2195.00,488.00,408.00,2195.00,488.00
1958:Q4,-74.00,-74.00,0.00,-67.00,-67.00,-40.00,-40.00,0.00,0.00,38.00,38.00,97.00,6.00,78.00,13.00,97.00,234.00,48.00,141.00,45.00,0.00,0.00,0.00,29.00,29.00,0.00,0.00,0.00,0.00,447.00,2422.00,464.00,447.00,2422.00,464.00
1959:Q1,56.00,56.00,0.00,-34.00,-34.00,-83.00,-83.00,0.00,0.00,48.00,48.00,104.00,16.00,74.00,14.00,104.00,267.00,67.00,142.00,58.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,664.00,2372.00,451.00,664.00,2372.00,451.00
1959:Q2,129.00,129.00,0.00,-59.00,-59.00,40.00,40.00,0.00,0.00,57.00,57.00,104.00,23.00,67.00,14.00,104.00,301.00,89.00,144.00,68.00,0.00,0.00,0.00,26.00,26.00,0.00,0.00,0.00,0.00,655.00,2178.00,560.00,655.00,2178.00,560.00
1959:Q3,-172.00,-172.00,0.00,-52.00,-52.00,-206.00,-206.00,0.00,0.00,59.00,59.00,110.00,25.00,71.00,14.00,110.00,303.00,90.00,145.00,68.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,832.00,2297.00,385.00,832.00,2297.00,385.00
1959:Q4,-1.00,-1.00,0.00,-44.00,-44.00,19.00,19.00,0.00,0.00,54.00,54.00,117.00,20.00,84.00,13.00,117.00,273.00,67.00,145.00,61.00,0.00,0.00,0.00,27.00,27.00,0.00,0.00,0.00,0.00,588.00,2605.00,504.00,588.00,2605.00,504.00
1960:Q1,141.00,141.00,0.00,-56.00,-56.00,-55.00,-55.00,0.00,0.00,51.00,51.00,132.00,19.00,99.00,14.00,132.00,249.00,50.00,151.00,48.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,527.00,2559.00,384.00,527.00,2559.00,384.00
1960:Q2,150.00,150.00,0.00,-58.00,-58.00,202.00,202.00,0.00,0.00,50.00,50.00,145.00,18.00,113.00,14.00,145.00,231.00,35.00,155.00,41.00,0.00,0.00,0.00,23.00,23.00,0.00,0.00,0.00,0.00,359.00,1991.00,505.00,359.00,1991.00,505.00
1960:Q3,95.00,95.00,0.00,-44.00,-44.00,1.00,1.00,0.00,0.00,48.00,48.00,149.00,17.00,118.00,14.00,149.00,221.00,29.00,152.00,40.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,195.00,2639.00,642.00,195.00,2639.00,642.00
1960:Q4,142.00,142.00,0.00,-29.00,-29.00,201.00,201.00,0.00,0.00,43.00,43.00,144.00,17.00,114.00,13.00,144.00,220.00,34.00,139.00,47.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,-120.00,2729.00,526.00,-120.00,2729.00,526.00
1961:Q1,77.00,77.00,0.00,-41.00,-41.00,88.00,88.00,0.00,0.00,38.00,38.00,154.00,15.00,113.00,26.00,154.00,215.00,36.00,125.00,54.00,0.00,0.00,0.00,44.00,44.00,0.00,0.00,0.00,0.00,63.00,2713.00,418.00,63.00,2713.00,418.00
1961:Q2,103.00,103.00,0.00,-29.00,-29.00,128.00,128.00,0.00,0.00,31.00,31.00,152.00,13.00,113.00,26.00,152.00,210.00,39.00,110.00,61.00,0.00,0.00,0.00,17.00,17.00,0.00,0.00,0.00,0.00,-220.00,2054.00,565.00,-220.00,2054.00,565.00
1961:Q3,14.00,14.00,0.00,-31.00,-31.00,-132.00,-132.00,0.00,0.00,30.00,30.00,156.00,14.00,115.00,27.00,156.00,203.00,35.00,110.00,58.00,0.00,0.00,0.00,23.00,23.00,0.00,0.00,0.00,0.00,-255.00,2849.00,620.00,-255.00,2849.00,620.00
1961:Q4,67.00,67.00,0.00,-23.00,-23.00,158.00,158.00,0.00,0.00,34.00,34.00,160.00,16.00,118.00,26.00,160.00,196.00,26.00,123.00,47.00,0.00,0.00,0.00,43.00,43.00,0.00,0.00,0.00,0.00,-546.00,2954.00,720.00,-546.00,2954.00,720.00
1962:Q1,48.00,48.00,0.00,-43.00,-43.00,-71.00,-71.00,0.00,0.00,37.00,37.00,171.00,18.00,127.00,26.00,171.00,180.00,8.00,134.00,38.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,-490.00,2896.00,390.00,-490.00,2896.00,390.00
1962:Q2,151.00,151.00,0.00,-29.00,-29.00,84.00,84.00,0.00,0.00,38.00,38.00,186.00,18.00,142.00,26.00,186.00,157.00,-14.00,148.00,23.00,0.00,0.00,0.00,-63.00,-63.00,0.00,0.00,0.00,0.00,-923.00,2165.00,639.00,-923.00,2165.00,639.00
1962:Q3,75.00,75.00,0.00,-28.00,-28.00,-209.00,-209.00,0.00,0.00,39.00,39.00,178.00,21.00,131.00,26.00,178.00,165.00,-7.00,146.00,26.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,-572.00,3078.00,664.00,-572.00,3078.00,664.00
1962:Q4,-29.00,-29.00,0.00,-19.00,-19.00,229.00,229.00,0.00,0.00,41.00,41.00,145.00,25.00,94.00,26.00,145.00,202.00,31.00,126.00,45.00,0.00,0.00,0.00,52.00,52.00,0.00,0.00,0.00,0.00,-803.00,3056.00,811.00,-803.00,3056.00,811.00
1963:Q1,50.00,50.00,0.00,-26.00,-26.00,70.00,70.00,0.00,0.00,44.00,44.00,110.00,30.00,54.00,26.00,110.00,254.00,71.00,109.00,74.00,0.00,0.00,0.00,35.00,35.00,0.00,0.00,0.00,0.00,-401.00,3052.00,696.00,-401.00,3052.00,696.00
1963:Q2,266.00,266.00,0.00,-24.00,-24.00,42.00,42.00,0.00,0.00,47.00,47.00,74.00,35.00,13.00,26.00,74.00,317.00,112.00,105.00,100.00,0.00,0.00,0.00,31.00,31.00,0.00,0.00,0.00,0.00,-507.00,2221.00,530.00,-507.00,2221.00,530.00
1963:Q3,31.00,31.00,0.00,-28.00,-28.00,-311.00,-311.00,0.00,0.00,48.00,48.00,69.00,37.00,6.00,26.00,69.00,300.00,115.00,86.00,99.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,-365.00,3177.00,724.00,-365.00,3177.00,724.00
1963:Q4,100.00,100.00,0.00,-15.00,-15.00,137.00,137.00,0.00,0.00,47.00,47.00,94.00,34.00,34.00,26.00,94.00,203.00,81.00,55.00,67.00,0.00,0.00,0.00,31.00,31.00,0.00,0.00,0.00,0.00,-347.00,3209.00,760.00,-347.00,3209.00,760.00
1964:Q1,-68.00,-68.00,0.00,-17.00,-17.00,-174.00,-174.00,0.00,0.00,45.00,45.00,111.00,34.00,51.00,26.00,111.00,295.00,117.00,84.00,94.00,0.00,0.00,0.00,45.00,45.00,0.00,0.00,0.00,0.00,-399.00,3199.00,495.00,-399.00,3199.00,495.00
1964:Q2,-73.00,-73.00,0.00,-18.00,-18.00,176.00,176.00,0.00,0.00,43.00,43.00,119.00,33.00,60.00,26.00,119.00,299.00,121.00,78.00,100.00,0.00,0.00,0.00,38.00,38.00,0.00,0.00,0.00,0.00,-384.00,2445.00,504.00,-384.00,2445.00,504.00
1964:Q3,-22.00,-22.00,0.00,-18.00,-18.00,-164.00,-164.00,0.00,0.00,45.00,45.00,132.00,33.00,72.00,27.00,132.00,321.00,138.00,79.00,104.00,0.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,-121.00,3276.00,772.00,-121.00,3276.00,772.00
1964:Q4,182.00,182.00,0.00,-19.00,-19.00,210.00,210.00,0.00,0.00,53.00,53.00,148.00,35.00,87.00,26.00,148.00,361.00,171.00,88.00,102.00,0.00,0.00,0.00,35.00,35.00,0.00,0.00,0.00,0.00,-337.00,3439.00,912.00,-337.00,3439.00,912.00
1965:Q1,-141.00,-141.00,0.00,-25.00,-25.00,-151.00,-151.00,0.00,0.00,58.00,58.00,166.00,36.00,104.00,26.00,166.00,362.00,177.00,87.00,98.00,0.00,0.00,0.00,32.00,32.00,0.00,0.00,0.00,0.00,-47.00,3409.00,473.00,-47.00,3409.00,473.00
1965:Q2,94.00,94.00,0.00,-23.00,-23.00,127.00,127.00,0.00,0.00,63.00,63.00,185.00,36.00,123.00,26.00,185.00,380.00,181.00,103.00,96.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,159.00,2512.00,680.00,159.00,2512.00,680.00
1965:Q3,114.00,114.00,0.00,-17.00,-17.00,-231.00,-231.00,0.00,0.00,68.00,68.00,195.00,39.00,130.00,26.00,195.00,395.00,182.00,114.00,99.00,0.00,0.00,0.00,70.00,70.00,0.00,0.00,0.00,0.00,491.00,3515.00,953.00,491.00,3515.00,953.00
1965:Q4,-51.00,-51.00,0.00,-19.00,-19.00,101.00,101.00,0.00,0.00,75.00,75.00,196.00,45.00,125.00,26.00,196.00,409.00,179.00,121.00,109.00,0.00,0.00,0.00,46.00,46.00,0.00,0.00,0.00,0.00,458.00,3777.00,971.00,458.00,3777.00,971.00
1966:Q1,-91.00,-91.00,0.00,-20.00,-20.00,-221.00,-221.00,0.00,0.00,82.00,82.00,206.00,50.00,124.00,32.00,206.00,424.00,177.00,131.00,116.00,0.00,0.00,0.00,23.00,23.00,0.00,0.00,0.00,0.00,316.00,3748.00,524.00,316.00,3748.00,524.00
1966:Q2,90.00,90.00,0.00,-116.00,-116.00,201.00,201.00,0.00,0.00,90.00,90.00,211.00,55.00,124.00,32.00,211.00,440.00,174.00,142.00,124.00,0.00,0.00,0.00,-3.00,-3.00,0.00,0.00,0.00,0.00,1045.00,2806.00,804.00,1045.00,2806.00,804.00
1966:Q3,128.00,128.00,0.00,-52.00,-52.00,-290.00,-290.00,0.00,0.00,93.00,93.00,216.00,58.00,126.00,32.00,216.00,454.00,175.00,149.00,130.00,0.00,0.00,0.00,-34.00,-34.00,0.00,0.00,0.00,0.00,1133.00,3917.00,530.00,1133.00,3917.00,530.00
1966:Q4,138.00,138.00,0.00,-29.00,-29.00,302.00,302.00,0.00,0.00,91.00,91.00,219.00,57.00,130.00,32.00,219.00,467.00,183.00,154.00,130.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,811.00,4052.00,871.00,811.00,4052.00,871.00
1967:Q1,-441.00,-441.00,0.00,-36.00,-36.00,454.00,454.00,0.00,0.00,77.00,77.00,235.00,84.00,119.00,32.00,235.00,497.00,194.00,162.00,141.00,0.00,0.00,0.00,104.00,104.00,0.00,0.00,0.00,0.00,1056.00,4130.00,940.00,1056.00,4130.00,940.00
1967:Q2,127.00,127.00,0.00,-16.00,-16.00,435.00,435.00,0.00,0.00,71.00,71.00,221.00,74.00,115.00,32.00,221.00,518.00,200.00,172.00,146.00,0.00,0.00,0.00,27.00,27.00,0.00,0.00,0.00,0.00,1326.00,3082.00,830.00,1326.00,3082.00,830.00
1967:Q3,-40.00,-40.00,0.00,-39.00,-39.00,-608.00,-608.00,0.00,0.00,69.00,69.00,218.00,72.00,114.00,32.00,218.00,537.00,207.00,177.00,153.00,0.00,0.00,0.00,71.00,71.00,0.00,0.00,0.00,0.00,1045.00,4296.00,912.00,1045.00,4296.00,912.00
1967:Q4,144.00,144.00,0.00,-19.00,-19.00,114.00,114.00,0.00,0.00,71.00,71.00,226.00,78.00,116.00,32.00,226.00,524.00,202.00,170.00,152.00,0.00,0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,1309.00,4195.00,796.00,1309.00,4195.00,796.00
1968:Q1,-130.00,-130.00,0.00,0.00,0.00,-129.00,-129.00,0.00,0.00,84.00,84.00,241.00,80.00,129.00,32.00,241.00,572.00,218.00,189.00,165.00,0.00,0.00,0.00,-27.00,-27.00,0.00,0.00,0.00,0.00,1158.00,4406.00,1152.00,1158.00,4406.00,1152.00
1968:Q2,102.00,102.00,0.00,0.00,0.00,97.00,97.00,0.00,0.00,90.00,90.00,246.00,79.00,135.00,32.00,246.00,581.00,224.00,186.00,171.00,0.00,0.00,0.00,123.00,123.00,0.00,0.00,0.00,0.00,1646.00,3255.00,1032.00,1646.00,3255.00,1032.00
1968:Q3,-1.00,-1.00,0.00,0.00,0.00,-147.00,-147.00,0.00,0.00,92.00,92.00,252.00,82.00,138.00,32.00,252.00,621.00,234.00,200.00,187.00,0.00,0.00,0.00,55.00,55.00,0.00,0.00,0.00,0.00,1762.00,4652.00,1183.00,1762.00,4652.00,1183.00
1968:Q4,-34.00,-34.00,0.00,0.00,0.00,130.00,130.00,0.00,0.00,89.00,89.00,257.00,89.00,136.00,32.00,257.00,692.00,253.00,231.00,208.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,2041.00,4682.00,991.00,2041.00,4682.00,991.00
1969:Q1,-230.00,-230.00,0.00,0.00,0.00,-139.00,-139.00,0.00,0.00,88.00,88.00,260.00,91.00,137.00,32.00,260.00,842.00,348.00,262.00,232.00,0.00,0.00,0.00,-4.00,-4.00,0.00,0.00,0.00,0.00,2654.00,4585.00,1390.00,2654.00,4585.00,1390.00
1969:Q2,98.00,98.00,0.00,0.00,0.00,34.00,34.00,0.00,0.00,88.00,88.00,264.00,94.00,138.00,32.00,264.00,833.00,280.00,295.00,258.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,3297.00,3805.00,1161.00,3297.00,3805.00,1161.00
1969:Q3,59.00,59.00,0.00,0.00,0.00,-387.00,-387.00,0.00,0.00,90.00,90.00,274.00,103.00,139.00,32.00,274.00,693.00,117.00,309.00,267.00,0.00,0.00,0.00,-2.00,-2.00,0.00,0.00,0.00,0.00,2992.00,4914.00,1007.00,2992.00,4914.00,1007.00
1969:Q4,-16.00,-16.00,0.00,0.00,0.00,150.00,150.00,0.00,0.00,120.00,120.00,290.00,117.00,141.00,32.00,290.00,977.00,413.00,304.00,260.00,0.00,0.00,0.00,38.00,38.00,0.00,0.00,0.00,0.00,2732.00,5571.00,1498.00,2732.00,5571.00,1498.00
1970:Q1,-20.00,-20.00,0.00,0.00,0.00,-55.00,-55.00,0.00,0.00,104.00,104.00,309.00,135.00,142.00,32.00,309.00,847.00,335.00,242.00,270.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,2976.00,5733.00,1363.00,2976.00,5733.00,1363.00
1970:Q2,37.00,37.00,0.00,0.00,0.00,347.00,347.00,0.00,0.00,107.00,107.00,330.00,155.00,143.00,32.00,330.00,851.00,363.00,211.00,277.00,0.00,0.00,0.00,-160.00,-160.00,0.00,0.00,0.00,0.00,3087.00,4458.00,1187.00,3087.00,4458.00,1187.00
