1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,230733.00,171915.00,37920.00,133995.00,0.00,58818.00,49545.00,0.00,0.00,9273.00,0.00,230733.00,67555.00,49545.00,18010.00,14874.00,0.00,9466.00,0.00,9466.00,24737.00,8916.00,15821.00,74515.00,440.00,270.00,116.00,5993.00,0.00,5993.00,9399.00,0.00,9399.00,2644.00,1983.00,661.00,9273.00,9273.00,0.00,4234.00,0.00,0.00,0.00,137.00,0.00,137.00,147.00,0.00,872.00,0.00,869.00,0.00,5192.00,0.00,5192.00
1954:Q3,234029.00,175045.00,37694.00,137351.00,0.00,58984.00,49703.00,0.00,0.00,9281.00,0.00,234029.00,66201.00,49703.00,16498.00,16366.00,0.00,9638.00,0.00,9638.00,23946.00,8149.00,15797.00,78202.00,449.00,275.00,118.00,6057.00,0.00,6057.00,9138.00,0.00,9138.00,2647.00,1985.00,662.00,9281.00,9281.00,0.00,4310.00,0.00,0.00,0.00,143.00,0.00,143.00,151.00,0.00,896.00,0.00,674.00,0.00,5537.00,0.00,5537.00
1954:Q4,237857.00,178532.00,47964.00,130568.00,0.00,59325.00,49966.00,0.00,0.00,9359.00,0.00,237857.00,66087.00,49966.00,16121.00,17523.00,0.00,9789.00,0.00,9789.00,24888.00,16049.00,8839.00,79769.00,490.00,277.00,120.00,6137.00,0.00,6137.00,9070.00,0.00,9070.00,2675.00,2006.00,669.00,9359.00,9359.00,0.00,4383.00,0.00,0.00,0.00,154.00,0.00,154.00,155.00,0.00,849.00,0.00,666.00,0.00,5466.00,0.00,5466.00
1955:Q1,233485.00,173973.00,37227.00,136746.00,0.00,59512.00,50165.00,0.00,0.00,9347.00,0.00,233485.00,67640.00,50165.00,17475.00,17543.00,0.00,9978.00,0.00,9978.00,23505.00,10843.00,12662.00,75199.00,456.00,275.00,123.00,6022.00,0.00,6022.00,9136.00,0.00,9136.00,2735.00,2051.00,684.00,9347.00,9347.00,0.00,4438.00,0.00,0.00,0.00,152.00,0.00,152.00,160.00,0.00,982.00,0.00,322.00,0.00,5472.00,0.00,5472.00
1955:Q2,232883.00,172997.00,33350.00,139647.00,0.00,59886.00,50184.00,0.00,0.00,9702.00,0.00,232883.00,68240.00,50184.00,18056.00,16788.00,0.00,10248.00,0.00,10248.00,23407.00,9106.00,14301.00,74261.00,475.00,269.00,127.00,5964.00,0.00,5964.00,9086.00,0.00,9086.00,2839.00,2129.00,710.00,9702.00,9702.00,0.00,4478.00,0.00,0.00,0.00,179.00,0.00,179.00,165.00,0.00,869.00,0.00,228.00,0.00,5558.00,0.00,5558.00
1955:Q3,235344.00,175191.00,29857.00,145334.00,0.00,60153.00,50178.00,0.00,0.00,9975.00,0.00,235344.00,69181.00,50178.00,19003.00,18619.00,0.00,10550.00,0.00,10550.00,23402.00,3527.00,19875.00,73047.00,461.00,263.00,131.00,6045.00,0.00,6045.00,9164.00,0.00,9164.00,2936.00,2202.00,734.00,9975.00,9975.00,0.00,4566.00,0.00,0.00,0.00,233.00,0.00,233.00,170.00,0.00,637.00,0.00,218.00,0.00,5746.00,0.00,5746.00
1955:Q4,238466.00,178189.00,38054.00,140135.00,0.00,60277.00,50229.00,0.00,0.00,10048.00,0.00,238466.00,68843.00,50229.00,18614.00,21281.00,0.00,10936.00,0.00,10936.00,24391.00,7424.00,16967.00,72461.00,465.00,259.00,135.00,6000.00,0.00,6000.00,8576.00,0.00,8576.00,2972.00,2229.00,743.00,10048.00,10048.00,0.00,4666.00,0.00,0.00,0.00,255.00,0.00,255.00,175.00,0.00,936.00,0.00,264.00,0.00,5803.00,0.00,5803.00
1956:Q1,234182.00,173724.00,41572.00,132152.00,0.00,60458.00,50397.00,0.00,0.00,10061.00,0.00,234182.00,70474.00,50397.00,20077.00,18878.00,0.00,11198.00,0.00,11198.00,23303.00,11632.00,11671.00,69703.00,453.00,260.00,139.00,5834.00,0.00,5834.00,8077.00,0.00,8077.00,2949.00,2212.00,737.00,10061.00,10061.00,0.00,4879.00,0.00,0.00,0.00,238.00,0.00,238.00,180.00,0.00,1256.00,0.00,111.00,0.00,6189.00,0.00,6189.00
1956:Q2,229199.00,168502.00,37111.00,131391.00,0.00,60697.00,50320.00,0.00,0.00,10377.00,0.00,229199.00,70183.00,50320.00,19863.00,15667.00,0.00,11531.00,0.00,11531.00,23457.00,11757.00,11700.00,67621.00,481.00,265.00,143.00,5683.00,0.00,5683.00,7954.00,0.00,7954.00,2895.00,2171.00,724.00,10377.00,10377.00,0.00,4903.00,0.00,0.00,0.00,221.00,0.00,221.00,185.00,0.00,1267.00,0.00,122.00,0.00,6244.00,0.00,6244.00
1956:Q3,230632.00,169476.00,40330.00,129146.00,0.00,61156.00,50238.00,0.00,0.00,10918.00,0.00,230632.00,70632.00,50238.00,20394.00,15575.00,0.00,11779.00,0.00,11779.00,23293.00,11634.00,11659.00,67949.00,508.00,270.00,147.00,5655.00,0.00,5655.00,7834.00,0.00,7834.00,2817.00,2113.00,704.00,10918.00,10918.00,0.00,4929.00,0.00,0.00,0.00,265.00,0.00,265.00,190.00,0.00,1257.00,0.00,114.00,0.00,6500.00,0.00,6500.00
