date,FU263192005.Q,FU263192101.Q,FU263192113.Q,FU263192125.Q,FU263192193.Q,FU263192305.Q,FU263192313.Q,FU263092313.Q,FU103092005.Q,FU263192193.Q,FU763092000.Q,FU513092003.Q,FU543092073.Q,FU613092003.Q,FU663092003.Q,FU103192005.Q,FU263092193.Q,FU115114005.Q,FU753192003.Q,FU513192003.Q,FU543192073.Q,FU613192003.Q,FU663192005.Q,FU733192003.Q,FU503192003.Q,FU263092001.Q,FU263092101.Q,FU263092113.Q,FU263092125.Q,FU263092193.Q,FU263092303.Q,FU263092323.Q,FU263192323.Q,FU263192035.Q,FU263192101.Q,FU263192345.Q,FU263192313.Q,FU263192323.Q,FU263092035.Q,FU263092101.Q,FU263092345.Q,FU263092313.Q,FU263092323.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,235.00,ND,ND,ND,ND,ND,ND,ND,221.00,ND,2.00,2.00,2.00,4.00,4.00,77.00,ND,1.00,4.00,1.00,2.00,1.00,5.00,0.00,0.00,91.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,185.00,ND,ND,ND,ND,ND,ND,ND,170.00,ND,3.00,2.00,2.00,4.00,4.00,128.00,ND,2.00,4.00,1.00,2.00,1.00,4.00,0.00,0.00,142.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q4,136.00,ND,ND,ND,ND,ND,ND,ND,121.00,ND,3.00,0.00,4.00,4.00,4.00,-224.00,ND,2.00,4.00,1.00,2.00,1.00,4.00,0.00,0.00,-210.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q1,130.00,ND,ND,ND,ND,ND,ND,ND,115.00,ND,2.00,2.00,2.00,4.00,5.00,79.00,ND,1.00,4.00,1.00,2.00,1.00,5.00,0.00,0.00,93.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,260.00,ND,ND,ND,ND,ND,ND,ND,243.00,ND,3.00,2.00,3.00,4.00,5.00,78.00,ND,2.00,3.00,1.00,2.00,1.00,4.00,0.00,0.00,91.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,56.00,ND,ND,ND,ND,ND,ND,ND,39.00,ND,3.00,2.00,3.00,4.00,5.00,74.00,ND,2.00,3.00,1.00,2.00,1.00,4.00,0.00,0.00,87.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,221.00,ND,ND,ND,ND,ND,ND,ND,202.00,ND,4.00,2.00,2.00,6.00,5.00,-159.00,ND,2.00,3.00,1.00,2.00,0.00,4.00,0.00,0.00,-147.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,99.00,ND,ND,ND,ND,ND,ND,ND,81.00,ND,3.00,2.00,3.00,4.00,6.00,125.00,ND,2.00,3.00,1.00,2.00,1.00,4.00,0.00,0.00,138.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,296.00,ND,ND,ND,ND,ND,ND,ND,277.00,ND,3.00,2.00,3.00,5.00,6.00,162.00,ND,2.00,4.00,2.00,2.00,1.00,5.00,0.00,0.00,178.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,140.00,ND,ND,ND,ND,ND,ND,ND,120.00,ND,4.00,2.00,3.00,5.00,6.00,135.00,ND,2.00,4.00,2.00,2.00,1.00,5.00,0.00,0.00,151.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
