1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q4,-157182.00,19590.00,-5342080.00,-167424.00,-1960248.00,-557758.00,-352960.00,655274.00,-429572.00,-92820.00,-337680.00,-949508.00,-54416.00,23948.00,-1676674.00,-5066472.00,-3318240.00,80564.00,-1812644.00,-687668.00,-1124976.00,212024.00,-52780.00,-212.00,42640.00,-254228.00,358892.00,-613120.00,36404.00,98836.00
2009:Q1,-22595.00,24400.00,-713057.00,-67656.00,259696.00,-429222.00,-63288.00,-197006.00,-82680.00,-4.00,-86244.00,-144952.00,-59465.00,12128.00,-283585.00,-572429.00,-537016.00,-60112.00,-400820.00,-107340.00,-293480.00,139136.00,106508.00,784.00,-11176.00,167003.00,-538676.00,705679.00,23264.00,93633.00
2009:Q2,39929.00,23609.00,191370.00,-44544.00,-188108.00,127123.00,45532.00,189023.00,-179040.00,-1728.00,73336.00,36096.00,-20147.00,10388.00,270562.00,-59758.00,-152584.00,60392.00,-30616.00,-77460.00,46844.00,-137148.00,26876.00,7276.00,14768.00,173214.00,33864.00,139350.00,-21936.00,-234808.00
2009:Q3,68881.00,23250.00,375248.00,-40380.00,168172.00,-235235.00,-46920.00,-186843.00,-142604.00,14348.00,126784.00,90700.00,15964.00,15552.00,360475.00,208556.00,94792.00,27552.00,71188.00,-36932.00,108120.00,-129172.00,49588.00,6992.00,-7540.00,103772.00,-229524.00,333296.00,-8616.00,-121061.00
2009:Q4,61406.00,23136.00,-798745.00,35152.00,-653096.00,-180266.00,-31976.00,-75762.00,-122768.00,-25860.00,76100.00,119908.00,45334.00,11932.00,-177709.00,-808341.00,-592332.00,-44696.00,4276.00,8564.00,-4288.00,-2508.00,12608.00,-2116.00,12440.00,-205545.00,67020.00,-272565.00,9532.00,28674.00
2010:Q1,29164.00,17444.00,1123730.00,-2176.00,899800.00,157966.00,-12172.00,50214.00,66520.00,19648.00,33756.00,-58308.00,-65359.00,6812.00,184995.00,1043310.00,876104.00,-2396.00,-3264.00,-640.00,-2624.00,-52636.00,-31396.00,-5340.00,9228.00,253118.00,70672.00,182446.00,-108.00,-68700.00
2010:Q2,15714.00,17644.00,-89209.00,-16420.00,336940.00,24155.00,-21616.00,-66581.00,137500.00,-21308.00,-3840.00,74492.00,3247.00,12120.00,-523743.00,-6709.00,1540.00,34620.00,6116.00,-4496.00,10612.00,83872.00,-40888.00,-96.00,4512.00,-102269.00,-84604.00,-17665.00,5884.00,80570.00
2010:Q3,21927.00,17988.00,-90555.00,13804.00,-297696.00,69006.00,4392.00,-32666.00,46620.00,16768.00,33892.00,60844.00,-40658.00,16664.00,87481.00,-120075.00,-230236.00,-19168.00,57100.00,5472.00,51628.00,-34384.00,12328.00,8032.00,3220.00,86233.00,32300.00,53933.00,-3200.00,-25581.00
2010:Q4,36539.00,18368.00,-6506.00,29600.00,34720.00,-71478.00,8204.00,-64862.00,-94896.00,3240.00,76836.00,172928.00,28873.00,-976.00,-200172.00,-87718.00,136064.00,134428.00,59096.00,24656.00,34440.00,-41356.00,-148004.00,-10880.00,35884.00,-253886.00,-223120.00,-30766.00,936.00,-63041.00
2011:Q1,8924.00,15401.00,509099.00,-32648.00,238332.00,58470.00,13352.00,-5706.00,13520.00,-14180.00,51484.00,144260.00,31682.00,12032.00,56971.00,470351.00,323520.00,-5936.00,27464.00,1196.00,26268.00,-10856.00,1256.00,2320.00,19380.00,126527.00,125204.00,1323.00,-13324.00,-45225.00
2011:Q2,7133.00,15799.00,197728.00,66596.00,69872.00,23739.00,10604.00,-27165.00,86132.00,14292.00,-60124.00,-3244.00,3405.00,11908.00,25452.00,222328.00,-38600.00,-72692.00,226428.00,39168.00,187260.00,30816.00,3392.00,448.00,25248.00,48768.00,-70480.00,119248.00,-1480.00,15934.00
2011:Q3,-4036.00,16492.00,2204.00,22576.00,577184.00,-145840.00,-5948.00,122592.00,-31828.00,-15916.00,-214740.00,-218128.00,-37526.00,6260.00,-202322.00,164360.00,110192.00,-43416.00,105064.00,70656.00,34408.00,134092.00,-11720.00,-2604.00,25180.00,-156868.00,2284.00,-159152.00,4440.00,141628.00
2011:Q4,13188.00,16900.00,-592527.00,3180.00,-267112.00,58547.00,5604.00,266503.00,-76152.00,-20668.00,-116740.00,-52388.00,-17552.00,-10748.00,-306455.00,-651879.00,-113280.00,-29528.00,-231496.00,12944.00,-244440.00,-97704.00,-8168.00,-4624.00,2808.00,-168799.00,104436.00,-273235.00,-1088.00,-63064.00
2012:Q1,40602.00,12973.00,513486.00,22072.00,-132020.00,351680.00,6256.00,147512.00,3680.00,15144.00,179088.00,20532.00,12068.00,16140.00,223014.00,324322.00,127420.00,24756.00,22676.00,-11548.00,34224.00,-181432.00,12216.00,1824.00,10028.00,278034.00,273584.00,4450.00,28800.00,-161535.00
2012:Q2,19236.00,13229.00,77014.00,-48744.00,102828.00,-4553.00,-36064.00,35011.00,84624.00,-14072.00,-74052.00,-84136.00,11821.00,2996.00,96803.00,105942.00,140412.00,16488.00,66680.00,-10492.00,77172.00,25120.00,-15344.00,-572.00,6776.00,-138446.00,-114580.00,-23866.00,4828.00,34935.00
2012:Q3,21450.00,13181.00,142056.00,33232.00,130764.00,-6680.00,-5884.00,-8944.00,-17196.00,-8560.00,33904.00,94992.00,31621.00,8376.00,-150250.00,79908.00,84892.00,-65232.00,32928.00,-1352.00,34280.00,-26752.00,-1968.00,3320.00,12148.00,45380.00,65540.00,-20160.00,-4808.00,-53879.00
2012:Q4,12300.00,13373.00,-37708.00,58804.00,118888.00,75105.00,-13144.00,78341.00,16400.00,-9580.00,3088.00,169044.00,-16766.00,1740.00,-444524.00,-65908.00,171956.00,17328.00,8936.00,-13264.00,22200.00,-19900.00,4956.00,-2384.00,34784.00,-279572.00,60548.00,-340120.00,-2012.00,-29273.00
2013:Q1,28699.00,14154.00,-215163.00,-66224.00,-478592.00,-125678.00,96.00,-112494.00,-62800.00,17664.00,31856.00,6884.00,-78039.00,21220.00,505266.00,-290311.00,-492864.00,-4236.00,-26236.00,27672.00,-53908.00,-45396.00,4612.00,5364.00,6068.00,267629.00,35980.00,231649.00,-5252.00,-60603.00
2013:Q2,8068.00,14107.00,-159473.00,40492.00,-158372.00,-318909.00,-2236.00,-103493.00,-112308.00,-48068.00,-52804.00,-944.00,16533.00,6028.00,255699.00,-201777.00,-334636.00,55848.00,193520.00,-8440.00,201960.00,-41584.00,1028.00,64.00,7744.00,-84405.00,50512.00,-134917.00,644.00,-48343.00
2013:Q3,30631.00,14245.00,-329659.00,-19840.00,-260168.00,-45834.00,6216.00,34442.00,-80688.00,-3048.00,-2756.00,50920.00,-5498.00,10928.00,-60168.00,-341155.00,-364500.00,-27784.00,200.00,10336.00,-10136.00,268.00,-9252.00,648.00,10436.00,66021.00,-122288.00,188309.00,-17192.00,4890.00
2013:Q4,13034.00,14548.00,-488101.00,-20308.00,-371688.00,-254743.00,-9196.00,-260439.00,34024.00,1472.00,-20604.00,128412.00,141477.00,7016.00,-118267.00,-535077.00,-565252.00,65108.00,108072.00,12164.00,95908.00,-37096.00,4864.00,-3504.00,7800.00,-116081.00,322536.00,-438617.00,1012.00,-48490.00
2014:Q1,9944.00,15261.00,253118.00,1984.00,-190784.00,-44857.00,22784.00,-53913.00,-3296.00,-7104.00,-3328.00,-77080.00,-85521.00,3056.00,646321.00,232082.00,-223836.00,41308.00,221836.00,19044.00,202792.00,-7088.00,956.00,3192.00,4512.00,187314.00,109448.00,77866.00,3888.00,-26353.00
2014:Q2,10530.00,15577.00,-150177.00,8516.00,-171992.00,-26549.00,-7800.00,-55805.00,3396.00,5344.00,28316.00,219004.00,31952.00,1428.00,-212536.00,-141285.00,-141932.00,-37384.00,6260.00,4704.00,1556.00,-108.00,11940.00,2480.00,892.00,17887.00,121452.00,-103565.00,-1320.00,3845.00
2014:Q3,4545.00,15957.00,-168460.00,9452.00,-39380.00,-158690.00,-46092.00,-70186.00,-29968.00,-7976.00,-4468.00,67740.00,53754.00,7808.00,-109144.00,-170436.00,-283332.00,42084.00,113364.00,9808.00,103556.00,-492.00,8392.00,1084.00,888.00,-59316.00,-157080.00,97764.00,6892.00,-13388.00
2014:Q4,700.00,15959.00,-549142.00,-19784.00,-270712.00,-126660.00,-148.00,-123556.00,60836.00,10648.00,-74440.00,-55552.00,34553.00,11740.00,-122726.00,-599550.00,-234360.00,-88.00,-79724.00,14304.00,-94028.00,-39132.00,-7824.00,-5452.00,12516.00,-244214.00,37820.00,-282034.00,-1272.00,-65667.00
2015:Q1,-15275.00,16819.00,100347.00,23596.00,-55788.00,92051.00,3408.00,75787.00,9540.00,7056.00,-3740.00,-84796.00,-103854.00,6028.00,223111.00,108575.00,-49788.00,-65864.00,7664.00,1372.00,6292.00,10520.00,5048.00,3296.00,7504.00,191443.00,34864.00,156579.00,-1248.00,-23866.00
2015:Q2,-9153.00,16863.00,-135122.00,-14272.00,129628.00,-41266.00,-8232.00,-17766.00,4872.00,-6664.00,-13476.00,34556.00,11166.00,19220.00,-274153.00,-146266.00,-219828.00,113528.00,-101640.00,6036.00,-107676.00,-9688.00,17736.00,-2504.00,15760.00,42326.00,159440.00,-117114.00,-1956.00,-37160.00
2015:Q3,-9056.00,17015.00,45955.00,5836.00,289708.00,-23396.00,-388.00,59308.00,-11008.00,-12280.00,-59028.00,-297372.00,-22691.00,9428.00,84442.00,89159.00,53680.00,-1628.00,-16524.00,-20688.00,4164.00,39012.00,2360.00,-676.00,-776.00,-10469.00,72428.00,-82897.00,24180.00,17133.00
2015:Q4,-5615.00,16943.00,-853848.00,-37904.00,-441484.00,-174021.00,-260.00,-96797.00,-52056.00,-7768.00,-17140.00,-12804.00,73984.00,10264.00,-271884.00,-875304.00,-501704.00,-16360.00,-86736.00,9344.00,-96080.00,-25740.00,8424.00,-3420.00,-27536.00,-210532.00,185372.00,-395904.00,-11700.00,-44014.00
2016:Q1,14600.00,16955.00,195237.00,19236.00,-71904.00,38536.00,3216.00,161460.00,-28688.00,19316.00,-116768.00,-63564.00,-124079.00,19172.00,377839.00,197245.00,-8864.00,-47336.00,156628.00,-1180.00,157808.00,24180.00,-4092.00,3400.00,70932.00,14573.00,227564.00,-212991.00,-12176.00,-347.00
2016:Q2,11114.00,17028.00,300890.00,12348.00,328448.00,174602.00,-13008.00,61126.00,78448.00,3500.00,44536.00,19880.00,3266.00,12440.00,-250093.00,276782.00,227468.00,-33816.00,48332.00,34848.00,13484.00,-9600.00,6492.00,-2268.00,2876.00,44934.00,-44144.00,89078.00,-7636.00,-30022.00
2016:Q3,5341.00,17135.00,159771.00,40352.00,27516.00,-8050.00,-13748.00,40158.00,-59924.00,21452.00,4012.00,119928.00,53876.00,20277.00,-94127.00,137679.00,52672.00,58520.00,-88760.00,11772.00,-100532.00,-21952.00,18160.00,2136.00,-436584.00,540375.00,480652.00,59723.00,13112.00,-33886.00
