1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,203913.00,34386.00,28535.00,106986.00,70234.00,12312.00,16324.00,8116.00,34006.00,203913.00,182711.00,112383.00,39944.00,29907.00,0.00,477.00,8474.00,675.00,0.00,0.00,0.00,0.00,4015.00,0.00,3784.00,0.00,0.00,12728.00,203913.00,52373.00,21650.00,6862.00,2562.00,20761.00,538.00,151540.00,16.00,103260.00,1057.00,151.00,1375.00,145.00,27464.00,213.00,217.00,0.00,3012.00,62.00,0.00,12523.00,0.00,2045.00,0.00,0.00,0.00
1954:Q3,207588.00,34853.00,28736.00,109757.00,72336.00,12452.00,16782.00,8187.00,34242.00,207588.00,186092.00,115171.00,39584.00,30884.00,0.00,453.00,8667.00,689.00,0.00,0.00,0.00,0.00,3969.00,0.00,4009.00,0.00,0.00,12829.00,207588.00,52093.00,22026.00,6790.00,2512.00,20204.00,561.00,155495.00,106.00,105794.00,1087.00,151.00,1449.00,145.00,28167.00,224.00,233.00,0.00,3070.00,70.00,0.00,12709.00,0.00,2290.00,0.00,0.00,0.00
1954:Q4,215105.00,35768.00,29794.00,113580.00,75356.00,12665.00,17313.00,8246.00,35963.00,215105.00,192572.00,120453.00,40765.00,30915.00,0.00,439.00,9362.00,867.00,0.00,0.00,0.00,0.00,4045.00,0.00,4450.00,0.00,0.00,13171.00,215105.00,53886.00,22443.00,7687.00,2799.00,20375.00,582.00,161219.00,134.00,109414.00,1204.00,153.00,1490.00,143.00,29103.00,238.00,249.00,0.00,3175.00,78.00,0.00,13166.00,0.00,2672.00,0.00,0.00,0.00
1955:Q1,219024.00,36085.00,29981.00,117256.00,78237.00,12782.00,17765.00,8472.00,35702.00,219024.00,196840.00,123626.00,41165.00,31602.00,0.00,447.00,9092.00,702.00,0.00,0.00,0.00,0.00,4245.00,0.00,4145.00,0.00,0.00,13092.00,219024.00,53367.00,22819.00,6834.00,2501.00,20614.00,599.00,165657.00,94.00,112435.00,1151.00,160.00,1541.00,144.00,29956.00,255.00,266.00,0.00,3143.00,86.00,0.00,13455.00,0.00,2971.00,0.00,0.00,0.00
1955:Q2,229762.00,38715.00,30636.00,121656.00,81697.00,12989.00,18263.00,8707.00,38755.00,229762.00,206656.00,130685.00,42228.00,33305.00,0.00,438.00,9898.00,1017.00,0.00,0.00,0.00,0.00,4514.00,0.00,4367.00,0.00,0.00,13208.00,229762.00,54488.00,23002.00,7398.00,2619.00,20856.00,613.00,175274.00,54.00,119147.00,1164.00,171.00,1665.00,146.00,30743.00,274.00,283.00,0.00,3606.00,95.00,0.00,14893.00,0.00,3033.00,0.00,0.00,0.00
1955:Q3,237779.00,40289.00,31051.00,125896.00,85032.00,13179.00,18819.00,8866.00,40543.00,237779.00,214173.00,135989.00,43249.00,34494.00,0.00,441.00,10371.00,1275.00,0.00,0.00,0.00,16.00,4859.00,0.00,4221.00,0.00,0.00,13235.00,237779.00,54959.00,23300.00,7477.00,2613.00,20943.00,626.00,182820.00,14.00,124333.00,1130.00,182.00,1782.00,149.00,31544.00,296.00,301.00,0.00,3949.00,105.00,0.00,15902.00,0.00,3133.00,0.00,0.00,0.00
1955:Q4,247700.00,43430.00,31498.00,129823.00,87936.00,13490.00,19375.00,9022.00,42949.00,247700.00,223142.00,141563.00,46290.00,34838.00,0.00,451.00,11201.00,1417.00,0.00,0.00,0.00,66.00,4972.00,0.00,4746.00,0.00,0.00,13357.00,247700.00,56493.00,23624.00,8385.00,2905.00,20938.00,641.00,191207.00,2.00,130251.00,1125.00,191.00,1852.00,152.00,32735.00,321.00,318.00,0.00,4064.00,116.00,0.00,16972.00,0.00,3108.00,0.00,0.00,0.00
1956:Q1,251238.00,44014.00,31715.00,133258.00,90356.00,13657.00,19954.00,9291.00,42251.00,251238.00,227414.00,143247.00,48256.00,35453.00,0.00,458.00,10432.00,1138.00,0.00,0.00,0.00,26.00,4987.00,0.00,4281.00,0.00,0.00,13392.00,251238.00,55858.00,24171.00,7505.00,2631.00,20894.00,657.00,195380.00,1.00,132950.00,1141.00,197.00,1908.00,156.00,33742.00,349.00,336.00,0.00,3980.00,127.00,0.00,17394.00,0.00,3099.00,0.00,0.00,0.00
1956:Q2,259683.00,46149.00,31928.00,137325.00,93327.00,13827.00,20582.00,9589.00,44281.00,259683.00,235536.00,148421.00,49746.00,36909.00,0.00,460.00,10562.00,1173.00,0.00,0.00,0.00,94.00,5080.00,0.00,4215.00,0.00,0.00,13585.00,259683.00,56960.00,24509.00,7910.00,2732.00,21138.00,671.00,202723.00,1.00,138578.00,1205.00,201.00,2033.00,159.00,34706.00,381.00,352.00,0.00,4292.00,138.00,0.00,17575.00,0.00,3102.00,0.00,0.00,0.00
1956:Q3,264498.00,46631.00,31785.00,141104.00,96174.00,13972.00,21199.00,9759.00,44978.00,264498.00,240464.00,151718.00,50343.00,37908.00,0.00,495.00,10421.00,1142.00,0.00,0.00,0.00,98.00,5256.00,0.00,3925.00,0.00,0.00,13613.00,264498.00,57408.00,24843.00,7936.00,2772.00,21167.00,690.00,207090.00,1.00,141655.00,1290.00,204.00,2150.00,161.00,35562.00,415.00,371.00,0.00,4463.00,143.00,0.00,17578.00,0.00,3097.00,0.00,0.00,0.00
