1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,298673.00,296234.00,244222.00,244222.00,0.00,52012.00,52012.00,0.00,2439.00,298673.00,265154.00,0.00,0.00,0.00,1000.00,6.00,5408.00,3633.00,6085.00,0.00,200.00,6927.00,2800.00,0.00,885.00,0.00,6575.00,296234.00,0.00,0.00,0.00,ND
1956:Q1,317228.00,314586.00,262345.00,262345.00,0.00,52241.00,52241.00,0.00,2642.00,317228.00,281337.00,0.00,0.00,0.00,1086.00,6.00,5767.00,3800.00,6817.00,0.00,217.00,7504.00,2878.00,0.00,742.00,0.00,7074.00,314586.00,0.00,0.00,0.00,ND
1956:Q2,307689.00,305098.00,252704.00,252704.00,0.00,52394.00,52394.00,0.00,2591.00,307689.00,272249.00,0.00,0.00,0.00,1030.00,6.00,5577.00,3591.00,6739.00,0.00,201.00,7688.00,2954.00,0.00,755.00,0.00,6899.00,305098.00,0.00,0.00,0.00,ND
1956:Q3,301922.00,299357.00,246833.00,246833.00,0.00,52524.00,52524.00,0.00,2565.00,301922.00,267245.00,0.00,0.00,0.00,982.00,6.00,5470.00,3453.00,6712.00,0.00,189.00,7361.00,3033.00,0.00,666.00,0.00,6805.00,299357.00,0.00,0.00,0.00,ND
1956:Q4,323618.00,320993.00,268373.00,268373.00,0.00,52620.00,52620.00,0.00,2625.00,323618.00,287591.00,0.00,0.00,0.00,1000.00,6.00,5599.00,3503.00,7065.00,0.00,200.00,7887.00,3120.00,0.00,686.00,0.00,6961.00,320993.00,0.00,0.00,0.00,ND
1957:Q1,309276.00,306790.00,254023.00,254023.00,0.00,52767.00,52767.00,0.00,2486.00,309276.00,274073.00,0.00,0.00,0.00,971.00,7.00,5372.00,3378.00,7014.00,0.00,215.00,7891.00,3213.00,0.00,521.00,0.00,6621.00,306790.00,0.00,0.00,0.00,ND
1957:Q2,328675.00,326030.00,273076.00,273076.00,0.00,52954.00,52954.00,0.00,2645.00,328675.00,290373.00,0.00,0.00,0.00,1089.00,7.00,5879.00,3773.00,7948.00,0.00,277.00,8370.00,3311.00,0.00,536.00,0.00,7112.00,326030.00,0.00,0.00,0.00,ND
1957:Q3,300970.00,298582.00,245392.00,245392.00,0.00,53190.00,53190.00,0.00,2388.00,300970.00,264793.00,0.00,0.00,0.00,1036.00,8.00,5456.00,3570.00,7638.00,0.00,294.00,7716.00,3414.00,0.00,561.00,0.00,6484.00,298582.00,0.00,0.00,0.00,ND
1957:Q4,301375.00,299142.00,245747.00,245747.00,0.00,53395.00,53395.00,0.00,2233.00,301375.00,266234.00,0.00,0.00,0.00,1000.00,9.00,5159.00,3391.00,7489.00,0.00,300.00,7411.00,3520.00,0.00,771.00,0.00,6091.00,299142.00,0.00,0.00,0.00,ND
1958:Q1,317251.00,314931.00,261319.00,261319.00,0.00,53612.00,53612.00,0.00,2320.00,317251.00,280386.00,0.00,0.00,0.00,1056.00,9.00,5342.00,3479.00,8060.00,0.00,320.00,8012.00,3631.00,0.00,628.00,0.00,6328.00,314931.00,0.00,0.00,0.00,ND
