1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,744.00,744.00,0.00,-400.00,-400.00,576.00,576.00,0.00,0.00,104.00,104.00,376.00,-4.00,324.00,56.00,376.00,792.00,96.00,544.00,152.00,0.00,0.00,0.00,84.00,84.00,0.00,0.00,0.00,0.00,1956.00,9768.00,2401.00,1956.00,9768.00,2401.00
1958:Q3,424.00,424.00,0.00,-4.00,-4.00,-1036.00,-1036.00,0.00,0.00,112.00,112.00,372.00,-4.00,320.00,56.00,372.00,808.00,108.00,548.00,152.00,0.00,0.00,0.00,104.00,104.00,0.00,0.00,0.00,0.00,1632.00,8164.00,1953.00,1632.00,8164.00,1953.00
1958:Q4,-296.00,-296.00,0.00,-268.00,-268.00,-160.00,-160.00,0.00,0.00,152.00,152.00,388.00,24.00,312.00,52.00,388.00,936.00,192.00,564.00,180.00,0.00,0.00,0.00,116.00,116.00,0.00,0.00,0.00,0.00,1788.00,9356.00,1857.00,1788.00,9356.00,1857.00
1959:Q1,224.00,224.00,0.00,-136.00,-136.00,-332.00,-332.00,0.00,0.00,192.00,192.00,416.00,64.00,296.00,56.00,416.00,1068.00,268.00,568.00,232.00,0.00,0.00,0.00,60.00,60.00,0.00,0.00,0.00,0.00,2654.00,9032.00,1804.00,2654.00,9032.00,1804.00
1959:Q2,516.00,516.00,0.00,-236.00,-236.00,160.00,160.00,0.00,0.00,228.00,228.00,416.00,92.00,268.00,56.00,416.00,1204.00,356.00,576.00,272.00,0.00,0.00,0.00,104.00,104.00,0.00,0.00,0.00,0.00,2618.00,10232.00,2240.00,2618.00,10232.00,2240.00
1959:Q3,-688.00,-688.00,0.00,-208.00,-208.00,-824.00,-824.00,0.00,0.00,236.00,236.00,440.00,100.00,284.00,56.00,440.00,1212.00,360.00,580.00,272.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,3326.00,8572.00,1540.00,3326.00,8572.00,1540.00
1959:Q4,-4.00,-4.00,0.00,-176.00,-176.00,76.00,76.00,0.00,0.00,216.00,216.00,468.00,80.00,336.00,52.00,468.00,1092.00,268.00,580.00,244.00,0.00,0.00,0.00,108.00,108.00,0.00,0.00,0.00,0.00,2350.00,9972.00,2016.00,2350.00,9972.00,2016.00
1960:Q1,564.00,564.00,0.00,-224.00,-224.00,-220.00,-220.00,0.00,0.00,204.00,204.00,528.00,76.00,396.00,56.00,528.00,996.00,200.00,604.00,192.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,2106.00,9660.00,1537.00,2106.00,9660.00,1537.00
1960:Q2,600.00,600.00,0.00,-232.00,-232.00,808.00,808.00,0.00,0.00,200.00,200.00,580.00,72.00,452.00,56.00,580.00,924.00,140.00,620.00,164.00,0.00,0.00,0.00,92.00,92.00,0.00,0.00,0.00,0.00,1434.00,9732.00,2021.00,1434.00,9732.00,2021.00
1960:Q3,380.00,380.00,0.00,-176.00,-176.00,4.00,4.00,0.00,0.00,192.00,192.00,596.00,68.00,472.00,56.00,596.00,884.00,116.00,608.00,160.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,778.00,9908.00,2569.00,778.00,9908.00,2569.00
1960:Q4,568.00,568.00,0.00,-116.00,-116.00,804.00,804.00,0.00,0.00,172.00,172.00,576.00,68.00,456.00,52.00,576.00,880.00,136.00,556.00,188.00,0.00,0.00,0.00,160.00,160.00,0.00,0.00,0.00,0.00,-478.00,10372.00,2105.00,-478.00,10372.00,2105.00
1961:Q1,308.00,308.00,0.00,-164.00,-164.00,352.00,352.00,0.00,0.00,152.00,152.00,616.00,60.00,452.00,104.00,616.00,860.00,144.00,500.00,216.00,0.00,0.00,0.00,176.00,176.00,0.00,0.00,0.00,0.00,250.00,10156.00,1673.00,250.00,10156.00,1673.00
1961:Q2,412.00,412.00,0.00,-116.00,-116.00,512.00,512.00,0.00,0.00,124.00,124.00,608.00,52.00,452.00,104.00,608.00,840.00,156.00,440.00,244.00,0.00,0.00,0.00,68.00,68.00,0.00,0.00,0.00,0.00,-878.00,10232.00,2261.00,-878.00,10232.00,2261.00
1961:Q3,56.00,56.00,0.00,-124.00,-124.00,-528.00,-528.00,0.00,0.00,120.00,120.00,624.00,56.00,460.00,108.00,624.00,812.00,140.00,440.00,232.00,0.00,0.00,0.00,92.00,92.00,0.00,0.00,0.00,0.00,-1018.00,10680.00,2481.00,-1018.00,10680.00,2481.00
1961:Q4,268.00,268.00,0.00,-92.00,-92.00,632.00,632.00,0.00,0.00,136.00,136.00,640.00,64.00,472.00,104.00,640.00,784.00,104.00,492.00,188.00,0.00,0.00,0.00,172.00,172.00,0.00,0.00,0.00,0.00,-2182.00,11212.00,2881.00,-2182.00,11212.00,2881.00
1962:Q1,192.00,192.00,0.00,-172.00,-172.00,-284.00,-284.00,0.00,0.00,148.00,148.00,684.00,72.00,508.00,104.00,684.00,720.00,32.00,536.00,152.00,0.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,-1958.00,10772.00,1561.00,-1958.00,10772.00,1561.00
1962:Q2,604.00,604.00,0.00,-116.00,-116.00,336.00,336.00,0.00,0.00,152.00,152.00,744.00,72.00,568.00,104.00,744.00,628.00,-56.00,592.00,92.00,0.00,0.00,0.00,-252.00,-252.00,0.00,0.00,0.00,0.00,-3690.00,10896.00,2557.00,-3690.00,10896.00,2557.00
1962:Q3,300.00,300.00,0.00,-112.00,-112.00,-836.00,-836.00,0.00,0.00,156.00,156.00,712.00,84.00,524.00,104.00,712.00,660.00,-28.00,584.00,104.00,0.00,0.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,-2286.00,11560.00,2657.00,-2286.00,11560.00,2657.00
1962:Q4,-116.00,-116.00,0.00,-76.00,-76.00,916.00,916.00,0.00,0.00,164.00,164.00,580.00,100.00,376.00,104.00,580.00,808.00,124.00,504.00,180.00,0.00,0.00,0.00,208.00,208.00,0.00,0.00,0.00,0.00,-3210.00,11552.00,3245.00,-3210.00,11552.00,3245.00
1963:Q1,200.00,200.00,0.00,-104.00,-104.00,280.00,280.00,0.00,0.00,176.00,176.00,440.00,120.00,216.00,104.00,440.00,1016.00,284.00,436.00,296.00,0.00,0.00,0.00,140.00,140.00,0.00,0.00,0.00,0.00,-1604.00,11316.00,2783.00,-1604.00,11316.00,2783.00
1963:Q2,1064.00,1064.00,0.00,-96.00,-96.00,168.00,168.00,0.00,0.00,188.00,188.00,296.00,140.00,52.00,104.00,296.00,1268.00,448.00,420.00,400.00,0.00,0.00,0.00,124.00,124.00,0.00,0.00,0.00,0.00,-2028.00,11272.00,2119.00,-2028.00,11272.00,2119.00
1963:Q3,124.00,124.00,0.00,-112.00,-112.00,-1244.00,-1244.00,0.00,0.00,192.00,192.00,276.00,148.00,24.00,104.00,276.00,1200.00,460.00,344.00,396.00,0.00,0.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,-1460.00,11964.00,2895.00,-1460.00,11964.00,2895.00
1963:Q4,400.00,400.00,0.00,-60.00,-60.00,548.00,548.00,0.00,0.00,188.00,188.00,376.00,136.00,136.00,104.00,376.00,812.00,324.00,220.00,268.00,0.00,0.00,0.00,124.00,124.00,0.00,0.00,0.00,0.00,-1388.00,12084.00,3039.00,-1388.00,12084.00,3039.00
1964:Q1,-272.00,-272.00,0.00,-68.00,-68.00,-696.00,-696.00,0.00,0.00,180.00,180.00,444.00,136.00,204.00,104.00,444.00,1180.00,468.00,336.00,376.00,0.00,0.00,0.00,180.00,180.00,0.00,0.00,0.00,0.00,-1595.00,11808.00,1980.00,-1595.00,11808.00,1980.00
1964:Q2,-292.00,-292.00,0.00,-72.00,-72.00,704.00,704.00,0.00,0.00,172.00,172.00,476.00,132.00,240.00,104.00,476.00,1196.00,484.00,312.00,400.00,0.00,0.00,0.00,152.00,152.00,0.00,0.00,0.00,0.00,-1535.00,12336.00,2016.00,-1535.00,12336.00,2016.00
1964:Q3,-88.00,-88.00,0.00,-72.00,-72.00,-656.00,-656.00,0.00,0.00,180.00,180.00,528.00,132.00,288.00,108.00,528.00,1284.00,552.00,316.00,416.00,0.00,0.00,0.00,144.00,144.00,0.00,0.00,0.00,0.00,-483.00,12340.00,3088.00,-483.00,12340.00,3088.00
