1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,6622.00,0.00,-860.00,2941.00,0.00,-570.00,-124.00,-641.00,0.00,292.00,-97.00,445.00,172.00,53.00,679.00,3936.00,-174.00,15823.00,5141.00,2638.00,8135.00,0.00,-91.00,10269.00,1645.00,1943.00,6682.00,5554.00,3496.00,696.00,1454.00,0.00,-91.00,5832.00,2818.00,915.00,1262.00,225.00,612.00,286.00,6630.00,1454.00,47.00,183.00,5312.00,9013.00,-3701.00,69618.00,9.52,7.63,12.95,-5.32
1954:Q3,10416.00,0.00,4366.00,1611.00,0.00,-922.00,1.00,-1354.00,12.00,568.00,-149.00,326.00,-2.00,114.00,669.00,3963.00,291.00,16430.00,5518.00,2741.00,8036.00,0.00,136.00,10258.00,1665.00,1962.00,6631.00,6172.00,3853.00,779.00,1404.00,0.00,136.00,4659.00,2102.00,738.00,236.00,304.00,1279.00,286.00,12214.00,1404.00,-123.00,-82.00,10851.00,7091.00,3760.00,68374.00,17.86,15.87,10.37,5.50
1954:Q4,7779.00,0.00,507.00,2742.00,0.00,-251.00,-229.00,-114.00,-5.00,718.00,-621.00,704.00,-186.00,154.00,662.00,4029.00,-582.00,17025.00,5862.00,2813.00,8479.00,0.00,-128.00,10304.00,1685.00,1983.00,6636.00,6721.00,4177.00,830.00,1842.00,0.00,-128.00,4534.00,3020.00,383.00,1721.00,432.00,-1022.00,293.00,10259.00,1842.00,-81.00,-475.00,8023.00,7945.00,78.00,70392.00,14.57,11.40,11.29,0.11
1955:Q1,10130.00,0.00,-243.00,2092.00,0.00,2153.00,290.00,1553.00,-108.00,520.00,-102.00,78.00,188.00,142.00,682.00,4052.00,986.00,18332.00,6324.00,2839.00,9150.00,0.00,19.00,10614.00,1719.00,1996.00,6900.00,7718.00,4605.00,843.00,2251.00,0.00,19.00,4850.00,2881.00,496.00,-261.00,395.00,1339.00,311.00,13309.00,2251.00,-109.00,158.00,11325.00,5476.00,5849.00,69539.00,19.14,16.29,7.87,8.41
1955:Q2,6686.00,0.00,-2334.00,2594.00,0.00,1600.00,95.00,600.00,78.00,1025.00,-198.00,301.00,-201.00,121.00,709.00,4204.00,-308.00,19078.00,6469.00,3119.00,9691.00,0.00,-201.00,10781.00,1748.00,2023.00,7010.00,8297.00,4721.00,1095.00,2681.00,0.00,-201.00,9246.00,3460.00,747.00,3053.00,110.00,1876.00,279.00,6016.00,2681.00,50.00,483.00,3768.00,6490.00,-2722.00,71884.00,8.37,5.24,9.03,-3.79
1955:Q3,12816.00,0.00,3551.00,1494.00,0.00,2082.00,46.00,941.00,115.00,851.00,129.00,292.00,-33.00,169.00,758.00,4303.00,200.00,19523.00,6376.00,3301.00,10099.00,0.00,-252.00,10972.00,1786.00,2055.00,7132.00,8551.00,4590.00,1246.00,2967.00,0.00,-252.00,7091.00,3335.00,678.00,1788.00,149.00,1141.00,311.00,14587.00,2967.00,10.00,-103.00,11506.00,7562.00,3944.00,74065.00,19.69,15.54,10.21,5.33
1955:Q4,9304.00,0.00,450.00,2421.00,0.00,994.00,-149.00,-338.00,373.00,814.00,294.00,616.00,16.00,140.00,756.00,4297.00,-386.00,19429.00,6111.00,3297.00,9859.00,0.00,162.00,11220.00,1833.00,2088.00,7299.00,8209.00,4278.00,1209.00,2560.00,0.00,162.00,5503.00,2904.00,183.00,2406.00,12.00,-2.00,352.00,12361.00,2560.00,-7.00,-512.00,9296.00,8686.00,610.00,76239.00,16.21,12.19,11.39,0.80
1956:Q1,11265.00,0.00,-636.00,2163.00,0.00,2812.00,478.00,1631.00,116.00,395.00,192.00,273.00,57.00,314.00,850.00,4301.00,1131.00,18672.00,6003.00,3201.00,9393.00,0.00,76.00,11829.00,1834.00,2179.00,7816.00,6843.00,4169.00,1022.00,1577.00,0.00,76.00,3423.00,2420.00,782.00,-698.00,57.00,862.00,368.00,15053.00,1577.00,65.00,271.00,13682.00,7061.00,6621.00,75062.00,20.05,18.23,9.41,8.82
1956:Q2,8237.00,0.00,-1404.00,2979.00,0.00,1111.00,-150.00,-291.00,237.00,867.00,448.00,439.00,-477.00,35.00,909.00,4406.00,239.00,18305.00,6064.00,3106.00,9427.00,0.00,-292.00,12023.00,1886.00,2211.00,7927.00,6282.00,4178.00,895.00,1501.00,0.00,-292.00,6967.00,2971.00,993.00,2030.00,86.00,887.00,431.00,7983.00,1501.00,194.00,641.00,6929.00,7864.00,-935.00,76565.00,10.43,9.05,10.27,-1.22
1956:Q3,12791.00,0.00,2744.00,1591.00,0.00,1567.00,-81.00,449.00,157.00,872.00,170.00,374.00,-6.00,323.00,891.00,4700.00,607.00,18329.00,5958.00,3105.00,9395.00,0.00,-128.00,12190.00,1933.00,2237.00,8021.00,6139.00,4025.00,868.00,1375.00,0.00,-128.00,4890.00,2847.00,849.00,697.00,49.00,448.00,405.00,14445.00,1375.00,84.00,-224.00,12762.00,9150.00,3613.00,78677.00,18.36,16.22,11.63,4.59
