1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,10580.00,0.00,751.00,0.00,0.00,4045.00,0.00,606.00,63.00,3376.00,0.00,4571.00,0.00,1213.00,0.00,0.00,1213.00,10580.00
1962:Q1,10735.00,0.00,780.00,0.00,0.00,4101.00,0.00,605.00,73.00,3423.00,0.00,4573.00,0.00,1281.00,0.00,0.00,1281.00,10735.00
1962:Q2,9985.00,0.00,810.00,0.00,0.00,4195.00,0.00,615.00,78.00,3502.00,0.00,3569.00,0.00,1411.00,0.00,0.00,1411.00,9985.00
1962:Q3,10416.00,0.00,841.00,0.00,0.00,4237.00,0.00,631.00,77.00,3529.00,0.00,3850.00,0.00,1488.00,0.00,0.00,1488.00,10416.00
1962:Q4,11124.00,0.00,873.00,0.00,0.00,4341.00,0.00,650.00,71.00,3620.00,0.00,4377.00,0.00,1533.00,0.00,0.00,1533.00,11124.00
1963:Q1,11595.00,0.00,907.00,0.00,0.00,4419.00,0.00,657.00,73.00,3689.00,0.00,4702.00,0.00,1567.00,0.00,0.00,1567.00,11595.00
1963:Q2,12017.00,0.00,942.00,0.00,0.00,4506.00,0.00,664.00,73.00,3769.00,0.00,4990.00,0.00,1579.00,0.00,0.00,1579.00,12017.00
1963:Q3,12430.00,0.00,978.00,0.00,0.00,4596.00,0.00,660.00,83.00,3853.00,0.00,5254.00,0.00,1602.00,0.00,0.00,1602.00,12430.00
1963:Q4,12884.00,0.00,1016.00,0.00,0.00,4663.00,0.00,670.00,81.00,3912.00,0.00,5534.00,0.00,1671.00,0.00,0.00,1671.00,12884.00
1964:Q1,13539.00,0.00,1055.00,0.00,0.00,4763.00,0.00,718.00,85.00,3960.00,0.00,5938.00,0.00,1783.00,0.00,0.00,1783.00,13539.00
1964:Q2,14101.00,0.00,1095.00,0.00,0.00,4826.00,0.00,666.00,82.00,4078.00,0.00,6227.00,0.00,1953.00,0.00,0.00,1953.00,14101.00
1964:Q3,14679.00,0.00,1137.00,0.00,0.00,4883.00,0.00,665.00,79.00,4139.00,0.00,6528.00,0.00,2131.00,0.00,0.00,2131.00,14679.00
1964:Q4,15216.00,0.00,1181.00,0.00,0.00,5025.00,0.00,679.00,105.00,4241.00,0.00,6741.00,0.00,2269.00,0.00,0.00,2269.00,15216.00
1965:Q1,15730.00,0.00,1226.00,0.00,0.00,5140.00,0.00,727.00,88.00,4325.00,0.00,6991.00,0.00,2373.00,0.00,0.00,2373.00,15730.00
1965:Q2,15833.00,0.00,1273.00,0.00,0.00,5183.00,0.00,677.00,89.00,4417.00,0.00,6914.00,0.00,2463.00,0.00,0.00,2463.00,15833.00
1965:Q3,16754.00,0.00,1322.00,0.00,0.00,5198.00,0.00,614.00,95.00,4489.00,0.00,7722.00,0.00,2512.00,0.00,0.00,2512.00,16754.00
1965:Q4,17404.00,0.00,1373.00,0.00,0.00,5276.00,0.00,635.00,100.00,4541.00,0.00,8151.00,0.00,2604.00,0.00,0.00,2604.00,17404.00
1966:Q1,17780.00,0.00,1426.00,0.00,0.00,5470.00,0.00,620.00,102.00,4748.00,0.00,8153.00,0.00,2731.00,0.00,0.00,2731.00,17780.00
1966:Q2,17877.00,0.00,1481.00,0.00,0.00,5530.00,0.00,594.00,104.00,4832.00,0.00,7974.00,0.00,2892.00,0.00,0.00,2892.00,17877.00
1966:Q3,17567.00,0.00,1537.00,0.00,0.00,5609.00,0.00,588.00,97.00,4924.00,0.00,7342.00,0.00,3079.00,0.00,0.00,3079.00,17567.00
1966:Q4,18433.00,0.00,1606.00,0.00,0.00,5720.00,0.00,576.00,98.00,5046.00,0.00,7894.00,0.00,3213.00,0.00,0.00,3213.00,18433.00
1967:Q1,19853.00,0.00,1663.00,0.00,0.00,5761.00,0.00,537.00,95.00,5129.00,0.00,9099.00,0.00,3330.00,0.00,0.00,3330.00,19853.00
