1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,4.00,0.00,141.00,5.00,0.00,0.00,-29.00,0.00,-29.00,0.00,0.00,0.00,147.00,116.00,0.00,71.00,45.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,18.00,140.00,0.00,96.00,0.00,96.00,0.00,0.00,44.00,3.00
1954:Q3,5.00,0.00,87.00,24.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,58.00,38.00,0.00,24.00,14.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,-19.00,80.00,0.00,125.00,0.00,125.00,0.00,0.00,-45.00,-2.00
1954:Q4,5.00,0.00,143.00,-3.00,0.00,0.00,-47.00,0.00,-47.00,0.00,0.00,0.00,105.00,86.00,0.00,-92.00,178.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,88.00,141.00,0.00,-28.00,0.00,-28.00,0.00,0.00,169.00,3.00
1955:Q1,5.00,0.00,76.00,-10.00,0.00,0.00,133.00,0.00,133.00,0.00,0.00,0.00,-32.00,-95.00,0.00,70.00,-165.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,-15.00,72.00,0.00,-19.00,0.00,-19.00,0.00,0.00,91.00,1.00
1955:Q2,5.00,0.00,365.00,2.00,0.00,0.00,-113.00,0.00,-113.00,0.00,0.00,0.00,463.00,390.00,0.00,75.00,315.00,73.00,9.00,0.00,9.00,0.00,0.00,0.00,64.00,0.00,13.00,362.00,0.00,316.00,0.00,316.00,0.00,0.00,46.00,2.00
1955:Q3,5.00,0.00,130.00,-5.00,0.00,26.00,-232.00,0.00,-232.00,0.00,0.00,0.00,343.00,277.00,0.00,19.00,258.00,66.00,21.00,0.00,21.00,0.00,0.00,0.00,45.00,0.00,-2.00,121.00,0.00,241.00,0.00,241.00,16.00,0.00,-136.00,-4.00
1955:Q4,5.00,0.00,457.00,33.00,0.00,14.00,299.00,0.00,299.00,0.00,0.00,0.00,115.00,15.00,0.00,-127.00,142.00,100.00,56.00,0.00,56.00,0.00,0.00,0.00,44.00,0.00,-4.00,455.00,0.00,403.00,0.00,403.00,50.00,0.00,2.00,3.00
1956:Q1,4.00,0.00,194.00,-40.00,0.00,0.00,320.00,0.00,320.00,0.00,0.00,0.00,-84.00,-225.00,0.00,54.00,-279.00,141.00,70.00,0.00,70.00,1.00,0.00,1.00,70.00,0.00,-2.00,188.00,0.00,106.00,0.00,106.00,-40.00,0.00,122.00,-2.00
1956:Q2,5.00,0.00,321.00,-16.00,0.00,-3.00,11.00,0.00,11.00,0.00,0.00,0.00,312.00,164.00,0.00,129.00,35.00,148.00,77.00,0.00,77.00,0.00,0.00,0.00,71.00,0.00,17.00,322.00,0.00,205.00,0.00,205.00,68.00,0.00,49.00,6.00
1956:Q3,6.00,0.00,146.00,12.00,0.00,-15.00,-10.00,0.00,-10.00,0.00,0.00,0.00,171.00,2.00,0.00,33.00,-31.00,169.00,119.00,0.00,119.00,-1.00,0.00,-1.00,51.00,0.00,-12.00,137.00,0.00,243.00,0.00,243.00,4.00,0.00,-110.00,-3.00
1956:Q4,6.00,0.00,348.00,44.00,0.00,-4.00,-31.00,0.00,-31.00,0.00,0.00,0.00,359.00,10.00,0.00,-76.00,86.00,349.00,297.00,0.00,297.00,0.00,0.00,0.00,52.00,0.00,-20.00,349.00,0.00,-111.00,0.00,-111.00,263.00,0.00,197.00,7.00
1957:Q1,6.00,0.00,315.00,-47.00,0.00,0.00,116.00,0.00,116.00,0.00,0.00,0.00,242.00,-203.00,0.00,64.00,-267.00,445.00,382.00,0.00,382.00,0.00,0.00,0.00,63.00,0.00,4.00,289.00,0.00,397.00,0.00,397.00,-150.00,0.00,42.00,-20.00
1957:Q2,7.00,0.00,447.00,7.00,0.00,-3.00,-73.00,0.00,-73.00,0.00,0.00,0.00,515.00,233.00,0.00,115.00,118.00,282.00,218.00,0.00,218.00,0.00,0.00,0.00,64.00,0.00,1.00,449.00,0.00,601.00,0.00,601.00,-208.00,0.00,56.00,9.00
1957:Q3,7.00,0.00,169.00,-11.00,0.00,1.00,-132.00,0.00,-132.00,0.00,0.00,0.00,304.00,83.00,0.00,43.00,40.00,221.00,196.00,0.00,196.00,0.00,0.00,0.00,25.00,0.00,7.00,159.00,0.00,189.00,0.00,189.00,115.00,0.00,-145.00,-3.00
