1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,37738.00,18211.00,0.00,0.00,0.00,0.00,0.00,3725.00,0.00,3725.00,8915.00,6887.00,6430.00,457.00,0.00,116289.00,103714.00,15650.00,11651.00,76413.00,12381.00,0.00,194.00,0.00
1966:Q4,37718.00,18213.00,0.00,0.00,0.00,0.00,0.00,3988.00,0.00,3988.00,8491.00,7026.00,6560.00,466.00,0.00,117021.00,105278.00,16296.00,11621.00,77361.00,11547.00,0.00,196.00,0.00
1967:Q1,38219.00,18236.00,0.00,0.00,0.00,0.00,0.00,3654.00,0.00,3654.00,9150.00,7179.00,6701.00,478.00,0.00,118803.00,107112.00,16495.00,12176.00,78441.00,11491.00,0.00,200.00,0.00
1967:Q2,38327.00,18266.00,0.00,0.00,0.00,0.00,0.00,3730.00,0.00,3730.00,8982.00,7349.00,6847.00,502.00,0.00,122211.00,110534.00,17240.00,12525.00,80769.00,11472.00,0.00,205.00,0.00
1967:Q3,38912.00,18302.00,0.00,0.00,50.00,50.00,0.00,3627.00,0.00,3627.00,9422.00,7511.00,7000.00,511.00,0.00,124923.00,112844.00,17199.00,12504.00,83140.00,11869.00,0.00,210.00,0.00
1967:Q4,39013.00,18344.00,0.00,0.00,100.00,100.00,0.00,3872.00,0.00,3872.00,9022.00,7675.00,7152.00,523.00,0.00,127282.00,115611.00,17657.00,12779.00,85176.00,11456.00,0.00,215.00,0.00
1968:Q1,37860.00,18375.00,0.00,0.00,150.00,150.00,0.00,3592.00,0.00,3592.00,7893.00,7850.00,7316.00,534.00,0.00,126917.00,117513.00,17895.00,13189.00,86430.00,9185.00,0.00,219.00,0.00
1968:Q2,38084.00,18418.00,0.00,0.00,200.00,200.00,0.00,3677.00,0.00,3677.00,7736.00,8053.00,7487.00,566.00,0.00,130958.00,121388.00,18759.00,13500.00,89129.00,9346.00,0.00,223.00,0.00
1968:Q3,38755.00,18462.00,0.00,0.00,250.00,250.00,0.00,3532.00,0.00,3532.00,8263.00,8248.00,7674.00,574.00,0.00,133855.00,123689.00,18709.00,13462.00,91518.00,9939.00,0.00,228.00,0.00
1968:Q4,38819.00,18499.00,0.00,0.00,300.00,300.00,0.00,3852.00,0.00,3852.00,7655.00,8512.00,7882.00,630.00,0.00,136167.00,126582.00,19120.00,13573.00,93888.00,9351.00,0.00,234.00,0.00
1969:Q1,39422.00,18526.00,0.00,0.00,350.00,350.00,0.00,3530.00,0.00,3530.00,8257.00,8758.00,8114.00,645.00,0.00,139467.00,129653.00,19989.00,14148.00,95515.00,9575.00,0.00,239.00,0.00
1969:Q2,40004.00,18546.00,0.00,0.00,400.00,400.00,0.00,3667.00,100.00,3567.00,8345.00,9046.00,8372.00,674.00,0.00,145033.00,134786.00,21026.00,14715.00,99044.00,10003.00,0.00,244.00,0.00
1969:Q3,40724.00,18562.00,0.00,0.00,450.00,450.00,0.00,3685.00,200.00,3485.00,8705.00,9322.00,8639.00,683.00,0.00,149389.00,138610.00,21617.00,14877.00,102116.00,10529.00,0.00,250.00,0.00
1969:Q4,40794.00,18578.00,0.00,0.00,500.00,500.00,0.00,4012.00,300.00,3712.00,8110.00,9594.00,8899.00,695.00,0.00,152153.00,141905.00,21874.00,15124.00,104907.00,9992.00,0.00,256.00,0.00
1970:Q1,41379.00,18607.00,200.00,0.00,550.00,550.00,0.00,3814.00,400.00,3414.00,8331.00,9877.00,9169.00,709.00,0.00,152976.00,135076.00,21835.00,15856.00,97384.00,10013.00,0.00,264.00,7623.00
1970:Q2,41844.00,18633.00,600.00,0.00,600.00,600.00,0.00,3978.00,500.00,3478.00,7860.00,10173.00,9446.00,727.00,0.00,158265.00,140021.00,22451.00,16451.00,101119.00,10208.00,0.00,272.00,7763.00
1970:Q3,42360.00,18659.00,1000.00,0.00,650.00,650.00,0.00,4180.00,600.00,3580.00,7418.00,10453.00,9720.00,733.00,0.00,163246.00,144693.00,22522.00,16467.00,105703.00,10168.00,0.00,280.00,8105.00
1970:Q4,42676.00,18687.00,1400.00,0.00,700.00,700.00,0.00,4529.00,700.00,3829.00,6623.00,10737.00,9979.00,758.00,0.00,166741.00,148557.00,22287.00,16635.00,109636.00,9315.00,0.00,288.00,8581.00
1971:Q1,46076.00,18715.00,1800.00,0.00,750.00,750.00,0.00,4431.00,975.00,3456.00,8333.00,12047.00,10273.00,775.00,1000.00,173286.00,152693.00,22836.00,17423.00,112435.00,10966.00,0.00,291.00,9335.00
1971:Q2,48079.00,18742.00,2200.00,0.00,800.00,800.00,0.00,4816.00,1275.00,3541.00,8152.00,13369.00,10574.00,795.00,2000.00,181161.00,160361.00,23780.00,18026.00,118555.00,10455.00,311.00,295.00,9739.00
1971:Q3,50539.00,18776.00,2600.00,0.00,860.00,860.00,0.00,5082.00,1575.00,3507.00,8530.00,14690.00,10890.00,800.00,3000.00,187395.00,165708.00,23887.00,17793.00,124028.00,10290.00,674.00,299.00,10424.00
1971:Q4,52500.00,18824.00,3000.00,0.00,900.00,900.00,0.00,5587.00,1875.00,3712.00,8123.00,16066.00,11230.00,836.00,4000.00,193494.00,171162.00,24461.00,17809.00,128891.00,9517.00,1037.00,302.00,11476.00
1972:Q1,54855.00,18884.00,3400.00,0.00,950.00,950.00,0.00,5546.00,2175.00,3371.00,8636.00,17439.00,11593.00,846.00,5000.00,199773.00,175928.00,24887.00,18355.00,132687.00,9742.00,1400.00,307.00,12396.00
1972:Q2,57509.00,18963.00,3800.00,0.00,1000.00,1000.00,0.00,5857.00,2450.00,3407.00,8824.00,19066.00,11985.00,881.00,6200.00,211191.00,186158.00,26261.00,18803.00,141094.00,10276.00,1763.00,312.00,12681.00
1972:Q3,60440.00,19039.00,4200.00,0.00,1050.00,1050.00,0.00,6096.00,2725.00,3371.00,9386.00,20669.00,12382.00,888.00,7400.00,219776.00,193171.00,26176.00,18851.00,148144.00,10978.00,2126.00,317.00,13184.00
1972:Q4,62486.00,19093.00,4600.00,0.00,1100.00,1100.00,0.00,6630.00,3000.00,3630.00,8770.00,22294.00,12761.00,933.00,8600.00,230184.00,202550.00,27222.00,19007.00,156321.00,10662.00,2489.00,323.00,14160.00
1973:Q1,66507.00,20221.00,5006.00,0.00,1133.00,1133.00,0.00,6461.00,3170.00,3291.00,9240.00,24445.00,13128.00,961.00,10356.00,244928.00,212978.00,30669.00,21069.00,161240.00,13619.00,2853.00,349.00,15128.00
1973:Q2,69671.00,21357.00,5411.00,0.00,1161.00,1161.00,0.00,6673.00,3299.00,3374.00,9753.00,25315.00,13475.00,1023.00,10817.00,260566.00,224678.00,35916.00,21841.00,166920.00,17017.00,3222.00,388.00,15261.00
1973:Q3,72590.00,22506.00,5813.00,0.00,1176.00,1176.00,0.00,6598.00,3330.00,3268.00,10376.00,26121.00,13819.00,1075.00,11226.00,269985.00,229627.00,40998.00,22111.00,166518.00,20453.00,3599.00,419.00,15888.00
1973:Q4,75563.00,23653.00,6213.00,0.00,1183.00,1183.00,0.00,6722.00,3285.00,3437.00,11086.00,26706.00,14176.00,1103.00,11427.00,276029.00,230141.00,44887.00,22349.00,162906.00,24018.00,3985.00,438.00,17447.00
1974:Q1,78151.00,24094.00,6735.00,0.00,1199.00,1199.00,0.00,6475.00,3354.00,3121.00,12540.00,27108.00,14549.00,1126.00,11433.00,288751.00,239050.00,47909.00,23318.00,167824.00,26283.00,4419.00,476.00,18524.00
1974:Q2,80384.00,24335.00,7205.00,0.00,1214.00,1214.00,0.00,6572.00,3406.00,3166.00,13632.00,27426.00,14937.00,1232.00,11258.00,303549.00,250896.00,50597.00,24324.00,175975.00,27920.00,4836.00,514.00,19382.00
1974:Q3,80834.00,24181.00,7546.00,0.00,1226.00,1226.00,0.00,6458.00,3418.00,3040.00,13821.00,27602.00,15317.00,1280.00,11005.00,315702.00,260881.00,52204.00,25274.00,183403.00,28075.00,5208.00,553.00,20985.00
1974:Q4,80299.00,23744.00,7784.00,0.00,1238.00,1238.00,0.00,6476.00,3393.00,3083.00,13288.00,27769.00,15664.00,1329.00,10776.00,323530.00,267249.00,53190.00,25928.00,188132.00,27123.00,5545.00,588.00,23025.00
1975:Q1,80414.00,23714.00,7877.00,0.00,1228.00,1228.00,0.00,5923.00,3278.00,2645.00,13693.00,27978.00,16100.00,1369.00,10510.00,330476.00,272750.00,54100.00,26553.00,192097.00,27490.00,5847.00,583.00,23806.00
1975:Q2,80964.00,23769.00,7964.00,0.00,1226.00,1226.00,0.00,5855.00,3196.00,2659.00,14062.00,28089.00,16552.00,1399.00,10137.00,338308.00,279858.00,55093.00,28203.00,196562.00,27932.00,6134.00,578.00,23807.00
1975:Q3,81601.00,23989.00,8033.00,0.00,1243.00,1243.00,0.00,5722.00,3190.00,2532.00,14341.00,28273.00,17023.00,1430.00,9820.00,343658.00,284188.00,55983.00,29066.00,199138.00,28312.00,6383.00,573.00,24202.00
1975:Q4,82989.00,24325.00,8088.00,0.00,1274.00,1274.00,0.00,5920.00,3252.00,2668.00,14551.00,28831.00,17524.00,1587.00,9719.00,349260.00,287601.00,56659.00,29985.00,200956.00,28435.00,6602.00,567.00,26055.00
