1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q3,31954.00,-12.00,300.00,0.00,17436.00,3977.00,2234.00,835.00,857.00,9533.00,5460.00,-24.00,5484.00,4296.00,1730.00,76.00,2668.00,28553.00,0.00,-298.00,0.00,4500.00,20472.00,189.00,1497.00,2193.00
1986:Q4,32081.00,1622.00,-18.00,0.00,16903.00,1056.00,4001.00,3256.00,11.00,8579.00,7572.00,-290.00,7862.00,437.00,3108.00,58.00,2399.00,33355.00,0.00,431.00,0.00,4721.00,22586.00,138.00,920.00,4559.00
1987:Q1,26487.00,-946.00,-1490.00,0.00,19409.00,684.00,2220.00,2780.00,-1001.00,14726.00,1557.00,-344.00,1901.00,6447.00,-1525.00,-26.00,3061.00,23700.00,0.00,-246.00,0.00,6878.00,6055.00,88.00,524.00,10401.00
1987:Q2,22180.00,-796.00,-385.00,0.00,15300.00,-1953.00,-3612.00,1988.00,286.00,18591.00,4463.00,-176.00,4639.00,917.00,-924.00,12.00,3593.00,20876.00,0.00,-158.00,0.00,5897.00,6924.00,38.00,394.00,7781.00
1987:Q3,30015.00,77.00,-176.00,0.00,22691.00,3296.00,-395.00,2910.00,-736.00,17616.00,4023.00,142.00,3881.00,37.00,-1056.00,34.00,4385.00,27250.00,0.00,-223.00,0.00,6283.00,9369.00,32.00,133.00,11656.00
1987:Q4,22474.00,775.00,-1052.00,0.00,13127.00,-2472.00,-168.00,-644.00,473.00,15938.00,8061.00,-51.00,8112.00,-1661.00,1296.00,-2.00,1930.00,23034.00,0.00,-227.00,0.00,6678.00,8592.00,67.00,-200.00,8124.00
1988:Q1,30826.00,-833.00,-220.00,0.00,22247.00,1807.00,-138.00,1523.00,-125.00,19180.00,3137.00,-484.00,3621.00,326.00,178.00,85.00,5906.00,31562.00,0.00,-118.00,0.00,5725.00,21589.00,89.00,250.00,4027.00
1988:Q2,25919.00,182.00,100.00,0.00,18886.00,914.00,1121.00,2402.00,-537.00,14986.00,4730.00,510.00,4220.00,-381.00,766.00,-39.00,1675.00,25544.00,0.00,111.00,0.00,5576.00,15158.00,97.00,-308.00,4910.00
1988:Q3,23962.00,-296.00,173.00,0.00,18370.00,1995.00,145.00,1487.00,-530.00,15273.00,4856.00,313.00,4543.00,-1104.00,990.00,93.00,880.00,20472.00,0.00,-58.00,0.00,5182.00,14011.00,118.00,462.00,757.00
1988:Q4,25270.00,763.00,-2.00,0.00,19200.00,-1406.00,-60.00,2919.00,-383.00,18130.00,7917.00,271.00,7646.00,-883.00,470.00,-126.00,-2069.00,29949.00,0.00,-68.00,0.00,7072.00,19139.00,155.00,856.00,2795.00
1989:Q1,4566.00,-624.00,-321.00,0.00,17840.00,2981.00,-1770.00,5599.00,-306.00,11336.00,4803.00,736.00,4067.00,-691.00,-573.00,-99.00,-15769.00,16671.00,0.00,-198.00,0.00,3147.00,6731.00,202.00,906.00,5883.00
1989:Q2,10174.00,405.00,-790.00,0.00,21687.00,-1612.00,-2311.00,7664.00,-27.00,17973.00,6029.00,902.00,5127.00,-251.00,-1396.00,-98.00,-15412.00,26415.00,0.00,-91.00,0.00,7357.00,13889.00,259.00,-46.00,5047.00
1989:Q3,2961.00,252.00,-421.00,0.00,13957.00,504.00,-2501.00,6185.00,141.00,9628.00,6028.00,607.00,5421.00,57.00,-1280.00,-177.00,-15455.00,18280.00,0.00,-170.00,0.00,5126.00,7546.00,260.00,414.00,5104.00
1989:Q4,6633.00,610.00,781.00,0.00,18715.00,2633.00,-69.00,4767.00,34.00,11350.00,8092.00,784.00,7308.00,-1111.00,-370.00,263.00,-20347.00,27309.00,0.00,-175.00,0.00,9906.00,10564.00,205.00,175.00,6634.00
1990:Q1,41176.00,-112.00,2055.00,0.00,21024.00,-1138.00,5878.00,3729.00,281.00,12274.00,9714.00,3650.00,6064.00,-42.00,295.00,80.00,8162.00,21616.00,0.00,-357.00,0.00,5743.00,14641.00,149.00,404.00,1036.00
1990:Q2,51170.00,-6.00,35.00,0.00,23658.00,3543.00,-577.00,3590.00,1628.00,15474.00,6627.00,2022.00,4605.00,503.00,-458.00,-14.00,20825.00,38281.00,0.00,-234.00,0.00,6791.00,30265.00,90.00,-196.00,1565.00
1990:Q3,31600.00,-25.00,35.00,0.00,23259.00,1801.00,551.00,6157.00,842.00,13908.00,-1235.00,-2503.00,1268.00,-787.00,915.00,395.00,9043.00,7896.00,0.00,-445.00,0.00,5863.00,2353.00,96.00,15.00,14.00
1990:Q4,36017.00,10.00,35.00,0.00,13084.00,-2383.00,-1125.00,5564.00,480.00,10548.00,2771.00,910.00,1861.00,164.00,-460.00,126.00,20287.00,22742.00,0.00,-319.00,0.00,5481.00,15664.00,165.00,1680.00,71.00
1991:Q1,24798.00,163.00,34.00,0.00,23700.00,4283.00,3022.00,7108.00,1641.00,7646.00,4181.00,3226.00,955.00,460.00,-1314.00,151.00,-2577.00,31214.00,0.00,-111.00,0.00,6879.00,13475.00,224.00,277.00,10470.00
1991:Q2,26594.00,121.00,35.00,0.00,27861.00,1474.00,1147.00,15617.00,-2724.00,12347.00,3033.00,564.00,2469.00,-506.00,-207.00,-11.00,-3732.00,20890.00,0.00,-62.00,0.00,6697.00,3390.00,271.00,107.00,10487.00
1991:Q3,16996.00,287.00,35.00,0.00,14204.00,2068.00,6369.00,2447.00,534.00,2786.00,-465.00,1261.00,-1726.00,-769.00,-697.00,-163.00,4564.00,14627.00,0.00,-79.00,0.00,3672.00,5351.00,299.00,1295.00,4089.00
1991:Q4,-2488.00,46.00,35.00,0.00,2767.00,-8004.00,4671.00,14466.00,-1725.00,-6641.00,-10904.00,-319.00,-10585.00,2643.00,-495.00,575.00,2845.00,3910.00,0.00,161.00,0.00,3790.00,-3669.00,309.00,-697.00,4016.00
1992:Q1,19579.00,-37.00,35.00,0.00,20271.00,1515.00,1828.00,6766.00,-127.00,10289.00,-471.00,535.00,-1006.00,1654.00,-132.00,174.00,-1915.00,17362.00,0.00,-7.00,1.00,6761.00,4441.00,322.00,318.00,5526.00
1992:Q2,18159.00,-118.00,34.00,0.00,20334.00,8.00,1274.00,4463.00,104.00,14485.00,-2862.00,1069.00,-3931.00,-81.00,-88.00,186.00,754.00,18407.00,0.00,-59.00,3.00,3213.00,11798.00,342.00,477.00,2633.00
