1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q4,169605.00,21378.00,10893.00,29637.00,18744.00,10485.00,23848.00,13363.00,145029.00,35084.00,94689.00,896.00,16187.00,0.00,-1827.00,0.00,2940.00,2866.00,55.00,19.00,259.00,3575541.00,660843.00
1969:Q1,17279.00,30857.00,11208.00,30384.00,19177.00,19649.00,20374.00,725.00,-15535.00,19474.00,-40714.00,-1864.00,10193.00,0.00,-2624.00,0.00,1953.00,1905.00,25.00,23.00,4.00,3592820.00,668721.00
1969:Q2,6914.00,17576.00,10865.00,30512.00,19647.00,6711.00,18190.00,11479.00,-13616.00,12923.00,-31146.00,-2977.00,10063.00,0.00,-2479.00,0.00,2515.00,2461.00,32.00,22.00,439.00,3599733.00,684766.00
1969:Q3,22640.00,31973.00,10424.00,30540.00,20117.00,21549.00,27398.00,5849.00,-11112.00,6779.00,-18278.00,-973.00,4048.00,0.00,-2688.00,0.00,1738.00,1654.00,62.00,22.00,41.00,3622373.00,707850.00
1969:Q4,19597.00,31616.00,9605.00,30119.00,20515.00,22012.00,33082.00,11070.00,-14247.00,18875.00,-40657.00,-803.00,10525.00,0.00,-2187.00,0.00,2219.00,2134.00,61.00,24.00,9.00,3641970.00,721675.00
1970:Q1,28765.00,41384.00,8944.00,29847.00,20903.00,32441.00,28868.00,-3573.00,-15438.00,-135.00,-24056.00,324.00,5534.00,0.00,2895.00,0.00,689.00,609.00,57.00,23.00,2131.00,3670735.00,737189.00
1970:Q2,-69361.00,25385.00,8749.00,29957.00,21208.00,16637.00,23196.00,6559.00,-97350.00,28082.00,-132400.00,-9094.00,18968.00,0.00,-2907.00,0.00,1435.00,1360.00,51.00,23.00,1170.00,3601374.00,754131.00
1970:Q3,122306.00,35144.00,8824.00,30395.00,21571.00,26319.00,33258.00,6939.00,82351.00,-5626.00,84634.00,4202.00,-3177.00,0.00,2318.00,0.00,2590.00,2535.00,33.00,22.00,2221.00,3723680.00,773379.00
1970:Q4,124452.00,29597.00,8062.00,30067.00,22005.00,21536.00,30538.00,9002.00,87057.00,13665.00,59052.00,2431.00,10354.00,0.00,1556.00,0.00,5894.00,5795.00,73.00,26.00,1904.00,3848133.00,781410.00
1971:Q1,160953.00,42244.00,10687.00,33253.00,22566.00,31557.00,34310.00,2753.00,112223.00,20950.00,64628.00,5479.00,19109.00,0.00,2057.00,0.00,4884.00,4756.00,98.00,30.00,1603.00,4009086.00,804631.00
1971:Q2,68716.00,31757.00,11902.00,35065.00,23163.00,19855.00,33507.00,13652.00,32215.00,19814.00,-3573.00,266.00,15683.00,0.00,25.00,0.00,2393.00,2318.00,52.00,24.00,2352.00,4077802.00,825671.00
1971:Q3,56850.00,38149.00,12693.00,36341.00,23649.00,25457.00,38201.00,12744.00,18229.00,18483.00,-14680.00,-405.00,14216.00,0.00,616.00,0.00,-1078.00,-1097.00,-1.00,20.00,1550.00,4134653.00,838197.00
1971:Q4,119420.00,31859.00,13923.00,37896.00,23973.00,17937.00,34224.00,16287.00,88358.00,15848.00,53124.00,2835.00,15538.00,0.00,1014.00,0.00,-2233.00,-2204.00,-38.00,8.00,1436.00,4254073.00,853224.00
1972:Q1,155757.00,46751.00,15068.00,39456.00,24387.00,31682.00,38929.00,7247.00,103805.00,35000.00,43782.00,2152.00,21330.00,0.00,1542.00,0.00,3201.00,3149.00,36.00,15.00,2000.00,4409830.00,866178.00
1972:Q2,59147.00,28320.00,15610.00,40606.00,24996.00,12710.00,32392.00,19682.00,28129.00,13155.00,-2293.00,-320.00,17645.00,0.00,-58.00,0.00,1878.00,1866.00,-3.00,15.00,821.00,4468977.00,880089.00
1972:Q3,119649.00,42044.00,16201.00,41772.00,25571.00,25843.00,41295.00,15452.00,73566.00,30907.00,22263.00,-250.00,20406.00,0.00,241.00,0.00,1886.00,1900.00,-31.00,17.00,2152.00,4588626.00,904924.00
1972:Q4,243487.00,39449.00,17976.00,44160.00,26184.00,21473.00,40512.00,19039.00,204259.00,48160.00,124265.00,3205.00,27041.00,0.00,1589.00,0.00,-1460.00,-1422.00,-65.00,26.00,1239.00,4832113.00,948551.00
1973:Q1,21832.00,49721.00,20407.00,47185.00,26778.00,29314.00,40340.00,11026.00,-19708.00,21443.00,-67278.00,-5403.00,33419.00,0.00,-1889.00,0.00,2633.00,2643.00,-35.00,25.00,-10813.00,4853946.00,966902.00
1973:Q2,39330.00,44399.00,19252.00,46840.00,27589.00,25147.00,44056.00,18909.00,2154.00,36944.00,-66402.00,-4312.00,38234.00,0.00,-2310.00,0.00,4404.00,4288.00,63.00,53.00,-11626.00,4893276.00,993408.00
1973:Q3,185135.00,49459.00,18207.00,46664.00,28457.00,31253.00,50347.00,19094.00,143823.00,50853.00,46507.00,3820.00,41105.00,0.00,1538.00,0.00,3307.00,3136.00,85.00,86.00,-11454.00,5078411.00,1015959.00
1973:Q4,-34962.00,55169.00,16430.00,45669.00,29240.00,38739.00,55153.00,16414.00,-82407.00,33312.00,-136627.00,-4572.00,29121.00,0.00,-3641.00,0.00,2590.00,2426.00,51.00,114.00,-10313.00,5043449.00,1048213.00
1974:Q1,31630.00,53239.00,14622.00,44736.00,30114.00,38616.00,42667.00,4051.00,-25828.00,-18369.00,-30464.00,-1842.00,24532.00,0.00,315.00,0.00,5189.00,4969.00,119.00,101.00,-969.00,5075079.00,1061597.00
1974:Q2,-16281.00,30608.00,14691.00,45536.00,30846.00,15917.00,36510.00,20593.00,-59341.00,-8504.00,-71873.00,-3534.00,27486.00,0.00,-2916.00,0.00,12051.00,11635.00,316.00,101.00,401.00,5058798.00,1081469.00
1974:Q3,-47901.00,42333.00,15129.00,47082.00,31953.00,27204.00,45424.00,18220.00,-108394.00,6014.00,-150075.00,-7465.00,49404.00,0.00,-6272.00,0.00,18784.00,18123.00,566.00,95.00,-623.00,5010898.00,1111700.00
1974:Q4,145995.00,42525.00,10410.00,43839.00,33429.00,32115.00,45289.00,13174.00,82707.00,34999.00,4790.00,2360.00,38530.00,0.00,2028.00,0.00,16357.00,15516.00,749.00,91.00,4407.00,5156893.00,1138457.00
1975:Q1,265979.00,52834.00,10495.00,44703.00,34208.00,42339.00,41343.00,-996.00,204525.00,57267.00,103492.00,5131.00,31872.00,0.00,6764.00,0.00,8679.00,8063.00,543.00,73.00,-59.00,5422872.00,1157933.00
1975:Q2,231151.00,42237.00,11651.00,46657.00,35006.00,30586.00,47016.00,16430.00,173957.00,49954.00,78485.00,4796.00,35156.00,0.00,5566.00,0.00,9862.00,9453.00,350.00,59.00,5095.00,5654023.00,1226477.00
1975:Q3,-22421.00,44199.00,14351.00,50235.00,35884.00,29849.00,49923.00,20074.00,-74944.00,-9869.00,-79663.00,-4457.00,21156.00,0.00,-2111.00,0.00,5948.00,5814.00,88.00,46.00,2375.00,5631602.00,1231254.00
1975:Q4,163777.00,53123.00,16174.00,52817.00,36643.00,36949.00,60311.00,23362.00,100312.00,31415.00,41739.00,2137.00,22489.00,0.00,2532.00,0.00,8528.00,8389.00,106.00,32.00,1814.00,5795379.00,1261488.00
1976:Q1,206185.00,55804.00,18704.00,56522.00,37818.00,37100.00,45779.00,8679.00,149769.00,22840.00,91629.00,4641.00,26338.00,0.00,4320.00,0.00,6358.00,6119.00,215.00,24.00,-5746.00,6001564.00,1290456.00
1976:Q2,174864.00,50388.00,19389.00,58125.00,38736.00,30999.00,57651.00,26652.00,125821.00,60914.00,16786.00,720.00,47434.00,0.00,-32.00,0.00,5023.00,4835.00,112.00,77.00,-6369.00,6176428.00,1308055.00
1976:Q3,111139.00,45826.00,19539.00,59163.00,39624.00,26287.00,51347.00,25060.00,66102.00,26064.00,10078.00,-558.00,30553.00,0.00,-36.00,0.00,5749.00,5524.00,167.00,58.00,-6538.00,6287568.00,1337692.00
1976:Q4,163068.00,60669.00,22502.00,63104.00,40602.00,38167.00,66269.00,28102.00,103598.00,40264.00,23865.00,788.00,38353.00,0.00,328.00,0.00,8878.00,8595.00,218.00,65.00,-10076.00,6450636.00,1366910.00
1977:Q1,110930.00,68725.00,24240.00,66503.00,42263.00,44485.00,61566.00,17081.00,36403.00,55044.00,-56389.00,-2679.00,42933.00,0.00,-2506.00,0.00,7579.00,7419.00,136.00,24.00,-1776.00,6561565.00,1391164.00
1977:Q2,184728.00,41158.00,27327.00,70803.00,43476.00,13831.00,52464.00,38633.00,140528.00,81123.00,19587.00,2214.00,37537.00,0.00,66.00,0.00,4364.00,4201.00,116.00,48.00,-1322.00,6746294.00,1432595.00
1977:Q3,138101.00,59020.00,28082.00,72651.00,44569.00,30938.00,69022.00,38084.00,72149.00,59953.00,-29237.00,-1022.00,44722.00,0.00,-2266.00,0.00,8055.00,7816.00,172.00,67.00,-1124.00,6884395.00,1476478.00
1977:Q4,159967.00,62421.00,28766.00,74660.00,45894.00,33655.00,71504.00,37849.00,86918.00,68742.00,-27924.00,-10.00,46536.00,0.00,-426.00,0.00,10340.00,10039.00,220.00,82.00,289.00,7044362.00,1526535.00
1978:Q1,168117.00,70301.00,27382.00,75233.00,47851.00,42919.00,66464.00,23545.00,87603.00,57166.00,-34178.00,-1218.00,67316.00,0.00,-1483.00,0.00,10349.00,10053.00,259.00,37.00,-136.00,7212479.00,1562876.00
