1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q4,483792.00,40151.00,52188.00,811.00,0.00,0.00,0.00,226994.00,141622.00,85019.00,353.00,0.00,28443.00,18914.00,116291.00,4917392.00,6730.00,8018.00,16962.00,3784327.00,3757742.00,2911911.00,845831.00,26585.00,6.00,85628.00,27622.00,988099.00,981299.00,6800.00
1994:Q1,478660.00,42559.00,45982.00,723.00,0.00,0.00,0.00,214974.00,135115.00,79509.00,350.00,0.00,27736.00,32215.00,114471.00,4985711.00,6921.00,8018.00,17126.00,3827640.00,3801381.00,2964629.00,836752.00,26259.00,6.00,86141.00,27628.00,1012231.00,1005728.00,6503.00
1994:Q2,470578.00,42371.00,51684.00,689.00,0.00,0.00,0.00,212200.00,133980.00,77866.00,354.00,0.00,26966.00,17133.00,119535.00,5012346.00,7096.00,8018.00,17285.00,3844792.00,3817354.00,2971742.00,845612.00,27438.00,6.00,87192.00,28307.00,1019650.00,1013095.00,6555.00
1994:Q3,455048.00,42379.00,36394.00,722.00,0.00,0.00,0.00,211849.00,134598.00,76693.00,558.00,0.00,26560.00,19580.00,117564.00,5066207.00,7189.00,8018.00,17477.00,3896168.00,3868006.00,3011491.00,856515.00,28162.00,6.00,86684.00,28405.00,1022260.00,1015620.00,6640.00
1994:Q4,454131.00,41351.00,27819.00,688.00,0.00,0.00,0.00,221510.00,143645.00,71000.00,6865.00,0.00,24664.00,18591.00,119508.00,5142778.00,7153.00,8018.00,17648.00,3977819.00,3951076.00,3074079.00,876997.00,26743.00,6.00,85408.00,28890.00,1017836.00,1011034.00,6802.00
1995:Q1,470266.00,50519.00,16328.00,1126.00,0.00,0.00,0.00,219241.00,143543.00,68824.00,6874.00,0.00,25058.00,42148.00,115846.00,5224055.00,7646.00,8018.00,17832.00,4034810.00,4008374.00,3147620.00,860754.00,26436.00,6.00,83866.00,28940.00,1042937.00,1036347.00,6590.00
1995:Q2,489082.00,55145.00,59027.00,1054.00,0.00,0.00,0.00,213637.00,142909.00,64517.00,6211.00,0.00,23833.00,21841.00,114545.00,5266517.00,7686.00,8018.00,18002.00,4070411.00,4043573.00,3172695.00,870878.00,26838.00,6.00,83125.00,29371.00,1049898.00,1043145.00,6753.00
1995:Q3,467010.00,54544.00,38689.00,1053.00,0.00,0.00,0.00,211183.00,142717.00,61300.00,7166.00,0.00,22561.00,22992.00,115988.00,5304973.00,7380.00,10168.00,18199.00,4105024.00,4078084.00,3199633.00,878451.00,26940.00,6.00,82747.00,29445.00,1052004.00,1045386.00,6618.00
1995:Q4,431690.00,53779.00,22173.00,940.00,0.00,0.00,0.00,197037.00,130366.00,57489.00,9182.00,0.00,23073.00,17251.00,117437.00,5362831.00,7283.00,10168.00,18326.00,4143073.00,4114850.00,3247828.00,867022.00,28223.00,6.00,80945.00,29909.00,1073121.00,1066460.00,6661.00
1996:Q1,466700.00,53266.00,24179.00,1035.00,0.00,0.00,0.00,205588.00,138463.00,55589.00,11536.00,0.00,23879.00,43043.00,115710.00,5451216.00,7159.00,10168.00,18325.00,4228059.00,4200416.00,3326813.00,873603.00,27643.00,6.00,81286.00,30001.00,1076212.00,1069612.00,6600.00
