1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22770.00,22770.00,1586.00,21184.00,0.00,0.00,22770.00,5740.00,844.00,0.00,2061.00,9333.00,60.00,46.00,0.00,1448.00,1142.00,1712.00,0.00,0.00,0.00,0.00,0.00,384.00,0.00
1952:Q1,25016.00,25016.00,1787.00,23229.00,0.00,0.00,25016.00,7499.00,825.00,0.00,2093.00,9722.00,64.00,47.00,0.00,1582.00,1133.00,1751.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1952:Q2,27480.00,27480.00,1700.00,25780.00,0.00,0.00,27480.00,9835.00,488.00,0.00,2105.00,10089.00,71.00,47.00,0.00,1728.00,1123.00,1794.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00
1952:Q3,28695.00,28695.00,1863.00,26832.00,0.00,0.00,28695.00,10606.00,578.00,0.00,2113.00,10474.00,67.00,47.00,0.00,1739.00,1163.00,1838.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00
1952:Q4,29657.00,29657.00,1779.00,27878.00,0.00,0.00,29657.00,10957.00,813.00,0.00,2111.00,10524.00,71.00,48.00,0.00,1869.00,1153.00,1883.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00
1953:Q1,31221.00,31221.00,1906.00,29315.00,0.00,0.00,31221.00,11875.00,865.00,0.00,2114.00,10938.00,71.00,49.00,0.00,2023.00,1203.00,1933.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00
1953:Q2,32379.00,32379.00,1778.00,30601.00,0.00,0.00,32379.00,12743.00,933.00,0.00,2144.00,10923.00,80.00,50.00,0.00,2202.00,1218.00,1986.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1953:Q3,33795.00,33795.00,1992.00,31803.00,0.00,0.00,33795.00,13542.00,1021.00,0.00,2203.00,11091.00,85.00,51.00,0.00,2402.00,1258.00,2042.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1953:Q4,35012.00,35012.00,1948.00,33064.00,0.00,0.00,35012.00,13873.00,1005.00,0.00,2293.00,11249.00,92.00,52.00,0.00,2617.00,1298.00,2103.00,0.00,0.00,0.00,0.00,0.00,430.00,0.00
1954:Q1,36516.00,36516.00,2137.00,34379.00,0.00,0.00,36516.00,14386.00,963.00,0.00,2384.00,11884.00,88.00,53.00,0.00,2829.00,1463.00,2166.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1954:Q2,37866.00,37866.00,2033.00,35833.00,0.00,0.00,37866.00,14678.00,922.00,0.00,2441.00,12467.00,82.00,55.00,0.00,3032.00,1657.00,2232.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1954:Q3,39376.00,39376.00,2192.00,37184.00,0.00,0.00,39376.00,15246.00,997.00,0.00,2468.00,12915.00,78.00,57.00,0.00,3222.00,1791.00,2302.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1954:Q4,40663.00,40663.00,2058.00,38605.00,0.00,0.00,40663.00,15964.00,972.00,0.00,2467.00,13194.00,84.00,58.00,0.00,3402.00,1846.00,2376.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1955:Q1,42155.00,42155.00,2163.00,39992.00,0.00,0.00,42155.00,16484.00,1065.00,0.00,2456.00,13668.00,96.00,59.00,0.00,3587.00,1984.00,2456.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1955:Q2,43267.00,43267.00,1975.00,41292.00,0.00,0.00,43267.00,17509.00,1059.00,0.00,2455.00,13451.00,127.00,59.00,0.00,3781.00,1984.00,2542.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1955:Q3,44668.00,44668.00,2177.00,42491.00,0.00,0.00,44668.00,18360.00,1209.00,0.00,2463.00,13494.00,151.00,59.00,0.00,3984.00,2016.00,2632.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1955:Q4,45697.00,45697.00,2086.00,43611.00,0.00,0.00,45697.00,19174.00,1219.00,0.00,2479.00,13344.00,167.00,59.00,0.00,4194.00,2038.00,2723.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1956:Q1,46932.00,46932.00,2242.00,44690.00,0.00,0.00,46932.00,19569.00,1494.00,0.00,2495.00,13463.00,147.00,60.00,0.00,4395.00,2193.00,2816.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
1956:Q2,47853.00,47853.00,2093.00,45760.00,0.00,0.00,47853.00,20436.00,1333.00,0.00,2503.00,13507.00,133.00,61.00,0.00,4583.00,2186.00,2911.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00
1956:Q3,49038.00,49038.00,2285.00,46753.00,0.00,0.00,49038.00,21308.00,1295.00,0.00,2499.00,13641.00,116.00,63.00,0.00,4756.00,2251.00,3009.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1956:Q4,49862.00,49862.00,2180.00,47682.00,0.00,0.00,49862.00,21900.00,1342.00,0.00,2480.00,13576.00,101.00,65.00,0.00,4915.00,2273.00,3110.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1957:Q1,50925.00,50925.00,2330.00,48595.00,0.00,0.00,50925.00,22537.00,1419.00,0.00,2465.00,13752.00,110.00,67.00,0.00,5072.00,2289.00,3214.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,51836.00,51836.00,2164.00,49672.00,0.00,0.00,51836.00,22812.00,1403.00,0.00,2474.00,13992.00,110.00,69.00,0.00,5232.00,2322.00,3322.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1957:Q3,53192.00,53192.00,2411.00,50781.00,0.00,0.00,53192.00,23526.00,1510.00,0.00,2514.00,14187.00,108.00,71.00,0.00,5397.00,2348.00,3431.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1957:Q4,54369.00,54369.00,2355.00,52014.00,0.00,0.00,54369.00,23851.00,1479.00,0.00,2590.00,14600.00,93.00,73.00,0.00,5568.00,2376.00,3539.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00
1958:Q1,55829.00,55829.00,2566.00,53263.00,0.00,0.00,55829.00,24382.00,1217.00,0.00,2666.00,15229.00,90.00,75.00,0.00,5737.00,2460.00,3648.00,0.00,0.00,0.00,0.00,0.00,325.00,0.00
1958:Q2,56972.00,56972.00,2450.00,54522.00,0.00,0.00,56972.00,23317.00,1682.00,0.00,2705.00,16533.00,90.00,77.00,0.00,5904.00,2534.00,3760.00,0.00,0.00,0.00,0.00,0.00,370.00,0.00
1958:Q3,58513.00,58513.00,2748.00,55765.00,0.00,0.00,58513.00,23794.00,1979.00,0.00,2723.00,17080.00,89.00,79.00,0.00,6073.00,2613.00,3868.00,0.00,0.00,0.00,0.00,0.00,215.00,0.00
1958:Q4,59819.00,59819.00,2770.00,57049.00,0.00,0.00,59819.00,24616.00,1958.00,0.00,2737.00,17234.00,85.00,81.00,0.00,6249.00,2681.00,3963.00,0.00,0.00,0.00,0.00,0.00,215.00,0.00
1959:Q1,61397.00,61397.00,3033.00,58364.00,0.00,0.00,61397.00,25460.00,1958.00,0.00,2745.00,17476.00,84.00,70.00,0.00,6453.00,2828.00,4048.00,0.00,0.00,0.00,0.00,0.00,275.00,0.00
1959:Q2,62655.00,62655.00,2983.00,59672.00,0.00,0.00,62655.00,26068.00,2009.00,0.00,2747.00,17633.00,84.00,59.00,0.00,6690.00,2991.00,4124.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00
1959:Q3,64594.00,64594.00,3544.00,61050.00,0.00,0.00,64594.00,27058.00,2455.00,0.00,2738.00,17747.00,84.00,37.00,0.00,6955.00,3148.00,4192.00,0.00,0.00,0.00,0.00,0.00,180.00,0.00
1959:Q4,65661.00,65661.00,3173.00,62488.00,0.00,0.00,65661.00,28362.00,1794.00,0.00,2714.00,17679.00,85.00,35.00,0.00,7239.00,3200.00,4251.00,0.00,0.00,0.00,0.00,0.00,302.00,0.00
1960:Q1,67248.00,67248.00,3323.00,63925.00,0.00,0.00,67248.00,28972.00,2449.00,0.00,2688.00,17654.00,84.00,36.00,0.00,7500.00,3284.00,4305.00,0.00,0.00,0.00,0.00,0.00,276.00,0.00
1960:Q2,68353.00,68353.00,3154.00,65199.00,0.00,0.00,68353.00,30072.00,2179.00,0.00,2674.00,17411.00,83.00,37.00,0.00,7727.00,3357.00,4356.00,0.00,0.00,0.00,0.00,0.00,457.00,0.00
1960:Q3,69924.00,69924.00,3548.00,66376.00,0.00,0.00,69924.00,30503.00,2548.00,0.00,2688.00,17795.00,80.00,38.00,0.00,7919.00,3510.00,4393.00,0.00,0.00,0.00,0.00,0.00,450.00,0.00
1960:Q4,70971.00,70971.00,3457.00,67514.00,0.00,0.00,70971.00,31007.00,2382.00,0.00,2747.00,18241.00,78.00,38.00,0.00,8084.00,3588.00,4406.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00
1961:Q1,72420.00,72420.00,3820.00,68600.00,0.00,0.00,72420.00,30769.00,2780.00,0.00,2806.00,19135.00,82.00,39.00,0.00,8274.00,3693.00,4399.00,0.00,0.00,0.00,0.00,0.00,443.00,0.00
1961:Q2,73250.00,73250.00,3483.00,69767.00,0.00,0.00,73250.00,31610.00,2782.00,0.00,2824.00,18802.00,85.00,40.00,0.00,8501.00,3728.00,4374.00,0.00,0.00,0.00,0.00,0.00,504.00,0.00
1961:Q3,75018.00,75018.00,3875.00,71143.00,0.00,0.00,75018.00,31180.00,3191.00,0.00,2807.00,20328.00,94.00,41.00,0.00,8766.00,3808.00,4330.00,0.00,0.00,0.00,0.00,0.00,473.00,0.00
1961:Q4,76349.00,76349.00,3693.00,72656.00,0.00,0.00,76349.00,32506.00,2395.00,0.00,2763.00,21022.00,81.00,41.00,0.00,9057.00,3888.00,4263.00,0.00,0.00,0.00,0.00,0.00,333.00,0.00
1962:Q1,78037.00,78037.00,3901.00,74136.00,0.00,0.00,78037.00,31469.00,3376.00,0.00,2712.00,22348.00,117.00,41.00,0.00,9281.00,4039.00,4175.00,0.00,0.00,0.00,0.00,0.00,479.00,0.00
1962:Q2,79203.00,79203.00,3735.00,75468.00,0.00,0.00,79203.00,31384.00,3069.00,0.00,2679.00,23747.00,165.00,41.00,0.00,9498.00,4024.00,4058.00,0.00,0.00,0.00,0.00,0.00,538.00,0.00
1962:Q3,80552.00,80552.00,3680.00,76872.00,0.00,0.00,80552.00,31852.00,3056.00,0.00,2642.00,24656.00,171.00,41.00,0.00,9706.00,4073.00,3930.00,0.00,0.00,0.00,0.00,0.00,425.00,0.00
1962:Q4,81800.00,81800.00,3682.00,78118.00,0.00,0.00,81800.00,32087.00,2697.00,0.00,2573.00,25987.00,158.00,40.00,0.00,9905.00,4026.00,3804.00,0.00,0.00,0.00,0.00,0.00,523.00,0.00
1963:Q1,82976.00,82976.00,3508.00,79468.00,0.00,0.00,82976.00,31665.00,3366.00,0.00,2493.00,26810.00,153.00,44.00,0.00,10098.00,4029.00,3682.00,0.00,0.00,0.00,0.00,0.00,636.00,0.00
1963:Q2,84724.00,84724.00,3946.00,80778.00,0.00,0.00,84724.00,31642.00,3766.00,0.00,2434.00,28275.00,132.00,51.00,0.00,10289.00,3939.00,3553.00,0.00,0.00,0.00,0.00,0.00,643.00,0.00
1963:Q3,85899.00,85899.00,4005.00,81894.00,0.00,0.00,85899.00,31128.00,4571.00,0.00,2386.00,29406.00,89.00,58.00,0.00,10465.00,3876.00,3426.00,0.00,0.00,0.00,0.00,0.00,494.00,0.00
1963:Q4,87040.00,87040.00,4128.00,82912.00,0.00,0.00,87040.00,32094.00,3787.00,0.00,2334.00,30412.00,70.00,61.00,0.00,10612.00,3852.00,3304.00,0.00,0.00,0.00,0.00,0.00,514.00,0.00
1964:Q1,88177.00,88177.00,4162.00,84015.00,0.00,0.00,88177.00,32475.00,3824.00,0.00,2281.00,31184.00,66.00,62.00,0.00,10728.00,3843.00,3194.00,0.00,0.00,0.00,0.00,0.00,520.00,0.00
1964:Q2,89948.00,89948.00,4695.00,85253.00,0.00,0.00,89948.00,33112.00,4338.00,0.00,2243.00,31828.00,67.00,62.00,0.00,10811.00,3802.00,3089.00,0.00,0.00,0.00,0.00,0.00,596.00,0.00
1964:Q3,91760.00,91760.00,5092.00,86668.00,0.00,0.00,91760.00,34138.00,3791.00,0.00,2225.00,33091.00,83.00,62.00,0.00,10884.00,3822.00,2991.00,0.00,0.00,0.00,0.00,0.00,673.00,0.00
1964:Q4,93160.00,93160.00,4889.00,88271.00,0.00,0.00,93160.00,34854.00,3680.00,0.00,2223.00,33925.00,80.00,61.00,0.00,10970.00,3774.00,2900.00,0.00,0.00,0.00,0.00,0.00,693.00,0.00
1965:Q1,94661.00,94661.00,4689.00,89972.00,0.00,0.00,94661.00,33771.00,4889.00,0.00,2221.00,35273.00,79.00,63.00,0.00,11049.00,3746.00,2820.00,0.00,0.00,0.00,0.00,0.00,750.00,0.00
1965:Q2,96858.00,96858.00,5309.00,91549.00,0.00,0.00,96858.00,33792.00,5455.00,0.00,2207.00,36901.00,80.00,65.00,0.00,11101.00,3674.00,2748.00,0.00,0.00,0.00,0.00,0.00,835.00,0.00
1965:Q3,98905.00,98905.00,5712.00,93193.00,0.00,0.00,98905.00,34915.00,5186.00,0.00,2189.00,38243.00,89.00,68.00,0.00,11182.00,3595.00,2684.00,0.00,0.00,0.00,0.00,0.00,754.00,0.00
1965:Q4,100397.00,100397.00,5507.00,94890.00,0.00,0.00,100397.00,36531.00,4600.00,0.00,2167.00,38975.00,94.00,73.00,0.00,11349.00,3530.00,2625.00,0.00,0.00,0.00,0.00,0.00,453.00,0.00
1966:Q1,101842.00,101842.00,5275.00,96567.00,0.00,0.00,101842.00,37666.00,4068.00,0.00,2141.00,39922.00,88.00,80.00,0.00,11426.00,3539.00,2579.00,0.00,0.00,0.00,0.00,0.00,333.00,0.00
1966:Q2,104141.00,104141.00,6051.00,98090.00,0.00,0.00,104141.00,38778.00,4060.00,0.00,2119.00,40898.00,81.00,90.00,0.00,11588.00,3366.00,2543.00,0.00,0.00,0.00,0.00,0.00,618.00,0.00
1966:Q3,105524.00,105524.00,6236.00,99288.00,0.00,0.00,105524.00,39058.00,4506.00,0.00,2112.00,41710.00,96.00,100.00,0.00,11785.00,3320.00,2513.00,0.00,0.00,0.00,0.00,0.00,324.00,0.00
1966:Q4,106633.00,106633.00,6168.00,100465.00,0.00,0.00,106633.00,41151.00,3639.00,0.00,2125.00,41255.00,110.00,107.00,0.00,12040.00,3260.00,2481.00,0.00,0.00,0.00,0.00,0.00,465.00,0.00
1967:Q1,107874.00,107874.00,6067.00,101807.00,0.00,0.00,107874.00,39687.00,3345.00,0.00,2133.00,43648.00,120.00,112.00,0.00,12368.00,3217.00,2461.00,0.00,0.00,0.00,0.00,0.00,783.00,0.00
1967:Q2,110195.00,110195.00,7010.00,103185.00,0.00,0.00,110195.00,38330.00,3322.00,0.00,2136.00,47121.00,149.00,115.00,0.00,12785.00,3157.00,2442.00,0.00,0.00,0.00,0.00,0.00,638.00,0.00
1967:Q3,112319.00,112319.00,7826.00,104493.00,0.00,0.00,112319.00,39262.00,3106.00,0.00,2127.00,48288.00,192.00,117.00,0.00,13205.00,3129.00,2424.00,0.00,0.00,0.00,0.00,0.00,469.00,0.00
1967:Q4,113793.00,113793.00,8000.00,105793.00,0.00,0.00,113793.00,38208.00,3300.00,0.00,2125.00,50225.00,218.00,118.00,0.00,13542.00,3145.00,2406.00,0.00,0.00,0.00,0.00,0.00,506.00,0.00
1968:Q1,115278.00,115278.00,8074.00,107204.00,0.00,0.00,115278.00,37137.00,4290.00,0.00,2085.00,51561.00,215.00,120.00,0.00,13804.00,3175.00,2437.00,0.00,0.00,0.00,0.00,0.00,454.00,0.00
1968:Q2,117323.00,117323.00,8427.00,108896.00,0.00,0.00,117323.00,38066.00,3741.00,0.00,2144.00,52840.00,198.00,122.00,0.00,13998.00,3173.00,2372.00,0.00,0.00,0.00,0.00,0.00,669.00,0.00
1968:Q3,119319.00,119319.00,8102.00,111217.00,0.00,0.00,119319.00,37621.00,3201.00,0.00,2149.00,55648.00,180.00,124.00,0.00,14180.00,3169.00,2384.00,0.00,0.00,0.00,0.00,0.00,663.00,0.00
1968:Q4,122132.00,122132.00,8143.00,113989.00,0.00,0.00,122132.00,36490.00,3782.00,0.00,2171.00,58842.00,167.00,153.00,0.00,14403.00,3194.00,2382.00,0.00,0.00,0.00,0.00,0.00,548.00,0.00
1969:Q1,125803.00,125803.00,9006.00,116797.00,0.00,0.00,125803.00,40035.00,3600.00,0.00,2195.00,59034.00,166.00,161.00,0.00,14651.00,3230.00,2386.00,0.00,0.00,0.00,0.00,0.00,345.00,0.00
1969:Q2,129343.00,129343.00,10082.00,119261.00,0.00,0.00,129343.00,42266.00,3300.00,0.00,2252.00,60358.00,162.00,169.00,0.00,14908.00,3224.00,2368.00,0.00,0.00,0.00,0.00,0.00,336.00,0.00
1969:Q3,132054.00,132054.00,10721.00,121333.00,0.00,0.00,132054.00,45302.00,3050.00,0.00,2255.00,60005.00,158.00,177.00,0.00,15185.00,3224.00,2348.00,0.00,0.00,0.00,0.00,0.00,350.00,0.00
1969:Q4,133518.00,133518.00,10909.00,122609.00,0.00,0.00,133518.00,47244.00,2800.00,0.00,2236.00,59476.00,169.00,184.00,0.00,15496.00,3221.00,2331.00,0.00,0.00,0.00,0.00,0.00,361.00,0.00
1970:Q1,135658.00,135658.00,11218.00,124440.00,0.00,0.00,135658.00,48079.00,2675.00,0.00,2208.00,60463.00,130.00,190.00,0.00,15813.00,3235.00,2308.00,0.00,0.00,0.00,0.00,0.00,557.00,0.00
1970:Q2,138998.00,138998.00,12155.00,126843.00,0.00,0.00,138998.00,48227.00,3050.00,0.00,2294.00,63193.00,153.00,193.00,0.00,16110.00,3229.00,2159.00,0.00,0.00,0.00,0.00,0.00,390.00,0.00
1970:Q3,141582.00,141582.00,12261.00,129321.00,0.00,0.00,141582.00,48542.00,1925.00,0.00,2296.00,65973.00,150.00,198.00,0.00,16481.00,3272.00,2133.00,0.00,0.00,0.00,0.00,0.00,612.00,0.00
1970:Q4,145501.00,145501.00,13252.00,132249.00,0.00,0.00,145501.00,47144.00,2175.00,0.00,2384.00,69957.00,360.00,207.00,0.00,17021.00,3306.00,2032.00,0.00,0.00,0.00,0.00,0.00,915.00,0.00
1971:Q1,149746.00,149746.00,14386.00,135360.00,0.00,0.00,149746.00,46097.00,2425.00,0.00,2363.00,74455.00,178.00,263.00,0.00,17721.00,3314.00,2040.00,0.00,0.00,0.00,0.00,0.00,890.00,0.00
1971:Q2,153986.00,153966.00,15210.00,138756.00,0.00,20.00,153986.00,46375.00,2675.00,0.00,2331.00,77723.00,161.00,276.00,0.00,18575.00,3339.00,2042.00,0.00,0.00,0.00,0.00,0.00,489.00,0.00
1971:Q3,157928.00,157875.00,15820.00,142055.00,0.00,53.00,157928.00,46564.00,2925.00,0.00,2285.00,79855.00,169.00,251.00,0.00,19517.00,3366.00,2050.00,0.00,0.00,0.00,0.00,0.00,946.00,0.00
1971:Q4,161652.00,161566.00,15735.00,145831.00,0.00,86.00,161652.00,45970.00,3175.00,0.00,2132.00,82960.00,167.00,224.00,0.00,20481.00,3363.00,2152.00,0.00,0.00,0.00,0.00,0.00,1028.00,0.00
1972:Q1,165807.00,165681.00,16206.00,149475.00,0.00,126.00,165807.00,46559.00,3425.00,0.00,2004.00,85581.00,158.00,278.00,0.00,21508.00,3351.00,2229.00,0.00,0.00,0.00,0.00,0.00,714.00,0.00
1972:Q2,169358.00,169065.00,15722.00,153343.00,0.00,293.00,169358.00,46909.00,3675.00,0.00,1724.00,87384.00,138.00,305.00,0.00,22639.00,3351.00,2466.00,0.00,0.00,0.00,0.00,0.00,767.00,0.00
1972:Q3,172942.00,172476.00,15926.00,156550.00,0.00,466.00,172942.00,47181.00,3925.00,0.00,1937.00,89570.00,123.00,301.00,0.00,23776.00,3362.00,2123.00,0.00,0.00,0.00,0.00,0.00,644.00,0.00
1972:Q4,175818.00,175184.00,15787.00,159397.00,0.00,634.00,175818.00,47684.00,4175.00,0.00,1833.00,90567.00,138.00,293.00,0.00,24820.00,3367.00,2029.00,0.00,0.00,0.00,0.00,0.00,912.00,0.00
1973:Q1,180262.00,179246.00,16164.00,163082.00,61.00,955.00,180262.00,50607.00,4425.00,0.00,2058.00,91383.00,137.00,296.00,0.00,25807.00,3332.00,1622.00,0.00,0.00,0.00,0.00,0.00,595.00,0.00
1973:Q2,183929.00,182295.00,15879.00,166416.00,144.00,1490.00,183929.00,51521.00,5050.00,0.00,2053.00,92499.00,136.00,299.00,0.00,26774.00,3374.00,1536.00,0.00,0.00,0.00,0.00,0.00,687.00,0.00
1973:Q3,187988.00,185754.00,16180.00,169574.00,255.00,1979.00,187988.00,54174.00,4675.00,0.00,1962.00,93251.00,162.00,326.00,0.00,27674.00,3396.00,1650.00,0.00,0.00,0.00,0.00,0.00,718.00,0.00
1973:Q4,192693.00,189863.00,16102.00,173761.00,400.00,2430.00,192693.00,55136.00,4038.00,0.00,2062.00,96245.00,164.00,353.00,0.00,28462.00,3412.00,1691.00,0.00,0.00,0.00,0.00,0.00,1130.00,0.00
1974:Q1,197202.00,193783.00,16055.00,177728.00,578.00,2841.00,197202.00,56629.00,4569.00,0.00,2044.00,98291.00,188.00,443.00,0.00,29118.00,3485.00,1845.00,0.00,0.00,0.00,0.00,0.00,590.00,0.00
1974:Q2,201835.00,197783.00,16663.00,181120.00,787.00,3265.00,201835.00,57899.00,4558.00,0.00,2448.00,100941.00,220.00,534.00,0.00,29626.00,3577.00,1444.00,0.00,0.00,0.00,0.00,0.00,588.00,0.00
1974:Q3,206004.00,201380.00,18296.00,183084.00,1028.00,3596.00,206004.00,62394.00,4593.00,0.00,2535.00,100065.00,244.00,600.00,0.00,30102.00,3618.00,1248.00,0.00,0.00,0.00,0.00,0.00,605.00,0.00
1974:Q4,207999.00,202621.00,18811.00,183810.00,1300.00,4078.00,207999.00,62164.00,4654.00,0.00,2586.00,101799.00,214.00,565.00,0.00,30662.00,3667.00,983.00,0.00,0.00,0.00,0.00,0.00,705.00,0.00
1975:Q1,210167.00,204056.00,19042.00,185014.00,1603.00,4508.00,210167.00,62603.00,6229.00,0.00,2562.00,101678.00,232.00,590.00,0.00,31256.00,3696.00,789.00,0.00,0.00,0.00,0.00,0.00,532.00,0.00
1975:Q2,214248.00,206992.00,19786.00,187206.00,1937.00,5319.00,214248.00,63059.00,7296.00,0.00,2468.00,103640.00,264.00,602.00,0.00,31835.00,3783.00,728.00,0.00,0.00,0.00,0.00,0.00,573.00,0.00
1975:Q3,216917.00,208694.00,18071.00,190623.00,2303.00,5920.00,216917.00,65177.00,5419.00,0.00,3199.00,104067.00,277.00,640.00,0.00,32480.00,4165.00,906.00,0.00,0.00,0.00,0.00,0.00,587.00,0.00
1975:Q4,222956.00,213578.00,18552.00,195026.00,2700.00,6678.00,222956.00,66809.00,4846.00,0.00,4969.00,105056.00,247.00,677.00,0.00,33273.00,4508.00,1940.00,0.00,0.00,0.00,0.00,0.00,631.00,0.00
1976:Q1,227091.00,216975.00,17019.00,199956.00,3131.00,6985.00,227091.00,69757.00,4084.00,0.00,6131.00,103106.00,219.00,820.00,0.00,34636.00,5014.00,2193.00,0.00,0.00,0.00,0.00,0.00,1131.00,0.00
1976:Q2,236798.00,225736.00,18777.00,206959.00,3575.00,7487.00,236798.00,73874.00,3474.00,0.00,7000.00,106438.00,229.00,902.00,0.00,35250.00,5196.00,3150.00,0.00,23.00,0.00,0.00,0.00,1262.00,0.00
1976:Q3,241084.00,228642.00,17801.00,210841.00,4082.00,8360.00,241084.00,74962.00,3984.00,0.00,7348.00,106828.00,235.00,1000.00,0.00,36459.00,5406.00,3383.00,0.00,111.00,0.00,0.00,0.00,1368.00,0.00
1976:Q4,243876.00,230013.00,14485.00,215528.00,4700.00,9163.00,243876.00,72859.00,4228.00,0.00,7341.00,108248.00,249.00,1121.00,0.00,38679.00,5594.00,3360.00,0.00,525.00,0.00,0.00,0.00,1672.00,0.00
1977:Q1,248344.00,230963.00,11159.00,219804.00,5453.00,11928.00,248344.00,73367.00,4104.00,0.00,7084.00,109611.00,169.00,1060.00,0.00,41791.00,5712.00,2872.00,0.00,984.00,0.00,0.00,0.00,1590.00,0.00
1977:Q2,260914.00,240472.00,13385.00,227087.00,6363.00,14079.00,260914.00,77953.00,4396.00,0.00,6941.00,113938.00,181.00,1002.00,0.00,43509.00,5805.00,3628.00,0.00,1403.00,0.00,0.00,0.00,2129.00,29.00
1977:Q3,267803.00,244799.00,13033.00,231766.00,7291.00,15713.00,267803.00,76821.00,5068.00,0.00,7357.00,117261.00,318.00,1020.00,0.00,46227.00,6030.00,3556.00,0.00,1875.00,0.00,0.00,0.00,2213.00,57.00
