date,FL263192005.Q,FL263192101.Q,FL263192305.Q,FL263192313.Q,FL263092313.Q,FL103092005.Q,FL763092000.Q,FL513092003.Q,FL543092073.Q,FL613092003.Q,FL663092003.Q,FL103192005.Q,FL115114005.Q,FL753192003.Q,FL513192003.Q,FL543192073.Q,FL613192003.Q,FL663192005.Q,FL733192003.Q,FL503192003.Q,FL263092001.Q,FL263092101.Q,FL263092303.Q,FL263092323.Q,FL263192323.Q,FL263192035.Q,FL263192101.Q,FL263192345.Q,FL263192313.Q,FL263192323.Q,FL263092035.Q,FL263092101.Q,FL263092345.Q,FL263092313.Q,FL263092323.Q,LM263192045.Q,LM263192141.Q,LM263192305.Q,FL263192055.Q,FL263192151.Q,FL263192305.Q,LM263092045.Q,LM263092141.Q,LM263092303.Q,FL263092055.Q,FL263092151.Q,FL263092303.Q
1958:Q2,26385.00,ND,ND,ND,ND,25469.00,137.00,149.00,199.00,202.00,229.00,4408.00,127.00,256.00,450.00,390.00,30.00,237.00,0.00,0.00,5898.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,26777.00,ND,ND,ND,ND,25837.00,140.00,152.00,202.00,209.00,237.00,4497.00,129.00,257.00,450.00,390.00,30.00,237.00,0.00,0.00,5990.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,27409.00,ND,ND,ND,ND,26443.00,144.00,154.00,206.00,217.00,245.00,4504.00,131.00,282.00,498.00,432.00,33.00,235.00,0.00,0.00,6115.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,27971.00,ND,ND,ND,ND,26979.00,147.00,157.00,210.00,224.00,254.00,4631.00,133.00,283.00,498.00,432.00,33.00,234.00,0.00,0.00,6244.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,28769.00,ND,ND,ND,ND,27750.00,151.00,160.00,213.00,232.00,263.00,4784.00,136.00,286.00,499.00,433.00,34.00,236.00,0.00,0.00,6408.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,29295.00,ND,ND,ND,ND,28249.00,154.00,163.00,217.00,240.00,272.00,4899.00,139.00,289.00,500.00,434.00,35.00,238.00,0.00,0.00,6534.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,29827.00,ND,ND,ND,ND,28752.00,158.00,166.00,221.00,249.00,281.00,4923.00,142.00,294.00,520.00,451.00,35.00,239.00,0.00,0.00,6604.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,30416.00,ND,ND,ND,ND,29312.00,162.00,169.00,225.00,257.00,291.00,5015.00,143.00,297.00,521.00,452.00,36.00,243.00,0.00,0.00,6707.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,30773.00,ND,ND,ND,ND,29641.00,165.00,171.00,229.00,266.00,301.00,5070.00,144.00,302.00,523.00,454.00,38.00,251.00,0.00,0.00,6782.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,31138.00,ND,ND,ND,ND,29976.00,169.00,174.00,233.00,275.00,311.00,5151.00,145.00,307.00,525.00,456.00,40.00,259.00,0.00,0.00,6883.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
