1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,568.00,0.00,102.00,0.00,0.00,45.00,0.00,-26.00,-6.00,77.00,0.00,284.00,0.00,137.00,0.00,0.00,137.00,568.00
1970:Q2,596.00,0.00,103.00,0.00,0.00,20.00,0.00,-24.00,18.00,26.00,0.00,231.00,0.00,242.00,0.00,0.00,242.00,596.00
1970:Q3,616.00,0.00,110.00,0.00,0.00,198.00,0.00,42.00,56.00,100.00,0.00,259.00,0.00,49.00,0.00,0.00,49.00,616.00
1970:Q4,705.00,0.00,101.00,0.00,0.00,154.00,0.00,-7.00,-2.00,163.00,0.00,367.00,0.00,83.00,0.00,0.00,83.00,705.00
1971:Q1,537.00,0.00,118.00,0.00,0.00,-136.00,0.00,34.00,-32.00,-138.00,0.00,478.00,0.00,77.00,0.00,0.00,77.00,537.00
1971:Q2,657.00,0.00,94.00,0.00,0.00,-182.00,0.00,-65.00,-37.00,-80.00,0.00,590.00,0.00,155.00,0.00,0.00,155.00,657.00
1971:Q3,796.00,0.00,126.00,0.00,0.00,-82.00,0.00,11.00,0.00,-93.00,0.00,614.00,0.00,138.00,0.00,0.00,138.00,796.00
1971:Q4,959.00,0.00,111.00,0.00,0.00,168.00,0.00,20.00,3.00,145.00,0.00,548.00,0.00,132.00,0.00,0.00,132.00,959.00
1972:Q1,1827.00,0.00,114.00,0.00,0.00,257.00,123.00,104.00,55.00,-25.00,0.00,724.00,0.00,732.00,0.00,0.00,732.00,1827.00
1972:Q2,2646.00,0.00,145.00,0.00,0.00,427.00,195.00,-22.00,77.00,177.00,0.00,861.00,0.00,1213.00,0.00,0.00,1213.00,2646.00
1972:Q3,2836.00,0.00,157.00,0.00,0.00,619.00,211.00,43.00,118.00,247.00,0.00,823.00,0.00,1237.00,0.00,0.00,1237.00,2836.00
1972:Q4,2080.00,0.00,167.00,0.00,0.00,435.00,173.00,189.00,74.00,-1.00,0.00,611.00,0.00,867.00,0.00,0.00,867.00,2080.00
1973:Q1,1850.00,0.00,179.00,0.00,0.00,531.00,140.00,86.00,114.00,191.00,0.00,420.00,0.00,720.00,0.00,0.00,720.00,1850.00
1973:Q2,1246.00,0.00,160.00,0.00,0.00,322.00,111.00,72.00,42.00,97.00,0.00,250.00,0.00,514.00,0.00,0.00,514.00,1246.00
1973:Q3,1212.00,0.00,211.00,0.00,0.00,520.00,118.00,175.00,40.00,187.00,0.00,170.00,0.00,311.00,0.00,0.00,311.00,1212.00
1973:Q4,1297.00,0.00,163.00,0.00,0.00,328.00,161.00,167.00,49.00,-49.00,0.00,178.00,0.00,628.00,0.00,0.00,628.00,1297.00
1974:Q1,1267.00,0.00,196.00,0.00,0.00,377.00,190.00,182.00,13.00,-8.00,0.00,126.00,0.00,568.00,0.00,0.00,568.00,1267.00
1974:Q2,1351.00,0.00,201.00,0.00,0.00,450.00,206.00,201.00,3.00,40.00,0.00,12.00,0.00,688.00,0.00,0.00,688.00,1351.00
1974:Q3,1921.00,0.00,216.00,0.00,0.00,795.00,240.00,331.00,54.00,170.00,0.00,54.00,0.00,856.00,0.00,0.00,856.00,1921.00
1974:Q4,2013.00,0.00,294.00,0.00,0.00,802.00,293.00,81.00,175.00,253.00,0.00,253.00,0.00,664.00,0.00,0.00,664.00,2013.00
1975:Q1,2606.00,0.00,253.00,0.00,0.00,1139.00,371.00,266.00,81.00,421.00,0.00,516.00,0.00,698.00,0.00,0.00,698.00,2606.00
1975:Q2,3628.00,0.00,308.00,0.00,0.00,1050.00,471.00,223.00,50.00,306.00,0.00,544.00,0.00,1726.00,0.00,0.00,1726.00,3628.00
1975:Q3,4386.00,0.00,320.00,0.00,0.00,1036.00,376.00,345.00,18.00,297.00,0.00,507.00,0.00,2523.00,0.00,0.00,2523.00,4386.00
1975:Q4,3176.00,0.00,292.00,0.00,0.00,834.00,247.00,125.00,106.00,356.00,0.00,547.00,0.00,1503.00,0.00,0.00,1503.00,3176.00
1976:Q1,1796.00,0.00,302.00,0.00,0.00,849.00,331.00,304.00,107.00,107.00,0.00,617.00,0.00,28.00,0.00,0.00,28.00,1796.00
1976:Q2,193.00,0.00,259.00,0.00,0.00,796.00,219.00,400.00,82.00,95.00,0.00,469.00,0.00,-1331.00,0.00,0.00,-1331.00,193.00
1976:Q3,2010.00,0.00,211.00,0.00,0.00,157.00,126.00,290.00,42.00,-301.00,0.00,343.00,0.00,1299.00,0.00,0.00,1299.00,2010.00
1976:Q4,2589.00,0.00,255.00,0.00,0.00,174.00,79.00,426.00,-97.00,-234.00,0.00,331.00,0.00,1829.00,0.00,0.00,1829.00,2589.00
1977:Q1,4102.00,0.00,311.00,0.00,0.00,220.00,74.00,-51.00,223.00,-26.00,0.00,432.00,0.00,3139.00,0.00,0.00,3139.00,4102.00
1977:Q2,1833.00,0.00,345.00,23.00,0.00,920.00,54.00,521.00,119.00,226.00,0.00,541.00,0.00,4.00,0.00,0.00,4.00,1833.00
1977:Q3,3868.00,0.00,370.00,30.00,0.00,326.00,15.00,31.00,216.00,64.00,0.00,654.00,0.00,2488.00,0.00,0.00,2488.00,3868.00
1977:Q4,1408.00,0.00,387.00,41.00,0.00,882.00,2.00,307.00,-24.00,597.00,0.00,631.00,0.00,-533.00,0.00,0.00,-533.00,1408.00
1978:Q1,4329.00,0.00,445.00,56.00,0.00,211.00,14.00,42.00,-6.00,161.00,0.00,695.00,0.00,2922.00,0.00,0.00,2922.00,4329.00
1978:Q2,1291.00,0.00,469.00,62.00,0.00,982.00,-6.00,177.00,-11.00,822.00,0.00,668.00,0.00,-890.00,0.00,0.00,-890.00,1291.00
1978:Q3,3292.00,0.00,432.00,60.00,0.00,461.00,-65.00,-274.00,341.00,459.00,0.00,660.00,0.00,1679.00,0.00,0.00,1679.00,3292.00
1978:Q4,4198.00,0.00,541.00,87.00,0.00,480.00,-4.00,523.00,-284.00,245.00,0.00,709.00,0.00,2381.00,0.00,0.00,2381.00,4198.00
1979:Q1,3774.00,0.00,502.00,141.00,0.00,786.00,172.00,137.00,267.00,210.00,0.00,811.00,0.00,1534.00,0.00,0.00,1534.00,3774.00
1979:Q2,4123.00,0.00,446.00,188.00,0.00,1495.00,362.00,300.00,184.00,649.00,0.00,833.00,0.00,1161.00,0.00,0.00,1161.00,4123.00
1979:Q3,3561.00,0.00,488.00,225.00,0.00,1695.00,559.00,210.00,280.00,646.00,0.00,1124.00,0.00,29.00,0.00,0.00,29.00,3561.00
1979:Q4,4687.00,0.00,554.00,269.00,0.00,1415.00,600.00,57.00,122.00,636.00,0.00,1236.00,0.00,1213.00,0.00,0.00,1213.00,4687.00
1980:Q1,4660.00,0.00,440.00,318.00,0.00,1737.00,490.00,302.00,172.00,773.00,0.00,864.00,184.00,1117.00,0.00,0.00,1117.00,4660.00
1980:Q2,4872.00,0.00,409.00,345.00,0.00,2022.00,420.00,546.00,371.00,685.00,0.00,1443.00,-165.00,818.00,0.00,0.00,818.00,4872.00
1980:Q3,5064.00,0.00,385.00,350.00,0.00,1791.00,392.00,295.00,312.00,792.00,0.00,1042.00,185.00,1311.00,0.00,0.00,1311.00,5064.00
1980:Q4,3179.00,0.00,615.00,438.00,0.00,1739.00,352.00,412.00,418.00,557.00,0.00,982.00,175.00,-770.00,0.00,0.00,-770.00,3179.00
1981:Q1,2990.00,0.00,515.00,611.00,0.00,1408.00,302.00,284.00,431.00,391.00,0.00,1294.00,0.00,-838.00,0.00,0.00,-838.00,2990.00
1981:Q2,4819.00,0.00,378.00,890.00,0.00,1699.00,601.00,298.00,577.00,223.00,0.00,1198.00,51.00,603.00,0.00,0.00,603.00,4819.00
1981:Q3,5588.00,0.00,579.00,1279.00,0.00,1522.00,576.00,53.00,613.00,280.00,0.00,908.00,291.00,1009.00,0.00,0.00,1009.00,5588.00
1981:Q4,3949.00,0.00,713.00,1151.00,0.00,2507.00,511.00,2982.00,-1213.00,227.00,0.00,1101.00,132.00,-1655.00,0.00,0.00,-1655.00,3949.00
1982:Q1,1949.00,0.00,1461.00,466.00,0.00,2784.00,-1012.00,2338.00,814.00,644.00,0.00,195.00,64.00,-3021.00,0.00,0.00,-3021.00,1949.00
1982:Q2,3828.00,0.00,1621.00,-1000.00,0.00,2242.00,-547.00,1501.00,810.00,478.00,0.00,450.00,101.00,414.00,0.00,0.00,414.00,3828.00
1982:Q3,6689.00,0.00,1463.00,-959.00,0.00,1529.00,-1123.00,1466.00,465.00,721.00,0.00,654.00,166.00,3836.00,0.00,0.00,3836.00,6689.00
1982:Q4,7739.00,0.00,1537.00,-383.00,0.00,1820.00,-1039.00,1817.00,506.00,536.00,0.00,4612.00,122.00,31.00,0.00,0.00,31.00,7739.00
1983:Q1,7684.00,0.00,1915.00,189.00,0.00,1825.00,-384.00,1139.00,271.00,799.00,0.00,1206.00,-101.00,2650.00,0.00,0.00,2650.00,7684.00
1983:Q2,10748.00,0.00,2612.00,351.00,0.00,1809.00,424.00,831.00,267.00,287.00,0.00,616.00,68.00,5292.00,0.00,0.00,5292.00,10748.00
1983:Q3,4280.00,0.00,81.00,374.00,0.00,3613.00,678.00,1513.00,557.00,865.00,0.00,66.00,286.00,-140.00,0.00,0.00,-140.00,4280.00
1983:Q4,4323.00,0.00,776.00,327.00,0.00,2172.00,100.00,1057.00,422.00,593.00,0.00,-312.00,235.00,1125.00,0.00,0.00,1125.00,4323.00
1984:Q1,-1725.00,0.00,-331.00,262.00,0.00,1708.00,933.00,423.00,90.00,262.00,0.00,-1589.00,314.00,-2089.00,0.00,0.00,-2089.00,-1725.00
1984:Q2,-3604.00,0.00,-70.00,197.00,0.00,-835.00,1013.00,-725.00,-195.00,-928.00,0.00,-1585.00,-63.00,-1248.00,0.00,0.00,-1248.00,-3604.00
1984:Q3,11069.00,0.00,2282.00,382.00,0.00,3974.00,23.00,1660.00,657.00,1634.00,0.00,1100.00,117.00,3214.00,0.00,0.00,3214.00,11069.00
1984:Q4,7188.00,0.00,1481.00,168.00,0.00,4217.00,-1024.00,2410.00,708.00,2123.00,0.00,-184.00,233.00,1273.00,0.00,0.00,1273.00,7188.00
1985:Q1,7730.00,0.00,2430.00,491.00,0.00,161.00,-112.00,937.00,373.00,-1037.00,0.00,1069.00,95.00,3484.00,0.00,0.00,3484.00,7730.00
1985:Q2,10065.00,0.00,3008.00,586.00,0.00,1194.00,-38.00,1822.00,805.00,-1395.00,0.00,1454.00,78.00,3745.00,0.00,0.00,3745.00,10065.00
1985:Q3,-565.00,0.00,-363.00,224.00,0.00,870.00,243.00,883.00,457.00,-713.00,0.00,703.00,84.00,-2083.00,0.00,0.00,-2083.00,-565.00
1985:Q4,11080.00,0.00,-1409.00,848.00,5284.00,2273.00,-340.00,1395.00,3312.00,-2094.00,0.00,-120.00,78.00,4126.00,0.00,0.00,4126.00,11080.00
1986:Q1,8948.00,-300.00,379.00,430.00,133.00,2955.00,25.00,737.00,339.00,1854.00,-342.00,-3353.00,893.00,8153.00,3016.00,10.00,5127.00,8948.00
1986:Q2,1846.00,-240.00,-1602.00,-90.00,-164.00,-1061.00,-389.00,-1163.00,-530.00,1021.00,-435.00,1391.00,237.00,3810.00,2439.00,15.00,1356.00,1846.00
1986:Q3,7345.00,-190.00,1163.00,679.00,259.00,1575.00,195.00,-419.00,-164.00,1963.00,-399.00,-1530.00,297.00,5491.00,2279.00,20.00,3192.00,7345.00
1986:Q4,18168.00,-76.00,1721.00,884.00,356.00,8621.00,310.00,-7713.00,-3312.00,19336.00,-415.00,369.00,271.00,6437.00,2837.00,54.00,3546.00,18168.00
1987:Q1,9871.00,-25.00,-3707.00,204.00,-189.00,11381.00,316.00,3643.00,4217.00,3205.00,229.00,-2726.00,1031.00,3673.00,5368.00,400.00,-2095.00,9871.00
1987:Q2,5612.00,-20.00,-1943.00,814.00,110.00,-1843.00,776.00,360.00,203.00,-3182.00,-30.00,3315.00,556.00,4653.00,7651.00,750.00,-3748.00,5612.00
1987:Q3,20620.00,-15.00,-3332.00,329.00,-138.00,2059.00,440.00,1527.00,858.00,-766.00,55.00,1038.00,421.00,20203.00,7539.00,1100.00,11564.00,20620.00
1987:Q4,9135.00,-8.00,-2929.00,495.00,-66.00,-673.00,583.00,403.00,226.00,-1885.00,-2.00,5885.00,-276.00,6709.00,8089.00,755.00,-2135.00,9135.00
