date,FU153050005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU153050005.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q2,49997.00,6924.00,14911.00,15518.00,12644.00,49997.00,18302.00,7169.00,972.00,1971.00,1240.00,3963.00,2987.00
1987:Q3,69044.00,9369.00,31269.00,15546.00,12860.00,69044.00,18302.00,2633.00,485.00,1971.00,1239.00,3963.00,8011.00
1987:Q4,60021.00,10592.00,20942.00,15622.00,12865.00,60021.00,18302.00,4851.00,484.00,1971.00,1240.00,3963.00,5793.00
1988:Q1,76042.00,22541.00,24998.00,15596.00,12907.00,76042.00,13813.00,7472.00,537.00,2007.00,1237.00,2010.00,550.00
1988:Q2,68069.00,17746.00,21086.00,15858.00,13379.00,68069.00,13813.00,7126.00,536.00,2007.00,1238.00,2010.00,896.00
1988:Q3,72921.00,18512.00,24295.00,16255.00,13859.00,72921.00,13813.00,4348.00,205.00,2007.00,1237.00,2010.00,4006.00
1988:Q4,76513.00,19883.00,25476.00,16480.00,14674.00,76513.00,13813.00,4157.00,205.00,2007.00,1238.00,2010.00,4196.00
1989:Q1,63069.00,12091.00,19542.00,16322.00,15114.00,63069.00,14235.00,6095.00,383.00,-327.00,2237.00,2550.00,3297.00
1989:Q2,71758.00,20103.00,18897.00,16661.00,16097.00,71758.00,14235.00,8484.00,382.00,-327.00,2238.00,2550.00,908.00
1989:Q3,66723.00,12066.00,20903.00,16901.00,16853.00,66723.00,14235.00,4246.00,555.00,-327.00,2238.00,2550.00,4973.00
