1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,244343.00,756.00,1182.00,0.00,235.00,45905.00,0.00,21245.00,338.00,4251.00,20071.00,1981.00,15025.00,0.00,179259.00,0.00,547.00,177142.00,1570.00,244600.00,236683.00,59541.00,177142.00,ND,236426.00,7917.00,ND,ND
1960:Q1,249506.00,761.00,1227.00,0.00,245.00,46817.00,0.00,21451.00,428.00,4305.00,20633.00,2154.00,14619.00,0.00,183683.00,0.00,549.00,181482.00,1652.00,249795.00,241824.00,60342.00,181482.00,ND,241535.00,7971.00,ND,ND
1960:Q2,254848.00,765.00,1275.00,0.00,255.00,48160.00,0.00,22117.00,476.00,4356.00,21211.00,2354.00,15650.00,0.00,186389.00,0.00,572.00,184092.00,1725.00,255140.00,246852.00,62760.00,184092.00,ND,246560.00,8288.00,ND,ND
1960:Q3,259890.00,772.00,1324.00,0.00,266.00,48896.00,0.00,22099.00,487.00,4393.00,21917.00,2560.00,15124.00,0.00,190948.00,0.00,573.00,188557.00,1818.00,260185.00,251853.00,63296.00,188557.00,ND,251558.00,8332.00,ND,ND
1960:Q4,265400.00,789.00,1374.00,0.00,275.00,49908.00,0.00,22205.00,474.00,4406.00,22823.00,2751.00,17145.00,0.00,193158.00,0.00,613.00,190682.00,1863.00,265697.00,256822.00,66140.00,190682.00,ND,256525.00,8875.00,ND,ND
1961:Q1,270777.00,819.00,1427.00,0.00,284.00,50644.00,0.00,22403.00,484.00,4399.00,23358.00,2933.00,19786.00,0.00,194884.00,0.00,657.00,192332.00,1895.00,271039.00,261587.00,69255.00,192332.00,ND,261325.00,9452.00,ND,ND
1961:Q2,275774.00,861.00,1482.00,0.00,291.00,52271.00,0.00,23228.00,483.00,4374.00,24186.00,3110.00,20331.00,0.00,197428.00,0.00,674.00,194812.00,1942.00,276076.00,266387.00,71575.00,194812.00,ND,266085.00,9689.00,ND,ND
1961:Q3,280863.00,904.00,1539.00,0.00,298.00,53030.00,0.00,23292.00,513.00,4330.00,24895.00,3284.00,21452.00,0.00,200356.00,0.00,697.00,197674.00,1985.00,281197.00,271188.00,73514.00,197674.00,ND,270854.00,10009.00,ND,ND
1961:Q4,286121.00,937.00,1598.00,0.00,307.00,53788.00,0.00,23231.00,560.00,4263.00,25734.00,3456.00,23756.00,0.00,202279.00,0.00,740.00,199518.00,2021.00,286483.00,275903.00,76385.00,199518.00,ND,275541.00,10580.00,ND,ND
1962:Q1,288363.00,962.00,1660.00,0.00,321.00,54754.00,0.00,23500.00,658.00,4175.00,26421.00,3624.00,23797.00,32.00,203213.00,0.00,749.00,200329.00,2135.00,288727.00,277992.00,77663.00,200329.00,ND,277628.00,10735.00,ND,ND
1962:Q2,289708.00,981.00,1723.00,0.00,338.00,56478.00,0.00,24442.00,697.00,4058.00,27281.00,3787.00,18598.00,86.00,207717.00,0.00,686.00,204680.00,2351.00,290078.00,280093.00,75413.00,204680.00,ND,279723.00,9985.00,ND,ND
1962:Q3,292325.00,997.00,1790.00,0.00,355.00,57116.00,0.00,24572.00,731.00,3930.00,27883.00,3949.00,20096.00,140.00,207882.00,0.00,716.00,204686.00,2480.00,292699.00,282283.00,77597.00,204686.00,ND,281909.00,10416.00,ND,ND
1962:Q4,295345.00,1014.00,1858.00,0.00,369.00,57993.00,0.00,24699.00,719.00,3804.00,28771.00,4118.00,22885.00,172.00,206936.00,0.00,768.00,203613.00,2555.00,295719.00,284595.00,80982.00,203613.00,ND,284221.00,11124.00,ND,ND
1963:Q1,300325.00,1032.00,1930.00,0.00,380.00,58839.00,0.00,24876.00,720.00,3682.00,29561.00,4288.00,24631.00,184.00,209041.00,0.00,803.00,205627.00,2611.00,300732.00,289137.00,83510.00,205627.00,ND,288730.00,11595.00,ND,ND
1963:Q2,305535.00,1048.00,2004.00,0.00,385.00,60854.00,0.00,26130.00,716.00,3553.00,30455.00,4455.00,26198.00,177.00,210414.00,0.00,834.00,206948.00,2632.00,305935.00,293918.00,86970.00,206948.00,ND,293518.00,12017.00,ND,ND
1963:Q3,310943.00,1066.00,2081.00,0.00,393.00,61849.00,0.00,26263.00,728.00,3426.00,31432.00,4631.00,27645.00,169.00,213109.00,0.00,864.00,209575.00,2670.00,311362.00,298932.00,89357.00,209575.00,ND,298513.00,12430.00,ND,ND
1963:Q4,316548.00,1086.00,2161.00,0.00,409.00,62713.00,0.00,26349.00,717.00,3304.00,32343.00,4832.00,29170.00,176.00,216001.00,0.00,895.00,212321.00,2785.00,316985.00,304101.00,91780.00,212321.00,ND,303664.00,12884.00,ND,ND
1964:Q1,322529.00,1115.00,2244.00,0.00,435.00,63984.00,0.00,26865.00,727.00,3194.00,33198.00,5073.00,31347.00,201.00,218130.00,0.00,940.00,214218.00,2972.00,322978.00,309439.00,95221.00,214218.00,ND,308990.00,13539.00,ND,ND
1964:Q2,328554.00,1163.00,2330.00,0.00,471.00,65993.00,0.00,27819.00,748.00,3089.00,34337.00,5328.00,32918.00,241.00,220110.00,0.00,978.00,215877.00,3255.00,329031.00,314930.00,99053.00,215877.00,ND,314453.00,14101.00,ND,ND
1964:Q3,334847.00,1170.00,2419.00,0.00,507.00,66947.00,0.00,28075.00,731.00,2991.00,35150.00,5577.00,34544.00,283.00,223400.00,0.00,1014.00,218835.00,3551.00,335338.00,320659.00,101824.00,218835.00,ND,320168.00,14679.00,ND,ND
1964:Q4,341303.00,1203.00,2512.00,0.00,537.00,68062.00,0.00,28154.00,858.00,2900.00,36150.00,5848.00,35705.00,312.00,227124.00,0.00,1049.00,222294.00,3781.00,341816.00,326600.00,104306.00,222294.00,ND,326087.00,15216.00,ND,ND
1965:Q1,347854.00,1063.00,2609.00,0.00,560.00,69472.00,0.00,28806.00,779.00,2820.00,37067.00,6140.00,37047.00,331.00,230632.00,0.00,1081.00,225596.00,3955.00,348412.00,332682.00,107086.00,225596.00,ND,332124.00,15730.00,ND,ND
1965:Q2,354370.00,1039.00,2709.00,0.00,577.00,71436.00,0.00,29849.00,785.00,2748.00,38054.00,6564.00,36644.00,341.00,235060.00,0.00,1087.00,229868.00,4105.00,354946.00,339113.00,109245.00,229868.00,ND,338537.00,15833.00,ND,ND
1965:Q3,362102.00,1072.00,2813.00,0.00,594.00,72158.00,0.00,29536.00,916.00,2684.00,39022.00,6865.00,40934.00,349.00,237317.00,0.00,1157.00,231974.00,4186.00,362697.00,345943.00,113969.00,231974.00,ND,345348.00,16754.00,ND,ND
1965:Q4,369883.00,1258.00,2921.00,0.00,616.00,72935.00,0.00,29416.00,946.00,2625.00,39948.00,7131.00,43254.00,360.00,241408.00,0.00,1203.00,235865.00,4340.00,370539.00,353135.00,117270.00,235865.00,ND,352479.00,17404.00,ND,ND
