1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,-56.00,-4732.00,3036.00,0.00,0.00,0.00,-7768.00,0.00,0.00,1308.00,0.00,-9076.00,0.00,4676.00,3912.00,764.00,-56.00,-2696.00,2668.00,0.00,-120.00,1208.00,264.00,0.00,0.00,2592.00,0.00,0.00,0.00,-1944.00,-476.00,0.00,-1944.00,392.00
1971:Q1,-3432.00,-4128.00,2176.00,0.00,0.00,0.00,-6304.00,0.00,0.00,-3676.00,0.00,-2628.00,0.00,696.00,372.00,324.00,-3432.00,-7936.00,2612.00,0.00,124.00,1812.00,-128.00,0.00,0.00,2120.00,0.00,0.00,0.00,-728.00,-164.00,0.00,-724.00,-420.00
1971:Q2,-5084.00,-6988.00,-5724.00,0.00,0.00,0.00,-1264.00,0.00,0.00,-1428.00,0.00,164.00,0.00,1904.00,1524.00,380.00,-5084.00,-4284.00,-316.00,0.00,-304.00,-1084.00,-80.00,0.00,0.00,2604.00,0.00,0.00,0.00,-484.00,-304.00,0.00,-488.00,-344.00
1971:Q3,3384.00,1360.00,552.00,0.00,0.00,0.00,808.00,0.00,0.00,-1108.00,1248.00,668.00,0.00,2024.00,1624.00,400.00,3384.00,-432.00,3280.00,0.00,116.00,452.00,224.00,0.00,0.00,-1284.00,0.00,0.00,0.00,-280.00,992.00,0.00,-276.00,592.00
1971:Q4,4708.00,5976.00,-548.00,0.00,0.00,0.00,6524.00,0.00,0.00,4360.00,1872.00,292.00,0.00,-1268.00,-836.00,-432.00,4708.00,1448.00,1968.00,0.00,156.00,584.00,268.00,0.00,0.00,-928.00,0.00,0.00,0.00,1100.00,-524.00,0.00,1100.00,-464.00
1972:Q1,6464.00,5840.00,5048.00,0.00,0.00,0.00,792.00,0.00,0.00,-2172.00,2168.00,796.00,0.00,624.00,312.00,312.00,6464.00,2084.00,4712.00,0.00,-244.00,-2528.00,280.00,0.00,0.00,-260.00,1232.00,0.00,0.00,180.00,-308.00,1000.00,176.00,140.00
1972:Q2,-16.00,3496.00,2844.00,0.00,0.00,0.00,652.00,0.00,0.00,-1004.00,2460.00,-804.00,0.00,-3512.00,-2960.00,-552.00,-16.00,-8532.00,6644.00,0.00,16.00,-700.00,-12.00,0.00,0.00,560.00,1944.00,0.00,0.00,-496.00,72.00,1000.00,-496.00,-16.00
1972:Q3,-4804.00,-2960.00,-3004.00,0.00,0.00,0.00,44.00,0.00,0.00,-4196.00,2652.00,1588.00,0.00,-1844.00,-1512.00,-332.00,-4804.00,-10636.00,676.00,0.00,-52.00,-1020.00,460.00,0.00,0.00,2948.00,2112.00,0.00,0.00,476.00,2916.00,1000.00,476.00,-4160.00
1972:Q4,4732.00,4004.00,-2004.00,0.00,0.00,0.00,6008.00,0.00,0.00,2372.00,2560.00,1076.00,0.00,728.00,960.00,-232.00,4732.00,-656.00,-192.00,0.00,240.00,3868.00,-272.00,0.00,0.00,-2404.00,1732.00,0.00,0.00,-676.00,-1024.00,1000.00,-672.00,3788.00
1973:Q1,-3200.00,-3296.00,-5008.00,0.00,0.00,0.00,1712.00,0.00,0.00,-1004.00,-560.00,3276.00,0.00,96.00,-128.00,224.00,-3200.00,-4820.00,-3548.00,0.00,296.00,-5200.00,828.00,0.00,0.00,4408.00,1396.00,0.00,0.00,1896.00,-1388.00,1000.00,1892.00,40.00
1973:Q2,9060.00,7352.00,1060.00,0.00,0.00,0.00,6292.00,0.00,0.00,2900.00,84.00,3308.00,0.00,1708.00,1220.00,488.00,9060.00,2964.00,3960.00,0.00,-312.00,-1384.00,820.00,0.00,0.00,-1260.00,1112.00,0.00,0.00,616.00,164.00,1000.00,620.00,760.00
1973:Q3,10072.00,6168.00,-40.00,0.00,0.00,0.00,6208.00,0.00,0.00,-780.00,3196.00,3792.00,0.00,3904.00,3020.00,884.00,10072.00,3104.00,364.00,0.00,-36.00,2972.00,-1112.00,0.00,0.00,-3588.00,1180.00,0.00,0.00,716.00,848.00,1000.00,712.00,3912.00
1973:Q4,17532.00,15184.00,9644.00,0.00,0.00,0.00,5540.00,0.00,0.00,6720.00,220.00,-1400.00,0.00,2348.00,2332.00,16.00,17532.00,17864.00,1788.00,0.00,44.00,652.00,416.00,0.00,0.00,532.00,1608.00,0.00,0.00,-1236.00,-396.00,1000.00,-1232.00,-3508.00
1974:Q1,18716.00,13248.00,2192.00,60.00,60.00,0.00,10996.00,0.00,0.00,8720.00,-2380.00,4656.00,0.00,5468.00,4116.00,1352.00,18716.00,5704.00,5696.00,0.00,-152.00,628.00,660.00,0.00,0.00,1424.00,1900.00,0.00,740.00,344.00,-24.00,1000.00,344.00,452.00
1974:Q2,13172.00,860.00,3164.00,-56.00,-56.00,0.00,-2248.00,0.00,0.00,1388.00,-7264.00,3628.00,0.00,12312.00,9724.00,2588.00,13172.00,7904.00,-1060.00,0.00,296.00,1208.00,940.00,0.00,0.00,-892.00,2060.00,0.00,672.00,456.00,-268.00,1000.00,456.00,400.00
1974:Q3,28096.00,16268.00,9396.00,356.00,356.00,0.00,6516.00,0.00,0.00,2444.00,-2676.00,6748.00,0.00,11828.00,9244.00,2584.00,28096.00,17848.00,6884.00,0.00,344.00,556.00,104.00,0.00,0.00,-2144.00,2404.00,0.00,900.00,-712.00,1228.00,1000.00,-716.00,400.00
1974:Q4,11052.00,1908.00,1772.00,364.00,364.00,0.00,-228.00,0.00,0.00,1740.00,-740.00,-1228.00,0.00,9144.00,7916.00,1228.00,11052.00,-7848.00,4984.00,0.00,1556.00,696.00,908.00,0.00,0.00,5876.00,2932.00,0.00,268.00,-1144.00,2568.00,1000.00,-1144.00,400.00
1975:Q1,6304.00,4852.00,4104.00,296.00,296.00,0.00,452.00,0.00,0.00,-2168.00,132.00,2488.00,0.00,1452.00,796.00,656.00,6304.00,-12140.00,5612.00,0.00,196.00,5552.00,-1640.00,0.00,0.00,-1428.00,3704.00,0.00,1620.00,544.00,2140.00,1000.00,544.00,600.00
1975:Q2,-12316.00,-8368.00,-9528.00,532.00,532.00,0.00,628.00,0.00,0.00,892.00,388.00,-652.00,0.00,-3948.00,-3200.00,-748.00,-12316.00,-19720.00,4940.00,0.00,-1384.00,-2080.00,1436.00,0.00,0.00,1056.00,4716.00,0.00,-1048.00,-792.00,-252.00,1000.00,-788.00,600.00
1975:Q3,-6056.00,-2704.00,-180.00,76.00,76.00,0.00,-2600.00,0.00,0.00,-2404.00,-224.00,28.00,0.00,-3352.00,-3072.00,-280.00,-6056.00,-17496.00,2800.00,0.00,768.00,3356.00,-144.00,0.00,0.00,4060.00,3756.00,0.00,-200.00,-1076.00,-2204.00,1000.00,-1076.00,400.00
1975:Q4,7232.00,404.00,-5984.00,608.00,608.00,0.00,5780.00,0.00,0.00,6176.00,180.00,-576.00,0.00,6828.00,6260.00,568.00,7232.00,-9372.00,1784.00,0.00,1068.00,8332.00,308.00,0.00,0.00,-716.00,2476.00,0.00,-840.00,1060.00,672.00,1000.00,1060.00,400.00
1976:Q1,5340.00,4032.00,2680.00,592.00,592.00,0.00,760.00,0.00,0.00,2400.00,-732.00,-908.00,0.00,1308.00,564.00,744.00,5340.00,7096.00,2868.00,0.00,-804.00,-2788.00,104.00,0.00,0.00,-2012.00,3304.00,0.00,744.00,-2472.00,856.00,-4.00,-1852.00,300.00
1976:Q2,5608.00,2100.00,2832.00,852.00,852.00,0.00,-1584.00,0.00,0.00,248.00,-156.00,-1676.00,0.00,3508.00,2852.00,656.00,5608.00,-1960.00,2128.00,0.00,-716.00,940.00,-380.00,0.00,0.00,3572.00,2192.00,0.00,492.00,76.00,1184.00,-2028.00,-192.00,300.00
1976:Q3,-1616.00,-1444.00,-4380.00,880.00,880.00,0.00,2056.00,0.00,0.00,2288.00,224.00,-456.00,0.00,-172.00,-596.00,424.00,-1616.00,-7812.00,2136.00,0.00,-1092.00,3736.00,1484.00,0.00,0.00,-2204.00,1264.00,0.00,-260.00,-688.00,-1012.00,3180.00,-648.00,300.00
1976:Q4,23408.00,12716.00,4600.00,568.00,568.00,0.00,7548.00,0.00,0.00,8104.00,-416.00,-140.00,0.00,10692.00,9448.00,1244.00,23408.00,-8904.00,1428.00,0.00,432.00,12356.00,624.00,0.00,0.00,2288.00,784.00,0.00,688.00,1012.00,-1160.00,11720.00,1840.00,300.00
1977:Q1,8484.00,7116.00,732.00,1304.00,1304.00,0.00,5080.00,0.00,0.00,4836.00,-180.00,424.00,0.00,1368.00,556.00,812.00,8484.00,31240.00,-824.00,0.00,-668.00,-11016.00,712.00,0.00,0.00,2252.00,744.00,0.00,-480.00,-132.00,176.00,-14428.00,508.00,400.00
1977:Q2,19940.00,17076.00,1116.00,832.00,832.00,0.00,15128.00,0.00,0.00,12584.00,284.00,2260.00,0.00,2864.00,2408.00,456.00,19940.00,12040.00,-1244.00,0.00,56.00,1092.00,-1308.00,0.00,0.00,1080.00,536.00,0.00,412.00,1508.00,3880.00,800.00,688.00,400.00
1977:Q3,1808.00,1836.00,560.00,584.00,584.00,0.00,692.00,0.00,0.00,-600.00,-248.00,1540.00,0.00,-28.00,-396.00,368.00,1808.00,3316.00,-1368.00,0.00,-156.00,220.00,1136.00,0.00,0.00,64.00,148.00,0.00,-44.00,772.00,-1364.00,-1896.00,580.00,400.00
1977:Q4,29768.00,21320.00,4148.00,-460.00,-460.00,0.00,17632.00,0.00,0.00,16772.00,-20.00,880.00,0.00,8448.00,7556.00,892.00,29768.00,12192.00,-1048.00,0.00,-16.00,11100.00,-232.00,0.00,0.00,-4708.00,20.00,0.00,592.00,-100.00,-1760.00,13336.00,-8.00,400.00
1978:Q1,3708.00,9008.00,-696.00,348.00,348.00,0.00,9356.00,0.00,0.00,5220.00,92.00,4044.00,0.00,-5300.00,-4764.00,-536.00,3708.00,1636.00,3280.00,0.00,0.00,-11940.00,1136.00,0.00,0.00,7524.00,144.00,0.00,1764.00,1812.00,-1648.00,-2356.00,1956.00,400.00
1978:Q2,19872.00,19640.00,-236.00,1016.00,1016.00,0.00,18860.00,0.00,0.00,10900.00,436.00,7524.00,0.00,232.00,352.00,-120.00,19872.00,21924.00,-1408.00,0.00,0.00,-224.00,1536.00,0.00,0.00,-1216.00,-60.00,0.00,3196.00,108.00,-1296.00,-2792.00,-296.00,400.00
1978:Q3,-1828.00,7308.00,1356.00,1568.00,1568.00,0.00,4384.00,0.00,0.00,408.00,64.00,3912.00,0.00,-9136.00,-7552.00,-1584.00,-1828.00,1144.00,-676.00,0.00,0.00,2660.00,720.00,0.00,0.00,2084.00,-648.00,0.00,1516.00,-1544.00,-1388.00,-4868.00,-1228.00,400.00
1978:Q4,48916.00,37476.00,10340.00,1200.00,1200.00,0.00,25936.00,0.00,0.00,14776.00,-160.00,11320.00,0.00,11440.00,10208.00,1232.00,48916.00,34060.00,-708.00,0.00,0.00,2448.00,484.00,0.00,0.00,-2580.00,-44.00,0.00,3876.00,1816.00,-460.00,6552.00,2812.00,660.00
1979:Q1,27960.00,26116.00,2808.00,904.00,904.00,0.00,22404.00,0.00,0.00,19876.00,128.00,2400.00,0.00,1844.00,900.00,944.00,27960.00,18212.00,-2720.00,0.00,0.00,-2800.00,568.00,0.00,0.00,2600.00,1724.00,0.00,13440.00,-164.00,-580.00,-3376.00,-1084.00,2140.00
1979:Q2,46260.00,35740.00,7448.00,540.00,400.00,140.00,27752.00,0.00,0.00,17304.00,364.00,10084.00,0.00,10520.00,8536.00,1984.00,46260.00,5544.00,964.00,0.00,0.00,4076.00,-684.00,0.00,0.00,4052.00,3620.00,0.00,14688.00,8.00,-376.00,12260.00,108.00,2000.00
1979:Q3,35020.00,17404.00,11524.00,2940.00,2472.00,468.00,2940.00,0.00,0.00,-2532.00,-364.00,5836.00,0.00,17616.00,13908.00,3708.00,35020.00,15676.00,-3076.00,0.00,0.00,1188.00,1500.00,0.00,0.00,-40.00,5584.00,0.00,11148.00,324.00,708.00,-656.00,664.00,2000.00
1979:Q4,40876.00,35364.00,14296.00,2308.00,1892.00,416.00,18760.00,0.00,0.00,18480.00,412.00,-132.00,0.00,5512.00,4868.00,644.00,40876.00,-336.00,5128.00,0.00,0.00,6316.00,1108.00,0.00,0.00,-180.00,6008.00,0.00,23308.00,-468.00,840.00,-2768.00,272.00,1648.00
1980:Q1,30396.00,15972.00,13028.00,2656.00,2196.00,460.00,288.00,0.00,0.00,-7740.00,-452.00,8480.00,0.00,14424.00,10792.00,3632.00,30396.00,7648.00,2440.00,0.00,0.00,-4220.00,-80.00,0.00,0.00,-6944.00,4900.00,0.00,27388.00,-85.00,972.00,-4100.00,1525.00,952.00
1980:Q2,25620.00,11740.00,12528.00,1256.00,724.00,532.00,-2044.00,0.00,0.00,-4628.00,-304.00,488.00,2400.00,13880.00,11644.00,2236.00,25620.00,-41144.00,-280.00,0.00,0.00,10900.00,-1008.00,0.00,0.00,3568.00,4200.00,0.00,40676.00,-1488.00,2336.00,7076.00,-216.00,1000.00
1980:Q3,-12380.00,-16532.00,-19248.00,1188.00,852.00,336.00,1528.00,0.00,0.00,-2876.00,-224.00,1752.00,2876.00,4152.00,784.00,3368.00,-12380.00,-10620.00,-1320.00,0.00,0.00,2336.00,2616.00,0.00,0.00,6768.00,3916.00,0.00,-16212.00,2345.00,-1448.00,-5032.00,3271.00,1000.00
1980:Q4,33544.00,33480.00,9564.00,4508.00,2656.00,1852.00,19408.00,0.00,0.00,11396.00,68.00,11524.00,-3580.00,64.00,1704.00,-1640.00,33544.00,29740.00,-2656.00,0.00,0.00,-492.00,1604.00,0.00,0.00,5348.00,3524.00,0.00,-2800.00,1220.00,-1708.00,380.00,-1352.00,736.00
1981:Q1,37592.00,19364.00,524.00,6112.00,2956.00,3156.00,12728.00,0.00,0.00,7112.00,60.00,-704.00,6260.00,18228.00,14484.00,3744.00,37592.00,12032.00,-1000.00,0.00,0.00,-1108.00,748.00,0.00,0.00,6056.00,3020.00,0.00,58732.00,-2922.00,-84.00,196.00,-36742.00,-1336.00
1981:Q2,62888.00,54788.00,15212.00,4324.00,-468.00,4792.00,35252.00,0.00,0.00,21776.00,0.00,12360.00,1116.00,8100.00,4504.00,3596.00,62888.00,-32540.00,-1792.00,0.00,0.00,5188.00,1852.00,0.00,20.00,5380.00,6004.00,0.00,36428.00,599.00,-152.00,15724.00,27377.00,-1200.00
1981:Q3,68756.00,60060.00,22216.00,2096.00,-1240.00,3336.00,35748.00,0.00,0.00,9124.00,8.00,15008.00,11608.00,8696.00,7596.00,1100.00,68756.00,-28112.00,368.00,0.00,0.00,-3680.00,344.00,0.00,80.00,8296.00,5760.00,0.00,63144.00,885.00,936.00,-10796.00,32731.00,-1200.00
1981:Q4,35764.00,23856.00,20832.00,2964.00,1072.00,1892.00,60.00,0.00,0.00,472.00,12.00,1400.00,-1824.00,11908.00,7484.00,4424.00,35764.00,7552.00,-1308.00,0.00,0.00,3600.00,1232.00,0.00,100.00,9956.00,5112.00,0.00,-2952.00,1145.00,548.00,14164.00,-1949.00,-1436.00
1982:Q1,17960.00,6124.00,12928.00,2208.00,1584.00,624.00,-9012.00,0.00,0.00,-20048.00,-124.00,6700.00,4460.00,11836.00,5676.00,6160.00,17960.00,16044.00,-628.00,0.00,0.00,14280.00,-2092.00,0.00,208.00,-872.00,-10120.00,0.00,10664.00,-755.00,-576.00,-8588.00,2159.00,-1764.00
1982:Q2,57132.00,44392.00,-1940.00,6876.00,1244.00,5632.00,39456.00,0.00,0.00,17532.00,-124.00,13528.00,8520.00,12740.00,9352.00,3388.00,57132.00,27352.00,1544.00,0.00,0.00,-7072.00,-80.00,0.00,576.00,6192.00,-5472.00,0.00,20616.00,474.00,184.00,14336.00,82.00,-1600.00
1982:Q3,-40640.00,-36832.00,-11340.00,-656.00,-2024.00,1368.00,-24836.00,0.00,0.00,-16576.00,-124.00,-17324.00,9188.00,-3808.00,1408.00,-5216.00,-40640.00,-28952.00,-804.00,0.00,0.00,6324.00,-144.00,0.00,1176.00,3600.00,-11228.00,0.00,-13680.00,-1553.00,-612.00,5560.00,1273.00,-1600.00
1982:Q4,-11784.00,-35252.00,-24148.00,-972.00,-648.00,-324.00,-10132.00,0.00,0.00,-4160.00,-124.00,2800.00,-8648.00,23468.00,21600.00,1868.00,-11784.00,12428.00,-1116.00,0.00,0.00,-2484.00,-480.00,0.00,5992.00,7764.00,-10388.00,0.00,-22748.00,1199.00,-124.00,8192.00,-8135.00,-1884.00
1983:Q1,-7900.00,10672.00,4296.00,6932.00,-2944.00,9876.00,-556.00,0.00,0.00,2024.00,-68.00,1724.00,-4236.00,-18572.00,-19104.00,532.00,-7900.00,-3040.00,1128.00,0.00,0.00,1732.00,-2488.00,0.00,3136.00,5292.00,-3840.00,656.00,-36976.00,754.00,1056.00,-32528.00,52754.00,4464.00
1983:Q2,16284.00,9104.00,-20988.00,7080.00,1752.00,5328.00,23012.00,0.00,880.00,16512.00,-68.00,2524.00,3164.00,7180.00,8888.00,-1708.00,16284.00,-23072.00,5040.00,0.00,0.00,-2228.00,1796.00,0.00,3592.00,2576.00,4236.00,968.00,12852.00,908.00,-852.00,2556.00,9164.00,-1252.00
1983:Q3,29708.00,16524.00,4072.00,3316.00,1576.00,1740.00,9136.00,0.00,880.00,3508.00,-68.00,6184.00,-1368.00,13184.00,7172.00,6012.00,29708.00,-22864.00,3800.00,0.00,0.00,756.00,-348.00,0.00,5552.00,1372.00,6780.00,1156.00,9748.00,-222.00,744.00,5016.00,18910.00,-692.00
1983:Q4,69648.00,50380.00,9264.00,8616.00,180.00,8436.00,32500.00,0.00,880.00,14172.00,-68.00,3396.00,14120.00,19268.00,15156.00,4112.00,69648.00,29224.00,6992.00,0.00,0.00,-3336.00,-424.00,0.00,7004.00,4468.00,1000.00,1220.00,2572.00,1684.00,568.00,5560.00,12488.00,628.00
1984:Q1,56932.00,60068.00,15572.00,10472.00,4012.00,6460.00,34024.00,0.00,880.00,21652.00,220.00,13508.00,-2236.00,-3136.00,-10824.00,7688.00,56932.00,856.00,2528.00,0.00,0.00,-2304.00,-3796.00,476.00,2772.00,10124.00,9336.00,1284.00,24088.00,2792.00,32.00,-3828.00,7900.00,4672.00
1984:Q2,94488.00,66984.00,29848.00,25432.00,272.00,25160.00,11704.00,0.00,880.00,20444.00,224.00,18080.00,-27924.00,27504.00,22092.00,5412.00,94488.00,33468.00,-5808.00,0.00,0.00,-3836.00,240.00,248.00,4044.00,8144.00,10128.00,1344.00,18940.00,2005.00,-536.00,3820.00,21247.00,1040.00
1984:Q3,18760.00,27292.00,30412.00,-15236.00,508.00,-15744.00,12116.00,0.00,880.00,-6904.00,228.00,-11516.00,29428.00,-8532.00,-21452.00,12920.00,18760.00,13164.00,1360.00,0.00,0.00,1548.00,-236.00,-112.00,976.00,-2076.00,232.00,1532.00,20888.00,3465.00,-608.00,5984.00,-32061.00,4704.00
1984:Q4,37512.00,38560.00,11028.00,4056.00,-1404.00,5460.00,23476.00,0.00,880.00,15380.00,236.00,4460.00,2520.00,-1048.00,-4104.00,3056.00,37512.00,39952.00,-7864.00,0.00,0.00,-4732.00,228.00,-364.00,600.00,384.00,-10248.00,1840.00,63044.00,-33.00,712.00,16836.00,-57271.00,-5572.00
1985:Q1,51464.00,61040.00,15452.00,3668.00,5300.00,-1632.00,41920.00,0.00,880.00,31464.00,140.00,5992.00,3444.00,-9576.00,-13244.00,3668.00,51464.00,-27360.00,-1524.00,0.00,0.00,-1372.00,140.00,364.00,1908.00,8432.00,-1116.00,2156.00,-19596.00,-5009.00,-732.00,-27208.00,120637.00,1744.00
1985:Q2,21224.00,37992.00,13412.00,4800.00,204.00,4596.00,19780.00,0.00,880.00,27792.00,136.00,-168.00,-8860.00,-16768.00,-14584.00,-2184.00,21224.00,-10776.00,-520.00,0.00,0.00,-3100.00,1108.00,-108.00,1584.00,1740.00,-380.00,2468.00,44608.00,2648.00,-384.00,8476.00,-21708.00,-4432.00
1985:Q3,76244.00,80348.00,8796.00,6316.00,-772.00,7088.00,65236.00,0.00,880.00,39828.00,132.00,-156.00,24552.00,-4104.00,-5376.00,1272.00,76244.00,9128.00,272.00,0.00,0.00,-5496.00,420.00,264.00,3092.00,-4916.00,2432.00,2656.00,-32508.00,949.00,-368.00,5240.00,93539.00,1540.00
1985:Q4,62368.00,69360.00,20732.00,10024.00,1144.00,8880.00,38604.00,0.00,880.00,19164.00,132.00,3292.00,15136.00,-6992.00,-10216.00,3224.00,62368.00,-7668.00,4716.00,0.00,0.00,-3732.00,-364.00,-64.00,4824.00,-6228.00,8504.00,2720.00,12080.00,740.00,-856.00,2484.00,44708.00,504.00
1986:Q1,8740.00,16860.00,-13816.00,23888.00,10664.00,13224.00,6788.00,0.00,880.00,31084.00,364.00,-32076.00,6536.00,-8120.00,-14388.00,6268.00,8740.00,-41844.00,3728.00,0.00,0.00,5684.00,-1432.00,-100.00,108.00,-5756.00,2048.00,2856.00,-12948.00,9740.00,-320.00,6304.00,37260.00,3412.00
1986:Q2,40572.00,50888.00,-15404.00,17344.00,1508.00,15836.00,48948.00,0.00,880.00,27592.00,-164.00,13416.00,7224.00,-10316.00,-7256.00,-3060.00,40572.00,1400.00,-9496.00,0.00,0.00,-6204.00,836.00,-12.00,-288.00,6080.00,2516.00,3064.00,33832.00,897.00,400.00,8060.00,-2509.00,1996.00
1986:Q3,67608.00,57912.00,24936.00,14708.00,-452.00,15160.00,18268.00,0.00,880.00,19148.00,608.00,-9120.00,6752.00,9696.00,-3208.00,12904.00,67608.00,51284.00,228.00,0.00,0.00,-6016.00,264.00,-192.00,-132.00,8148.00,3560.00,3500.00,37032.00,-1329.00,168.00,-12124.00,-10915.00,-5868.00
1986:Q4,-11408.00,3280.00,-33084.00,-10004.00,-2980.00,-7024.00,46368.00,0.00,880.00,8536.00,504.00,14760.00,21688.00,-14688.00,-9872.00,-4816.00,-11408.00,-12196.00,4320.00,0.00,0.00,9772.00,-276.00,2576.00,564.00,13212.00,6872.00,3660.00,-33472.00,10068.00,-292.00,-10040.00,-6124.00,-52.00
1987:Q1,48136.00,36920.00,-4124.00,-516.00,2760.00,-3276.00,41560.00,0.00,1712.00,13644.00,856.00,22496.00,2852.00,11216.00,1404.00,9812.00,48136.00,-18976.00,11704.00,0.00,0.00,-2148.00,2688.00,-2348.00,244.00,-7796.00,6120.00,3764.00,-16284.00,8276.00,1508.00,-10228.00,74864.00,-3252.00
1987:Q2,54888.00,44108.00,4920.00,-6764.00,1252.00,-8016.00,45952.00,0.00,2068.00,12804.00,-92.00,6172.00,25000.00,10780.00,-4768.00,15548.00,54888.00,-2540.00,-3504.00,0.00,0.00,-6316.00,-1940.00,164.00,236.00,-6016.00,10964.00,3836.00,-1452.00,361.00,1532.00,5248.00,44779.00,9536.00
1987:Q3,35240.00,42944.00,8032.00,20092.00,264.00,19828.00,14820.00,0.00,1988.00,18604.00,28.00,-3608.00,-2192.00,-7704.00,-8204.00,500.00,35240.00,-22572.00,19344.00,344.00,0.00,-7928.00,524.00,24.00,432.00,7820.00,7932.00,3036.00,32704.00,5358.00,-432.00,5968.00,-21374.00,4060.00
1987:Q4,-8876.00,-16888.00,-2432.00,2540.00,5308.00,-2768.00,-16996.00,0.00,1368.00,-2204.00,628.00,-19156.00,2368.00,8012.00,7512.00,500.00,-8876.00,40944.00,-8372.00,532.00,0.00,18068.00,3488.00,1020.00,840.00,4212.00,4012.00,1372.00,8924.00,-7143.00,-2796.00,-6896.00,-60669.00,-6412.00
1988:Q1,27280.00,39152.00,-21596.00,5276.00,-1176.00,6452.00,55472.00,0.00,2760.00,1384.00,100.00,1804.00,49424.00,-11872.00,-16956.00,5084.00,27280.00,-4848.00,-6604.00,592.00,0.00,-11536.00,-2400.00,44.00,1376.00,-2664.00,-10064.00,-100.00,-3740.00,17659.00,7064.00,1656.00,35477.00,5368.00
1988:Q2,96188.00,98232.00,7540.00,7492.00,1900.00,5592.00,83200.00,0.00,2684.00,31860.00,-32.00,6760.00,41928.00,-2044.00,360.00,-2404.00,96188.00,36096.00,3612.00,532.00,0.00,-1212.00,-508.00,516.00,2040.00,3764.00,-180.00,-1388.00,13208.00,-11643.00,2172.00,11268.00,46899.00,-8988.00
1988:Q3,47920.00,48948.00,17188.00,10720.00,1052.00,9668.00,21040.00,0.00,1516.00,-6424.00,-104.00,-7816.00,33868.00,-1028.00,2176.00,-3204.00,47920.00,67068.00,1048.00,436.00,0.00,5000.00,-192.00,500.00,1980.00,9836.00,-10384.00,-1728.00,11332.00,8744.00,-4548.00,-12892.00,-39964.00,11684.00
1988:Q4,130360.00,126372.00,44500.00,11304.00,-4116.00,15420.00,70568.00,0.00,-108.00,41460.00,-428.00,-1540.00,31184.00,3988.00,1344.00,2644.00,130360.00,54528.00,-3328.00,312.00,0.00,8384.00,1232.00,576.00,1196.00,9588.00,-5332.00,-1140.00,52708.00,4672.00,-3268.00,2460.00,4568.00,3204.00
1989:Q1,100158.00,114140.00,15704.00,18044.00,6568.00,11476.00,80392.00,0.00,8526.00,24873.00,-28.00,14752.00,32270.00,-13982.00,-5976.00,-8006.00,100158.00,26676.00,8404.00,436.00,0.00,-11624.00,252.00,1608.00,388.00,-1355.00,524.00,548.00,49782.00,-2948.00,20.00,2252.00,17687.00,7508.00
1989:Q2,60447.00,58808.00,42244.00,-4788.00,3440.00,-8228.00,21352.00,0.00,10663.00,17576.00,-436.00,1036.00,-7487.00,1639.00,-4012.00,5651.00,60447.00,-46908.00,5979.00,816.00,0.00,300.00,808.00,824.00,-444.00,-13499.00,-2140.00,132.00,46686.00,5300.00,1600.00,1600.00,56637.00,2756.00
1989:Q3,41151.00,40828.00,23056.00,19648.00,-3920.00,23568.00,-1876.00,0.00,9654.00,-5247.00,-144.00,4732.00,-10871.00,323.00,-5120.00,5443.00,41151.00,-10016.00,-7259.00,1064.00,0.00,-4404.00,1300.00,-1720.00,-452.00,-1513.00,296.00,692.00,78508.00,-5208.00,2388.00,-6136.00,-6549.00,160.00
1989:Q4,61695.00,66600.00,4740.00,19412.00,11240.00,8172.00,42448.00,0.00,6829.00,-2590.00,-64.00,-3092.00,41364.00,-4905.00,-5920.00,1015.00,61695.00,7544.00,-4552.00,1188.00,0.00,10564.00,-912.00,316.00,360.00,30767.00,-5364.00,-3292.00,58144.00,1284.00,7416.00,14436.00,-49159.00,-7044.00
1990:Q1,31578.00,42632.00,41884.00,-13988.00,368.00,-14356.00,14736.00,0.00,14151.00,32099.00,-1168.00,2900.00,-33246.00,-11054.00,-5996.00,-5058.00,31578.00,-58904.00,-6034.00,1564.00,0.00,-1900.00,188.00,292.00,1328.00,-16089.00,160.00,1064.00,37884.00,-546.00,-896.00,-2856.00,81570.00,-5248.00
1990:Q2,-15693.00,-4872.00,-3956.00,25420.00,2680.00,22740.00,-26336.00,0.00,17801.00,4147.00,-204.00,-25096.00,-22984.00,-10821.00,-8008.00,-2813.00,-15693.00,-14348.00,-77.00,2184.00,0.00,-1304.00,4084.00,912.00,2448.00,11128.00,-1404.00,5764.00,-64203.00,-1219.00,-2848.00,-10452.00,51550.00,2092.00
