1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,99085.00,64272.00,11934.00,15212.00,7667.00,99085.00,66322.00,32763.00,13761.00,19002.00,0.00,0.00,99085.00,20020.00,32.00,0.00,3355.00,471.00,49565.00,0.00,151.00,386.00,134.00,22736.00,181.00,175.00,1158.00,58.00,0.00,663.00,0.00
1953:Q4,101425.00,66003.00,12121.00,15564.00,7737.00,101425.00,68135.00,33290.00,14142.00,19148.00,0.00,0.00,101425.00,20285.00,32.00,0.00,3323.00,492.00,51054.00,0.00,151.00,383.00,139.00,23322.00,192.00,188.00,1180.00,60.00,0.00,624.00,0.00
1954:Q1,103386.00,67416.00,12174.00,15880.00,7916.00,103386.00,69640.00,33746.00,14419.00,19327.00,0.00,0.00,103386.00,20492.00,32.00,0.00,3255.00,514.00,52291.00,0.00,151.00,361.00,143.00,23817.00,203.00,202.00,1211.00,61.00,0.00,653.00,0.00
1954:Q2,106986.00,70234.00,12312.00,16324.00,8116.00,106986.00,72556.00,34430.00,14286.00,20144.00,0.00,0.00,106986.00,20817.00,32.00,0.00,3799.00,538.00,54197.00,0.00,151.00,456.00,145.00,24432.00,213.00,217.00,1242.00,62.00,0.00,685.00,0.00
1954:Q3,109757.00,72336.00,12452.00,16782.00,8187.00,109757.00,74733.00,35024.00,14216.00,20808.00,0.00,0.00,109757.00,21107.00,32.00,0.00,3316.00,561.00,56379.00,0.00,151.00,416.00,145.00,25083.00,224.00,233.00,1262.00,70.00,0.00,778.00,0.00
1954:Q4,113580.00,75356.00,12665.00,17313.00,8246.00,113580.00,77768.00,35812.00,14636.00,21176.00,0.00,0.00,113580.00,21423.00,33.00,0.00,3425.00,582.00,58747.00,0.00,153.00,407.00,143.00,25976.00,238.00,249.00,1281.00,78.00,0.00,845.00,0.00
1955:Q1,117256.00,78237.00,12782.00,17765.00,8472.00,117256.00,80678.00,36578.00,14935.00,21643.00,0.00,0.00,117256.00,21796.00,36.00,0.00,3457.00,599.00,60895.00,0.00,160.00,505.00,144.00,26768.00,255.00,266.00,1344.00,86.00,0.00,945.00,0.00
1955:Q2,121656.00,81697.00,12989.00,18263.00,8707.00,121656.00,83992.00,37664.00,15128.00,22536.00,0.00,0.00,121656.00,22089.00,40.00,0.00,3551.00,613.00,63802.00,0.00,171.00,543.00,146.00,27518.00,274.00,283.00,1417.00,95.00,0.00,1114.00,0.00
1955:Q3,125896.00,85032.00,13179.00,18819.00,8866.00,125896.00,87294.00,38602.00,15355.00,23247.00,0.00,0.00,125896.00,22315.00,44.00,0.00,3572.00,626.00,66661.00,0.00,182.00,526.00,149.00,28277.00,296.00,301.00,1483.00,105.00,0.00,1359.00,0.00
1955:Q4,129823.00,87936.00,13490.00,19375.00,9022.00,129823.00,90102.00,39721.00,16195.00,23526.00,0.00,0.00,129823.00,22725.00,47.00,0.00,3622.00,641.00,68766.00,0.00,191.00,524.00,152.00,29445.00,321.00,318.00,1583.00,116.00,0.00,1372.00,0.00
1956:Q1,133258.00,90356.00,13657.00,19954.00,9291.00,133258.00,92794.00,40464.00,16428.00,24036.00,0.00,0.00,133258.00,23199.00,49.00,0.00,3625.00,657.00,70634.00,0.00,197.00,522.00,156.00,30396.00,349.00,336.00,1724.00,127.00,0.00,1287.00,0.00
1956:Q2,137325.00,93327.00,13827.00,20582.00,9589.00,137325.00,95896.00,41429.00,16531.00,24898.00,0.00,0.00,137325.00,23674.00,50.00,0.00,3634.00,671.00,72972.00,0.00,201.00,649.00,159.00,31292.00,381.00,352.00,1872.00,138.00,0.00,1280.00,0.00
1956:Q3,141104.00,96174.00,13972.00,21199.00,9759.00,141104.00,98961.00,42143.00,16614.00,25529.00,0.00,0.00,141104.00,23976.00,51.00,0.00,3631.00,690.00,75357.00,0.00,204.00,596.00,161.00,32112.00,415.00,371.00,2041.00,143.00,0.00,1356.00,0.00
1956:Q4,144447.00,98745.00,14064.00,21803.00,9835.00,144447.00,101606.00,42841.00,17126.00,25715.00,0.00,0.00,144447.00,24327.00,54.00,0.00,3644.00,721.00,77098.00,0.00,209.00,593.00,161.00,32989.00,449.00,395.00,2390.00,149.00,0.00,1268.00,0.00
1957:Q1,147290.00,100851.00,14085.00,22321.00,10033.00,147290.00,103729.00,43561.00,17628.00,25933.00,0.00,0.00,147290.00,24871.00,58.00,0.00,3695.00,762.00,78216.00,0.00,214.00,678.00,161.00,33679.00,482.00,425.00,2835.00,157.00,0.00,1057.00,0.00
1957:Q2,150246.00,103039.00,14182.00,22794.00,10231.00,150246.00,105962.00,44284.00,17697.00,26587.00,0.00,0.00,150246.00,25333.00,63.00,0.00,3737.00,814.00,79826.00,0.00,219.00,686.00,161.00,34181.00,514.00,460.00,3117.00,166.00,0.00,969.00,0.00
