1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q1,5630.00,3887.00,-1796.00,-1120.00,232.00,-248.00,-1.00,-3.00,-244.00,-921.00,0.00,261.00,7769.00,0.00,0.00,-7003.00,1795.00,532.00,-2832.00,-448.00,0.00,-362.00,-2344.00,1982.00,-929.00,4042.00,-3199.00,1345.00,-4544.00,3091.00
1991:Q2,5650.00,3858.00,2371.00,309.00,1001.00,-62.00,75.00,206.00,-343.00,-891.00,0.00,2014.00,2042.00,0.00,0.00,735.00,-3170.00,1370.00,1037.00,3304.00,0.00,-1077.00,-1624.00,547.00,-669.00,4013.00,1037.00,1774.00,-737.00,2725.00
1991:Q3,5556.00,3786.00,-916.00,-785.00,162.00,524.00,762.00,-336.00,98.00,-185.00,0.00,-632.00,1487.00,0.00,0.00,1067.00,-2766.00,537.00,-957.00,-89.00,37.00,-2790.00,-1391.00,-1399.00,-482.00,2655.00,491.00,396.00,95.00,2597.00
1991:Q4,5422.00,3763.00,4530.00,-598.00,-426.00,164.00,-495.00,638.00,21.00,105.00,0.00,5285.00,3252.00,0.00,0.00,-1207.00,-1632.00,3280.00,1592.00,4870.00,4.00,1744.00,-423.00,2167.00,-1551.00,4029.00,644.00,917.00,-273.00,1999.00
1992:Q1,4771.00,4003.00,9138.00,1370.00,-720.00,1905.00,2900.00,-629.00,-366.00,-224.00,0.00,6807.00,3248.00,0.00,0.00,-613.00,469.00,4554.00,-851.00,13243.00,-3.00,2724.00,-269.00,2993.00,-508.00,4479.00,6551.00,5821.00,730.00,4873.00
1992:Q2,4989.00,4114.00,6046.00,-910.00,863.00,-73.00,-54.00,-177.00,158.00,-397.00,0.00,6563.00,12368.00,0.00,0.00,-305.00,-2836.00,-4244.00,1580.00,7927.00,7.00,-2309.00,-1537.00,-772.00,-367.00,3443.00,7153.00,8010.00,-857.00,2756.00
1992:Q3,5007.00,4194.00,14010.00,-459.00,-130.00,2877.00,1618.00,725.00,534.00,1470.00,0.00,10252.00,8994.00,0.00,0.00,-1324.00,2880.00,-2154.00,1856.00,15015.00,97.00,1657.00,-393.00,2050.00,-140.00,4212.00,9189.00,5102.00,4087.00,1818.00
1992:Q4,6564.00,4314.00,5157.00,-937.00,-137.00,542.00,652.00,-115.00,5.00,-495.00,0.00,6184.00,12229.00,0.00,0.00,2222.00,-3150.00,-3983.00,-1134.00,5805.00,-38.00,203.00,-1658.00,1861.00,-1352.00,3768.00,3224.00,3308.00,-84.00,2898.00
1993:Q1,5924.00,3773.00,14113.00,-443.00,-459.00,-735.00,-655.00,-16.00,-64.00,-393.00,0.00,16143.00,8534.00,0.00,0.00,7494.00,-5866.00,5890.00,91.00,13689.00,-11.00,5282.00,2271.00,3011.00,-40.00,2265.00,6193.00,6322.00,-129.00,1727.00
1993:Q2,6413.00,3834.00,9676.00,335.00,143.00,1460.00,376.00,223.00,861.00,522.00,0.00,7216.00,7075.00,0.00,0.00,595.00,2537.00,-4495.00,1504.00,7730.00,160.00,334.00,842.00,-508.00,108.00,1633.00,5495.00,4771.00,724.00,634.00
