1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1002.00,303.00,517.00,182.00,0.00,1002.00,110.00,3.00,0.00,0.00,0.00,404.00,0.00,3.00,14.00,464.00,4.00,3.00,0.00,0.00,-3.00,0.00
1952:Q1,900.00,200.00,556.00,144.00,0.00,900.00,180.00,4.00,0.00,0.00,0.00,240.00,0.00,4.00,8.00,440.00,8.00,4.00,0.00,0.00,12.00,0.00
1952:Q2,856.00,304.00,-579.00,1131.00,0.00,856.00,160.00,4.00,0.00,0.00,0.00,348.00,0.00,4.00,4.00,324.00,8.00,0.00,0.00,0.00,4.00,0.00
1952:Q3,936.00,304.00,-100.00,732.00,0.00,936.00,196.00,4.00,0.00,0.00,0.00,372.00,0.00,4.00,4.00,340.00,4.00,4.00,0.00,0.00,8.00,0.00
1952:Q4,944.00,260.00,819.00,-135.00,0.00,944.00,184.00,4.00,0.00,4.00,0.00,416.00,0.00,4.00,4.00,316.00,8.00,4.00,0.00,0.00,0.00,0.00
1953:Q1,1052.00,308.00,1103.00,-359.00,0.00,1052.00,268.00,4.00,0.00,0.00,0.00,408.00,0.00,4.00,8.00,356.00,12.00,4.00,0.00,0.00,-12.00,0.00
1953:Q2,1116.00,296.00,-300.00,1120.00,0.00,1116.00,260.00,4.00,0.00,4.00,0.00,448.00,0.00,4.00,16.00,356.00,12.00,4.00,0.00,0.00,8.00,0.00
1953:Q3,1092.00,252.00,226.00,614.00,0.00,1092.00,252.00,0.00,0.00,12.00,0.00,432.00,0.00,0.00,20.00,348.00,8.00,8.00,0.00,0.00,12.00,0.00
1953:Q4,1408.00,328.00,1487.00,-407.00,0.00,1408.00,384.00,0.00,0.00,28.00,0.00,516.00,0.00,0.00,20.00,448.00,12.00,4.00,0.00,0.00,-4.00,0.00
1954:Q1,1264.00,368.00,1061.00,-165.00,0.00,1264.00,420.00,0.00,0.00,-20.00,0.00,484.00,0.00,0.00,16.00,340.00,12.00,8.00,0.00,0.00,4.00,0.00
1954:Q2,1776.00,392.00,-592.00,1976.00,0.00,1776.00,532.00,0.00,0.00,16.00,0.00,764.00,0.00,0.00,8.00,436.00,12.00,4.00,0.00,0.00,4.00,0.00
1954:Q3,1832.00,300.00,-320.00,1852.00,0.00,1832.00,584.00,0.00,0.00,-28.00,0.00,760.00,0.00,0.00,0.00,488.00,12.00,8.00,0.00,0.00,8.00,0.00
1954:Q4,2124.00,60.00,1629.00,435.00,0.00,2124.00,680.00,4.00,0.00,0.00,0.00,712.00,0.00,4.00,-8.00,708.00,12.00,4.00,0.00,0.00,8.00,0.00
1955:Q1,1808.00,116.00,1117.00,575.00,0.00,1808.00,392.00,12.00,0.00,20.00,0.00,788.00,0.00,12.00,4.00,544.00,16.00,8.00,0.00,0.00,12.00,0.00
1955:Q2,1992.00,-584.00,675.00,1901.00,0.00,1992.00,536.00,16.00,0.00,40.00,0.00,836.00,0.00,16.00,8.00,496.00,20.00,8.00,0.00,0.00,16.00,0.00
1955:Q3,2224.00,-132.00,842.00,1514.00,0.00,2224.00,636.00,16.00,0.00,8.00,0.00,908.00,0.00,16.00,12.00,572.00,24.00,4.00,0.00,0.00,28.00,0.00
1955:Q4,2224.00,-384.00,3314.00,-706.00,0.00,2224.00,728.00,12.00,0.00,16.00,0.00,672.00,0.00,12.00,12.00,740.00,24.00,8.00,0.00,0.00,0.00,0.00
1956:Q1,2316.00,1088.00,815.00,413.00,0.00,2316.00,596.00,8.00,0.00,8.00,0.00,968.00,0.00,8.00,16.00,684.00,28.00,8.00,0.00,0.00,-8.00,0.00
1956:Q2,2512.00,524.00,326.00,1662.00,0.00,2512.00,712.00,4.00,0.00,20.00,0.00,920.00,0.00,4.00,12.00,796.00,36.00,8.00,0.00,0.00,0.00,0.00
1956:Q3,2468.00,872.00,291.00,1305.00,0.00,2468.00,708.00,4.00,0.00,-8.00,0.00,912.00,0.00,4.00,8.00,788.00,36.00,8.00,0.00,0.00,8.00,0.00
1956:Q4,2416.00,296.00,2034.00,86.00,0.00,2416.00,676.00,12.00,0.00,8.00,0.00,720.00,0.00,12.00,0.00,948.00,36.00,12.00,0.00,0.00,-8.00,0.00
1957:Q1,2072.00,68.00,1996.00,8.00,0.00,2072.00,660.00,16.00,0.00,4.00,0.00,460.00,0.00,16.00,0.00,888.00,36.00,16.00,0.00,0.00,-24.00,0.00
1957:Q2,1892.00,180.00,261.00,1451.00,0.00,1892.00,524.00,20.00,0.00,56.00,0.00,484.00,0.00,20.00,0.00,748.00,36.00,12.00,0.00,0.00,-8.00,0.00
1957:Q3,2736.00,800.00,382.00,1554.00,0.00,2736.00,896.00,20.00,0.00,0.00,0.00,932.00,0.00,20.00,0.00,816.00,32.00,20.00,0.00,0.00,0.00,0.00
1957:Q4,3124.00,532.00,2395.00,197.00,0.00,3124.00,960.00,16.00,0.00,16.00,0.00,916.00,0.00,16.00,0.00,1136.00,44.00,20.00,0.00,0.00,0.00,0.00
1958:Q1,2212.00,1292.00,1082.00,-162.00,0.00,2212.00,636.00,16.00,0.00,-4.00,0.00,692.00,0.00,16.00,0.00,784.00,36.00,24.00,0.00,0.00,12.00,0.00
1958:Q2,2736.00,1120.00,787.00,829.00,0.00,2736.00,836.00,16.00,0.00,4.00,0.00,1252.00,0.00,16.00,0.00,536.00,40.00,20.00,0.00,0.00,16.00,0.00
1958:Q3,2832.00,292.00,946.00,1594.00,0.00,2832.00,820.00,16.00,0.00,-4.00,0.00,1112.00,0.00,16.00,0.00,796.00,40.00,24.00,0.00,0.00,12.00,0.00
1958:Q4,4072.00,-232.00,3714.00,590.00,0.00,4072.00,1160.00,12.00,0.00,-4.00,0.00,1660.00,0.00,12.00,-4.00,1140.00,52.00,28.00,0.00,0.00,16.00,0.00
1959:Q1,2212.00,976.00,-20.00,1256.00,0.00,2212.00,676.00,4.00,0.00,-12.00,0.00,1136.00,0.00,4.00,0.00,308.00,56.00,24.00,0.00,0.00,16.00,0.00
1959:Q2,3216.00,648.00,-27.00,2595.00,0.00,3216.00,992.00,0.00,0.00,-4.00,0.00,1816.00,0.00,0.00,-8.00,340.00,64.00,24.00,0.00,0.00,-8.00,0.00
1959:Q3,3084.00,408.00,-93.00,2769.00,0.00,3084.00,952.00,0.00,0.00,-8.00,0.00,1192.00,0.00,0.00,-12.00,852.00,68.00,28.00,0.00,0.00,12.00,0.00
1959:Q4,3780.00,-36.00,3120.00,696.00,0.00,3780.00,1144.00,0.00,0.00,-4.00,0.00,1456.00,0.00,0.00,-36.00,1088.00,76.00,44.00,0.00,0.00,12.00,0.00
1960:Q1,2684.00,1760.00,-320.00,1244.00,0.00,2684.00,764.00,4.00,0.00,-4.00,0.00,1004.00,0.00,4.00,-4.00,792.00,76.00,44.00,0.00,0.00,4.00,0.00
1960:Q2,3076.00,532.00,296.00,2248.00,0.00,3076.00,832.00,4.00,0.00,-4.00,0.00,1224.00,0.00,4.00,0.00,880.00,88.00,56.00,0.00,0.00,-8.00,0.00
1960:Q3,3452.00,552.00,778.00,2122.00,0.00,3452.00,956.00,4.00,0.00,0.00,0.00,1420.00,0.00,4.00,8.00,904.00,88.00,60.00,0.00,0.00,8.00,0.00
1960:Q4,3504.00,512.00,1958.00,1034.00,0.00,3504.00,976.00,0.00,0.00,0.00,0.00,1260.00,0.00,0.00,8.00,1120.00,84.00,60.00,0.00,0.00,-4.00,0.00
1961:Q1,2856.00,484.00,-473.00,2845.00,0.00,2856.00,660.00,8.00,0.00,20.00,0.00,1240.00,0.00,8.00,16.00,772.00,72.00,56.00,4.00,0.00,0.00,0.00
1961:Q2,4208.00,500.00,983.00,2725.00,0.00,4208.00,1100.00,8.00,0.00,12.00,0.00,1768.00,0.00,8.00,12.00,1152.00,68.00,60.00,8.00,0.00,12.00,0.00
1961:Q3,3648.00,584.00,702.00,2362.00,0.00,3648.00,972.00,8.00,0.00,4.00,0.00,1560.00,0.00,8.00,4.00,940.00,64.00,52.00,4.00,0.00,32.00,0.00
1961:Q4,5272.00,572.00,3685.00,1015.00,0.00,5272.00,1744.00,12.00,0.00,8.00,0.00,2348.00,0.00,12.00,-8.00,984.00,76.00,56.00,0.00,0.00,40.00,0.00
1962:Q1,3884.00,564.00,1193.00,2127.00,0.00,3884.00,-128.00,20.00,0.00,4.00,0.00,2816.00,0.00,20.00,-4.00,1024.00,84.00,52.00,4.00,0.00,-8.00,0.00
1962:Q2,4840.00,664.00,1476.00,2700.00,0.00,4840.00,348.00,24.00,0.00,4.00,0.00,3364.00,0.00,24.00,-16.00,912.00,92.00,48.00,4.00,0.00,36.00,0.00
1962:Q3,4596.00,644.00,1759.00,2193.00,0.00,4596.00,144.00,24.00,0.00,8.00,0.00,3008.00,0.00,24.00,-24.00,1248.00,88.00,40.00,4.00,0.00,32.00,0.00
1962:Q4,5892.00,512.00,3994.00,1386.00,0.00,5892.00,232.00,16.00,0.00,8.00,0.00,3196.00,0.00,16.00,-40.00,2308.00,92.00,52.00,4.00,0.00,8.00,0.00
1963:Q1,3768.00,812.00,1375.00,1581.00,0.00,3768.00,-328.00,8.00,0.00,12.00,0.00,2684.00,0.00,8.00,-12.00,1252.00,92.00,48.00,4.00,0.00,0.00,0.00
1963:Q2,5376.00,428.00,2005.00,2943.00,0.00,5376.00,-40.00,0.00,0.00,8.00,0.00,3832.00,0.00,0.00,-12.00,1420.00,84.00,44.00,4.00,0.00,36.00,0.00
1963:Q3,5372.00,504.00,2250.00,2618.00,0.00,5372.00,-204.00,0.00,0.00,16.00,0.00,3680.00,0.00,0.00,-8.00,1676.00,96.00,52.00,12.00,0.00,52.00,0.00
1963:Q4,5876.00,640.00,4043.00,1193.00,0.00,5876.00,-172.00,16.00,0.00,16.00,0.00,3380.00,0.00,16.00,-20.00,2444.00,108.00,56.00,8.00,0.00,24.00,0.00
1964:Q1,2108.00,584.00,2001.00,-477.00,0.00,2108.00,-1064.00,20.00,0.00,16.00,0.00,2408.00,0.00,20.00,-4.00,532.00,144.00,40.00,12.00,0.00,-16.00,0.00
1964:Q2,3364.00,624.00,1695.00,1045.00,0.00,3364.00,-880.00,28.00,0.00,16.00,0.00,3152.00,0.00,28.00,0.00,776.00,156.00,40.00,12.00,0.00,36.00,0.00
1964:Q3,4704.00,604.00,2976.00,1124.00,0.00,4704.00,-676.00,28.00,0.00,40.00,0.00,4124.00,0.00,28.00,0.00,912.00,136.00,56.00,36.00,0.00,20.00,0.00
1964:Q4,5324.00,608.00,4787.00,-71.00,0.00,5324.00,-616.00,20.00,0.00,32.00,0.00,3784.00,0.00,20.00,0.00,1816.00,152.00,68.00,44.00,0.00,4.00,0.00
1965:Q1,3212.00,712.00,2652.00,-152.00,0.00,3212.00,-964.00,8.00,0.00,24.00,0.00,2460.00,0.00,8.00,16.00,1380.00,152.00,68.00,52.00,0.00,8.00,0.00
1965:Q2,4860.00,748.00,1362.00,2750.00,0.00,4860.00,-868.00,0.00,0.00,16.00,0.00,3900.00,0.00,0.00,24.00,1344.00,284.00,80.00,56.00,0.00,24.00,0.00
1965:Q3,4864.00,724.00,1808.00,2332.00,0.00,4864.00,-864.00,0.00,0.00,32.00,0.00,3680.00,0.00,0.00,28.00,1648.00,132.00,88.00,72.00,0.00,48.00,0.00
1965:Q4,4992.00,688.00,3583.00,721.00,0.00,4992.00,-856.00,8.00,0.00,32.00,0.00,3092.00,0.00,8.00,20.00,2440.00,96.00,88.00,72.00,0.00,-8.00,0.00
1966:Q1,5384.00,712.00,1974.00,2698.00,0.00,5384.00,100.00,20.00,0.00,-88.00,0.00,3176.00,0.00,20.00,-8.00,1844.00,140.00,104.00,84.00,0.00,-8.00,0.00
1966:Q2,7116.00,720.00,4239.00,2157.00,0.00,7116.00,740.00,28.00,0.00,60.00,0.00,3840.00,0.00,28.00,0.00,2104.00,112.00,120.00,88.00,0.00,-4.00,0.00
1966:Q3,6084.00,736.00,3626.00,1722.00,0.00,6084.00,504.00,32.00,0.00,40.00,0.00,2876.00,0.00,32.00,0.00,2240.00,148.00,120.00,92.00,0.00,0.00,0.00
1966:Q4,4604.00,624.00,3383.00,597.00,0.00,4604.00,108.00,24.00,0.00,40.00,0.00,1968.00,0.00,24.00,12.00,2040.00,232.00,104.00,96.00,0.00,-44.00,0.00
1967:Q1,3092.00,772.00,2147.00,173.00,0.00,3092.00,-312.00,4.00,0.00,32.00,0.00,1260.00,0.00,4.00,20.00,1804.00,96.00,88.00,100.00,0.00,-4.00,0.00
1967:Q2,5376.00,192.00,1114.00,4070.00,0.00,5376.00,128.00,-8.00,0.00,28.00,0.00,3388.00,0.00,-8.00,20.00,1584.00,-4.00,92.00,104.00,0.00,52.00,0.00
1967:Q3,5388.00,792.00,815.00,3781.00,0.00,5388.00,60.00,-8.00,0.00,88.00,0.00,3592.00,0.00,-8.00,20.00,1368.00,96.00,44.00,116.00,0.00,20.00,0.00
1967:Q4,5300.00,10208.00,-7081.00,2173.00,0.00,5300.00,80.00,4.00,0.00,76.00,0.00,3232.00,0.00,4.00,16.00,1724.00,28.00,40.00,108.00,0.00,-12.00,0.00
1968:Q1,5176.00,-8548.00,13275.00,341.00,108.00,5176.00,-532.00,-24.00,0.00,104.00,0.00,3384.00,0.00,-24.00,12.00,1468.00,20.00,80.00,104.00,0.00,-20.00,604.00
1968:Q2,6284.00,648.00,518.00,5010.00,108.00,6284.00,-784.00,-8.00,0.00,104.00,0.00,4724.00,0.00,-8.00,8.00,1304.00,-32.00,68.00,100.00,0.00,40.00,768.00
1968:Q3,7252.00,724.00,1851.00,4465.00,212.00,7252.00,132.00,-4.00,0.00,68.00,0.00,4604.00,0.00,-4.00,8.00,1796.00,32.00,20.00,64.00,0.00,28.00,508.00
1968:Q4,8368.00,596.00,3737.00,3927.00,108.00,8368.00,-1052.00,-12.00,0.00,72.00,0.00,5060.00,0.00,-12.00,4.00,3116.00,8.00,72.00,60.00,0.00,52.00,1000.00
1969:Q1,5392.00,740.00,2974.00,1258.00,420.00,5392.00,688.00,92.00,0.00,76.00,0.00,2768.00,0.00,92.00,8.00,1276.00,16.00,32.00,56.00,0.00,-4.00,292.00
1969:Q2,5700.00,792.00,-2116.00,6992.00,32.00,5700.00,-568.00,148.00,400.00,80.00,0.00,3184.00,0.00,148.00,4.00,1432.00,-12.00,36.00,56.00,0.00,60.00,732.00
1969:Q3,5916.00,728.00,-1166.00,6330.00,24.00,5916.00,-228.00,164.00,400.00,84.00,0.00,3148.00,0.00,164.00,4.00,1692.00,68.00,16.00,68.00,0.00,-20.00,356.00
1969:Q4,7120.00,596.00,2378.00,4006.00,140.00,7120.00,-1072.00,140.00,400.00,88.00,0.00,2776.00,0.00,140.00,12.00,3528.00,88.00,-68.00,64.00,0.00,80.00,944.00
1970:Q1,5524.00,1260.00,47355.00,-43099.00,8.00,5524.00,2980.00,-168.00,400.00,96.00,368.00,1224.00,0.00,-168.00,32.00,1168.00,24.00,72.00,60.00,0.00,-256.00,-308.00
1970:Q2,9212.00,744.00,2523.00,5905.00,40.00,9212.00,3048.00,32.00,400.00,88.00,100.00,1664.00,0.00,32.00,48.00,1932.00,-8.00,200.00,60.00,0.00,808.00,808.00
1970:Q3,9216.00,872.00,-31.00,8183.00,192.00,9216.00,2352.00,24.00,400.00,56.00,192.00,3128.00,0.00,24.00,52.00,1400.00,108.00,168.00,48.00,0.00,412.00,852.00
1970:Q4,8984.00,672.00,2317.00,5923.00,72.00,8984.00,-924.00,24.00,400.00,56.00,88.00,4856.00,0.00,24.00,48.00,2092.00,-108.00,420.00,40.00,0.00,404.00,1564.00
1971:Q1,4788.00,1116.00,3581.00,-5.00,96.00,4788.00,-2596.00,20.00,400.00,56.00,256.00,3628.00,0.00,20.00,0.00,1616.00,8.00,-12.00,44.00,0.00,480.00,868.00
1971:Q2,9560.00,-280.00,2801.00,6947.00,92.00,9560.00,-2168.00,-80.00,400.00,48.00,196.00,7504.00,0.00,-80.00,-20.00,1700.00,-120.00,52.00,44.00,0.00,732.00,1352.00
1971:Q3,12948.00,940.00,2553.00,9411.00,44.00,12948.00,-1960.00,84.00,400.00,144.00,388.00,9356.00,0.00,84.00,-28.00,2600.00,-48.00,-32.00,144.00,0.00,560.00,1256.00
1971:Q4,13160.00,524.00,4693.00,7815.00,128.00,13160.00,-3676.00,76.00,400.00,152.00,64.00,9376.00,0.00,76.00,-40.00,4024.00,532.00,44.00,140.00,0.00,628.00,1364.00
1972:Q1,12204.00,856.00,11043.00,177.00,128.00,12204.00,-148.00,-8.00,400.00,44.00,364.00,8108.00,0.00,-8.00,-32.00,1400.00,28.00,100.00,-332.00,0.00,1428.00,860.00
1972:Q2,17088.00,744.00,3629.00,12171.00,544.00,17088.00,636.00,-152.00,400.00,-24.00,356.00,11268.00,0.00,-152.00,-44.00,2000.00,-264.00,-4.00,144.00,0.00,1092.00,1832.00
1972:Q3,16096.00,856.00,5450.00,9490.00,300.00,16096.00,484.00,288.00,400.00,-28.00,24.00,11152.00,0.00,288.00,-44.00,2828.00,-220.00,160.00,160.00,0.00,-896.00,1500.00
1972:Q4,23352.00,612.00,9618.00,12834.00,288.00,23352.00,1864.00,-180.00,400.00,-868.00,260.00,12012.00,0.00,-180.00,-48.00,6192.00,-236.00,328.00,1140.00,0.00,-48.00,2716.00
1973:Q1,16692.00,1108.00,8663.00,6589.00,332.00,16692.00,-1152.00,152.00,268.00,-24.00,352.00,11048.00,80.00,152.00,-20.00,2796.00,-16.00,432.00,0.00,0.00,656.00,1968.00
1973:Q2,23020.00,132.00,23749.00,-1229.00,368.00,23020.00,876.00,144.00,236.00,-204.00,124.00,13616.00,-24.00,144.00,-12.00,4224.00,-148.00,628.00,412.00,0.00,160.00,2844.00
1973:Q3,20108.00,948.00,41411.00,-22263.00,12.00,20108.00,-2768.00,48.00,156.00,272.00,132.00,12600.00,64.00,48.00,-8.00,5152.00,-140.00,232.00,-80.00,0.00,600.00,3800.00
1973:Q4,18684.00,264.00,43321.00,-24993.00,92.00,18684.00,-820.00,48.00,92.00,-452.00,164.00,9164.00,88.00,48.00,-20.00,7380.00,204.00,604.00,696.00,0.00,64.00,1424.00
1974:Q1,14996.00,1168.00,6892.00,6756.00,180.00,14996.00,-100.00,292.00,304.00,216.00,272.00,8296.00,32.00,292.00,-8.00,3604.00,40.00,312.00,-24.00,0.00,452.00,1016.00
1974:Q2,19688.00,124.00,1381.00,18159.00,24.00,19688.00,-152.00,296.00,264.00,588.00,208.00,12556.00,24.00,296.00,-8.00,4728.00,-52.00,444.00,-212.00,0.00,832.00,-124.00
1974:Q3,10672.00,988.00,-11194.00,20802.00,76.00,10672.00,-4048.00,584.00,156.00,160.00,20.00,7136.00,64.00,584.00,-4.00,4640.00,-44.00,204.00,0.00,0.00,544.00,676.00
1974:Q4,13336.00,168.00,-2579.00,15679.00,68.00,13336.00,-104.00,516.00,76.00,420.00,864.00,3824.00,72.00,516.00,-16.00,6068.00,28.00,916.00,0.00,0.00,940.00,-784.00
1975:Q1,4208.00,848.00,-6377.00,9745.00,-8.00,4208.00,-864.00,268.00,-112.00,284.00,224.00,2776.00,460.00,244.00,-24.00,4048.00,172.00,428.00,0.00,0.00,-220.00,-3476.00
1975:Q2,12080.00,68.00,3282.00,8802.00,-72.00,12080.00,2736.00,188.00,-96.00,652.00,0.00,7620.00,532.00,60.00,84.00,3988.00,8.00,464.00,0.00,0.00,-416.00,-3740.00
1975:Q3,14372.00,1132.00,5885.00,7471.00,-116.00,14372.00,3548.00,336.00,-64.00,332.00,-12.00,11052.00,-248.00,208.00,76.00,3108.00,112.00,332.00,0.00,0.00,404.00,-4812.00
1975:Q4,15640.00,44.00,5714.00,9874.00,8.00,15640.00,1632.00,364.00,-36.00,768.00,-36.00,11096.00,-404.00,216.00,120.00,4616.00,220.00,-24.00,0.00,0.00,552.00,-3444.00
1976:Q1,7636.00,752.00,-3961.00,10681.00,164.00,7636.00,-2328.00,1272.00,4.00,320.00,8.00,6288.00,-80.00,-104.00,0.00,2764.00,104.00,132.00,0.00,0.00,472.00,-1216.00
1976:Q2,12536.00,684.00,7941.00,3587.00,324.00,12536.00,-216.00,-8.00,120.00,148.00,-4.00,9488.00,-12.00,-108.00,96.00,2368.00,-32.00,300.00,0.00,0.00,1632.00,-1236.00
1976:Q3,15164.00,564.00,9462.00,4854.00,284.00,15164.00,116.00,-96.00,392.00,676.00,84.00,10956.00,-136.00,-80.00,-4.00,3428.00,0.00,340.00,0.00,0.00,752.00,-1264.00
1976:Q4,16172.00,244.00,7628.00,7760.00,540.00,16172.00,-1248.00,8.00,624.00,352.00,-76.00,10084.00,-156.00,-68.00,116.00,6112.00,280.00,212.00,0.00,0.00,1224.00,-1292.00
1977:Q1,12880.00,600.00,2788.00,9544.00,-52.00,12880.00,-408.00,28.00,280.00,488.00,172.00,7932.00,8.00,-136.00,216.00,2772.00,-44.00,80.00,0.00,0.00,2184.00,-692.00
1977:Q2,11580.00,940.00,7967.00,2921.00,-248.00,11580.00,-2028.00,64.00,420.00,688.00,-28.00,8024.00,44.00,-136.00,164.00,3560.00,356.00,540.00,0.00,0.00,600.00,-688.00
1977:Q3,21788.00,600.00,14894.00,6446.00,-152.00,21788.00,16.00,560.00,760.00,640.00,0.00,13664.00,-84.00,360.00,108.00,5400.00,-92.00,232.00,0.00,0.00,916.00,-692.00
1977:Q4,28664.00,900.00,20464.00,7356.00,-56.00,28664.00,304.00,480.00,1044.00,512.00,4.00,14936.00,-104.00,280.00,-44.00,10552.00,-8.00,612.00,0.00,0.00,788.00,-692.00
1978:Q1,18700.00,1060.00,11826.00,6634.00,-820.00,18700.00,-296.00,-556.00,752.00,2608.00,56.00,12372.00,48.00,-640.00,-36.00,4868.00,-24.00,-24.00,0.00,0.00,-308.00,-120.00
1978:Q2,21540.00,1308.00,14822.00,5022.00,388.00,21540.00,-44.00,-504.00,912.00,-1364.00,-12.00,17460.00,76.00,-704.00,-40.00,6372.00,196.00,-272.00,0.00,0.00,-404.00,-132.00
1978:Q3,22132.00,-72.00,9832.00,11948.00,424.00,22132.00,-76.00,200.00,1312.00,860.00,-16.00,12320.00,40.00,0.00,4.00,7632.00,-4.00,204.00,0.00,0.00,-144.00,-200.00
1978:Q4,22456.00,1044.00,4473.00,16531.00,408.00,22456.00,-1268.00,100.00,1636.00,164.00,136.00,9824.00,28.00,0.00,100.00,12316.00,12.00,488.00,0.00,0.00,-1020.00,-60.00
1979:Q1,18028.00,312.00,11236.00,6328.00,152.00,18028.00,-1400.00,204.00,1876.00,1128.00,16.00,8512.00,64.00,4.00,228.00,6492.00,88.00,140.00,0.00,0.00,728.00,-52.00
1979:Q2,26144.00,144.00,-2275.00,28307.00,-32.00,26144.00,-1732.00,220.00,1780.00,672.00,180.00,16188.00,68.00,20.00,-80.00,8436.00,-104.00,72.00,0.00,0.00,480.00,-56.00
1979:Q3,30568.00,948.00,210.00,29514.00,-104.00,30568.00,-620.00,224.00,1544.00,820.00,332.00,16320.00,1316.00,24.00,120.00,9576.00,188.00,-4.00,0.00,0.00,784.00,-56.00
1979:Q4,24324.00,432.00,-7350.00,31282.00,-40.00,24324.00,-912.00,172.00,1364.00,744.00,264.00,10096.00,1564.00,36.00,768.00,10248.00,60.00,424.00,0.00,0.00,-448.00,-56.00
1980:Q1,17856.00,-196.00,-10569.00,28645.00,-24.00,17856.00,632.00,-180.00,-200.00,1608.00,72.00,3208.00,1568.00,-260.00,496.00,10536.00,296.00,356.00,0.00,0.00,-176.00,-100.00
1980:Q2,19808.00,1252.00,-20727.00,39315.00,-32.00,19808.00,352.00,300.00,104.00,1044.00,420.00,6384.00,1564.00,100.00,188.00,8684.00,120.00,276.00,0.00,0.00,368.00,-96.00
1980:Q3,19776.00,1824.00,-12826.00,30806.00,-28.00,19776.00,-572.00,224.00,864.00,1056.00,-68.00,6192.00,1160.00,124.00,176.00,8764.00,896.00,192.00,0.00,0.00,864.00,-96.00
1980:Q4,24380.00,-304.00,89.00,24619.00,-24.00,24380.00,-920.00,252.00,1484.00,1012.00,216.00,8204.00,996.00,116.00,516.00,11000.00,284.00,564.00,0.00,0.00,756.00,-100.00
1981:Q1,30432.00,772.00,1515.00,28145.00,0.00,30432.00,-2512.00,9520.00,3176.00,716.00,68.00,7144.00,1520.00,364.00,244.00,7800.00,508.00,156.00,0.00,0.00,1760.00,-32.00
1981:Q2,43940.00,1096.00,22135.00,20705.00,4.00,43940.00,-2736.00,15412.00,3324.00,984.00,532.00,13252.00,1984.00,572.00,368.00,7820.00,400.00,672.00,0.00,0.00,1384.00,-28.00
1981:Q3,41704.00,1136.00,21310.00,19242.00,16.00,41704.00,-3920.00,17704.00,3688.00,1032.00,804.00,13060.00,1492.00,524.00,408.00,5996.00,12.00,500.00,0.00,0.00,436.00,-32.00
1981:Q4,43932.00,184.00,508.00,43208.00,32.00,43932.00,-3484.00,20176.00,3972.00,1208.00,524.00,9300.00,1956.00,220.00,388.00,8372.00,196.00,268.00,0.00,0.00,860.00,-24.00
1982:Q1,27736.00,3500.00,-6912.00,31088.00,60.00,27736.00,-13724.00,20256.00,2160.00,732.00,644.00,8552.00,1356.00,160.00,260.00,5640.00,0.00,360.00,0.00,0.00,1284.00,56.00
1982:Q2,36112.00,1532.00,-14985.00,49473.00,92.00,36112.00,-544.00,1908.00,1888.00,672.00,1060.00,16704.00,1584.00,32.00,168.00,6508.00,4868.00,696.00,0.00,0.00,508.00,60.00
1982:Q3,42556.00,664.00,-17532.00,59336.00,88.00,42556.00,-500.00,6496.00,1196.00,808.00,764.00,26236.00,900.00,-40.00,212.00,1948.00,2372.00,968.00,0.00,0.00,1136.00,60.00
