1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q1,2793616.00,1898383.00,243504.00,420625.00,1234254.00,490047.00,482296.00,331953.00,27194.00,231629.00,35506.00,37624.00,150343.00,127803.00,1415.00,20886.00,240.00,7751.00,6359.00,1392.00,-125398.00,252873.00,378271.00,530585.00,428806.00,148258.00,280548.00,101778.00,46011.00,55767.00,12519.00,83523.00,71004.00,2806135.00,-2107.00,-547.00,-205.00,2843.00,15.00
2003:Q2,2843418.00,1921145.00,251961.00,417117.00,1252067.00,492637.00,492734.00,339766.00,27776.00,237444.00,36547.00,37998.00,152968.00,130008.00,1462.00,21296.00,202.00,-97.00,162.00,-259.00,-125341.00,253083.00,378424.00,554977.00,437943.00,157766.00,280177.00,117033.00,49414.00,67619.00,15970.00,86368.00,70398.00,2859388.00,-2111.00,-412.00,-341.00,2849.00,15.00
2003:Q3,2921104.00,1961386.00,260565.00,430721.00,1270101.00,512067.00,510036.00,347133.00,28330.00,242226.00,36506.00,40071.00,162903.00,138533.00,2963.00,22588.00,-1181.00,2032.00,1645.00,387.00,-124979.00,260631.00,385610.00,572630.00,443917.00,162007.00,281910.00,128712.00,51108.00,77604.00,15990.00,89371.00,73381.00,2937094.00,-2118.00,-530.00,-228.00,2859.00,17.00
2003:Q4,2952536.00,1984616.00,261499.00,435566.00,1287552.00,533198.00,523598.00,352868.00,28689.00,245275.00,38054.00,40850.00,170730.00,145531.00,1328.00,23351.00,521.00,9600.00,8885.00,716.00,-127936.00,273693.00,401629.00,562659.00,444926.00,160423.00,284503.00,117732.00,49821.00,67911.00,22635.00,96851.00,74217.00,2975171.00,-2129.00,-619.00,-144.00,2873.00,18.00
2004:Q1,2985218.00,2019199.00,265571.00,444803.00,1308826.00,538789.00,526571.00,350063.00,29478.00,241536.00,36986.00,42063.00,176509.00,151441.00,-534.00,23250.00,2352.00,12218.00,10042.00,2175.00,-136661.00,285322.00,421982.00,563891.00,455841.00,166108.00,289733.00,108050.00,50717.00,57333.00,27234.00,105276.00,78042.00,3012452.00,-2234.00,-570.00,-103.00,2904.00,3.00
2004:Q2,3043568.00,2046586.00,267914.00,450397.00,1328274.00,564881.00,545823.00,360056.00,30267.00,247454.00,38924.00,43412.00,185766.00,159568.00,416.00,24285.00,1497.00,19059.00,13623.00,5436.00,-152005.00,293078.00,445083.00,584106.00,461205.00,166645.00,294560.00,122901.00,51767.00,71134.00,20974.00,109328.00,88354.00,3064542.00,-2222.00,-459.00,-211.00,2889.00,3.00
2004:Q3,3104874.00,2078169.00,271061.00,456487.00,1350621.00,577820.00,562249.00,371392.00,30813.00,255482.00,40136.00,44961.00,190857.00,164044.00,1297.00,24865.00,652.00,15571.00,12433.00,3138.00,-159495.00,296497.00,455992.00,608379.00,475032.00,176095.00,298937.00,133347.00,53996.00,79351.00,23659.00,114777.00,91118.00,3128532.00,-2176.00,-510.00,-148.00,2829.00,5.00
2004:Q4,3141267.00,2116063.00,275276.00,468746.00,1372042.00,595188.00,578175.00,381637.00,31530.00,264390.00,39622.00,46094.00,196539.00,168798.00,983.00,25728.00,1030.00,17012.00,14248.00,2764.00,-171009.00,306611.00,477620.00,601025.00,476863.00,172525.00,304338.00,124162.00,54526.00,69636.00,17266.00,122064.00,104798.00,3158533.00,-2096.00,-264.00,-370.00,2724.00,5.00
2005:Q1,3189157.00,2143280.00,277629.00,473970.00,1391682.00,618792.00,593916.00,390133.00,30764.00,271814.00,44306.00,43250.00,203783.00,175745.00,993.00,26003.00,1043.00,24876.00,23155.00,1721.00,-169196.00,317050.00,486246.00,596281.00,484754.00,177379.00,307375.00,111527.00,52687.00,58840.00,25722.00,134642.00,108920.00,3214879.00,-2340.00,6.00,-261.00,2577.00,18.00
2005:Q2,3243608.00,2180982.00,285148.00,479198.00,1416636.00,617387.00,609730.00,398803.00,31168.00,279792.00,43410.00,44433.00,210927.00,181993.00,1197.00,26838.00,899.00,7657.00,6606.00,1050.00,-172272.00,325033.00,497305.00,617511.00,488031.00,177196.00,310835.00,129480.00,55063.00,74417.00,22939.00,138551.00,115612.00,3266547.00,-2260.00,27.00,-274.00,2489.00,18.00
2005:Q3,3318071.00,2222013.00,286352.00,495009.00,1440652.00,631810.00,627325.00,408439.00,31978.00,287976.00,42542.00,45943.00,218885.00,188973.00,1833.00,27757.00,323.00,4485.00,3209.00,1276.00,-182849.00,327721.00,510570.00,647098.00,504540.00,188051.00,316489.00,142558.00,58541.00,84017.00,25583.00,146273.00,120690.00,3343655.00,-2232.00,943.00,-1190.00,2458.00,21.00
2005:Q4,3342884.00,2247835.00,278103.00,504871.00,1464861.00,659120.00,636557.00,414093.00,32177.00,292651.00,42936.00,46329.00,222465.00,192186.00,1971.00,28105.00,202.00,22562.00,19542.00,3020.00,-196870.00,339094.00,535964.00,632800.00,502723.00,180815.00,321908.00,130077.00,56588.00,73489.00,18326.00,156322.00,137996.00,3361210.00,-2254.00,19.00,-268.00,2482.00,21.00
2006:Q1,3401422.00,2283571.00,288332.00,509649.00,1485591.00,674914.00,656308.00,432344.00,33136.00,305605.00,47137.00,46467.00,223964.00,193575.00,1506.00,28122.00,761.00,18606.00,15806.00,2800.00,-194305.00,354297.00,548602.00,637242.00,515371.00,191403.00,323968.00,121871.00,58114.00,63757.00,18859.00,165487.00,146628.00,3420281.00,-2359.00,146.00,-350.00,2563.00,0.00
2006:Q2,3451602.00,2313436.00,286753.00,518826.00,1507857.00,674238.00,654917.00,440241.00,34024.00,312015.00,47837.00,46366.00,214675.00,185428.00,1635.00,27076.00,537.00,19321.00,18484.00,838.00,-195392.00,365854.00,561246.00,659321.00,518675.00,189508.00,329167.00,140646.00,59673.00,80973.00,17591.00,179887.00,162296.00,3469193.00,-2456.00,342.00,-555.00,2669.00,0.00
