1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,157892.00,15999.00,15999.00,0.00,0.00,0.00,141893.00,157892.00,157892.00,15999.00,141893.00,157892.00,0.00
1963:Q1,160947.00,16048.00,16048.00,0.00,0.00,0.00,144899.00,160947.00,160947.00,16048.00,144899.00,160947.00,0.00
1963:Q2,164075.00,17000.00,17000.00,0.00,0.00,0.00,147075.00,164075.00,164075.00,17000.00,147075.00,164075.00,0.00
1963:Q3,167280.00,17073.00,17073.00,0.00,0.00,0.00,150207.00,167280.00,167280.00,17073.00,150207.00,167280.00,0.00
1963:Q4,170530.00,17160.00,17160.00,0.00,0.00,0.00,153370.00,170530.00,170530.00,17160.00,153370.00,170530.00,0.00
1964:Q1,173787.00,17268.00,17268.00,0.00,0.00,0.00,156519.00,173787.00,173787.00,17268.00,156519.00,173787.00,0.00
1964:Q2,177094.00,18179.00,18179.00,0.00,0.00,0.00,158915.00,177094.00,177094.00,18179.00,158915.00,177094.00,0.00
1964:Q3,180489.00,18348.00,18348.00,0.00,0.00,0.00,162141.00,180489.00,180489.00,18348.00,162141.00,180489.00,0.00
1964:Q4,183938.00,18409.00,18409.00,0.00,0.00,0.00,165529.00,183938.00,183938.00,18409.00,165529.00,183938.00,0.00
1965:Q1,187326.00,18480.00,18480.00,0.00,0.00,0.00,168846.00,187326.00,187326.00,18480.00,168846.00,187326.00,0.00
1965:Q2,190816.00,19550.00,19550.00,0.00,0.00,0.00,171266.00,190816.00,190816.00,19550.00,171266.00,190816.00,0.00
1965:Q3,194417.00,19728.00,19728.00,0.00,0.00,0.00,174689.00,194417.00,194417.00,19728.00,174689.00,194417.00,0.00
1965:Q4,198098.00,19724.00,19724.00,0.00,0.00,0.00,178374.00,198098.00,198098.00,19724.00,178374.00,198098.00,0.00
1966:Q1,201799.00,19747.00,19747.00,0.00,0.00,0.00,182052.00,201799.00,201799.00,19747.00,182052.00,201799.00,0.00
1966:Q2,205623.00,20835.00,20835.00,0.00,0.00,0.00,184788.00,205623.00,205623.00,20835.00,184788.00,205623.00,0.00
1966:Q3,209570.00,20935.00,20935.00,0.00,0.00,0.00,188635.00,209570.00,209570.00,20935.00,188635.00,209570.00,0.00
1966:Q4,213594.00,20977.00,20977.00,0.00,0.00,0.00,192617.00,213594.00,213594.00,20977.00,192617.00,213594.00,0.00
1967:Q1,217587.00,20925.00,20925.00,0.00,0.00,0.00,196662.00,217587.00,217587.00,20925.00,196662.00,217587.00,0.00
1967:Q2,221701.00,22043.00,22043.00,0.00,0.00,0.00,199658.00,221701.00,221701.00,22043.00,199658.00,221701.00,0.00
1967:Q3,225943.00,22074.00,22074.00,0.00,0.00,0.00,203869.00,225943.00,225943.00,22074.00,203869.00,225943.00,0.00
1967:Q4,230270.00,22292.00,22292.00,0.00,0.00,0.00,207978.00,230270.00,230270.00,22292.00,207978.00,230270.00,0.00
1968:Q1,234651.00,22334.00,22334.00,0.00,0.00,0.00,212317.00,234651.00,234651.00,22334.00,212317.00,234651.00,0.00
1968:Q2,239108.00,23603.00,23603.00,0.00,0.00,0.00,215505.00,239108.00,239108.00,23603.00,215505.00,239108.00,0.00
1968:Q3,243684.00,23594.00,23594.00,0.00,0.00,0.00,220090.00,243684.00,243684.00,23594.00,220090.00,243684.00,0.00
1968:Q4,248333.00,23628.00,23628.00,0.00,0.00,0.00,224705.00,248333.00,248333.00,23628.00,224705.00,248333.00,0.00
1969:Q1,252718.00,23755.00,23755.00,0.00,0.00,0.00,228963.00,252718.00,252718.00,23755.00,228963.00,252718.00,0.00
1969:Q2,257312.00,24871.00,24871.00,0.00,0.00,0.00,232441.00,257312.00,257312.00,24871.00,232441.00,257312.00,0.00
1969:Q3,262204.00,25176.00,25176.00,0.00,0.00,0.00,237028.00,262204.00,262204.00,25176.00,237028.00,262204.00,0.00
1969:Q4,267419.00,25147.00,25147.00,0.00,0.00,0.00,242272.00,267419.00,267419.00,25147.00,242272.00,267419.00,0.00
1970:Q1,275062.00,25185.00,25185.00,0.00,0.00,0.00,249877.00,275062.00,275062.00,25185.00,249877.00,275062.00,0.00
1970:Q2,283116.00,26910.00,26910.00,0.00,0.00,0.00,256206.00,283116.00,283116.00,26910.00,256206.00,283116.00,0.00
1970:Q3,291549.00,27046.00,27046.00,0.00,0.00,0.00,264503.00,291549.00,291549.00,27046.00,264503.00,291549.00,0.00
1970:Q4,300232.00,27528.00,27528.00,0.00,0.00,0.00,272704.00,300232.00,300232.00,27528.00,272704.00,300232.00,0.00
1971:Q1,306969.00,27726.00,27726.00,0.00,0.00,0.00,279243.00,306969.00,306969.00,27726.00,279243.00,306969.00,0.00
1971:Q2,313933.00,29583.00,29583.00,0.00,0.00,0.00,284350.00,313933.00,313933.00,29583.00,284350.00,313933.00,0.00
1971:Q3,321098.00,29814.00,29814.00,0.00,0.00,0.00,291284.00,321098.00,321098.00,29814.00,291284.00,321098.00,0.00
1971:Q4,328364.00,30371.00,30371.00,0.00,0.00,0.00,297993.00,328364.00,328364.00,30371.00,297993.00,328364.00,0.00
