1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21779.00,1680.00,15555.00,883.00,242.00,612.00,2403.00,404.00,20234.00,16528.00,2644.00,0.00,1062.00,0.00,1545.00,2621.00,-651.00,4817.00,5294.00,7038.00,272.00,-2016.00,1563.00,395.00,152.00,0.00,0.00,709.00,0.00,480.00,200.00,29.00,0.00,69.00,0.00,0.00,238.00,0.00,0.00,3579.00,2115.00,312.00,1803.00,261.00,86.00,1117.00,-477.00
1952:Q1,22714.00,1816.00,16347.00,844.00,268.00,643.00,2364.00,432.00,20924.00,16980.00,2828.00,0.00,1116.00,0.00,1790.00,2701.00,-670.00,5161.00,327.00,7350.00,245.00,-7268.00,2528.00,880.00,152.00,0.00,320.00,1200.00,0.00,1392.00,-320.00,128.00,0.00,112.00,0.00,0.00,-272.00,12.00,124.00,9796.00,8508.00,328.00,8180.00,-180.00,484.00,984.00,4834.00
1952:Q2,23215.00,1845.00,16786.00,796.00,272.00,651.00,2452.00,413.00,21926.00,17793.00,2996.00,0.00,1137.00,0.00,1289.00,2772.00,-687.00,4748.00,-2789.00,7351.00,244.00,-10384.00,2200.00,-616.00,-308.00,0.00,348.00,2708.00,0.00,1840.00,820.00,48.00,0.00,100.00,0.00,0.00,-372.00,-48.00,388.00,12584.00,10500.00,296.00,10204.00,292.00,504.00,1288.00,7537.00
1952:Q3,23818.00,1846.00,17202.00,792.00,276.00,659.00,2652.00,391.00,21681.00,17623.00,2892.00,0.00,1166.00,0.00,2137.00,2870.00,-735.00,5742.00,7230.00,7366.00,252.00,-388.00,5568.00,1280.00,560.00,0.00,2048.00,604.00,0.00,312.00,260.00,32.00,0.00,104.00,0.00,0.00,512.00,-4.00,464.00,5956.00,4220.00,12.00,4208.00,544.00,480.00,712.00,-1488.00
1952:Q4,24414.00,1845.00,17665.00,872.00,296.00,671.00,2672.00,393.00,22163.00,18026.00,2936.00,0.00,1201.00,0.00,2251.00,2838.00,-740.00,5829.00,1149.00,7526.00,267.00,-6644.00,124.00,-332.00,-64.00,0.00,-1728.00,1176.00,0.00,1280.00,-96.00,-8.00,0.00,96.00,0.00,0.00,428.00,80.00,468.00,6768.00,4320.00,136.00,4184.00,632.00,492.00,1324.00,4680.00
1953:Q1,24377.00,1911.00,17962.00,864.00,296.00,709.00,2211.00,424.00,22701.00,18564.00,2900.00,0.00,1237.00,0.00,1676.00,2900.00,-676.00,5252.00,1903.00,7801.00,309.00,-6207.00,188.00,-136.00,-120.00,0.00,36.00,916.00,0.00,1152.00,-248.00,12.00,0.00,84.00,0.00,0.00,-120.00,-8.00,-464.00,6395.00,5776.00,28.00,5748.00,-900.00,512.00,1007.00,3349.00
1953:Q2,25605.00,1923.00,18242.00,868.00,300.00,722.00,3107.00,443.00,22794.00,18525.00,3000.00,0.00,1269.00,0.00,2811.00,2883.00,-896.00,6590.00,1655.00,7712.00,326.00,-6383.00,-224.00,444.00,60.00,0.00,-1024.00,596.00,0.00,648.00,-172.00,120.00,0.00,84.00,0.00,0.00,48.00,4.00,-436.00,6159.00,5284.00,140.00,5144.00,-296.00,500.00,671.00,4935.00
1953:Q3,25577.00,1951.00,18587.00,844.00,312.00,730.00,2688.00,465.00,23271.00,18890.00,3080.00,0.00,1301.00,0.00,2306.00,2912.00,-801.00,6019.00,8162.00,8012.00,337.00,-187.00,6156.00,936.00,412.00,0.00,3260.00,732.00,0.00,504.00,-8.00,236.00,0.00,80.00,0.00,0.00,212.00,-24.00,548.00,6343.00,5016.00,208.00,4808.00,12.00,524.00,791.00,-2143.00
1953:Q4,25698.00,1959.00,18785.00,660.00,316.00,739.00,2742.00,497.00,23276.00,19028.00,2908.00,0.00,1340.00,0.00,2422.00,2874.00,-819.00,6115.00,2126.00,8457.00,344.00,-6675.00,332.00,292.00,964.00,0.00,-2560.00,1364.00,0.00,912.00,92.00,360.00,0.00,84.00,0.00,0.00,-124.00,-184.00,496.00,7007.00,5344.00,300.00,5044.00,-272.00,536.00,1399.00,3989.00
1954:Q1,26192.00,2056.00,18961.00,720.00,316.00,790.00,2811.00,538.00,23788.00,19414.00,2996.00,0.00,1378.00,0.00,2404.00,2843.00,-851.00,6098.00,3727.00,8943.00,316.00,-5532.00,904.00,1264.00,1040.00,0.00,-1564.00,728.00,0.00,240.00,124.00,364.00,0.00,88.00,0.00,0.00,-192.00,60.00,-520.00,6436.00,5528.00,268.00,5260.00,-416.00,560.00,764.00,2371.00
1954:Q2,26452.00,2089.00,19212.00,740.00,324.00,799.00,2721.00,567.00,24372.00,19905.00,3044.00,0.00,1423.00,0.00,2080.00,2968.00,-826.00,5874.00,2387.00,9210.00,337.00,-7160.00,-528.00,-1440.00,-76.00,0.00,864.00,568.00,0.00,256.00,84.00,228.00,0.00,96.00,0.00,0.00,24.00,20.00,-584.00,6632.00,6072.00,256.00,5816.00,-772.00,572.00,760.00,3487.00
1954:Q3,26943.00,2109.00,19500.00,788.00,328.00,807.00,2826.00,585.00,25160.00,20598.00,3088.00,0.00,1474.00,0.00,1783.00,2977.00,-843.00,5603.00,9613.00,9492.00,377.00,-256.00,6880.00,-8.00,1044.00,0.00,4024.00,924.00,0.00,688.00,128.00,108.00,0.00,92.00,0.00,0.00,392.00,48.00,364.00,7136.00,5372.00,-32.00,5404.00,-96.00,592.00,1268.00,-4010.00
1954:Q4,27396.00,2114.00,19855.00,844.00,328.00,820.00,2822.00,613.00,25543.00,20881.00,3140.00,0.00,1522.00,0.00,1853.00,3040.00,-840.00,5733.00,2506.00,9532.00,434.00,-7460.00,16.00,1648.00,-160.00,0.00,-3336.00,836.00,0.00,604.00,236.00,-4.00,0.00,84.00,0.00,0.00,476.00,56.00,412.00,7476.00,5632.00,-52.00,5684.00,-56.00,596.00,1304.00,3227.00
1955:Q1,28133.00,2364.00,20264.00,936.00,332.00,830.00,2722.00,685.00,26401.00,21628.00,3200.00,0.00,1573.00,0.00,1732.00,3009.00,-932.00,5673.00,3966.00,9825.00,540.00,-6399.00,1152.00,-40.00,-516.00,0.00,920.00,1004.00,0.00,756.00,292.00,-44.00,0.00,68.00,0.00,0.00,32.00,92.00,-408.00,7551.00,5472.00,-76.00,5548.00,32.00,632.00,1415.00,1707.00
1955:Q2,28804.00,2361.00,20704.00,948.00,336.00,848.00,2868.00,739.00,26801.00,21878.00,3300.00,0.00,1623.00,0.00,2003.00,3062.00,-976.00,6041.00,3240.00,10110.00,601.00,-7471.00,-192.00,0.00,64.00,0.00,-1608.00,1204.00,0.00,1080.00,128.00,-4.00,0.00,56.00,0.00,0.00,368.00,12.00,-288.00,7279.00,5144.00,-56.00,5200.00,-36.00,644.00,1527.00,2801.00
1955:Q3,29640.00,2408.00,21313.00,980.00,336.00,868.00,2967.00,768.00,27150.00,22217.00,3260.00,0.00,1673.00,0.00,2490.00,3231.00,-1052.00,6773.00,12057.00,10261.00,647.00,1149.00,8104.00,692.00,92.00,0.00,4544.00,1172.00,0.00,1208.00,-68.00,32.00,0.00,52.00,0.00,0.00,832.00,32.00,688.00,6955.00,4908.00,112.00,4796.00,12.00,652.00,1383.00,-5284.00
1955:Q4,30233.00,2423.00,21875.00,1008.00,344.00,890.00,2907.00,786.00,27667.00,22691.00,3248.00,0.00,1728.00,0.00,2566.00,3325.00,-1032.00,6923.00,5087.00,10382.00,676.00,-5971.00,696.00,-496.00,108.00,0.00,-1660.00,1324.00,0.00,1544.00,-284.00,64.00,0.00,60.00,0.00,0.00,708.00,28.00,624.00,6667.00,4612.00,132.00,4480.00,40.00,656.00,1359.00,1836.00
1956:Q1,31081.00,2663.00,22439.00,1044.00,356.00,940.00,2866.00,773.00,28180.00,23130.00,3268.00,0.00,1782.00,0.00,2901.00,3460.00,-1065.00,7426.00,6377.00,11050.00,671.00,-5344.00,752.00,668.00,184.00,0.00,-632.00,868.00,0.00,1048.00,-244.00,64.00,0.00,64.00,0.00,0.00,-124.00,36.00,-312.00,6096.00,4444.00,128.00,4316.00,28.00,676.00,948.00,1049.00
1956:Q2,31842.00,2667.00,23020.00,1068.00,364.00,967.00,2984.00,772.00,28764.00,23677.00,3248.00,0.00,1839.00,0.00,3078.00,3577.00,-1105.00,7760.00,4342.00,11385.00,681.00,-7724.00,-752.00,232.00,-212.00,0.00,-2252.00,1416.00,0.00,1332.00,52.00,32.00,0.00,56.00,0.00,0.00,384.00,24.00,-400.00,6972.00,4420.00,140.00,4280.00,8.00,692.00,1852.00,3418.00
1956:Q3,32569.00,2689.00,23573.00,1008.00,376.00,992.00,3160.00,771.00,29512.00,24342.00,3268.00,0.00,1902.00,0.00,3057.00,3695.00,-1165.00,7917.00,12790.00,11492.00,686.00,612.00,7384.00,-2516.00,40.00,0.00,7512.00,1204.00,0.00,992.00,228.00,-16.00,0.00,76.00,0.00,0.00,428.00,-60.00,700.00,6772.00,3956.00,-16.00,3972.00,140.00,696.00,1980.00,-4873.00
1956:Q4,33152.00,2693.00,24052.00,1056.00,384.00,1017.00,3186.00,764.00,30287.00,24939.00,3384.00,0.00,1964.00,0.00,2865.00,3775.00,-1173.00,7813.00,4680.00,11610.00,690.00,-7620.00,-880.00,-560.00,164.00,0.00,-2344.00,1052.00,0.00,836.00,292.00,-76.00,0.00,124.00,0.00,0.00,368.00,48.00,268.00,6740.00,3840.00,124.00,3716.00,96.00,704.00,2100.00,3133.00
1957:Q1,34210.00,2866.00,24584.00,1088.00,392.00,1066.00,3459.00,755.00,30858.00,25357.00,3476.00,0.00,2025.00,0.00,3352.00,3837.00,-1630.00,8819.00,6017.00,12456.00,689.00,-7128.00,-884.00,-164.00,240.00,0.00,-696.00,284.00,0.00,116.00,228.00,-60.00,0.00,164.00,0.00,0.00,-128.00,32.00,-616.00,6244.00,3740.00,88.00,3652.00,228.00,744.00,1532.00,2802.00
1957:Q2,34516.00,2889.00,25013.00,1040.00,392.00,1084.00,3341.00,757.00,31715.00,26080.00,3548.00,0.00,2087.00,0.00,2801.00,3946.00,-1566.00,8313.00,3756.00,12615.00,697.00,-9556.00,-2764.00,1792.00,384.00,0.00,-4472.00,48.00,0.00,-44.00,56.00,36.00,0.00,208.00,0.00,0.00,-48.00,-48.00,-628.00,6792.00,4420.00,112.00,4308.00,8.00,756.00,1608.00,4557.00
1957:Q3,35111.00,2905.00,25356.00,1020.00,400.00,1094.00,3543.00,793.00,32610.00,26819.00,3648.00,0.00,2143.00,0.00,2501.00,3993.00,-1656.00,8150.00,12050.00,12617.00,709.00,-1276.00,5756.00,-4480.00,784.00,0.00,8968.00,-560.00,0.00,-556.00,-164.00,160.00,0.00,228.00,0.00,0.00,220.00,-20.00,616.00,7032.00,4532.00,96.00,4436.00,264.00,764.00,1472.00,-3900.00
1957:Q4,35339.00,2908.00,25510.00,928.00,404.00,1096.00,3713.00,780.00,33401.00,27474.00,3732.00,0.00,2195.00,0.00,1938.00,4000.00,-1728.00,7666.00,4683.00,12934.00,725.00,-8976.00,-888.00,224.00,124.00,0.00,-1688.00,-720.00,0.00,-828.00,-196.00,304.00,0.00,208.00,0.00,0.00,400.00,-92.00,656.00,8088.00,5336.00,404.00,4932.00,104.00,788.00,1860.00,2983.00
1958:Q1,35486.00,3022.00,25787.00,888.00,392.00,1123.00,3511.00,763.00,34516.00,28334.00,3968.00,0.00,2214.00,0.00,970.00,3971.00,-2342.00,7283.00,4190.00,13171.00,756.00,-9737.00,-2128.00,-1548.00,2108.00,0.00,-248.00,-1208.00,0.00,-1336.00,-176.00,304.00,0.00,208.00,0.00,0.00,-520.00,-40.00,-880.00,7609.00,5264.00,268.00,4996.00,204.00,812.00,1329.00,3093.00
1958:Q2,36275.00,3028.00,26135.00,908.00,396.00,1129.00,3928.00,751.00,35474.00,29181.00,4020.00,0.00,2273.00,0.00,801.00,4071.00,-2640.00,7512.00,3837.00,13311.00,771.00,-10245.00,-1440.00,3024.00,2512.00,0.00,-7032.00,332.00,0.00,276.00,-100.00,156.00,0.00,204.00,0.00,0.00,280.00,20.00,-780.00,8805.00,5428.00,392.00,5036.00,148.00,828.00,2401.00,3675.00
1958:Q3,36940.00,3077.00,26739.00,1032.00,392.00,1143.00,3800.00,757.00,36080.00,29734.00,4004.00,0.00,2342.00,0.00,860.00,4169.00,-2560.00,7589.00,12624.00,13897.00,784.00,-2057.00,6116.00,-3244.00,-752.00,0.00,8372.00,260.00,0.00,304.00,-116.00,72.00,0.00,212.00,0.00,0.00,668.00,116.00,484.00,8173.00,5124.00,152.00,4972.00,236.00,860.00,1953.00,-5035.00
1958:Q4,38676.00,3128.00,27425.00,1188.00,400.00,1169.00,4589.00,777.00,36742.00,30164.00,4148.00,0.00,2430.00,0.00,1934.00,4238.00,-3135.00,9307.00,6208.00,14356.00,793.00,-8941.00,-84.00,900.00,-644.00,0.00,-2704.00,504.00,0.00,624.00,-176.00,56.00,0.00,224.00,0.00,0.00,616.00,160.00,860.00,8857.00,5984.00,848.00,5136.00,132.00,884.00,1857.00,3099.00
1959:Q1,38899.00,3606.00,27934.00,1160.00,404.00,1107.00,3723.00,965.00,37513.00,30622.00,4336.00,0.00,2555.00,0.00,1386.00,4307.00,-3543.00,9236.00,7289.00,14656.00,793.00,-8160.00,328.00,4280.00,-488.00,0.00,-4852.00,776.00,0.00,884.00,-140.00,32.00,0.00,244.00,0.00,0.00,280.00,-24.00,112.00,8488.00,5676.00,416.00,5260.00,100.00,908.00,1804.00,1947.00
1959:Q2,39896.00,3694.00,28216.00,1272.00,408.00,1110.00,4201.00,995.00,37901.00,30994.00,4324.00,0.00,2583.00,0.00,1995.00,4331.00,-2896.00,9222.00,6634.00,14414.00,800.00,-8580.00,760.00,-416.00,12.00,0.00,-816.00,1320.00,0.00,1268.00,44.00,8.00,0.00,268.00,0.00,0.00,468.00,72.00,-148.00,9340.00,5940.00,708.00,5232.00,252.00,908.00,2240.00,2588.00
1959:Q3,41040.00,3967.00,29262.00,1128.00,416.00,1136.00,4049.00,1082.00,38443.00,31418.00,4324.00,0.00,2701.00,0.00,2597.00,4366.00,-4082.00,11045.00,11192.00,13996.00,808.00,-3612.00,5676.00,1516.00,-1032.00,0.00,3992.00,824.00,0.00,840.00,20.00,-36.00,0.00,264.00,0.00,0.00,248.00,-172.00,36.00,9288.00,6680.00,1168.00,5512.00,172.00,896.00,1540.00,-147.00
1959:Q4,41883.00,4025.00,29952.00,1088.00,424.00,1175.00,4079.00,1140.00,39126.00,31954.00,4372.00,0.00,2800.00,0.00,2757.00,4402.00,-3375.00,10534.00,7925.00,13278.00,819.00,-6172.00,2004.00,1396.00,-132.00,0.00,-1688.00,1644.00,0.00,1868.00,-128.00,-96.00,0.00,244.00,0.00,0.00,508.00,-12.00,44.00,8176.00,5072.00,-680.00,5752.00,216.00,872.00,2016.00,2609.00
1960:Q1,43039.00,4152.00,30444.00,1380.00,448.00,1328.00,4175.00,1112.00,40344.00,32948.00,4424.00,0.00,2972.00,0.00,2695.00,4454.00,-2766.00,9915.00,8831.00,13534.00,830.00,-5533.00,2796.00,2152.00,248.00,0.00,-1688.00,1288.00,0.00,1432.00,-40.00,-104.00,0.00,208.00,0.00,0.00,344.00,280.00,-36.00,8329.00,5752.00,4.00,5748.00,152.00,888.00,1537.00,1084.00
1960:Q2,43995.00,4212.00,31219.00,1264.00,444.00,1408.00,4283.00,1165.00,41457.00,33893.00,4500.00,0.00,3064.00,0.00,2538.00,4515.00,-3087.00,10140.00,8040.00,13952.00,849.00,-6761.00,1844.00,-728.00,1352.00,0.00,-616.00,1532.00,0.00,1244.00,344.00,-56.00,0.00,172.00,0.00,0.00,244.00,-136.00,24.00,8605.00,5272.00,176.00,5096.00,392.00,920.00,2021.00,2100.00
1960:Q3,44486.00,4264.00,31825.00,1204.00,476.00,1287.00,4259.00,1171.00,41951.00,34370.00,4620.00,0.00,2961.00,0.00,2535.00,4578.00,-3233.00,10346.00,12252.00,14438.00,875.00,-3061.00,6008.00,892.00,2132.00,0.00,620.00,1796.00,0.00,1056.00,684.00,56.00,0.00,176.00,0.00,0.00,360.00,-96.00,128.00,9069.00,5252.00,544.00,4708.00,316.00,932.00,2569.00,-1906.00
1960:Q4,45230.00,4292.00,32412.00,1148.00,476.00,1269.00,4443.00,1190.00,42718.00,35094.00,4700.00,0.00,2924.00,0.00,2512.00,4642.00,-2938.00,10092.00,7215.00,14502.00,906.00,-8193.00,-224.00,-2456.00,1780.00,0.00,-1324.00,1120.00,0.00,-144.00,1028.00,236.00,0.00,212.00,0.00,0.00,408.00,-52.00,88.00,7969.00,4964.00,412.00,4552.00,-40.00,940.00,2105.00,2877.00
1961:Q1,46101.00,4347.00,32920.00,1160.00,484.00,1379.00,4609.00,1202.00,44036.00,36175.00,4852.00,0.00,3009.00,0.00,2065.00,4709.00,-3507.00,10281.00,8698.00,15355.00,952.00,-7609.00,636.00,-2312.00,940.00,0.00,1020.00,552.00,0.00,-632.00,948.00,236.00,0.00,244.00,0.00,0.00,-12.00,60.00,144.00,8245.00,5380.00,1036.00,4344.00,200.00,992.00,1673.00,1583.00
1961:Q2,47272.00,4484.00,33443.00,1244.00,468.00,1420.00,4962.00,1251.00,45349.00,37193.00,4920.00,0.00,3236.00,0.00,1923.00,4778.00,-3171.00,9872.00,8914.00,14501.00,982.00,-6569.00,1068.00,-1380.00,1356.00,0.00,-316.00,848.00,0.00,1460.00,-684.00,72.00,0.00,276.00,0.00,0.00,328.00,44.00,-88.00,7637.00,3952.00,-716.00,4668.00,452.00,972.00,2261.00,958.00
1961:Q3,48264.00,4646.00,34096.00,1320.00,496.00,1428.00,5067.00,1211.00,45876.00,37470.00,5032.00,0.00,3374.00,0.00,2388.00,4846.00,-3199.00,10433.00,12414.00,15004.00,1007.00,-3597.00,6208.00,1508.00,992.00,0.00,2224.00,740.00,0.00,-624.00,1432.00,-68.00,0.00,284.00,0.00,0.00,480.00,120.00,-140.00,9805.00,6192.00,688.00,5504.00,152.00,980.00,2481.00,-1981.00
1961:Q4,49285.00,4747.00,34769.00,1436.00,520.00,1441.00,5126.00,1246.00,46695.00,38116.00,5124.00,0.00,3455.00,0.00,2590.00,4922.00,-3283.00,10795.00,8718.00,16148.00,1027.00,-8457.00,1548.00,1936.00,344.00,0.00,-2444.00,856.00,0.00,848.00,184.00,-176.00,0.00,264.00,0.00,0.00,432.00,136.00,24.00,10005.00,5988.00,-64.00,6052.00,100.00,1036.00,2881.00,2077.00
1962:Q1,50322.00,4850.00,35476.00,1488.00,524.00,1477.00,5327.00,1180.00,47346.00,38618.00,5220.00,0.00,3508.00,0.00,2976.00,5024.00,-3446.00,11446.00,9666.00,15833.00,1030.00,-7197.00,2380.00,-352.00,2192.00,0.00,384.00,-252.00,0.00,-104.00,56.00,-204.00,0.00,260.00,0.00,0.00,32.00,88.00,28.00,9577.00,6644.00,724.00,5920.00,340.00,1032.00,1561.00,1780.00
1962:Q2,51045.00,4960.00,35958.00,1472.00,540.00,1543.00,5329.00,1243.00,47879.00,39114.00,5312.00,0.00,3453.00,0.00,3166.00,5120.00,-3611.00,11897.00,9623.00,15857.00,1047.00,-7281.00,1884.00,-392.00,1016.00,0.00,-164.00,1176.00,0.00,976.00,332.00,-132.00,0.00,260.00,0.00,0.00,232.00,-28.00,-216.00,9165.00,4932.00,-396.00,5328.00,644.00,1032.00,2557.00,2274.00
1962:Q3,52185.00,5103.00,36516.00,1520.00,556.00,1588.00,5589.00,1313.00,48362.00,39479.00,5348.00,0.00,3535.00,0.00,3823.00,5200.00,-3341.00,12364.00,16567.00,16219.00,1065.00,-717.00,7844.00,1468.00,244.00,0.00,3648.00,1660.00,0.00,1444.00,364.00,-148.00,0.00,252.00,0.00,0.00,716.00,20.00,-164.00,8561.00,4640.00,-976.00,5616.00,208.00,1056.00,2657.00,-4203.00
1962:Q4,52839.00,5191.00,37054.00,1528.00,572.00,1544.00,5567.00,1383.00,49160.00,40157.00,5480.00,0.00,3523.00,0.00,3679.00,5298.00,-3702.00,12679.00,8147.00,16478.00,1086.00,-9417.00,1308.00,-476.00,488.00,0.00,-1784.00,2664.00,0.00,2304.00,636.00,-276.00,0.00,232.00,0.00,0.00,312.00,28.00,-156.00,10725.00,5588.00,604.00,4984.00,824.00,1068.00,3245.00,4532.00
1963:Q1,53637.00,5269.00,37613.00,1540.00,596.00,1541.00,5617.00,1461.00,50202.00,41001.00,5572.00,0.00,3621.00,8.00,3435.00,5381.00,-3857.00,12673.00,13642.00,17223.00,1110.00,-4691.00,4352.00,228.00,3208.00,0.00,-1868.00,2292.00,0.00,3800.00,-1188.00,-320.00,0.00,216.00,0.00,0.00,140.00,40.00,96.00,9043.00,4908.00,-492.00,5400.00,244.00,1108.00,2783.00,-969.00
1963:Q2,54796.00,5303.00,38266.00,1648.00,624.00,1615.00,5826.00,1514.00,51224.00,41819.00,5664.00,0.00,3729.00,12.00,3572.00,5479.00,-3982.00,13033.00,9414.00,17264.00,1137.00,-8987.00,1240.00,-1268.00,832.00,0.00,4.00,1148.00,0.00,1164.00,220.00,-236.00,0.00,192.00,0.00,0.00,284.00,148.00,-100.00,10227.00,6908.00,1668.00,5240.00,84.00,1116.00,2119.00,3619.00
1963:Q3,56294.00,5497.00,39143.00,1692.00,640.00,1677.00,6101.00,1544.00,52266.00,42664.00,5728.00,0.00,3862.00,12.00,4028.00,5570.00,-4230.00,13828.00,19266.00,18117.00,1164.00,-15.00,8500.00,1060.00,1176.00,0.00,4016.00,1380.00,0.00,2272.00,-700.00,-192.00,0.00,188.00,0.00,0.00,600.00,92.00,-12.00,8515.00,4052.00,-412.00,4464.00,408.00,1160.00,2895.00,-5438.00
1963:Q4,57358.00,5587.00,39778.00,1732.00,656.00,1715.00,6348.00,1542.00,53525.00,43620.00,5824.00,0.00,4065.00,16.00,3833.00,5683.00,-4499.00,14015.00,10067.00,18473.00,1193.00,-9599.00,-88.00,3700.00,1356.00,0.00,-6996.00,992.00,0.00,-2608.00,3808.00,-208.00,0.00,192.00,0.00,0.00,832.00,32.00,-196.00,9511.00,5092.00,1020.00,4072.00,196.00,1184.00,3039.00,3948.00
1964:Q1,59162.00,5763.00,40691.00,1828.00,664.00,1828.00,6859.00,1529.00,54702.00,44627.00,5976.00,0.00,4087.00,12.00,4460.00,5779.00,-4279.00,14518.00,13831.00,18617.00,1230.00,-6016.00,2256.00,2180.00,884.00,0.00,-792.00,68.00,0.00,760.00,-480.00,-212.00,0.00,224.00,0.00,0.00,-268.00,128.00,-168.00,8272.00,5104.00,692.00,4412.00,-16.00,1204.00,1980.00,687.00
1964:Q2,60180.00,5999.00,41406.00,1828.00,672.00,1954.00,6802.00,1519.00,55918.00,45559.00,6088.00,0.00,4259.00,12.00,4262.00,5878.00,-4645.00,14785.00,11901.00,19421.00,1252.00,-8772.00,1404.00,-5520.00,1684.00,0.00,3772.00,792.00,0.00,-232.00,1176.00,-152.00,0.00,240.00,0.00,0.00,436.00,28.00,-28.00,10176.00,6612.00,1660.00,4952.00,300.00,1248.00,2016.00,2884.00
