date,FL892150005.Q,FL712151003.Q,FL762150005.Q,FL762152005.Q,FL762151005.Q,FL752150005.Q,FL752152005.Q,FL752151005.Q,FL472150053.Q,FL512151003.Q,FL542151073.Q,FL402150005.Q,FL642151073.Q,FL662151003.Q,FL732151003.Q,FL262151003.Q,FL892050005.Q,FL102051003.Q,FL212051003.Q,FL712051000.Q,FL762050005.Q,FL762052005.Q,FL762051005.Q,FL752050005.Q,FL752052005.Q,FL752051005.Q,FL472050053.Q,FL472052053.Q,FL472051053.Q,FL512051003.Q,FL542051073.Q,FL572051005.Q,FL222051043.Q,FL632051000.Q,FL652051003.Q,FL402050005.Q,FL402052033.Q,FL662051003.Q,FL732051003.Q,FL502051003.Q,FL262051003.Q,FL902050005.Q,FL072052006.Q,FL712151103.Q,FL632051103.Q,FL792051115.Q
1953:Q4,41.00,0.00,37.00,ND,ND,4.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.00,0.00,175.00,598.00,5.00,ND,ND,6.00,ND,ND,0.00,ND,ND,0.00,0.00,97.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,-918.00,ND,0.00,0.00,0.00
1954:Q1,78.00,0.00,74.00,ND,ND,4.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475.00,0.00,-216.00,400.00,112.00,ND,ND,6.00,ND,ND,0.00,ND,ND,0.00,0.00,99.00,0.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,-397.00,ND,0.00,0.00,0.00
1954:Q2,29.00,0.00,25.00,ND,ND,4.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,477.00,0.00,0.00,300.00,1.00,ND,ND,6.00,ND,ND,0.00,ND,ND,0.00,0.00,101.00,0.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,-448.00,ND,0.00,0.00,0.00
1954:Q3,332.00,0.00,327.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1523.00,0.00,1006.00,100.00,235.00,ND,ND,7.00,ND,ND,0.00,ND,ND,0.00,0.00,103.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,-1191.00,1.06,0.00,0.00,0.00
1954:Q4,21.00,0.00,16.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432.00,0.00,172.00,44.00,25.00,ND,ND,7.00,ND,ND,0.00,ND,ND,0.00,0.00,106.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,-411.00,1.28,0.00,0.00,0.00
1955:Q1,674.00,0.00,669.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1394.00,0.00,402.00,100.00,679.00,ND,ND,7.00,ND,ND,0.00,ND,ND,0.00,0.00,111.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,-720.00,1.35,0.00,0.00,0.00
1955:Q2,61.00,0.00,56.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,555.00,0.00,0.00,200.00,137.00,ND,ND,8.00,ND,ND,0.00,ND,ND,0.00,0.00,118.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,-494.00,1.64,0.00,0.00,0.00
1955:Q3,478.00,0.00,473.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2184.00,0.00,1136.00,300.00,485.00,ND,ND,8.00,ND,ND,0.00,ND,ND,0.00,0.00,125.00,0.00,0.00,104.00,26.00,0.00,0.00,0.00,0.00,0.00,-1706.00,2.18,0.00,0.00,0.00
1955:Q4,44.00,0.00,39.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1576.00,0.00,721.00,398.00,185.00,ND,ND,8.00,ND,ND,0.00,ND,ND,0.00,0.00,132.00,0.00,0.00,92.00,40.00,0.00,0.00,0.00,0.00,0.00,-1532.00,2.48,0.00,0.00,0.00
1956:Q1,833.00,0.00,828.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2017.00,0.00,563.00,300.00,831.00,ND,ND,8.00,ND,ND,0.00,ND,ND,0.00,0.00,140.00,0.00,0.00,135.00,40.00,0.00,0.00,0.00,0.00,0.00,-1184.00,2.50,0.00,0.00,0.00
1956:Q2,98.00,0.00,92.00,ND,ND,6.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,852.00,0.00,0.00,300.00,257.00,ND,ND,9.00,ND,ND,0.00,ND,ND,0.00,0.00,150.00,0.00,0.00,99.00,37.00,0.00,0.00,0.00,0.00,0.00,-754.00,2.71,0.00,0.00,0.00
1956:Q3,791.00,0.00,785.00,ND,ND,6.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3212.00,0.00,1878.00,300.00,725.00,ND,ND,9.00,ND,ND,0.00,ND,ND,0.00,0.00,158.00,0.00,0.00,120.00,22.00,0.00,0.00,0.00,0.00,0.00,-2421.00,2.95,0.00,0.00,0.00
1956:Q4,44.00,0.00,38.00,ND,ND,6.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2119.00,0.00,1292.00,340.00,185.00,ND,ND,10.00,ND,ND,0.00,ND,ND,0.00,0.00,166.00,0.00,0.00,108.00,18.00,0.00,0.00,0.00,0.00,0.00,-2075.00,2.94,0.00,0.00,0.00
1957:Q1,936.00,0.00,929.00,ND,ND,7.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2645.00,0.00,1118.00,400.00,806.00,ND,ND,10.00,ND,ND,0.00,ND,ND,0.00,0.00,172.00,0.00,0.00,121.00,18.00,0.00,0.00,0.00,0.00,0.00,-1709.00,2.96,0.00,0.00,0.00
1957:Q2,658.00,0.00,650.00,ND,ND,8.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1368.00,0.00,0.00,400.00,640.00,ND,ND,10.00,ND,ND,0.00,ND,ND,0.00,0.00,177.00,0.00,0.00,126.00,15.00,0.00,0.00,0.00,0.00,0.00,-710.00,3.00,0.00,0.00,0.00
1957:Q3,695.00,0.00,686.00,ND,ND,9.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3564.00,0.00,2242.00,400.00,595.00,ND,ND,10.00,ND,ND,0.00,ND,ND,0.00,0.00,182.00,0.00,0.00,119.00,16.00,0.00,0.00,0.00,0.00,0.00,-2869.00,3.47,0.00,0.00,0.00
1957:Q4,30.00,0.00,20.00,ND,ND,10.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2952.00,0.00,1820.00,542.00,252.00,ND,ND,11.00,ND,ND,0.00,ND,ND,0.00,0.00,186.00,0.00,0.00,123.00,18.00,0.00,0.00,0.00,0.00,0.00,-2922.00,2.98,0.00,0.00,0.00
1958:Q1,597.00,0.00,587.00,ND,ND,10.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3401.00,0.00,1758.00,410.00,866.00,ND,ND,11.00,ND,ND,0.00,ND,ND,0.00,0.00,191.00,0.00,0.00,153.00,12.00,0.00,0.00,0.00,0.00,0.00,-2804.00,1.20,0.00,0.00,0.00
1958:Q2,598.00,0.00,587.00,ND,ND,11.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1512.00,0.00,0.00,310.00,804.00,ND,ND,11.00,ND,ND,0.00,ND,ND,0.00,0.00,194.00,0.00,0.00,183.00,10.00,0.00,0.00,0.00,0.00,0.00,-914.00,0.93,0.00,0.00,0.00
1958:Q3,928.00,0.00,917.00,ND,ND,11.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3558.00,0.00,2093.00,210.00,867.00,ND,ND,11.00,ND,ND,0.00,ND,ND,0.00,0.00,198.00,0.00,0.00,172.00,7.00,0.00,0.00,0.00,0.00,0.00,-2630.00,1.76,0.00,0.00,0.00
1958:Q4,32.00,0.00,20.00,ND,ND,12.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2060.00,0.00,1417.00,101.00,210.00,ND,ND,11.00,ND,ND,0.00,ND,ND,0.00,0.00,204.00,0.00,0.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,-2028.00,2.42,0.00,0.00,0.00
1959:Q1,1120.00,0.00,1109.00,ND,ND,11.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1688.00,0.00,204.00,70.00,1043.00,ND,ND,11.00,ND,ND,0.00,ND,ND,0.00,0.00,211.00,0.00,0.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,-568.00,2.80,0.00,0.00,0.00
1959:Q2,1375.00,0.00,1364.00,ND,ND,11.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1413.00,0.00,0.00,70.00,962.00,ND,ND,12.00,ND,ND,0.00,ND,ND,0.00,0.00,218.00,0.00,0.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.00,3.39,0.00,0.00,0.00
1959:Q3,822.00,0.00,811.00,ND,ND,11.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2113.00,0.00,998.00,70.00,619.00,ND,ND,12.00,ND,ND,0.00,ND,ND,0.00,0.00,227.00,0.00,0.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,-1291.00,3.76,0.00,0.00,0.00
