1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q3,1176.00,1176.00,1480.00,1480.00,3240.00,160.00,288.00,0.00,2468.00,332.00,0.00,-8.00,0.00,0.00,20944.00,0.00,32264.00,27544.00,45020.00,-18076.00,107696.00,16512.00,16512.00,20100.00,-5636.00,14464.00,0.00,0.00,0.00
2005:Q4,1008.00,1008.00,916.00,916.00,-72.00,32.00,4.00,0.00,-36.00,-12.00,0.00,-60.00,0.00,0.00,53620.00,0.00,6468.00,103120.00,-23424.00,11312.00,151096.00,-54184.00,-54184.00,-4000.00,73384.00,69384.00,0.00,0.00,0.00
2006:Q1,5208.00,5208.00,892.00,892.00,2296.00,36.00,24.00,0.00,2088.00,160.00,-24.00,12.00,0.00,0.00,63328.00,0.00,-1468.00,-32844.00,27600.00,30576.00,87192.00,59908.00,59908.00,96496.00,29736.00,126232.00,0.00,0.00,0.00
2006:Q2,648.00,648.00,4844.00,4844.00,140.00,40.00,80.00,0.00,484.00,-76.00,-44.00,-344.00,0.00,0.00,39104.00,0.00,-1952.00,19784.00,8508.00,70488.00,135932.00,13504.00,13504.00,8304.00,29204.00,37508.00,0.00,0.00,0.00
2006:Q3,1344.00,1344.00,396.00,396.00,396.00,72.00,384.00,0.00,-352.00,244.00,-24.00,72.00,0.00,0.00,95280.00,0.00,15304.00,21684.00,5148.00,44856.00,182272.00,15304.00,15304.00,-12704.00,-9152.00,-21856.00,0.00,0.00,0.00
2006:Q4,896.00,896.00,1024.00,1024.00,-2108.00,56.00,200.00,0.00,-3116.00,300.00,-24.00,476.00,0.00,0.00,191228.00,0.00,-1092.00,4324.00,67580.00,19208.00,281248.00,3052.00,3052.00,-57868.00,40472.00,-17396.00,0.00,0.00,0.00
2007:Q1,1136.00,1136.00,2084.00,2084.00,-20.00,180.00,1096.00,0.00,-776.00,-748.00,-24.00,252.00,0.00,0.00,41660.00,0.00,4632.00,182552.00,-210532.00,23428.00,41740.00,-213632.00,-213632.00,134992.00,60464.00,195456.00,0.00,0.00,0.00
2007:Q2,4736.00,4736.00,1024.00,1024.00,428.00,200.00,1228.00,0.00,-2084.00,572.00,-36.00,548.00,0.00,0.00,75080.00,0.00,7768.00,52044.00,29160.00,58028.00,222080.00,17684.00,17684.00,38608.00,7476.00,46084.00,0.00,0.00,0.00
2007:Q3,360.00,360.00,4688.00,4688.00,27364.00,76.00,292.00,0.00,23932.00,1840.00,224.00,1000.00,0.00,0.00,153628.00,0.00,1812.00,-49696.00,108316.00,80428.00,294488.00,-16884.00,-16884.00,-61804.00,85536.00,23732.00,0.00,0.00,0.00
2007:Q4,372.00,372.00,4704.00,4704.00,8600.00,72.00,220.00,0.00,7108.00,636.00,-36.00,600.00,0.00,0.00,185644.00,0.00,7120.00,-19028.00,-156876.00,6840.00,23700.00,-6468.00,-6468.00,62864.00,142224.00,205088.00,0.00,0.00,0.00
