1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,2214.00,2214.00,2214.00,2664.00,2755.00,-91.00,-450.00,-56.00,124.00,0.00,0.00,0.00,0.00,0.00,73.00,0.00,73.00,-320.00,67.00,66.00,1.00,0.00,394.00,1104.00,243.00,44.00,817.00,355.00,0.00,2.00,0.00,-1067.00
1954:Q3,2229.00,2229.00,2229.00,3042.00,2906.00,136.00,-812.00,294.00,139.00,0.00,0.00,0.00,0.00,0.00,-50.00,0.00,-50.00,139.00,66.00,64.00,2.00,0.00,1106.00,976.00,265.00,48.00,663.00,850.00,0.00,2.00,0.00,-722.00
1954:Q4,2244.00,2244.00,2244.00,2894.00,3022.00,-128.00,-650.00,-287.00,103.00,0.00,0.00,0.00,0.00,0.00,287.00,0.00,287.00,-742.00,65.00,63.00,2.00,0.00,363.00,30.00,-369.00,31.00,368.00,-827.00,0.00,2.00,0.00,1158.00
1955:Q1,2261.00,2261.00,2261.00,3110.00,3091.00,19.00,-849.00,626.00,80.00,0.00,0.00,0.00,0.00,0.00,-298.00,0.00,-298.00,781.00,63.00,61.00,2.00,0.00,1475.00,686.00,-12.00,231.00,467.00,939.00,0.00,2.00,0.00,-152.00
1955:Q2,2285.00,2285.00,2285.00,3167.00,3368.00,-201.00,-882.00,-229.00,69.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,118.00,-479.00,63.00,61.00,2.00,0.00,653.00,1704.00,644.00,167.00,893.00,429.00,0.00,2.00,0.00,-1482.00
1955:Q3,2320.00,2320.00,2320.00,3253.00,3505.00,-252.00,-933.00,169.00,66.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,-6.00,45.00,64.00,60.00,4.00,0.00,1102.00,1188.00,373.00,104.00,711.00,540.00,0.00,2.00,0.00,-628.00
1955:Q4,2362.00,2362.00,2362.00,3603.00,3441.00,162.00,-1241.00,-190.00,68.00,0.00,0.00,0.00,0.00,0.00,292.00,0.00,292.00,-614.00,64.00,60.00,4.00,0.00,1051.00,342.00,71.00,-8.00,279.00,-481.00,0.00,3.00,0.00,1186.00
1956:Q1,2414.00,2414.00,2414.00,3425.00,3349.00,76.00,-1011.00,820.00,37.00,0.00,0.00,0.00,0.00,0.00,-274.00,0.00,-274.00,1005.00,52.00,49.00,3.00,0.00,1831.00,615.00,27.00,78.00,510.00,1047.00,0.00,2.00,0.00,167.00
1956:Q2,2460.00,2460.00,2460.00,2948.00,3240.00,-292.00,-488.00,250.00,19.00,0.00,0.00,0.00,0.00,0.00,101.00,0.00,101.00,81.00,49.00,45.00,4.00,0.00,738.00,1456.00,454.00,140.00,862.00,248.00,0.00,2.00,0.00,-968.00
1956:Q3,2501.00,2501.00,2501.00,3076.00,3205.00,-128.00,-576.00,605.00,35.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,481.00,49.00,46.00,3.00,0.00,1181.00,1000.00,348.00,21.00,631.00,501.00,0.00,2.00,0.00,-322.00
1956:Q4,2535.00,2535.00,2535.00,2825.00,3173.00,-348.00,-290.00,1.00,80.00,0.00,0.00,0.00,0.00,0.00,289.00,0.00,289.00,-423.00,55.00,52.00,3.00,0.00,291.00,21.00,-286.00,121.00,186.00,-873.00,0.00,2.00,0.00,1141.00
