date,FA344090045.Q,FA344022045.Q,FA343061165.Q,FA343061733.Q,FA343063033.Q,FA343064133.Q,FA343073045.Q,FA344190045.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3892.00,370.00,370.00,0.00,0.00,0.00,3522.00,3892.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3435.00,823.00,823.00,0.00,0.00,0.00,2612.00,3435.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3633.00,823.00,823.00,0.00,0.00,0.00,2810.00,3633.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3962.00,1040.00,1040.00,0.00,0.00,0.00,2922.00,3962.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4729.00,784.00,784.00,0.00,0.00,0.00,3945.00,4729.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q3,68744.00,36451.00,36451.00,0.00,0.00,0.00,32293.00,68744.00
1991:Q4,69620.00,37028.00,37028.00,0.00,0.00,0.00,32592.00,69620.00
1992:Q1,69548.00,43217.00,43217.00,0.00,0.00,0.00,26331.00,69548.00
1992:Q2,69848.00,36355.00,36355.00,0.00,0.00,0.00,33493.00,69848.00
1992:Q3,70352.00,41585.00,41585.00,0.00,0.00,0.00,28767.00,70352.00
1992:Q4,69572.00,37991.00,37991.00,0.00,0.00,0.00,31581.00,69572.00
1993:Q1,67100.00,36560.00,36560.00,0.00,0.00,0.00,30540.00,67100.00
1993:Q2,67000.00,32941.00,32941.00,0.00,0.00,0.00,34059.00,67000.00
1993:Q3,67292.00,43069.00,43069.00,0.00,0.00,0.00,24223.00,67292.00
1993:Q4,67336.00,35742.00,35742.00,0.00,0.00,0.00,31594.00,67336.00
1994:Q1,66188.00,37981.00,37981.00,0.00,0.00,0.00,28207.00,66188.00
1994:Q2,67300.00,34644.00,34644.00,0.00,0.00,0.00,32656.00,67300.00
1994:Q3,68276.00,44166.00,44166.00,0.00,0.00,0.00,24110.00,68276.00
1994:Q4,68284.00,33778.00,33778.00,0.00,0.00,0.00,34506.00,68284.00
1995:Q1,66644.00,42953.00,42953.00,0.00,0.00,0.00,23691.00,66644.00
1995:Q2,67140.00,35677.00,35677.00,0.00,0.00,0.00,31463.00,67140.00
1995:Q3,67608.00,45007.00,45007.00,0.00,0.00,0.00,22601.00,67608.00
1995:Q4,67372.00,-40334.00,-40334.00,0.00,0.00,0.00,107706.00,67372.00
1996:Q1,66464.00,96882.00,96882.00,0.00,0.00,0.00,-30418.00,66464.00
1996:Q2,66380.00,49375.00,49375.00,0.00,0.00,0.00,17005.00,66380.00
1996:Q3,67140.00,34292.00,34292.00,0.00,0.00,0.00,32848.00,67140.00
1996:Q4,67292.00,39692.00,39692.00,0.00,0.00,0.00,27600.00,67292.00
1997:Q1,66072.00,42427.00,42427.00,0.00,0.00,0.00,23645.00,66072.00
1997:Q2,67128.00,35219.00,35219.00,0.00,0.00,0.00,31909.00,67128.00
1997:Q3,68248.00,44761.00,44761.00,0.00,0.00,0.00,23487.00,68248.00
1997:Q4,68680.00,38797.00,38797.00,0.00,0.00,0.00,29883.00,68680.00
1998:Q1,67644.00,35591.00,35591.00,0.00,0.00,0.00,32053.00,67644.00
1998:Q2,68888.00,37240.00,37240.00,0.00,0.00,0.00,31648.00,68888.00
1998:Q3,70176.00,46974.00,46974.00,0.00,0.00,0.00,23202.00,70176.00
1998:Q4,70712.00,45067.00,45067.00,0.00,0.00,0.00,25645.00,70712.00
1999:Q1,69664.00,39312.00,39312.00,0.00,0.00,0.00,30352.00,69664.00
1999:Q2,70864.00,33491.00,33491.00,0.00,0.00,0.00,37373.00,70864.00
1999:Q3,71972.00,47545.00,47545.00,0.00,0.00,0.00,24427.00,71972.00
1999:Q4,72212.00,44139.00,44139.00,0.00,0.00,0.00,28073.00,72212.00
2000:Q1,71632.00,37984.00,37984.00,0.00,0.00,0.00,33648.00,71632.00
2000:Q2,71872.00,29218.00,29218.00,0.00,0.00,0.00,42654.00,71872.00
2000:Q3,73000.00,50255.00,50255.00,0.00,0.00,0.00,22745.00,73000.00
2000:Q4,73412.00,-33850.00,-33850.00,0.00,0.00,0.00,107262.00,73412.00
2001:Q1,72184.00,120064.00,120064.00,0.00,0.00,0.00,-47880.00,72184.00
2001:Q2,73220.00,45126.00,45126.00,0.00,0.00,0.00,28094.00,73220.00
2001:Q3,74028.00,38919.00,38919.00,0.00,0.00,0.00,35109.00,74028.00
2001:Q4,73872.00,39231.00,39231.00,0.00,0.00,0.00,34641.00,73872.00
2002:Q1,72212.00,42665.00,42665.00,0.00,0.00,0.00,29547.00,72212.00
2002:Q2,73324.00,36245.00,36245.00,0.00,0.00,0.00,37079.00,73324.00
2002:Q3,80784.00,26940.00,26940.00,0.00,0.00,5720.00,48124.00,80784.00
2002:Q4,109580.00,4791.00,-3037.00,4696.00,3132.00,20476.00,84313.00,109580.00
2003:Q1,114608.00,13075.00,5291.00,4672.00,3112.00,25544.00,75989.00,114608.00
2003:Q2,79496.00,53249.00,53161.00,52.00,36.00,336.00,25911.00,79496.00
2003:Q3,85396.00,26143.00,23591.00,1532.00,1020.00,316.00,58937.00,85396.00
2003:Q4,79612.00,22305.00,21769.00,232.00,304.00,-1376.00,58683.00,79612.00
2004:Q1,80660.00,41322.00,40482.00,416.00,424.00,-188.00,39526.00,80660.00
2004:Q2,80256.00,50949.00,50245.00,336.00,368.00,-632.00,29939.00,80256.00
2004:Q3,81668.00,52201.00,49649.00,1416.00,1136.00,-3028.00,32495.00,81668.00
2004:Q4,82728.00,20556.00,20644.00,-288.00,200.00,196.00,61976.00,82728.00
2005:Q1,80392.00,56859.00,57211.00,-436.00,84.00,-608.00,24141.00,80392.00
2005:Q2,82316.00,61550.00,61742.00,-340.00,148.00,-148.00,20914.00,82316.00
2005:Q3,83480.00,50238.00,48398.00,764.00,1076.00,-2268.00,35510.00,83480.00
2005:Q4,82520.00,-8731.00,-8315.00,-340.00,-76.00,-488.00,91739.00,82520.00
2006:Q1,78752.00,56320.00,56960.00,-456.00,-184.00,-1248.00,23680.00,78752.00
2006:Q2,79524.00,53977.00,54449.00,-364.00,-108.00,-704.00,26251.00,79524.00
2006:Q3,80508.00,64099.00,63103.00,404.00,592.00,-1972.00,18381.00,80508.00
2006:Q4,79300.00,-31196.00,-31056.00,-1252.00,1112.00,-772.00,111268.00,79300.00
2007:Q1,77500.00,55032.00,55228.00,-1244.00,1048.00,-968.00,23436.00,77500.00
2007:Q2,79352.00,-4195.00,-4123.00,-1160.00,1088.00,-592.00,84139.00,79352.00
2007:Q3,80632.00,68186.00,65866.00,-360.00,2680.00,-3668.00,16114.00,80632.00
2007:Q4,81528.00,16233.00,15945.00,260.00,28.00,-1772.00,67067.00,81528.00
2008:Q1,79928.00,62170.00,62138.00,172.00,-140.00,-2300.00,20058.00,79928.00
2008:Q2,79988.00,68008.00,67884.00,196.00,-72.00,-1984.00,13964.00,79988.00
2008:Q3,79800.00,70490.00,74498.00,-1252.00,-2756.00,3428.00,5882.00,79800.00
2008:Q4,78332.00,49828.00,50164.00,-688.00,352.00,-1892.00,30396.00,78332.00
2009:Q1,74248.00,39567.00,40215.00,-760.00,112.00,-2296.00,36977.00,74248.00
2009:Q2,74680.00,59254.00,59742.00,-684.00,196.00,-2096.00,17522.00,74680.00
2009:Q3,76404.00,65406.00,67094.00,-948.00,-740.00,156.00,10842.00,76404.00
2009:Q4,76660.00,80450.00,82166.00,-348.00,-1368.00,-696.00,-3094.00,76660.00
2010:Q1,79456.00,63232.00,64448.00,-228.00,-988.00,420.00,15804.00,79456.00
2010:Q2,82328.00,57391.00,58811.00,-284.00,-1136.00,-228.00,25165.00,82328.00
2010:Q3,86260.00,72222.00,72746.00,-52.00,-472.00,-1444.00,15482.00,86260.00
2010:Q4,88644.00,66851.00,65767.00,-204.00,1288.00,-2396.00,24189.00,88644.00
2011:Q1,87696.00,77752.00,76828.00,-216.00,1140.00,-2704.00,12648.00,87696.00
2011:Q2,90136.00,-303470.00,-304462.00,-184.00,1176.00,-2204.00,395810.00,90136.00
2011:Q3,91248.00,438087.00,437171.00,-180.00,1096.00,-2012.00,-344827.00,91248.00
2011:Q4,90916.00,71928.00,72220.00,-48.00,-244.00,-688.00,19676.00,90916.00
2012:Q1,87576.00,68267.00,68867.00,-96.00,-504.00,-1600.00,20909.00,87576.00
2012:Q2,86780.00,69469.00,70049.00,-92.00,-488.00,-1500.00,18811.00,86780.00
2012:Q3,87308.00,88415.00,85895.00,-424.00,2944.00,-4240.00,3133.00,87308.00
2012:Q4,88484.00,-64600.00,-64284.00,-36.00,-280.00,-676.00,153760.00,88484.00
2013:Q1,85932.00,181768.00,182324.00,-64.00,-492.00,-1304.00,-94532.00,85932.00
2013:Q2,87992.00,-302943.00,-302563.00,-44.00,-336.00,-916.00,391851.00,87992.00
2013:Q3,89016.00,-58789.00,-60049.00,0.00,1260.00,-3224.00,151029.00,89016.00
2013:Q4,90280.00,572856.00,573064.00,-24.00,-184.00,-500.00,-482076.00,90280.00
2014:Q1,87280.00,87430.00,87958.00,-56.00,-472.00,-1292.00,1142.00,87280.00
2014:Q2,89184.00,58135.00,58467.00,-36.00,-296.00,-844.00,31893.00,89184.00
2014:Q3,90084.00,84169.00,82333.00,-416.00,2252.00,-4152.00,10067.00,90084.00
2014:Q4,91348.00,46494.00,46758.00,-20.00,-244.00,-576.00,45430.00,91348.00
2015:Q1,89092.00,-56444.00,-55896.00,-44.00,-504.00,-1204.00,146740.00,89092.00
2015:Q2,92516.00,-211944.00,-211772.00,-12.00,-160.00,-380.00,304840.00,92516.00
