1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q2,-9296.00,-11824.00,-652.00,-3080.00,16.00,48.00,-3144.00,6260.00,18692.00,2992.00,12220.00,-580.00,12800.00,-2356.00,15156.00,3480.00
2007:Q3,-1864.00,-740.00,-520.00,1472.00,-8.00,-252.00,1732.00,-2076.00,27716.00,1272.00,18620.00,5840.00,12780.00,-6684.00,19464.00,7824.00
2007:Q4,1708.00,-7332.00,604.00,4664.00,8.00,68.00,4588.00,3772.00,50512.00,9608.00,26416.00,17180.00,9236.00,540.00,8696.00,14488.00
2008:Q1,10516.00,3156.00,-1184.00,2928.00,8.00,792.00,2128.00,5616.00,12676.00,-4084.00,27352.00,6928.00,20424.00,4912.00,15512.00,-10592.00
2008:Q2,2640.00,500.00,488.00,3684.00,20.00,132.00,3532.00,-2032.00,-9116.00,11520.00,-16616.00,-14012.00,-2604.00,-172.00,-2432.00,-4020.00
2008:Q3,9388.00,4548.00,1756.00,2088.00,104.00,-288.00,2272.00,996.00,7008.00,-8576.00,14996.00,9104.00,5892.00,2184.00,3708.00,588.00
2008:Q4,-13756.00,40.00,-168.00,156.00,20.00,12.00,124.00,-13784.00,-1272.00,-4512.00,11344.00,7940.00,3404.00,2372.00,1032.00,-8104.00
2009:Q1,66956.00,6912.00,5940.00,14964.00,32.00,-52.00,14984.00,39140.00,46328.00,23104.00,21132.00,-2536.00,23668.00,3136.00,20532.00,2092.00
2009:Q2,19232.00,21720.00,1808.00,-2196.00,-4.00,-852.00,-1340.00,-2100.00,-35004.00,-7056.00,-4276.00,-25536.00,21260.00,6244.00,15016.00,-23672.00
2009:Q3,17712.00,16672.00,-908.00,2200.00,20.00,8.00,2172.00,-252.00,-5772.00,-1340.00,-10548.00,-10988.00,440.00,236.00,204.00,6116.00
2009:Q4,14920.00,-4004.00,1576.00,1224.00,20.00,44.00,1160.00,16124.00,5988.00,4124.00,1412.00,-248.00,1660.00,-564.00,2224.00,452.00
2010:Q1,-5724.00,-6000.00,224.00,-900.00,16.00,-196.00,-720.00,952.00,-9136.00,3352.00,-11588.00,-5568.00,-6020.00,-924.00,-5096.00,-900.00
2010:Q2,-4364.00,-2952.00,-1536.00,4.00,12.00,160.00,-168.00,120.00,-14252.00,224.00,-11216.00,-7340.00,-3876.00,-88.00,-3788.00,-3260.00
2010:Q3,4824.00,-7536.00,1324.00,0.00,8.00,-68.00,60.00,11036.00,31776.00,8792.00,16944.00,2068.00,14876.00,2388.00,12488.00,6040.00
2010:Q4,1984.00,64.00,1420.00,2336.00,8.00,188.00,2140.00,-1836.00,-9956.00,-8172.00,2108.00,3780.00,-1672.00,288.00,-1960.00,-3892.00
2011:Q1,44048.00,12756.00,-416.00,-960.00,8.00,-320.00,-648.00,32668.00,54520.00,29544.00,19572.00,-2612.00,22184.00,-2452.00,24636.00,5404.00
2011:Q2,3064.00,-18676.00,-1428.00,16244.00,44.00,20.00,16180.00,6924.00,38880.00,9096.00,22636.00,352.00,22284.00,556.00,21728.00,7148.00
2011:Q3,-6044.00,-2036.00,-1496.00,-3348.00,124.00,-12.00,-3460.00,836.00,30284.00,104.00,25308.00,21372.00,3936.00,944.00,2992.00,4872.00
2011:Q4,-8724.00,-1364.00,976.00,-436.00,36.00,172.00,-644.00,-7900.00,25740.00,14136.00,10628.00,5216.00,5412.00,1380.00,4032.00,976.00
2012:Q1,14084.00,9520.00,604.00,-2036.00,-8.00,-180.00,-1848.00,5996.00,28500.00,35080.00,-9640.00,-14292.00,4652.00,-3356.00,8008.00,3060.00
2012:Q2,1156.00,-3616.00,216.00,-576.00,4.00,164.00,-744.00,5132.00,16160.00,9356.00,4736.00,5700.00,-964.00,-2060.00,1096.00,2068.00
2012:Q3,20060.00,4944.00,268.00,2284.00,24.00,164.00,2096.00,12564.00,39508.00,22760.00,5900.00,-4564.00,10464.00,-40.00,10504.00,10848.00
2012:Q4,21032.00,5620.00,-1872.00,6920.00,108.00,136.00,6676.00,10364.00,69756.00,43348.00,24068.00,18852.00,5216.00,864.00,4352.00,2340.00
2013:Q1,-5328.00,-2828.00,-4048.00,-7144.00,-80.00,-180.00,-6884.00,8692.00,-3172.00,3720.00,168.00,-20440.00,20608.00,18268.00,2340.00,-7060.00
