1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,252.00,-28.00,2.00,12.00,41.00,-24.00,0.00,0.00,0.00,-59.00,0.00,0.00,16.00,4.00,19.00,1.00,0.00,0.00,0.00,57.00,5.00,52.00,14.00,14.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,24.00,0.00,0.00,0.00,-166.00,-149.00,-17.00,245.00,245.00,86.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,1081.00,80.00,2.00,-12.00,108.00,-14.00,0.00,0.00,0.00,-4.00,0.00,0.00,211.00,53.00,180.00,84.00,0.00,0.00,0.00,48.00,5.00,43.00,178.00,178.00,0.00,0.00,0.00,0.00,0.00,-92.00,0.00,-3.00,-89.00,0.00,0.00,0.00,120.00,108.00,12.00,382.00,382.00,101.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,193.00,203.00,25.00,9.00,186.00,8.00,0.00,0.00,0.00,-25.00,0.00,0.00,-52.00,-14.00,-70.00,4.00,0.00,0.00,0.00,71.00,10.00,61.00,-165.00,-165.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,3.00,67.00,0.00,0.00,0.00,-222.00,-200.00,-22.00,299.00,299.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,664.00,152.00,6.00,20.00,68.00,-9.00,0.00,0.00,0.00,67.00,0.00,0.00,-122.00,-30.00,-151.00,-1.00,0.00,0.00,0.00,42.00,5.00,37.00,315.00,315.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,4.00,71.00,0.00,0.00,0.00,280.00,252.00,28.00,62.00,62.00,-110.00,-110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,425.00,71.00,2.00,-25.00,101.00,3.00,16.00,0.00,0.00,-26.00,0.00,0.00,13.00,3.00,14.00,2.00,0.00,0.00,0.00,47.00,5.00,42.00,258.00,258.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,19.00,0.00,0.00,0.00,-158.00,-142.00,-16.00,100.00,100.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,559.00,47.00,4.00,-23.00,55.00,10.00,50.00,0.00,0.00,-49.00,0.00,0.00,-23.00,-6.00,-63.00,34.00,0.00,0.00,0.00,33.00,10.00,23.00,142.00,142.00,0.00,0.00,0.00,0.00,0.00,-127.00,0.00,-4.00,-123.00,0.00,0.00,0.00,604.00,544.00,60.00,-25.00,-25.00,-86.00,-86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,225.00,-44.00,5.00,-35.00,-8.00,7.00,-40.00,0.00,0.00,27.00,0.00,0.00,14.00,4.00,-2.00,20.00,0.00,0.00,0.00,61.00,5.00,56.00,-279.00,-279.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,3.00,51.00,0.00,0.00,0.00,351.00,316.00,35.00,-9.00,-9.00,73.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,222.00,238.00,9.00,42.00,29.00,2.00,68.00,0.00,0.00,88.00,0.00,0.00,19.00,5.00,-22.00,46.00,0.00,0.00,0.00,74.00,6.00,68.00,35.00,35.00,0.00,0.00,0.00,0.00,0.00,129.00,0.00,4.00,125.00,0.00,0.00,0.00,-144.00,-130.00,-14.00,3.00,3.00,-137.00,-137.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,-135.00,31.00,9.00,-2.00,24.00,35.00,4.00,0.00,0.00,-39.00,0.00,0.00,97.00,24.00,116.00,5.00,0.00,0.00,0.00,45.00,9.00,36.00,-31.00,-31.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,33.00,0.00,0.00,0.00,-361.00,-325.00,-36.00,-5.00,-5.00,32.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,961.00,417.00,10.00,-4.00,169.00,24.00,263.00,0.00,0.00,-45.00,0.00,0.00,130.00,32.00,66.00,96.00,0.00,0.00,0.00,74.00,5.00,69.00,86.00,86.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,-4.00,-72.00,0.00,0.00,0.00,238.00,214.00,24.00,45.00,45.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,334.00,-30.00,18.00,10.00,35.00,57.00,-150.00,0.00,0.00,0.00,0.00,0.00,41.00,11.00,-67.00,119.00,0.00,0.00,0.00,81.00,5.00,76.00,-267.00,-267.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,2.00,62.00,0.00,0.00,0.00,628.00,565.00,63.00,-127.00,-127.00,-67.00,-67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,322.00,-255.00,21.00,75.00,-49.00,2.00,-208.00,0.00,0.00,-96.00,0.00,0.00,-32.00,-8.00,-124.00,84.00,0.00,0.00,0.00,95.00,12.00,83.00,118.00,118.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,3.00,112.00,0.00,0.00,0.00,95.00,86.00,10.00,195.00,195.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,402.00,146.00,18.00,-49.00,-5.00,66.00,115.00,0.00,0.00,1.00,0.00,0.00,175.00,43.00,234.00,-16.00,0.00,0.00,0.00,96.00,8.00,88.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,43.00,0.00,0.00,0.00,-56.00,-50.00,-6.00,-104.00,-104.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,826.00,440.00,21.00,22.00,-21.00,26.00,-37.00,0.00,0.00,429.00,0.00,0.00,88.00,22.00,86.00,24.00,0.00,0.00,0.00,113.00,10.00,103.00,146.00,146.00,0.00,0.00,0.00,0.00,0.00,-40.00,0.00,0.00,-40.00,0.00,0.00,0.00,297.00,267.00,30.00,-301.00,-301.00,61.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,616.00,213.00,30.00,-27.00,109.00,51.00,-74.00,0.00,0.00,124.00,0.00,0.00,177.00,45.00,254.00,-32.00,0.00,0.00,0.00,111.00,10.00,101.00,-569.00,-569.00,0.00,0.00,0.00,0.00,0.00,81.00,0.00,2.00,79.00,0.00,0.00,0.00,252.00,227.00,25.00,249.00,249.00,57.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,709.00,106.00,31.00,15.00,-10.00,37.00,-7.00,0.00,0.00,40.00,0.00,0.00,-141.00,-36.00,-144.00,-33.00,0.00,0.00,0.00,98.00,10.00,88.00,233.00,233.00,0.00,0.00,0.00,0.00,0.00,168.00,0.00,5.00,163.00,0.00,0.00,0.00,-245.00,-221.00,-25.00,432.00,432.00,94.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,129.00,359.00,24.00,4.00,26.00,59.00,19.00,0.00,0.00,227.00,0.00,0.00,-57.00,-14.00,-38.00,-33.00,0.00,0.00,0.00,77.00,10.00,67.00,81.00,81.00,0.00,0.00,0.00,0.00,0.00,71.00,0.00,2.00,69.00,0.00,0.00,0.00,-527.00,-474.00,-53.00,68.00,68.00,71.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,1433.00,374.00,22.00,21.00,16.00,33.00,41.00,0.00,0.00,241.00,0.00,0.00,-70.00,-17.00,-109.00,22.00,0.00,0.00,0.00,73.00,10.00,63.00,288.00,288.00,0.00,0.00,0.00,0.00,0.00,-40.00,0.00,0.00,-40.00,0.00,0.00,0.00,569.00,512.00,57.00,216.00,216.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,932.00,233.00,22.00,19.00,116.00,25.00,25.00,0.00,0.00,26.00,0.00,0.00,-112.00,-28.00,-110.00,-30.00,0.00,0.00,0.00,95.00,10.00,85.00,-211.00,-211.00,0.00,0.00,0.00,0.00,0.00,165.00,0.00,6.00,159.00,0.00,0.00,0.00,640.00,576.00,64.00,34.00,34.00,116.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,1418.00,274.00,42.00,42.00,5.00,63.00,-43.00,0.00,0.00,165.00,0.00,0.00,-57.00,-14.00,-72.00,1.00,0.00,0.00,0.00,104.00,10.00,94.00,450.00,450.00,0.00,0.00,0.00,0.00,0.00,242.00,0.00,9.00,233.00,0.00,0.00,0.00,476.00,428.00,48.00,97.00,97.00,-154.00,-154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,-15.00,65.00,36.00,-29.00,-26.00,43.00,-7.00,0.00,0.00,48.00,0.00,0.00,-23.00,-6.00,7.00,-36.00,0.00,0.00,0.00,117.00,10.00,107.00,258.00,258.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,2.00,61.00,0.00,0.00,0.00,-248.00,-223.00,-25.00,-154.00,-154.00,-87.00,-87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
