1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q2,7.00,19.00,28851.00,-8.00,-4551.00,68.00,128.00,2027.00,128.00,-847.00,-2064.00,4810.00,-1169.00,18839.00,7917.00,5600.00,1968.00,2376.00,-2239.00,3495.00,28863.00,11822.00,17029.00
1992:Q3,7.00,20.00,28977.00,-5.00,-3130.00,732.00,167.00,14110.00,167.00,2502.00,1947.00,9494.00,-652.00,-3851.00,1357.00,20249.00,-6061.00,2470.00,25408.00,-1568.00,28989.00,11988.00,16989.00
1992:Q4,7.00,20.00,316.00,15.00,-4381.00,165.00,68.00,6518.00,68.00,397.00,-673.00,6726.00,-876.00,-1267.00,6368.00,-6294.00,-18866.00,2662.00,12710.00,-2800.00,329.00,12280.00,-11964.00
1993:Q1,7.00,20.00,42140.00,34.00,1093.00,2216.00,937.00,14127.00,937.00,-9549.00,14690.00,8049.00,108.00,34515.00,6269.00,-17159.00,-2617.00,2654.00,-17107.00,-89.00,42153.00,12409.00,29731.00
1993:Q2,7.00,19.00,32381.00,25.00,-292.00,2057.00,438.00,1238.00,438.00,-1200.00,-1355.00,3355.00,-324.00,5657.00,9700.00,13882.00,1182.00,2854.00,14471.00,-4625.00,32393.00,12915.00,19466.00
1993:Q3,7.00,20.00,16710.00,17.00,-4349.00,188.00,-714.00,22674.00,-714.00,12767.00,-1690.00,12311.00,494.00,-9520.00,7061.00,859.00,-6489.00,3104.00,10316.00,-6072.00,16722.00,13261.00,3449.00
1993:Q4,7.00,20.00,18251.00,60.00,194.00,2103.00,254.00,-924.00,254.00,-6356.00,2229.00,2949.00,-1840.00,3702.00,11382.00,3320.00,1065.00,3703.00,-17.00,-1431.00,18264.00,13277.00,4974.00
1994:Q1,9.00,21.00,48510.00,129.00,1721.00,2505.00,-1181.00,-288.00,-1181.00,-297.00,5310.00,-4120.00,-437.00,-10123.00,15240.00,40944.00,14578.00,3334.00,26039.00,-3007.00,48522.00,12928.00,35582.00
1994:Q2,9.00,22.00,48320.00,178.00,426.00,1635.00,-1386.00,20420.00,-1386.00,8376.00,12938.00,492.00,16.00,17568.00,8571.00,892.00,8846.00,3092.00,-14820.00,3774.00,48333.00,13047.00,35273.00
1994:Q3,9.00,22.00,15666.00,179.00,-1170.00,294.00,-1857.00,17722.00,-1857.00,5985.00,14046.00,-452.00,-2.00,10692.00,8038.00,-18230.00,-9887.00,2886.00,-13323.00,2094.00,15679.00,13315.00,2351.00
1994:Q4,9.00,23.00,7866.00,447.00,5486.00,996.00,-1758.00,6408.00,-1758.00,2644.00,8288.00,-2766.00,-4766.00,-23532.00,24450.00,135.00,17021.00,2377.00,-16314.00,-2949.00,7880.00,13563.00,-5697.00
1995:Q1,9.00,24.00,8679.00,212.00,2739.00,888.00,72.00,7657.00,72.00,723.00,1591.00,5271.00,196.00,-16072.00,15396.00,-2409.00,-17962.00,1357.00,12693.00,1503.00,8694.00,13475.00,-4796.00
1995:Q2,9.00,25.00,21345.00,214.00,1065.00,2530.00,71.00,3796.00,71.00,62.00,65.00,3598.00,197.00,-19517.00,15592.00,17397.00,1296.00,1359.00,13240.00,1502.00,21360.00,13636.00,7709.00
1995:Q3,9.00,25.00,32242.00,215.00,2390.00,1188.00,73.00,-433.00,73.00,-1417.00,-554.00,1465.00,196.00,-26373.00,19829.00,35157.00,1772.00,1357.00,30526.00,1502.00,32258.00,13439.00,18803.00
1995:Q4,10.00,25.00,25789.00,224.00,1908.00,1876.00,70.00,4844.00,70.00,86.00,770.00,3918.00,197.00,-29690.00,17421.00,28939.00,2814.00,1359.00,23263.00,1503.00,25804.00,12783.00,13006.00
1996:Q1,10.00,23.00,25782.00,223.00,2114.00,2900.00,1023.00,6870.00,1023.00,1070.00,-205.00,4982.00,195.00,-27784.00,13197.00,27044.00,1009.00,1357.00,20327.00,4351.00,25795.00,11949.00,13833.00
1996:Q2,10.00,24.00,20841.00,221.00,3151.00,1756.00,1021.00,4460.00,1021.00,-204.00,38.00,3605.00,195.00,-28915.00,13059.00,25893.00,2392.00,1357.00,17791.00,4353.00,20855.00,11477.00,9364.00
1996:Q3,10.00,25.00,23059.00,224.00,2386.00,2708.00,1022.00,-11911.00,1022.00,-4255.00,-5346.00,-3332.00,198.00,-18651.00,12488.00,34595.00,4871.00,1358.00,24013.00,4353.00,23074.00,11602.00,11457.00
1996:Q4,10.00,26.00,21735.00,-2.00,1027.00,4098.00,1823.00,-9242.00,1823.00,-1921.00,-6542.00,-2602.00,128.00,-15761.00,14212.00,25452.00,-3519.00,1356.00,20862.00,6753.00,21751.00,12077.00,9658.00
1997:Q1,11.00,26.00,14754.00,540.00,2209.00,4822.00,-288.00,11173.00,-287.00,945.00,1738.00,8777.00,263.00,-39422.00,18763.00,16694.00,-8047.00,2425.00,21581.00,735.00,14769.00,12475.00,2279.00
1997:Q2,11.00,26.00,24863.00,280.00,3010.00,2442.00,464.00,8534.00,464.00,-101.00,1075.00,7096.00,275.00,-34711.00,11678.00,32891.00,2525.00,1449.00,25869.00,3048.00,24878.00,13192.00,11671.00
1997:Q3,11.00,28.00,24499.00,826.00,-273.00,7389.00,-40.00,10867.00,-39.00,635.00,1966.00,8305.00,305.00,-35896.00,14289.00,27032.00,420.00,1449.00,23573.00,1590.00,24515.00,13569.00,10930.00
1997:Q4,11.00,28.00,32347.00,-276.00,6028.00,-1038.00,1069.00,12449.00,1072.00,511.00,1425.00,9441.00,-46.00,-42777.00,21055.00,35883.00,3426.00,3064.00,24778.00,4615.00,32364.00,13406.00,18941.00
1998:Q1,12.00,31.00,46179.00,-327.00,7571.00,606.00,397.00,-1702.00,404.00,-3030.00,-645.00,1569.00,31.00,-5361.00,11729.00,33235.00,-913.00,4357.00,27934.00,1857.00,46198.00,12773.00,33406.00
1998:Q2,13.00,33.00,36382.00,-341.00,8367.00,539.00,376.00,-7697.00,391.00,-2339.00,-5020.00,-729.00,45.00,-11729.00,19153.00,27669.00,-8936.00,4500.00,30243.00,1862.00,36402.00,12615.00,23767.00
