1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,459472.00,1239.00,59851.00,11865.00,0.00,1063.00,21408.00,10510.00,7071.00,902.00,2925.00,21715.00,1795.00,19920.00,677.00,210501.00,93658.00,37495.00,757866.00,188691.00,7434.00,53.00,181204.00,362822.00,128250.00,47603.00,186969.00,167568.00,12805.00,11414.00,14566.00
1971:Q4,477697.00,1234.00,61747.00,12509.00,0.00,1077.00,25318.00,11275.00,9957.00,911.00,3175.00,23140.00,2114.00,21026.00,690.00,211924.00,99578.00,40480.00,781734.00,191896.00,6247.00,86.00,185563.00,371502.00,130618.00,47057.00,193827.00,177024.00,14123.00,11483.00,15706.00
1972:Q1,491191.00,1421.00,59480.00,15140.00,0.00,2565.00,24793.00,12388.00,8157.00,823.00,3425.00,21830.00,2412.00,19418.00,701.00,218854.00,96557.00,49850.00,797041.00,196002.00,7538.00,126.00,188338.00,381246.00,131631.00,48916.00,200699.00,176082.00,15798.00,11256.00,16657.00
1972:Q2,503003.00,1626.00,59555.00,16124.00,0.00,3111.00,23902.00,13219.00,6200.00,808.00,3675.00,22661.00,2649.00,20012.00,711.00,224373.00,98126.00,52814.00,819397.00,200569.00,8126.00,293.00,192150.00,397180.00,137010.00,49641.00,210529.00,179404.00,14020.00,11499.00,16725.00
1972:Q3,517402.00,1820.00,62548.00,15141.00,0.00,2103.00,24291.00,13513.00,5878.00,975.00,3925.00,23324.00,2996.00,20328.00,721.00,232379.00,100132.00,54943.00,843810.00,203414.00,7761.00,466.00,195187.00,407512.00,138744.00,49311.00,219457.00,188589.00,15950.00,11876.00,16469.00
1972:Q4,556121.00,2172.00,64395.00,16490.00,0.00,2688.00,27427.00,14235.00,7981.00,1036.00,4175.00,24854.00,3226.00,21628.00,732.00,238977.00,120465.00,57921.00,883015.00,205352.00,6968.00,634.00,197750.00,429013.00,146396.00,52123.00,230494.00,201344.00,18010.00,12269.00,17027.00
1973:Q1,577086.00,2722.00,61645.00,20589.00,0.00,6514.00,25860.00,13258.00,7080.00,1097.00,4425.00,23751.00,3434.00,20317.00,743.00,249610.00,104576.00,81076.00,915476.00,206028.00,5871.00,955.00,199202.00,451346.00,157370.00,56353.00,237623.00,205791.00,20487.00,13240.00,18584.00
1973:Q2,597856.00,3005.00,62786.00,23290.00,0.00,6345.00,25663.00,13437.00,5920.00,1256.00,5050.00,24952.00,3599.00,21353.00,754.00,261126.00,107275.00,82660.00,958715.00,209771.00,6032.00,1490.00,202249.00,476607.00,167779.00,58963.00,249865.00,220366.00,18982.00,14419.00,18570.00
1973:Q3,617620.00,2729.00,65587.00,23084.00,0.00,9501.00,23066.00,13633.00,3099.00,1659.00,4675.00,24992.00,3642.00,21350.00,765.00,274447.00,109121.00,84328.00,995917.00,213220.00,6335.00,1979.00,204906.00,494717.00,173129.00,61211.00,260377.00,232290.00,21164.00,14920.00,19606.00
1973:Q4,647261.00,3329.00,70352.00,22836.00,0.00,11262.00,24614.00,14876.00,3665.00,2035.00,4038.00,26202.00,3609.00,22593.00,775.00,280403.00,120302.00,87186.00,1040670.00,217721.00,8382.00,2430.00,206909.00,509857.00,179013.00,63101.00,267743.00,252809.00,23290.00,15025.00,21968.00
1974:Q1,662826.00,3729.00,66731.00,25526.00,0.00,12472.00,25278.00,16212.00,2167.00,2330.00,4569.00,25007.00,3751.00,21256.00,785.00,294469.00,119192.00,89637.00,1071025.00,222690.00,9235.00,2841.00,210614.00,526473.00,185457.00,66382.00,274634.00,254957.00,26744.00,16870.00,23291.00
1974:Q2,679433.00,3529.00,67311.00,26384.00,0.00,10046.00,25002.00,15131.00,2706.00,2607.00,4558.00,26375.00,3877.00,22498.00,794.00,311006.00,121047.00,87939.00,1115443.00,229232.00,9967.00,3265.00,216000.00,551162.00,198577.00,69209.00,283376.00,267319.00,26144.00,17418.00,24168.00
1974:Q3,698056.00,3129.00,70007.00,26591.00,0.00,8630.00,27813.00,16933.00,3207.00,3080.00,4593.00,26793.00,4035.00,22758.00,804.00,319106.00,125217.00,89966.00,1153991.00,236357.00,12569.00,3596.00,220192.00,563422.00,203711.00,71701.00,288010.00,277278.00,30652.00,19038.00,27244.00
1974:Q4,696398.00,4946.00,71906.00,28248.00,0.00,5485.00,27978.00,16520.00,3851.00,2953.00,4654.00,27498.00,4139.00,23359.00,816.00,258807.00,128224.00,142490.00,1092733.00,243170.00,12513.00,4078.00,226579.00,577145.00,209256.00,76019.00,291870.00,192748.00,30061.00,19883.00,29726.00
1975:Q1,821207.00,2170.00,76334.00,27638.00,0.00,1453.00,24199.00,6255.00,7716.00,3999.00,6229.00,34096.00,12525.00,21571.00,832.00,276277.00,132008.00,246200.00,1369083.00,254526.00,14009.00,4508.00,236009.00,575095.00,201859.00,77239.00,295997.00,180979.00,28748.00,19992.00,309743.00
1975:Q2,840621.00,1739.00,78479.00,29922.00,0.00,794.00,26885.00,6685.00,9349.00,3555.00,7296.00,34955.00,12593.00,22362.00,851.00,283132.00,135936.00,247928.00,1391843.00,261258.00,11658.00,5319.00,244281.00,581392.00,200406.00,79410.00,301576.00,181806.00,24716.00,20756.00,321915.00
1975:Q3,844875.00,1760.00,77985.00,32325.00,0.00,813.00,26605.00,7267.00,10435.00,3484.00,5419.00,35352.00,12737.00,22615.00,871.00,299352.00,137066.00,232746.00,1422220.00,265658.00,11780.00,5920.00,247958.00,583406.00,197103.00,80483.00,305820.00,192423.00,27300.00,20736.00,332697.00
1975:Q4,857228.00,2622.00,83016.00,32218.00,0.00,1189.00,32019.00,8371.00,15538.00,3264.00,4846.00,36829.00,12949.00,23880.00,890.00,285992.00,141045.00,241408.00,1441674.00,270077.00,9616.00,6678.00,253783.00,590189.00,198603.00,82685.00,308901.00,205313.00,28894.00,22057.00,325144.00
1976:Q1,893427.00,3182.00,83460.00,33151.00,0.00,3107.00,37004.00,9324.00,20508.00,3088.00,4084.00,35835.00,13190.00,22645.00,912.00,304617.00,144667.00,247492.00,1477561.00,278165.00,10926.00,6985.00,260254.00,593483.00,192033.00,86859.00,314591.00,197556.00,32477.00,23420.00,352460.00
1976:Q2,926416.00,3298.00,84461.00,34764.00,0.00,1329.00,37266.00,9073.00,21690.00,3029.00,3474.00,37189.00,13492.00,23697.00,942.00,319746.00,146557.00,260864.00,1512620.00,284516.00,11818.00,7487.00,265211.00,608274.00,196387.00,90638.00,321249.00,206795.00,30102.00,24309.00,358624.00
1976:Q3,950556.00,2709.00,84472.00,34321.00,0.00,1961.00,36374.00,9486.00,19886.00,3018.00,3984.00,37980.00,13940.00,24040.00,964.00,333111.00,149422.00,269242.00,1554372.00,290157.00,10889.00,8360.00,270908.00,618346.00,196658.00,93341.00,328347.00,213977.00,33486.00,25111.00,373295.00
1976:Q4,957336.00,3439.00,89677.00,38273.00,0.00,1459.00,40669.00,10511.00,23062.00,2868.00,4228.00,40499.00,14518.00,25981.00,964.00,318298.00,211984.00,212074.00,1579951.00,296826.00,11049.00,9163.00,276614.00,634602.00,200878.00,98819.00,334905.00,227236.00,35575.00,43584.00,342128.00
1977:Q1,977497.00,3897.00,85835.00,37906.00,31.00,1701.00,41454.00,10494.00,24067.00,2789.00,4104.00,38862.00,15480.00,23382.00,941.00,341363.00,213519.00,211988.00,1627802.00,306027.00,12083.00,11928.00,282016.00,652179.00,204978.00,104891.00,342310.00,230274.00,37262.00,44355.00,357705.00
1977:Q2,1001940.00,4744.00,88575.00,39781.00,74.00,1848.00,35906.00,9442.00,19386.00,2682.00,4396.00,40709.00,16518.00,24191.00,895.00,355262.00,216971.00,217175.00,1665710.00,312705.00,12914.00,14079.00,285712.00,677608.00,213957.00,110222.00,353429.00,239530.00,31819.00,45174.00,358874.00
1977:Q3,1035007.00,4914.00,89050.00,41126.00,130.00,2167.00,35605.00,8984.00,19178.00,2375.00,5068.00,42142.00,17731.00,24411.00,841.00,373504.00,219060.00,226468.00,1717647.00,320704.00,13175.00,15713.00,291816.00,693540.00,217403.00,111673.00,364464.00,245758.00,35421.00,46051.00,376173.00
1977:Q4,1075821.00,5686.00,96131.00,47583.00,200.00,2115.00,35400.00,9390.00,18968.00,2672.00,4370.00,45449.00,19091.00,26358.00,790.00,366382.00,235712.00,240373.00,1774649.00,329676.00,12808.00,17377.00,299491.00,720457.00,224205.00,119033.00,377219.00,262869.00,38005.00,50869.00,372773.00
1978:Q1,1108859.00,7097.00,90149.00,47745.00,255.00,2376.00,34589.00,10332.00,17725.00,2897.00,3635.00,44629.00,20071.00,24558.00,738.00,387691.00,240120.00,253470.00,1837586.00,336357.00,13719.00,18702.00,303936.00,743752.00,234876.00,122016.00,386860.00,266127.00,41101.00,52129.00,398120.00
1978:Q2,1138977.00,7450.00,93380.00,48713.00,268.00,2272.00,34088.00,9330.00,16971.00,3358.00,4429.00,46169.00,21115.00,25054.00,667.00,412451.00,243580.00,249939.00,1895070.00,345610.00,14419.00,20838.00,310353.00,775214.00,246539.00,129191.00,399484.00,278880.00,36205.00,54246.00,404915.00
1978:Q3,1182049.00,6457.00,95116.00,48565.00,349.00,2038.00,32651.00,9061.00,15835.00,2779.00,4976.00,47837.00,22319.00,25518.00,615.00,439696.00,245214.00,263511.00,1957659.00,353531.00,14992.00,23017.00,315522.00,795154.00,250425.00,133210.00,411519.00,286330.00,40066.00,56681.00,425897.00
1978:Q4,1232478.00,8317.00,105722.00,53704.00,610.00,2509.00,35150.00,9512.00,18254.00,2773.00,4611.00,51609.00,23653.00,27956.00,618.00,433299.00,272921.00,268019.00,2039559.00,361147.00,15499.00,25041.00,320607.00,823115.00,259524.00,141443.00,422148.00,311389.00,44006.00,63746.00,436156.00
1979:Q1,1282296.00,12524.00,104043.00,53027.00,1028.00,3434.00,34856.00,8896.00,17711.00,3364.00,4885.00,51358.00,25314.00,26044.00,680.00,465455.00,278507.00,277384.00,2124399.00,370006.00,17665.00,27366.00,324975.00,850052.00,269315.00,148219.00,432518.00,316705.00,49457.00,64973.00,473206.00
1979:Q2,1320725.00,11273.00,102999.00,52444.00,1581.00,2949.00,37502.00,8604.00,20848.00,3430.00,4620.00,53562.00,26929.00,26633.00,800.00,487885.00,285589.00,284141.00,2202647.00,380512.00,20564.00,29681.00,330267.00,890656.00,284462.00,158173.00,448021.00,332939.00,45212.00,67729.00,485599.00
1979:Q3,1389261.00,9777.00,103703.00,57541.00,2246.00,2685.00,31184.00,7732.00,16879.00,2570.00,4003.00,55688.00,28417.00,27271.00,939.00,520103.00,292149.00,313246.00,2303348.00,390286.00,23828.00,32325.00,334133.00,920845.00,297090.00,160900.00,462855.00,351394.00,50597.00,70514.00,519712.00
1979:Q4,1432570.00,10080.00,114689.00,61683.00,3000.00,3116.00,32121.00,9586.00,16277.00,1800.00,4458.00,58985.00,29804.00,29181.00,1060.00,509809.00,323562.00,314465.00,2391245.00,397461.00,24518.00,35028.00,337915.00,946328.00,306134.00,170105.00,470089.00,375393.00,53781.00,81004.00,537278.00
1980:Q1,1458639.00,9174.00,113057.00,60285.00,3757.00,2334.00,36759.00,10176.00,16935.00,1933.00,7715.00,57041.00,31718.00,25323.00,1177.00,542195.00,329488.00,303372.00,2485804.00,412059.00,31052.00,37147.00,343860.00,972773.00,313880.00,177645.00,481248.00,378213.00,59894.00,83619.00,579246.00
1980:Q2,1473984.00,8564.00,115496.00,58764.00,4432.00,3023.00,32027.00,9757.00,12423.00,1969.00,7878.00,59827.00,33842.00,25985.00,1304.00,541772.00,332458.00,316317.00,2532651.00,431388.00,36334.00,40024.00,355030.00,975154.00,303402.00,182423.00,489329.00,372951.00,54360.00,88671.00,610127.00
1980:Q3,1559893.00,8670.00,116775.00,60322.00,5389.00,3443.00,34459.00,9264.00,16197.00,1679.00,7319.00,63551.00,36513.00,27038.00,1421.00,562227.00,336240.00,367396.00,2624480.00,437306.00,32189.00,42743.00,362374.00,996214.00,315033.00,181951.00,499230.00,381501.00,57579.00,92310.00,659570.00
1980:Q4,1613436.00,9696.00,117123.00,69253.00,6993.00,3887.00,36960.00,9132.00,16261.00,2205.00,9362.00,69162.00,39611.00,29551.00,1507.00,561845.00,376110.00,360900.00,2694737.00,439488.00,28026.00,45892.00,365570.00,1035185.00,336189.00,188410.00,510586.00,410333.00,59192.00,115078.00,635461.00
1981:Q1,1742115.00,9384.00,111988.00,75704.00,9437.00,3459.00,31384.00,8799.00,15321.00,2243.00,5021.00,71232.00,43399.00,27833.00,1541.00,605062.00,378620.00,444304.00,2857537.00,452370.00,31837.00,48925.00,371608.00,1057678.00,336126.00,198336.00,523216.00,429918.00,61994.00,118344.00,737233.00
1981:Q2,1776060.00,9411.00,108277.00,75574.00,12915.00,2925.00,35398.00,8163.00,20172.00,3864.00,3199.00,76171.00,47346.00,28825.00,1504.00,622610.00,384088.00,447187.00,2916783.00,469953.00,37819.00,52894.00,379240.00,1098930.00,351434.00,209212.00,538284.00,439379.00,56191.00,122773.00,729557.00
1981:Q3,1806220.00,10495.00,104552.00,74591.00,16288.00,1514.00,39558.00,8021.00,23076.00,4475.00,3986.00,80632.00,51659.00,28973.00,1498.00,638626.00,385587.00,452879.00,3001324.00,483822.00,44081.00,56029.00,383712.00,1135643.00,368144.00,215597.00,551902.00,437207.00,58274.00,127401.00,758977.00
1981:Q4,1840029.00,12386.00,98485.00,80671.00,18416.00,1784.00,46534.00,8199.00,21950.00,5779.00,10606.00,86592.00,56245.00,30347.00,1624.00,611151.00,398245.00,484141.00,3047738.00,492376.00,42722.00,59323.00,390331.00,1166081.00,379881.00,226381.00,559819.00,443387.00,53608.00,149876.00,742410.00
1982:Q1,1859501.00,10066.00,95035.00,80616.00,19547.00,1820.00,39685.00,7908.00,19110.00,3809.00,8858.00,86401.00,58351.00,28050.00,1882.00,619534.00,403482.00,501433.00,3131712.00,511040.00,49836.00,62963.00,398241.00,1190037.00,391507.00,227939.00,570591.00,432640.00,52994.00,151381.00,793620.00
1982:Q2,1867783.00,11310.00,95410.00,77346.00,19930.00,2452.00,34531.00,8236.00,15750.00,3837.00,6708.00,89215.00,60313.00,28902.00,2265.00,627596.00,407713.00,500015.00,3187326.00,521369.00,51741.00,66287.00,403341.00,1228281.00,411621.00,232933.00,583727.00,438039.00,47021.00,153802.00,798814.00
1982:Q3,1924108.00,8268.00,97156.00,85392.00,19711.00,3305.00,36673.00,7731.00,18164.00,2506.00,8272.00,91079.00,61908.00,29171.00,2689.00,641153.00,409625.00,529057.00,3268162.00,531636.00,49726.00,70589.00,411321.00,1255733.00,425802.00,235111.00,594820.00,441733.00,49204.00,156304.00,833552.00
1982:Q4,1962538.00,10063.00,112599.00,91673.00,19031.00,2435.00,47703.00,7948.00,24255.00,3322.00,12178.00,93994.00,63207.00,30787.00,3070.00,614124.00,380636.00,587210.00,3301746.00,533077.00,37614.00,74466.00,420997.00,1274511.00,433172.00,234507.00,606832.00,458624.00,50820.00,166909.00,817805.00
1983:Q1,2013868.00,11580.00,108481.00,92246.00,17526.00,3278.00,53732.00,8071.00,28391.00,2830.00,14440.00,93087.00,64198.00,28889.00,3409.00,628486.00,382352.00,619691.00,3353980.00,545301.00,41187.00,76920.00,427194.00,1311125.00,434944.00,235232.00,640949.00,439385.00,57185.00,167898.00,833086.00
1983:Q2,2085122.00,11545.00,117165.00,97666.00,14825.00,3899.00,60762.00,9343.00,31581.00,3753.00,16085.00,96155.00,65410.00,30745.00,3707.00,651607.00,386002.00,641789.00,3413832.00,556969.00,38849.00,79803.00,438317.00,1340424.00,436063.00,244551.00,659810.00,443710.00,53628.00,171114.00,847987.00
1983:Q3,2125063.00,13176.00,124328.00,97393.00,12259.00,3847.00,56816.00,9943.00,29491.00,3141.00,14241.00,99029.00,67163.00,31866.00,4044.00,680734.00,391380.00,642057.00,3479394.00,565361.00,40547.00,81876.00,442938.00,1372705.00,442545.00,249697.00,680463.00,440990.00,57706.00,174144.00,868488.00
1983:Q4,2169174.00,14393.00,142662.00,101674.00,11153.00,3248.00,70810.00,12188.00,36167.00,4187.00,18268.00,104711.00,69346.00,35365.00,4501.00,678921.00,365247.00,671854.00,3544431.00,567652.00,36775.00,83897.00,446980.00,1428571.00,464275.00,260772.00,703524.00,466346.00,55727.00,174078.00,852057.00
1984:Q1,2258530.00,15541.00,156511.00,99993.00,11509.00,4127.00,82992.00,12632.00,44240.00,2548.00,23572.00,107725.00,74649.00,33076.00,5034.00,716809.00,369538.00,688751.00,3683891.00,583617.00,42518.00,85897.00,455202.00,1483535.00,483882.00,273113.00,726540.00,474886.00,60422.00,177133.00,904298.00
1984:Q2,2344976.00,16503.00,152314.00,99091.00,13318.00,5917.00,81000.00,11246.00,43437.00,3291.00,23026.00,114530.00,79964.00,34566.00,5604.00,749377.00,374469.00,732853.00,3819760.00,605223.00,53463.00,88116.00,463644.00,1553639.00,510120.00,285096.00,758423.00,495206.00,56920.00,185476.00,923296.00
1984:Q3,2439869.00,12418.00,153186.00,95221.00,15272.00,3928.00,75228.00,11189.00,39660.00,3715.00,20664.00,120324.00,85344.00,34980.00,6295.00,775691.00,378413.00,803893.00,3940830.00,628268.00,60349.00,90480.00,477439.00,1598332.00,518034.00,294600.00,785698.00,496076.00,57777.00,188558.00,971819.00
1984:Q4,2469960.00,13284.00,160848.00,104224.00,16062.00,3919.00,79492.00,9742.00,41948.00,5319.00,22483.00,129135.00,90757.00,38378.00,7193.00,753413.00,359846.00,842544.00,3993007.00,657987.00,58490.00,104439.00,495058.00,1662629.00,541260.00,310646.00,810723.00,505799.00,60318.00,198658.00,907616.00
1985:Q1,2542123.00,12568.00,150844.00,109420.00,15820.00,8081.00,68285.00,10202.00,35624.00,4183.00,18276.00,129334.00,93828.00,35506.00,8651.00,785332.00,363073.00,890715.00,4129397.00,682669.00,62972.00,106139.00,513558.00,1690484.00,552371.00,314517.00,823596.00,502997.00,61330.00,203862.00,988055.00
1985:Q2,2597106.00,11895.00,159604.00,104764.00,14675.00,4225.00,88176.00,9798.00,48218.00,3502.00,26658.00,133791.00,96700.00,37091.00,10112.00,798095.00,367130.00,904639.00,4237712.00,715218.00,68886.00,110639.00,535693.00,1727982.00,557734.00,318441.00,851807.00,508875.00,57964.00,208086.00,1019587.00
1985:Q3,2653530.00,12514.00,173424.00,108177.00,14413.00,4794.00,76473.00,9326.00,41501.00,3533.00,22113.00,137157.00,99057.00,38100.00,10393.00,809283.00,370266.00,936636.00,4346093.00,739841.00,69036.00,116039.00,554766.00,1747731.00,567355.00,319902.00,860474.00,506758.00,61746.00,211802.00,1078215.00
1985:Q4,2774388.00,16023.00,198320.00,109901.00,14520.00,3374.00,86923.00,10478.00,46856.00,4017.00,25572.00,143501.00,100996.00,42505.00,10799.00,803140.00,377132.00,1010755.00,4472954.00,777480.00,72207.00,127039.00,578234.00,1794510.00,585312.00,332083.00,877115.00,546988.00,60605.00,218824.00,1074547.00
1986:Q1,2794502.00,17734.00,192328.00,116137.00,16213.00,3349.00,79307.00,11646.00,42964.00,4167.00,20530.00,139257.00,99139.00,40118.00,12589.00,793951.00,384101.00,1039536.00,4482503.00,807745.00,69514.00,124039.00,614192.00,1826299.00,591365.00,338244.00,896690.00,499556.00,62165.00,230378.00,1056360.00
1986:Q2,2841414.00,18854.00,190651.00,122345.00,16464.00,2900.00,90823.00,10268.00,50723.00,4518.00,25314.00,140301.00,98701.00,41600.00,13947.00,810815.00,389412.00,1044902.00,4537227.00,842883.00,68654.00,120767.00,653462.00,1871351.00,601847.00,349406.00,920098.00,490410.00,61722.00,237301.00,1033560.00
1986:Q3,2921705.00,18104.00,183407.00,134442.00,16796.00,3742.00,88764.00,9378.00,49491.00,5750.00,24145.00,140654.00,98139.00,42515.00,14709.00,832565.00,394220.00,1094302.00,4650602.00,874104.00,72779.00,119531.00,681794.00,1901917.00,604465.00,355881.00,941571.00,495495.00,63911.00,244883.00,1070292.00
1986:Q4,2978604.00,19201.00,202448.00,127838.00,18122.00,5073.00,88684.00,10173.00,51096.00,2360.00,25055.00,141843.00,94826.00,47017.00,15676.00,816308.00,402295.00,1141116.00,4723871.00,885353.00,62865.00,117138.00,705350.00,1980643.00,651617.00,368535.00,960491.00,529896.00,66053.00,262172.00,999754.00
1987:Q1,3077309.00,16826.00,202883.00,123132.00,19573.00,5556.00,86391.00,12384.00,48425.00,2274.00,23308.00,137863.00,93440.00,44423.00,16057.00,847753.00,408383.00,1212892.00,4814178.00,911433.00,63593.00,117349.00,730491.00,2015725.00,636609.00,372015.00,1007101.00,533325.00,67406.00,276064.00,1010225.00
1987:Q2,3122612.00,15896.00,208014.00,122975.00,18391.00,5532.00,79914.00,13815.00,43099.00,3006.00,19994.00,137842.00,91271.00,46571.00,15039.00,864259.00,415938.00,1238812.00,4878241.00,932274.00,67916.00,116146.00,748212.00,2056506.00,645136.00,384099.00,1027271.00,527632.00,70408.00,286271.00,1005150.00
1987:Q3,3184763.00,15081.00,208393.00,120919.00,18379.00,5601.00,80849.00,16886.00,41642.00,3036.00,19285.00,137607.00,89532.00,48075.00,14628.00,886331.00,423426.00,1273549.00,4939864.00,952968.00,68108.00,116097.00,768763.00,2087413.00,652339.00,388193.00,1046881.00,538000.00,71305.00,306745.00,983433.00
1987:Q4,3204050.00,16262.00,212887.00,126333.00,18945.00,3362.00,78567.00,14966.00,41589.00,2648.00,19364.00,143464.00,89436.00,54028.00,12817.00,881598.00,462526.00,1247289.00,5051044.00,974107.00,73768.00,116224.00,784115.00,2143335.00,664716.00,403219.00,1075400.00,579323.00,71717.00,319829.00,962733.00
1988:Q1,3286167.00,18334.00,211561.00,124630.00,18384.00,3658.00,76163.00,12295.00,41115.00,3702.00,19051.00,146779.00,95866.00,50913.00,12167.00,919892.00,465211.00,1289388.00,5167885.00,998872.00,73507.00,115753.00,809612.00,2192238.00,669539.00,427282.00,1095417.00,585775.00,73192.00,332771.00,985037.00
1988:Q2,3363569.00,25398.00,219470.00,119384.00,17318.00,3075.00,74323.00,15348.00,36777.00,6107.00,16091.00,156382.00,103552.00,52830.00,11478.00,958949.00,468782.00,1309010.00,5264061.00,1034690.00,77847.00,116168.00,840675.00,2240294.00,689625.00,434727.00,1115942.00,593001.00,71358.00,353699.00,971019.00
1988:Q3,3420826.00,26273.00,218940.00,124824.00,16243.00,3695.00,72495.00,13725.00,36840.00,5918.00,16012.00,164855.00,111068.00,53787.00,10912.00,975610.00,476372.00,1330607.00,5343981.00,1061889.00,80303.00,115932.00,865654.00,2269121.00,692813.00,445614.00,1130694.00,589594.00,71009.00,370104.00,982264.00
1988:Q4,3634270.00,21554.00,231440.00,129230.00,15649.00,4981.00,74715.00,13648.00,38251.00,6022.00,16794.00,176748.00,115991.00,60757.00,10627.00,984210.00,484692.00,1500424.00,5583170.00,1089317.00,85676.00,116409.00,887232.00,2316151.00,715376.00,447660.00,1153115.00,640902.00,71132.00,400812.00,1064856.00
1989:Q1,3780606.00,18622.00,226204.00,122107.00,15328.00,3744.00,93104.00,14686.00,47795.00,7692.00,22931.00,164040.00,111387.00,52653.00,10876.00,1017506.00,497065.00,1612010.00,5784418.00,1113576.00,96147.00,115626.00,901803.00,2363278.00,719541.00,471554.00,1172183.00,643363.00,76986.00,417819.00,1169396.00
1989:Q2,3823240.00,17113.00,228155.00,128116.00,15062.00,3524.00,100109.00,17526.00,50845.00,7090.00,24648.00,158784.00,104392.00,54392.00,11643.00,1047531.00,500894.00,1612309.00,5861002.00,1148350.00,110059.00,115090.00,923201.00,2405399.00,733764.00,488847.00,1182788.00,647588.00,72612.00,431161.00,1155893.00
1989:Q3,3852507.00,13992.00,229499.00,120264.00,15215.00,2449.00,105256.00,14351.00,56344.00,6564.00,27997.00,152730.00,96954.00,55776.00,12045.00,1058457.00,506733.00,1635867.00,5934519.00,1166999.00,113273.00,114688.00,939038.00,2418823.00,741163.00,484489.00,1193171.00,644651.00,72619.00,445804.00,1185623.00
1989:Q4,3870719.00,14705.00,241711.00,128961.00,16154.00,2783.00,119190.00,14291.00,63378.00,9170.00,32351.00,153374.00,89545.00,63829.00,11709.00,1033072.00,497898.00,1651162.00,6002757.00,1183681.00,107112.00,115490.00,961079.00,2460637.00,767264.00,500578.00,1192795.00,665015.00,69706.00,463348.00,1160370.00
1990:Q1,3877351.00,15669.00,235067.00,119428.00,18018.00,2036.00,99565.00,11574.00,56308.00,7046.00,24637.00,146030.00,87518.00,58512.00,11097.00,1039846.00,510759.00,1679836.00,6057100.00,1208939.00,126034.00,114943.00,967962.00,2496085.00,760987.00,525113.00,1209985.00,656840.00,74037.00,478452.00,1142747.00
1990:Q2,3888738.00,15551.00,232695.00,121084.00,22443.00,1800.00,99797.00,12555.00,58039.00,5292.00,23911.00,145831.00,86246.00,59585.00,11261.00,1075983.00,517408.00,1644885.00,6072039.00,1228355.00,128659.00,115278.00,984418.00,2516754.00,766553.00,538104.00,1212097.00,661402.00,68993.00,491806.00,1104729.00
1990:Q3,3931221.00,14509.00,230264.00,123818.00,24015.00,2792.00,89772.00,12016.00,49068.00,2886.00,25802.00,145261.00,85186.00,60075.00,9296.00,1110440.00,533247.00,1647807.00,6162049.00,1238704.00,131811.00,115026.00,991867.00,2526101.00,759217.00,552488.00,1214396.00,682059.00,72853.00,511054.00,1131278.00
1990:Q4,3980417.00,14717.00,250069.00,125583.00,26320.00,2137.00,91953.00,13836.00,50161.00,3285.00,24671.00,150965.00,83824.00,67141.00,9723.00,1064995.00,556172.00,1687783.00,6192399.00,1240172.00,116852.00,115153.00,1008167.00,2533630.00,760738.00,562062.00,1210830.00,693278.00,70302.00,517109.00,1137908.00
1991:Q1,4012691.00,15349.00,219957.00,128049.00,28022.00,1324.00,89197.00,13845.00,46999.00,2873.00,25480.00,143068.00,83882.00,59186.00,11775.00,1048621.00,567453.00,1759876.00,6211992.00,1262042.00,119851.00,114860.00,1027331.00,2497262.00,747037.00,537799.00,1212426.00,658459.00,66752.00,522384.00,1205093.00
1991:Q2,4047296.00,12599.00,227112.00,132669.00,29283.00,1430.00,93375.00,15866.00,47099.00,4955.00,25455.00,141488.00,84103.00,57385.00,12357.00,1078110.00,574663.00,1744210.00,6230131.00,1286441.00,119437.00,115537.00,1051467.00,2479374.00,732655.00,533073.00,1213646.00,668306.00,59628.00,523487.00,1212895.00
1991:Q3,4105141.00,13578.00,238733.00,136293.00,30366.00,1635.00,108785.00,14318.00,54475.00,3350.00,36642.00,141586.00,84343.00,57243.00,13606.00,1092297.00,583997.00,1744265.00,6276403.00,1294169.00,107016.00,115277.00,1071876.00,2434126.00,720494.00,523381.00,1190251.00,682374.00,63751.00,519594.00,1282388.00
1991:Q4,4114119.00,16435.00,259138.00,130809.00,31533.00,1620.00,120300.00,14695.00,55675.00,5112.00,44818.00,147984.00,84996.00,62988.00,14828.00,1058104.00,580288.00,1753080.00,6270055.00,1299396.00,98477.00,113984.00,1086935.00,2387015.00,709053.00,503216.00,1174746.00,717878.00,61371.00,515194.00,1289201.00
1992:Q1,4238835.00,14978.00,254056.00,130553.00,35641.00,3211.00,109414.00,13853.00,54367.00,7872.00,33322.00,140628.00,84596.00,56032.00,16197.00,1075481.00,594534.00,1864142.00,6497863.00,1330818.00,110434.00,114334.00,1106050.00,2368809.00,702366.00,503345.00,1163098.00,699339.00,67184.00,526505.00,1505208.00
