1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q3,982534.00,5000.00,38543.00,163860.00,20000.00,15083.00,38649.00,924.00,89204.00,7563.00,1163.00,6400.00,116355.00,576770.00,74443.00,980523.00,112986.00,671118.00,196419.00
2001:Q4,1059411.00,10721.00,37276.00,166545.00,20114.00,14092.00,40261.00,929.00,91149.00,7669.00,1043.00,6626.00,129830.00,650296.00,57074.00,1067464.00,136084.00,727038.00,204342.00
2002:Q1,1075158.00,10721.00,37391.00,172377.00,20000.00,15462.00,43290.00,875.00,92750.00,7890.00,1160.00,6730.00,134616.00,676531.00,35632.00,1083044.00,146693.00,747909.00,188442.00
2002:Q2,1000861.00,10721.00,39150.00,176351.00,18000.00,16839.00,46329.00,821.00,94362.00,7990.00,1160.00,6830.00,120398.00,607363.00,38888.00,1008699.00,140974.00,683291.00,184434.00
2002:Q3,907408.00,10721.00,42522.00,187352.00,23000.00,18220.00,49378.00,766.00,95988.00,8090.00,1160.00,6930.00,95777.00,519299.00,43647.00,914996.00,118281.00,615443.00,181272.00
2002:Q4,948516.00,10642.00,40570.00,191667.00,21286.00,19607.00,52437.00,712.00,97625.00,7946.00,854.00,7092.00,107546.00,558018.00,32127.00,955759.00,134091.00,644782.00,176886.00
2003:Q1,941789.00,10721.00,40134.00,191042.00,20000.00,19108.00,51637.00,799.00,99498.00,7941.00,800.00,7141.00,103830.00,546054.00,42067.00,948934.00,132374.00,617312.00,199248.00
2003:Q2,1045921.00,11720.00,35706.00,190710.00,19000.00,18614.00,50842.00,886.00,101368.00,7940.00,750.00,7190.00,120850.00,628658.00,50337.00,1053080.00,152614.00,675315.00,225151.00
2003:Q3,1076140.00,12720.00,34000.00,190381.00,18000.00,18123.00,50050.00,972.00,103236.00,7920.00,700.00,7220.00,125245.00,667355.00,38519.00,1083130.00,165287.00,698087.00,219756.00
2003:Q4,1170391.00,14655.00,28744.00,190128.00,17071.00,17636.00,49261.00,1059.00,105101.00,7869.00,615.00,7254.00,140705.00,749496.00,38794.00,1176750.00,188469.00,750474.00,237807.00
