1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q4,-670.00,2085.00,17859.00,-261.00,-308.00,0.00,21823.00,-3751.00,2524.00,7240.00,632.00,15178.00,-4503.00,2617.00,-7120.00,2226.00,2180.00,1.00,-3299.00,0.00,82.00,-3381.00,26596.00,0.00,120.00,-42.00,6482.00,44515.00,373.00,597.00,-25449.00,0.00,0.00,2120.00,-18866.00,-8703.00,5982.00
1993:Q1,-1462.00,1764.00,41902.00,99.00,-443.00,0.00,37511.00,3174.00,7297.00,6324.00,126.00,20590.00,-1497.00,817.00,-2314.00,-701.00,5717.00,86.00,1130.00,6.00,127.00,997.00,38042.00,0.00,403.00,32.00,7514.00,25880.00,400.00,-1070.00,4883.00,0.00,0.00,1940.00,-2617.00,5560.00,-7086.00
1993:Q2,-1678.00,1798.00,43542.00,100.00,-17.00,0.00,33339.00,3230.00,5549.00,9881.00,1044.00,13635.00,-1156.00,982.00,-2138.00,653.00,6779.00,-243.00,4087.00,3.00,126.00,3958.00,38666.00,0.00,63.00,145.00,8379.00,21178.00,443.00,658.00,7800.00,0.00,0.00,1826.00,1182.00,4792.00,-8352.00
1993:Q3,-1491.00,1820.00,36826.00,99.00,269.00,0.00,32647.00,-1823.00,7079.00,7656.00,1353.00,18382.00,-2765.00,1850.00,-4615.00,2941.00,9710.00,-45.00,-6030.00,1.00,126.00,-6157.00,33972.00,0.00,-1035.00,-35.00,8880.00,33137.00,430.00,334.00,-7739.00,0.00,0.00,3093.00,-6489.00,-4343.00,-6165.00
1993:Q4,-446.00,1885.00,26375.00,99.00,111.00,0.00,20041.00,-935.00,1277.00,5945.00,828.00,12926.00,-7040.00,2018.00,-9058.00,5856.00,8324.00,57.00,-1073.00,3.00,127.00,-1203.00,24064.00,0.00,-268.00,97.00,8673.00,15755.00,362.00,308.00,-863.00,0.00,0.00,743.00,1065.00,-2671.00,-4641.00
1994:Q1,779.00,2199.00,46168.00,106.00,1401.00,0.00,24062.00,2507.00,-3219.00,6004.00,-122.00,18892.00,-1509.00,1544.00,-3053.00,2941.00,8016.00,99.00,11052.00,11.00,132.00,10909.00,32552.00,0.00,-209.00,9.00,7001.00,5584.00,288.00,501.00,19378.00,0.00,0.00,1959.00,14578.00,2841.00,-15036.00
1994:Q2,1185.00,2248.00,10924.00,105.00,701.00,0.00,8594.00,38.00,2581.00,-1697.00,-1579.00,9251.00,473.00,2477.00,-2004.00,3004.00,7294.00,260.00,-9507.00,2.00,133.00,-9642.00,11701.00,0.00,-238.00,6.00,6049.00,305.00,209.00,28.00,5342.00,0.00,0.00,1109.00,8846.00,-4613.00,-286.00
1994:Q3,2236.00,2283.00,37490.00,105.00,231.00,0.00,23394.00,3222.00,3512.00,834.00,-427.00,16253.00,-160.00,1902.00,-2062.00,1893.00,4843.00,-117.00,7301.00,1.00,132.00,7168.00,27902.00,0.00,-532.00,8.00,16290.00,21582.00,207.00,289.00,-9942.00,0.00,0.00,3111.00,-9887.00,-3166.00,-9635.00
1994:Q4,1900.00,2359.00,22215.00,105.00,472.00,0.00,16320.00,180.00,-5770.00,6176.00,239.00,15495.00,871.00,1851.00,-980.00,1643.00,4433.00,345.00,-1974.00,35.00,132.00,-2141.00,28956.00,0.00,-767.00,323.00,5516.00,-3137.00,285.00,133.00,26603.00,0.00,0.00,1872.00,17021.00,7710.00,6282.00
1995:Q1,361.00,2365.00,42365.00,-114.00,-333.00,0.00,34655.00,2722.00,4079.00,8016.00,-1101.00,20939.00,1429.00,1539.00,-110.00,-3600.00,4182.00,25.00,6121.00,-4.00,180.00,5945.00,37692.00,0.00,-667.00,-7.00,10245.00,29274.00,363.00,225.00,-1741.00,0.00,0.00,2740.00,-17962.00,13481.00,-6678.00
