1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,1788.00,1788.00,0.00,75.00,-6.00,0.00,663.00,134.00,0.00,0.00,922.00,0.00,1301.00,0.00,487.00
1955:Q4,2406.00,2406.00,0.00,905.00,292.00,0.00,684.00,72.00,0.00,0.00,453.00,0.00,436.00,0.00,1970.00
1956:Q1,-698.00,-698.00,0.00,-882.00,-274.00,0.00,244.00,58.00,0.00,0.00,156.00,0.00,287.00,0.00,-985.00
1956:Q2,2030.00,2030.00,0.00,404.00,101.00,0.00,1195.00,-2.00,0.00,0.00,332.00,0.00,517.00,0.00,1513.00
1956:Q3,697.00,697.00,0.00,25.00,40.00,0.00,174.00,170.00,0.00,0.00,288.00,0.00,287.00,0.00,410.00
1956:Q4,1602.00,1602.00,0.00,880.00,289.00,0.00,224.00,97.00,0.00,0.00,112.00,0.00,-78.00,0.00,1680.00
1957:Q1,-1338.00,-1338.00,0.00,-1096.00,-313.00,0.00,149.00,-19.00,0.00,0.00,-59.00,0.00,22.00,0.00,-1360.00
1957:Q2,1981.00,1981.00,0.00,538.00,121.00,0.00,847.00,144.00,0.00,0.00,331.00,0.00,543.00,0.00,1438.00
1957:Q3,748.00,748.00,0.00,-93.00,-26.00,0.00,339.00,183.00,0.00,0.00,345.00,0.00,449.00,0.00,299.00
1957:Q4,1246.00,1246.00,0.00,674.00,259.00,0.00,112.00,143.00,0.00,0.00,58.00,0.00,-26.00,0.00,1272.00
1958:Q1,-2442.00,-2442.00,0.00,-1234.00,-400.00,0.00,-360.00,-86.00,0.00,0.00,-362.00,0.00,-603.00,0.00,-1839.00
1958:Q2,929.00,929.00,0.00,442.00,72.00,0.00,445.00,140.00,0.00,0.00,-170.00,0.00,-188.00,0.00,1117.00
1958:Q3,236.00,236.00,0.00,89.00,34.00,0.00,277.00,54.00,0.00,0.00,-218.00,0.00,-241.00,0.00,477.00
1958:Q4,1550.00,1550.00,0.00,853.00,295.00,0.00,323.00,132.00,0.00,0.00,-53.00,0.00,-182.00,0.00,1732.00
1959:Q1,-499.00,-499.00,0.00,-776.00,-267.00,0.00,568.00,-38.00,0.00,0.00,14.00,0.00,220.00,0.00,-719.00
1959:Q2,2887.00,2887.00,0.00,561.00,133.00,0.00,1393.00,201.00,0.00,0.00,599.00,0.00,1018.00,0.00,1869.00
1959:Q3,2040.00,2040.00,0.00,-73.00,-25.00,0.00,1214.00,177.00,0.00,0.00,747.00,0.00,956.00,0.00,1084.00
1959:Q4,3295.00,3295.00,0.00,1586.00,481.00,0.00,616.00,191.00,0.00,0.00,421.00,0.00,180.00,0.00,3115.00
1960:Q1,-1456.00,-1456.00,0.00,-1800.00,-561.00,0.00,654.00,-63.00,0.00,0.00,314.00,0.00,278.00,0.00,-1734.00
1960:Q2,2865.00,2865.00,0.00,703.00,161.00,0.00,1113.00,283.00,0.00,0.00,605.00,0.00,937.00,0.00,1928.00
1960:Q3,968.00,968.00,0.00,-268.00,-98.00,0.00,601.00,212.00,0.00,0.00,521.00,0.00,326.00,0.00,642.00
1960:Q4,1658.00,1658.00,0.00,870.00,275.00,0.00,193.00,142.00,0.00,0.00,178.00,0.00,-90.00,0.00,1748.00
1961:Q1,-1909.00,-1909.00,0.00,-1657.00,-608.00,0.00,803.00,-148.00,0.00,0.00,-299.00,0.00,-567.00,0.00,-1342.00
1961:Q2,1258.00,1258.00,0.00,580.00,169.00,0.00,188.00,249.00,0.00,0.00,72.00,0.00,138.00,0.00,1120.00
1961:Q3,485.00,485.00,0.00,43.00,35.00,0.00,355.00,33.00,0.00,0.00,19.00,0.00,-141.00,0.00,626.00
1961:Q4,2353.00,2353.00,0.00,1028.00,332.00,0.00,520.00,46.00,0.00,0.00,427.00,0.00,86.00,0.00,2267.00
1962:Q1,-1397.00,-1397.00,0.00,-1086.00,-353.00,0.00,23.00,-53.00,0.00,0.00,72.00,0.00,130.00,0.00,-1527.00
1962:Q2,3397.00,3397.00,0.00,875.00,243.00,0.00,1515.00,315.00,0.00,0.00,449.00,0.00,1120.00,0.00,2277.00
1962:Q3,1191.00,1191.00,0.00,28.00,-1.00,0.00,616.00,131.00,0.00,0.00,417.00,0.00,513.00,0.00,678.00
1962:Q4,2718.00,2718.00,0.00,956.00,296.00,0.00,716.00,83.00,0.00,0.00,667.00,0.00,562.00,0.00,2156.00
1963:Q1,-409.00,-409.00,0.00,-1040.00,-349.00,0.00,708.00,-76.00,0.00,0.00,348.00,0.00,429.00,0.00,-838.00
1963:Q2,3282.00,3282.00,0.00,729.00,212.00,0.00,1580.00,325.00,0.00,0.00,436.00,0.00,1324.00,0.00,1958.00
1963:Q3,2145.00,2145.00,0.00,177.00,46.00,0.00,1164.00,126.00,0.00,0.00,632.00,0.00,605.00,0.00,1540.00
1963:Q4,3508.00,3508.00,0.00,1089.00,329.00,0.00,1212.00,68.00,0.00,0.00,810.00,0.00,560.00,0.00,2948.00
1964:Q1,171.00,171.00,0.00,-846.00,-287.00,0.00,868.00,50.00,0.00,0.00,386.00,0.00,453.00,0.00,-282.00
1964:Q2,3771.00,3771.00,0.00,534.00,138.00,0.00,2043.00,405.00,0.00,0.00,651.00,0.00,1463.00,0.00,2308.00
1964:Q3,2330.00,2330.00,0.00,148.00,33.00,0.00,1335.00,214.00,0.00,0.00,600.00,0.00,710.00,0.00,1620.00
1964:Q4,3210.00,3210.00,0.00,1100.00,342.00,0.00,928.00,222.00,0.00,0.00,618.00,0.00,349.00,0.00,2861.00
1965:Q1,293.00,293.00,0.00,-874.00,-284.00,0.00,1215.00,-32.00,0.00,0.00,268.00,0.00,503.00,0.00,-210.00
1965:Q2,4598.00,4598.00,0.00,632.00,167.00,0.00,2497.00,462.00,0.00,0.00,840.00,0.00,1621.00,0.00,2977.00
1965:Q3,2148.00,2148.00,0.00,6.00,8.00,0.00,1125.00,333.00,0.00,0.00,676.00,0.00,902.00,0.00,1246.00
1965:Q4,3098.00,3098.00,0.00,1181.00,370.00,0.00,798.00,278.00,0.00,0.00,471.00,0.00,512.00,0.00,2586.00
1966:Q1,-393.00,-393.00,0.00,-1054.00,-339.00,0.00,1165.00,-171.00,0.00,0.00,6.00,0.00,190.00,0.00,-583.00
1966:Q2,3109.00,3109.00,0.00,619.00,129.00,0.00,1433.00,455.00,0.00,0.00,473.00,0.00,1008.00,0.00,2101.00
1966:Q3,784.00,784.00,0.00,-339.00,-105.00,0.00,339.00,415.00,0.00,0.00,474.00,0.00,232.00,0.00,552.00
1966:Q4,2433.00,2433.00,0.00,945.00,263.00,0.00,143.00,277.00,0.00,0.00,805.00,0.00,207.00,0.00,2226.00
1967:Q1,-2074.00,-2074.00,0.00,-1003.00,-334.00,0.00,-164.00,-23.00,0.00,0.00,-550.00,0.00,-442.00,0.00,-1632.00
1967:Q2,2783.00,2783.00,0.00,499.00,76.00,0.00,1676.00,392.00,0.00,0.00,140.00,0.00,664.00,0.00,2119.00
1967:Q3,1413.00,1413.00,0.00,-198.00,-103.00,0.00,1269.00,241.00,0.00,0.00,204.00,0.00,37.00,0.00,1376.00
1967:Q4,3023.00,3023.00,0.00,986.00,245.00,0.00,892.00,223.00,0.00,0.00,677.00,0.00,-120.00,0.00,3143.00
1968:Q1,-1295.00,-1295.00,0.00,-1057.00,-280.00,0.00,203.00,108.00,0.00,0.00,-269.00,139.00,121.00,0.00,-1555.00
1968:Q2,4132.00,4132.00,0.00,416.00,85.00,0.00,2405.00,525.00,0.00,0.00,701.00,159.00,1378.00,0.00,2595.00
1968:Q3,2756.00,2756.00,0.00,-456.00,-145.00,0.00,2327.00,439.00,0.00,0.00,591.00,190.00,953.00,0.00,1613.00
1968:Q4,5164.00,5164.00,0.00,1212.00,320.00,0.00,1990.00,372.00,0.00,0.00,1270.00,317.00,765.00,0.00,4082.00
1969:Q1,-440.00,-440.00,0.00,-994.00,-322.00,0.00,781.00,235.00,0.00,0.00,-140.00,244.00,220.00,0.00,-904.00
1969:Q2,4791.00,4791.00,0.00,364.00,37.00,0.00,2558.00,810.00,0.00,0.00,1022.00,349.00,1686.00,0.00,2756.00
1969:Q3,2138.00,2138.00,0.00,-116.00,-82.00,0.00,1008.00,585.00,0.00,0.00,743.00,383.00,474.00,0.00,1281.00
1969:Q4,3418.00,3418.00,0.00,977.00,227.00,0.00,712.00,343.00,0.00,0.00,1159.00,639.00,218.00,0.00,2561.00
1970:Q1,-2568.00,-2568.00,0.00,-1022.00,-298.00,0.00,-885.00,257.00,0.00,0.00,-620.00,247.00,-827.00,0.00,-1988.00
1970:Q2,2758.00,2758.00,0.00,290.00,64.00,0.00,1500.00,523.00,0.00,0.00,381.00,262.00,469.00,0.00,2027.00
1970:Q3,2003.00,2003.00,0.00,384.00,102.00,0.00,1428.00,404.00,0.00,0.00,-315.00,374.00,459.00,0.00,1170.00
1970:Q4,2236.00,2236.00,0.00,983.00,249.00,0.00,219.00,98.00,0.00,0.00,687.00,527.00,-722.00,0.00,2431.00
1971:Q1,412.00,412.00,0.00,1006.00,-373.00,0.00,338.00,14.00,0.00,0.00,-573.00,2234.00,71.00,0.00,-1893.00
1971:Q2,4840.00,4840.00,0.00,512.00,85.00,0.00,3052.00,689.00,0.00,0.00,502.00,279.00,1743.00,0.00,2818.00
1971:Q3,4553.00,4553.00,0.00,233.00,-34.00,0.00,2905.00,621.00,0.00,0.00,828.00,506.00,1273.00,0.00,2774.00
1971:Q4,5778.00,5778.00,0.00,901.00,205.00,0.00,2639.00,460.00,0.00,0.00,1573.00,380.00,1107.00,0.00,4291.00
1972:Q1,-396.00,-396.00,0.00,-1267.00,-341.00,0.00,1277.00,140.00,0.00,0.00,-205.00,-272.00,2153.00,0.00,-2277.00
1972:Q2,7375.00,7375.00,0.00,558.00,36.00,0.00,4502.00,1100.00,0.00,0.00,1179.00,413.00,2645.00,0.00,4317.00
1972:Q3,5307.00,5307.00,0.00,352.00,-36.00,0.00,3571.00,463.00,0.00,0.00,957.00,604.00,1455.00,0.00,3248.00
1972:Q4,7228.00,7228.00,0.00,1041.00,259.00,0.00,3796.00,491.00,0.00,0.00,1641.00,427.00,1090.00,0.00,5711.00
1973:Q1,1007.00,1007.00,0.00,-2736.00,-339.00,0.00,3893.00,346.00,0.00,0.00,-157.00,-74.00,1042.00,0.00,39.00
1973:Q2,8870.00,8870.00,0.00,953.00,83.00,0.00,5342.00,1079.00,0.00,0.00,1413.00,588.00,2717.00,0.00,5565.00
1973:Q3,6297.00,6297.00,0.00,103.00,-106.00,0.00,4044.00,847.00,0.00,0.00,1409.00,697.00,1770.00,0.00,3830.00
1973:Q4,6285.00,6285.00,0.00,1074.00,169.00,0.00,2714.00,397.00,0.00,0.00,1931.00,798.00,381.00,0.00,5106.00
1974:Q1,-2520.00,-2520.00,0.00,-1021.00,-316.00,0.00,-206.00,-106.00,0.00,0.00,-871.00,-361.00,-938.00,0.00,-1221.00
1974:Q2,6317.00,6317.00,0.00,1197.00,45.00,0.00,3048.00,922.00,0.00,0.00,1105.00,789.00,1407.00,0.00,4121.00
1974:Q3,4464.00,4464.00,0.00,386.00,-126.00,0.00,2089.00,1182.00,0.00,0.00,933.00,1037.00,1316.00,0.00,2111.00
1974:Q4,685.00,685.00,0.00,558.00,43.00,0.00,-951.00,264.00,0.00,0.00,771.00,507.00,-1291.00,0.00,1469.00
1975:Q1,-6014.00,-6014.00,0.00,-1350.00,-438.00,0.00,-2561.00,64.00,0.00,0.00,-1729.00,-476.00,-1181.00,0.00,-4357.00
1975:Q2,2721.00,2721.00,0.00,777.00,14.00,0.00,1122.00,919.00,0.00,0.00,-111.00,223.00,850.00,0.00,1648.00
1975:Q3,5250.00,5250.00,0.00,380.00,-127.00,0.00,2959.00,1809.00,0.00,0.00,229.00,877.00,1927.00,0.00,2446.00
1975:Q4,5813.00,5813.00,0.00,1129.00,136.00,0.00,2509.00,979.00,0.00,0.00,1060.00,714.00,1154.00,0.00,3945.00
1976:Q1,-2088.00,-2088.00,0.00,-906.00,-329.00,0.00,-160.00,701.00,0.00,0.00,-1394.00,-564.00,1316.00,0.00,-2840.00
1976:Q2,8240.00,8240.00,0.00,1013.00,39.00,0.00,4559.00,1947.00,0.00,0.00,682.00,433.00,3895.00,0.00,3912.00
1976:Q3,7540.00,7540.00,0.00,465.00,-122.00,0.00,4698.00,1868.00,0.00,0.00,631.00,1144.00,3010.00,0.00,3386.00
1976:Q4,8273.00,8273.00,0.00,1716.00,225.00,0.00,3622.00,987.00,0.00,0.00,1723.00,1157.00,1561.00,0.00,5555.00
1977:Q1,53.00,53.00,0.00,-2280.00,-319.00,0.00,1903.00,881.00,269.00,0.00,-401.00,14251.00,1989.00,0.00,-16187.00
1977:Q2,12893.00,12893.00,0.00,913.00,-104.00,0.00,8096.00,2302.00,20.00,0.00,1666.00,1498.00,5132.00,0.00,6263.00
1977:Q3,10905.00,10905.00,0.00,432.00,-212.00,0.00,7080.00,2021.00,80.00,0.00,1504.00,1636.00,4549.00,0.00,4720.00
1977:Q4,11939.00,11939.00,0.00,1796.00,151.00,0.00,6113.00,1232.00,5.00,0.00,2642.00,4699.00,2426.00,0.00,4814.00
1978:Q1,2079.00,2079.00,0.00,-1286.00,-514.00,0.00,3061.00,1119.00,75.00,0.00,-376.00,-1242.00,2685.00,0.00,636.00
1978:Q2,17555.00,17555.00,0.00,632.00,-136.00,0.00,11195.00,3212.00,100.00,0.00,2552.00,1848.00,7089.00,0.00,8618.00
1978:Q3,13496.00,13496.00,0.00,608.00,-144.00,0.00,8504.00,1931.00,55.00,0.00,2542.00,2707.00,5137.00,0.00,5652.00
1978:Q4,13283.00,13283.00,0.00,2183.00,255.00,0.00,4780.00,1305.00,170.00,0.00,4590.00,5722.00,2855.00,0.00,4706.00
1979:Q1,2514.00,2514.00,0.00,-1406.00,-506.00,0.00,2905.00,341.00,115.00,0.00,1065.00,-1539.00,3580.00,0.00,473.00
1979:Q2,13500.00,13500.00,0.00,690.00,-101.00,0.00,8134.00,1021.00,110.00,0.00,3646.00,1775.00,5381.00,0.00,6344.00
1979:Q3,14209.00,14209.00,0.00,768.00,-130.00,0.00,8489.00,1466.00,135.00,0.00,3481.00,2685.00,3832.00,0.00,7692.00
1979:Q4,13088.00,13088.00,0.00,1748.00,162.00,0.00,6588.00,-612.00,230.00,0.00,4972.00,5707.00,967.00,0.00,6414.00
1980:Q1,-4954.00,-4954.00,0.00,-3384.00,-474.00,0.00,-1876.00,-1665.00,227.00,0.00,2218.00,-2791.00,993.00,0.00,-3156.00
1980:Q2,-4025.00,-4025.00,0.00,846.00,-184.00,0.00,-5185.00,-2755.00,390.00,0.00,2863.00,-1296.00,-1513.00,0.00,-1216.00
1980:Q3,4699.00,4699.00,0.00,1128.00,-75.00,0.00,2236.00,600.00,156.00,0.00,654.00,956.00,499.00,0.00,3244.00
1980:Q4,7708.00,7708.00,0.00,2513.00,0.00,0.00,1974.00,487.00,361.00,0.00,2373.00,4700.00,-428.00,0.00,3436.00
1981:Q1,-4142.00,-4142.00,0.00,-1643.00,-75.00,0.00,-3354.00,340.00,772.00,0.00,-182.00,-2653.00,759.00,0.00,-2248.00
1981:Q2,7708.00,7708.00,0.00,1017.00,-25.00,0.00,3078.00,1669.00,238.00,0.00,1731.00,1942.00,2593.00,0.00,3173.00
1981:Q3,10318.00,10318.00,0.00,148.00,0.00,0.00,3656.00,1308.00,682.00,0.00,4524.00,2012.00,4736.00,0.00,3570.00
1981:Q4,5954.00,5954.00,0.00,1399.00,-25.00,0.00,1932.00,-658.00,495.00,0.00,2811.00,5000.00,-315.00,0.00,1269.00
1982:Q1,-4345.00,-4345.00,0.00,-2297.00,0.00,0.00,-1402.00,-139.00,216.00,0.00,-723.00,-3855.00,62.00,0.00,-552.00
1982:Q2,7350.00,7350.00,0.00,877.00,-25.00,0.00,2671.00,443.00,376.00,0.00,3008.00,1626.00,3677.00,0.00,2047.00
1982:Q3,5928.00,5928.00,0.00,269.00,0.00,0.00,3905.00,1183.00,601.00,0.00,-30.00,2251.00,1248.00,0.00,2429.00
1982:Q4,9903.00,9903.00,0.00,1616.00,0.00,0.00,4133.00,613.00,394.00,0.00,3147.00,5632.00,2750.00,0.00,1521.00
1983:Q1,-4808.00,-4808.00,0.00,-1898.00,0.00,0.00,-2647.00,21.00,-623.00,0.00,339.00,-3718.00,-111.00,0.00,-979.00
1983:Q2,11928.00,11928.00,0.00,1856.00,0.00,0.00,5449.00,1830.00,-427.00,0.00,3220.00,2645.00,5957.00,0.00,3326.00
1983:Q3,16774.00,16774.00,0.00,1121.00,0.00,0.00,10810.00,2784.00,-358.00,0.00,2417.00,3809.00,7851.00,0.00,5114.00
1983:Q4,24266.00,24266.00,0.00,3499.00,0.00,0.00,14054.00,2670.00,-424.00,0.00,4467.00,10605.00,5059.00,0.00,8602.00
1984:Q1,7132.00,7132.00,0.00,-2289.00,0.00,0.00,9472.00,2343.00,-224.00,0.00,-2170.00,-1726.00,5461.00,0.00,3397.00
1984:Q2,27789.00,27789.00,0.00,1490.00,0.00,0.00,18949.00,3540.00,671.00,0.00,3139.00,6311.00,10286.00,0.00,11192.00
1984:Q3,22040.00,22040.00,0.00,414.00,0.00,0.00,15552.00,2978.00,401.00,0.00,2695.00,5520.00,8384.00,0.00,8136.00
1984:Q4,24745.00,24745.00,0.00,3398.00,0.00,0.00,13945.00,2886.00,144.00,0.00,4372.00,12349.00,4965.00,0.00,7431.00
1985:Q1,9439.00,9439.00,0.00,-2872.00,0.00,0.00,11365.00,1046.00,69.00,0.00,-169.00,436.00,6957.00,0.00,2046.00
1985:Q2,23569.00,23569.00,0.00,1585.00,0.00,0.00,13358.00,2067.00,440.00,0.00,6119.00,4499.00,11707.00,0.00,7363.00
1985:Q3,26313.00,26313.00,0.00,1009.00,0.00,0.00,13108.00,1880.00,322.00,0.00,9994.00,6332.00,13098.00,0.00,6883.00
1985:Q4,24669.00,24669.00,0.00,4405.00,0.00,0.00,13947.00,1155.00,395.00,0.00,4767.00,14030.00,4652.00,0.00,5987.00
1986:Q1,-3775.00,-3775.00,0.00,-2387.00,0.00,0.00,-227.00,-1936.00,148.00,0.00,627.00,-2904.00,3123.00,0.00,-3994.00
1986:Q2,21092.00,21092.00,0.00,1482.00,0.00,0.00,10604.00,1294.00,861.00,0.00,6851.00,4430.00,12232.00,0.00,4430.00
1986:Q3,21997.00,21997.00,0.00,915.00,0.00,0.00,7870.00,2173.00,179.00,0.00,10860.00,3182.00,17491.00,0.00,1324.00
1986:Q4,16467.00,16467.00,0.00,4502.00,0.00,0.00,10005.00,1530.00,187.00,0.00,243.00,12641.00,3328.00,0.00,498.00
1987:Q1,-22038.00,-22038.00,0.00,-2594.00,0.00,0.00,-11041.00,-2421.00,131.00,0.00,-6113.00,-7568.00,-1549.00,0.00,-12921.00
1987:Q2,15996.00,15996.00,0.00,2148.00,0.00,0.00,8662.00,1718.00,654.00,0.00,2814.00,7087.00,8348.00,0.00,561.00
1987:Q3,19324.00,19324.00,0.00,1504.00,0.00,0.00,7862.00,3405.00,603.00,0.00,5950.00,6944.00,11280.00,0.00,1100.00
1987:Q4,19003.00,19003.00,0.00,5953.00,0.00,0.00,10842.00,1251.00,481.00,0.00,476.00,14274.00,552.00,0.00,4177.00
1988:Q1,-4908.00,-4908.00,0.00,-3115.00,0.00,0.00,-563.00,52.00,648.00,0.00,-1930.00,-4260.00,3577.00,0.00,-4225.00
1988:Q2,16396.00,16396.00,0.00,1917.00,0.00,0.00,9706.00,2057.00,804.00,0.00,1912.00,5992.00,7920.00,0.00,2484.00
1988:Q3,15710.00,15710.00,0.00,957.00,0.00,0.00,9566.00,3386.00,972.00,0.00,829.00,4995.00,8302.00,0.00,2413.00
1988:Q4,19368.00,19368.00,0.00,6970.00,0.00,0.00,9435.00,1817.00,735.00,0.00,411.00,18094.00,-930.00,0.00,2204.00
1989:Q1,-9113.00,-9113.00,0.00,-8104.00,0.00,0.00,-5991.00,-1593.00,471.00,6277.00,-173.00,-15689.00,-7490.00,0.00,14066.00
1989:Q2,16424.00,16424.00,0.00,1739.00,0.00,0.00,7589.00,1541.00,570.00,1158.00,3827.00,7422.00,5100.00,0.00,3902.00
1989:Q3,14590.00,14590.00,0.00,1384.00,0.00,0.00,7100.00,2660.00,673.00,1300.00,1473.00,6182.00,2861.00,0.00,5547.00
1989:Q4,25078.00,25078.00,0.00,8053.00,0.00,0.00,9573.00,706.00,1113.00,11500.00,-5867.00,20220.00,-2407.00,0.00,7265.00
1990:Q1,-16965.00,-16965.00,0.00,-5317.00,0.00,0.00,-12701.00,-1620.00,731.00,6595.00,-4653.00,-7375.00,-3383.00,0.00,-6207.00
1990:Q2,6392.00,6392.00,0.00,1073.00,0.00,0.00,-3732.00,326.00,535.00,9028.00,-838.00,8600.00,2135.00,0.00,-4343.00
1990:Q3,13590.00,13590.00,0.00,490.00,0.00,0.00,3136.00,1268.00,573.00,4215.00,3908.00,10133.00,621.00,0.00,2836.00
1990:Q4,12089.00,12089.00,0.00,7066.00,0.00,0.00,-915.00,-31.00,1375.00,9490.00,-4896.00,17256.00,-6367.00,0.00,1200.00
1991:Q1,-22184.00,-22184.00,0.00,-7955.00,0.00,0.00,-11396.00,-3122.00,884.00,6588.00,-7183.00,-7002.00,-8495.00,0.00,-6687.00
1991:Q2,-901.00,-901.00,0.00,-1801.00,0.00,0.00,-5303.00,45.00,490.00,5360.00,308.00,5768.00,-6292.00,0.00,-377.00
1991:Q3,1194.00,1194.00,0.00,-142.00,0.00,0.00,-5187.00,702.00,152.00,8807.00,-3138.00,8077.00,-1741.00,0.00,-5142.00
1991:Q4,13081.00,13081.00,0.00,5745.00,0.00,0.00,2595.00,1080.00,335.00,5539.00,-2213.00,19337.00,-3149.00,0.00,-3107.00
1992:Q1,-22228.00,-22228.00,0.00,-6956.00,0.00,0.00,-15844.00,-829.00,796.00,3737.00,-3132.00,-13350.00,-1886.00,0.00,-6992.00
1992:Q2,-1021.00,-1021.00,0.00,841.00,0.00,0.00,-2380.00,-1166.00,774.00,2840.00,-1930.00,4077.00,-2485.00,0.00,-2613.00
1992:Q3,9601.00,9601.00,0.00,970.00,0.00,0.00,661.00,2399.00,1015.00,4006.00,550.00,4342.00,4281.00,0.00,978.00
1992:Q4,22836.00,22836.00,0.00,7898.00,0.00,0.00,5484.00,988.00,484.00,6737.00,1245.00,20100.00,-137.00,0.00,2873.00
1993:Q1,-17507.00,-17507.00,0.00,-6964.00,0.00,0.00,-4584.00,-270.00,454.00,-489.00,-5654.00,-10491.00,1459.00,0.00,-8475.00
1993:Q2,11400.00,11400.00,0.00,1202.00,0.00,0.00,8334.00,3963.00,703.00,-706.00,-2096.00,5097.00,6544.00,0.00,-241.00
