1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,416870.00,263705.00,240092.00,23613.00,47701.00,14292.00,45271.00,45934.00,46878.00,37912.00,6110.00,2856.00,19568.00,17044.00,2524.00,27310.00,11672.00,9236.00,700.00,1736.00,15638.00,11632.00,2886.00,1120.00,-944.00,-663.00,-355.00,-308.00,8281.00,36746.00,1734.00,1828.00,1388.00,440.00,0.00,780.00,416870.00,43371.00,17068.00,905.00,2534.00,475680.00
1958:Q1,411142.00,260215.00,236724.00,23491.00,50266.00,14572.00,39466.00,40344.00,40564.00,31655.00,6330.00,2579.00,16920.00,14032.00,2888.00,23644.00,11552.00,9232.00,700.00,1620.00,12092.00,8391.00,2742.00,959.00,-220.00,-878.00,-554.00,-324.00,9096.00,36823.00,1852.00,1793.00,1308.00,485.00,0.00,763.00,411142.00,44034.00,17027.00,-1219.00,2630.00,468354.00
1958:Q2,412991.00,259874.00,236276.00,23598.00,50326.00,14751.00,40609.00,41588.00,41276.00,32346.00,6381.00,2549.00,17248.00,14348.00,2900.00,24028.00,11676.00,9224.00,708.00,1744.00,12352.00,8774.00,2773.00,805.00,312.00,-979.00,-645.00,-334.00,9641.00,37331.00,2034.00,1742.00,1260.00,482.00,0.00,751.00,412991.00,44651.00,17311.00,526.00,2694.00,472785.00
1958:Q3,425317.00,267676.00,243837.00,23839.00,50123.00,14890.00,44759.00,45728.00,45972.00,37107.00,6361.00,2504.00,19388.00,16552.00,2836.00,26584.00,11656.00,9132.00,728.00,1796.00,14928.00,11423.00,2797.00,708.00,-244.00,-969.00,-629.00,-340.00,9870.00,37795.00,2224.00,1671.00,1212.00,459.00,0.00,757.00,425317.00,45219.00,17697.00,1025.00,2605.00,486653.00
1958:Q4,437089.00,272711.00,248432.00,24279.00,49917.00,14976.00,50593.00,51438.00,52306.00,43113.00,6733.00,2460.00,22300.00,19324.00,2976.00,30006.00,11380.00,8872.00,732.00,1776.00,18626.00,14917.00,3025.00,684.00,-868.00,-845.00,-504.00,-341.00,9960.00,38929.00,2380.00,1606.00,1180.00,426.00,0.00,777.00,437089.00,45738.00,18022.00,2116.00,2585.00,500380.00
1959:Q1,449150.00,280224.00,254011.00,26213.00,50082.00,14972.00,54265.00,54874.00,55502.00,46009.00,6993.00,2500.00,23500.00,20800.00,2700.00,32002.00,12084.00,9480.00,820.00,1784.00,19918.00,15729.00,3473.00,716.00,-628.00,-609.00,-271.00,-338.00,8887.00,39770.00,1148.00,1604.00,1272.00,332.00,0.00,494.00,449150.00,46211.00,18259.00,26.00,2583.00,511063.00
1959:Q2,463165.00,286936.00,260556.00,26380.00,50339.00,15433.00,59067.00,59402.00,60398.00,50558.00,7301.00,2539.00,25724.00,22876.00,2848.00,34674.00,12464.00,9856.00,888.00,1720.00,22210.00,17826.00,3565.00,819.00,-996.00,-335.00,-8.00,-327.00,9851.00,40292.00,928.00,1661.00,1320.00,341.00,0.00,514.00,463165.00,46643.00,18483.00,-1450.00,2600.00,524241.00
1959:Q3,460457.00,287404.00,260899.00,26505.00,50355.00,15785.00,54190.00,54217.00,54549.00,43832.00,7925.00,2792.00,23116.00,19904.00,3212.00,31433.00,12764.00,9944.00,924.00,1896.00,18669.00,13984.00,3789.00,896.00,-332.00,-27.00,283.00,-310.00,9890.00,41722.00,1088.00,1672.00,1340.00,332.00,0.00,527.00,460457.00,47034.00,18738.00,1797.00,2830.00,525196.00
1959:Q4,465743.00,290670.00,263902.00,26768.00,50607.00,16044.00,54535.00,54216.00,53368.00,42116.00,8213.00,3039.00,22568.00,19148.00,3420.00,30800.00,12968.00,9984.00,936.00,2048.00,17832.00,12984.00,3857.00,991.00,848.00,319.00,604.00,-285.00,10194.00,42424.00,1068.00,1695.00,1356.00,339.00,0.00,642.00,465743.00,47385.00,19002.00,221.00,3030.00,529321.00
1960:Q1,479063.00,299276.00,270749.00,28527.00,49747.00,16226.00,58610.00,57910.00,58778.00,47265.00,8453.00,3060.00,25104.00,21432.00,3672.00,33674.00,13172.00,10324.00,960.00,1888.00,20502.00,15509.00,3821.00,1172.00,-868.00,700.00,954.00,-254.00,10272.00,43696.00,1024.00,1731.00,1332.00,399.00,0.00,529.00,479063.00,47696.00,19278.00,237.00,2927.00,543347.00
1960:Q2,479771.00,302279.00,273398.00,28881.00,50715.00,16379.00,54796.00,53824.00,54428.00,42763.00,8497.00,3168.00,23064.00,19368.00,3696.00,31364.00,13248.00,10340.00,952.00,1956.00,18116.00,13055.00,3849.00,1212.00,-604.00,972.00,1202.00,-230.00,10250.00,44347.00,1280.00,1728.00,1308.00,420.00,0.00,557.00,479771.00,48024.00,19535.00,-1629.00,3004.00,542697.00
1960:Q3,481182.00,303155.00,273964.00,29191.00,50871.00,16543.00,53807.00,52671.00,52155.00,40713.00,8365.00,3077.00,22024.00,18412.00,3612.00,30131.00,13536.00,10696.00,972.00,1868.00,16595.00,11605.00,3781.00,1209.00,516.00,1136.00,1349.00,-213.00,10861.00,44861.00,1048.00,1739.00,1300.00,439.00,0.00,393.00,481182.00,48373.00,19826.00,-205.00,3164.00,546012.00
