date,FA156902505.A,FA156300003.A,FA156902605.A,FA156025005.A,FA156020001.A,FA156401001.A,FA156240101.A,FA156402101.A,FA156140005.A,FA156402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA156150105.A,FA156130101.A,FA156120105.A,FA156121101.A,FA156122101.A,FA156130001.A,FA156140005.A,FA156220001.A,FA156404105.A,FA156600001.A,FA156403101.A,FA156403001.A,FA156012095.A,FA156901001.A,FA156006005.A,FA156006315.A,FA156006005.A,FA155440005.A,FA155050905.A,FA155019005.A,FA155012005.A,FA165013005.A,FA156300003.A,FA155420003.A,FA155000905.A,FA155000905.A,FA154090005.A,FA154000005.A,FA153020005.A,FA153030005.A,FA153091003.A,FA313131003.A,FA154022005.A,FA163069103.A,FA153061105.A,FA153061705.A,FA153062005.A,FA153063005.A,FA154023005.A,FA154041005.A,FA153065005.A,FA153081005.A,FA153064105.A,FA153064205.A,FA153034005.A,FA152090205.A,FA153094305.A,FA153052005.A,FA153076005.A,FA153040005.A,FA153050005.A,FA543195005.A,FA313195105.A,FA154190005.A,FA163162003.A,FA154123005.A,FA154141005.A,FA153166000.A,FA153168005.A,FA153169005.A,FA153165005.A,FA543077073.A,FA163170003.A,FA155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010085.A,FR155035005.A,FR155111005.A,FR165015205.A,FR165013765.A,FR158080095.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,FL152010005.A,LM155035005.A,FL155111005.A,FL165015205.A,FL165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,FL153091003.A,FL153030005.A,FL313131003.A,FL154022005.A,FL163069103.A,FL153061105.A,FL153061705.A,FL153062005.A,FL153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,FL152090205.A,FL153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL543195005.A,FL313195105.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170003.A,FL152090005.A
1997,984339.00,182134.00,802205.00,358223.00,308723.00,49501.00,82895.00,361087.00,6545521.00,361087.00,4714693.00,3876844.00,837849.00,1911203.00,921566.00,989637.00,337927.00,651710.00,441461.00,6545521.00,931820.00,935418.00,587241.00,19446.00,68414.00,5912910.00,5560721.00,352190.00,325216.00,352190.00,26974.00,193585.00,380550.00,312475.00,68075.00,182134.00,-4831.00,131631.00,131631.00,558248.00,107967.00,-40970.00,142404.00,6533.00,0.00,-83822.00,1294.00,-135137.00,64773.00,14253.00,-29005.00,22919.00,29999.00,-7080.00,77798.00,-170504.00,198123.00,69316.00,-19137.00,0.00,433386.00,2000.00,46488.00,374233.00,10665.00,0.00,352849.00,7131.00,336491.00,117536.00,70287.00,9835.00,37414.00,218955.00,335.00,8892.00,205399.00,161661.00,127581.00,0.00,-39688.00,-73768.00,380432.00,420984.00,-37526.00,-3059.00,33.00,2553867.00,1600083.00,187527.00,401176.00,0.00,365081.00,2934299.00,3421176.00,40109349.00,12688393.00,9826922.00,2717985.00,94610.00,48876.00,27420956.00,3162321.00,503878.00,37179.00,2621264.00,0.00,2274672.00,77115.00,803138.00,401564.00,444852.00,548003.00,319025.00,220011.00,99014.00,12613778.00,6194996.00,1831257.00,569202.00,4018323.00,0.00,9051161.00,211578.00,664963.00,8034651.00,139969.00,0.00,40109349.00,5757024.00,109571.00,5510804.00,1648814.00,1344165.00,50518.00,254131.00,3861991.00,18641.00,118008.00,34352325.00
1998,1049472.00,194532.00,854940.00,384958.00,330048.00,54910.00,84431.00,385551.00,7052807.00,385551.00,5077827.00,4181616.00,896211.00,2052739.00,988193.00,1064547.00,355442.00,709105.00,463310.00,7052807.00,1032420.00,957915.00,624651.00,25995.00,71296.00,6308350.00,5903029.00,405321.00,372928.00,405321.00,32393.00,234868.00,435294.00,355020.00,80274.00,194532.00,-5893.00,138060.00,138060.00,697129.00,111600.00,24855.00,86199.00,546.00,0.00,29293.00,3048.00,-54256.00,89700.00,-2650.00,-6550.00,68207.00,72483.00,-4276.00,-19596.00,-231108.00,149549.00,99033.00,-37071.00,0.00,507626.00,-1046.00,44399.00,453986.00,10287.00,0.00,441158.00,11758.00,422069.00,110732.00,97107.00,-7576.00,21201.00,311338.00,-1414.00,8745.00,255971.00,372035.00,167608.00,0.00,86516.00,-117911.00,676787.00,732348.00,-51842.00,-3784.00,66.00,2372583.00,1566642.00,232233.00,276720.00,0.00,296988.00,3049370.00,3794333.00,44344841.00,13777899.00,10787652.00,2833751.00,103614.00,52882.00,30566942.00,3270448.00,528733.00,37725.00,2703990.00,0.00,2298883.00,80163.00,749939.00,473163.00,440231.00,555387.00,387232.00,292494.00,94738.00,14669776.00,7530531.00,2213039.00,668235.00,4257972.00,0.00,9940602.00,210532.00,718262.00,8861552.00,150256.00,0.00,44344841.00,6198183.00,121329.00,5932874.00,1759545.00,1441272.00,42942.00,275331.00,4173329.00,17227.00,126753.00,38146658.00
1999,1122065.00,210937.00,911128.00,407552.00,347309.00,60243.00,87325.00,416252.00,7435362.00,416252.00,5410309.00,4458005.00,952304.00,2095315.00,984380.00,1110935.00,346399.00,764535.00,486514.00,7435362.00,1112116.00,992202.00,661285.00,33973.00,77822.00,6610313.00,6307024.00,303290.00,267022.00,303290.00,36268.00,256443.00,473962.00,388206.00,85756.00,210937.00,-6583.00,10580.00,10580.00,543108.00,76834.00,-19736.00,93636.00,2934.00,0.00,-23444.00,4696.00,-9747.00,75830.00,16444.00,-110667.00,65060.00,57756.00,7304.00,36049.00,-94983.00,97236.00,101756.00,-67960.00,0.00,388609.00,67.00,48537.00,328644.00,11361.00,0.00,555276.00,10413.00,538585.00,156817.00,112351.00,-25905.00,70371.00,381768.00,2136.00,4142.00,-12168.00,443707.00,213404.00,-1269.00,254320.00,22748.00,721964.00,780671.00,-56066.00,-3280.00,638.00,3290865.00,2190152.00,340862.00,302648.00,0.00,457203.00,4012829.00,4723558.00,49623722.00,14967348.00,11804471.00,2991089.00,114287.00,57501.00,34656374.00,3354009.00,508974.00,40659.00,2804376.00,0.00,2472043.00,84859.00,824533.00,579926.00,500934.00,481791.00,452292.00,350250.00,102042.00,17538656.00,9625699.00,2651137.00,769991.00,4491828.00,0.00,10839375.00,210599.00,783859.00,9682923.00,161994.00,0.00,49623722.00,6753507.00,131742.00,6471435.00,1918660.00,1553622.00,19336.00,345702.00,4552775.00,19435.00,130895.00,42870216.00
2000,1202740.00,230063.00,972677.00,434884.00,371417.00,63467.00,90314.00,447480.00,8038869.00,447480.00,5856580.00,4825865.00,1030716.00,2275520.00,1071323.00,1204197.00,383329.00,820868.00,540710.00,8038869.00,1236556.00,1044876.00,705840.00,42434.00,83724.00,7100059.00,6792389.00,307669.00,272029.00,307669.00,35640.00,266228.00,503105.00,408163.00,94942.00,230063.00,-6814.00,5802.00,5802.00,380509.00,190966.00,-103563.00,286917.00,7612.00,0.00,-33790.00,12446.00,-208148.00,30674.00,17828.00,113410.00,114298.00,112388.00,1910.00,-334552.00,-554840.00,77383.00,162390.00,-19485.00,0.00,443587.00,-747.00,42993.00,394461.00,6880.00,0.00,585555.00,5759.00,575855.00,180700.00,176545.00,-4394.00,8549.00,395155.00,125.00,3816.00,-205046.00,-306713.00,246685.00,0.00,-342550.00,210847.00,1436057.00,1474197.00,-36006.00,-2631.00,496.00,-750075.00,-816876.00,-262321.00,486642.00,0.00,-157520.00,685982.00,651298.00,50870448.00,16916054.00,13524901.00,3201768.00,127346.00,62039.00,33954394.00,3522084.00,405361.00,48271.00,3068452.00,0.00,2354136.00,97305.00,590762.00,620723.00,488710.00,556636.00,566590.00,462638.00,103952.00,16343496.00,7983983.00,2466199.00,934328.00,4958986.00,0.00,11168089.00,209852.00,819098.00,9970265.00,168874.00,0.00,50870448.00,7348935.00,137501.00,7057163.00,2110460.00,1741267.00,14942.00,354251.00,4946703.00,19560.00,134711.00,43521514.00
2001,1279381.00,250179.00,1029202.00,453423.00,386739.00,66684.00,95325.00,480454.00,8308003.00,480454.00,6046546.00,4954436.00,1092110.00,2347757.00,1073341.00,1274416.00,369155.00,905262.00,566754.00,8308003.00,1239323.00,1145830.00,733196.00,46769.00,89801.00,7438282.00,7103108.00,335174.00,304833.00,335174.00,30341.00,276875.00,534871.00,435737.00,99135.00,250179.00,-7818.00,27958.00,27958.00,566167.00,355997.00,74614.00,280978.00,405.00,0.00,-153316.00,-9151.00,-93591.00,-134624.00,55147.00,28903.00,47398.00,42115.00,5283.00,-193831.00,-432904.00,96295.00,162713.00,-19934.00,0.00,509919.00,12511.00,74104.00,416766.00,6538.00,0.00,625056.00,13827.00,613531.00,96540.00,150559.00,-16146.00,-37874.00,516991.00,-443.00,-1859.00,-58889.00,234495.00,230676.00,-1989.00,92655.00,86847.00,1012220.00,1084919.00,-68109.00,-2895.00,-1695.00,-1105543.00,-676097.00,-224062.00,202931.00,0.00,-408315.00,-93324.00,446003.00,51941509.00,18432769.00,14864495.00,3364335.00,140185.00,63754.00,33508740.00,3878081.00,479975.00,48676.00,3349430.00,0.00,2170184.00,88154.00,442459.00,420126.00,547504.00,671941.00,613988.00,504753.00,109235.00,15451779.00,6874982.00,2338432.00,1097041.00,5141324.00,0.00,11394708.00,222363.00,880004.00,10116929.00,175412.00,0.00,51941509.00,7973991.00,151328.00,7670694.00,2207000.00,1891827.00,-1204.00,316377.00,5463694.00,19117.00,132852.00,43967517.00
2002,1357192.00,266619.00,1090573.00,489062.00,412097.00,76965.00,102963.00,498549.00,8410259.00,498549.00,6141911.00,4996411.00,1145500.00,2329010.00,993022.00,1335988.00,398629.00,937360.00,559211.00,8410259.00,1054665.00,1250485.00,751497.00,34195.00,99465.00,7789312.00,7384051.00,405261.00,376204.00,405261.00,29057.00,305178.00,580124.00,473891.00,106233.00,266619.00,-8327.00,71026.00,71026.00,633692.00,292308.00,-15749.00,306796.00,1261.00,0.00,25314.00,-5936.00,-129944.00,-141076.00,92156.00,210114.00,-52197.00,-60139.00,7942.00,-170878.00,-145288.00,77429.00,-31653.00,-71366.00,0.00,539144.00,21556.00,59914.00,447460.00,10214.00,0.00,783916.00,12569.00,751353.00,33172.00,105180.00,-24003.00,-48005.00,718181.00,886.00,19108.00,-150224.00,14596.00,238767.00,0.00,-2921.00,221250.00,1059246.00,1137825.00,-75640.00,-1901.00,-1039.00,-1912160.00,-1511959.00,-417704.00,390706.00,0.00,-373202.00,-852914.00,-462115.00,52263311.00,20035469.00,16285059.00,3527462.00,155868.00,67080.00,32227842.00,4166908.00,464226.00,49937.00,3652745.00,0.00,2152699.00,82218.00,276918.00,260597.00,619331.00,913635.00,561791.00,444614.00,117177.00,13745590.00,5221382.00,1998157.00,1065388.00,5460664.00,0.00,11600853.00,243919.00,920915.00,10235024.00,185626.00,15369.00,52263311.00,8757908.00,163897.00,8422048.00,2240173.00,1997008.00,-25207.00,268372.00,6181875.00,20003.00,151960.00,43505402.00
2003,1427047.00,290784.00,1136263.00,517718.00,432480.00,85238.00,108796.00,509749.00,8717553.00,509749.00,6364463.00,5137847.00,1226616.00,2389827.00,989524.00,1400303.00,432253.00,968050.00,546485.00,8717553.00,1005323.00,1321063.00,779256.00,26260.00,105195.00,8175102.00,7765530.00,409573.00,396449.00,409573.00,13124.00,354616.00,653864.00,541874.00,111989.00,290784.00,-8463.00,41833.00,41833.00,961289.00,273310.00,-31240.00,301646.00,2904.00,0.00,-81226.00,-4904.00,16369.00,121869.00,19016.00,-233575.00,84619.00,79564.00,5055.00,61879.00,-93072.00,213788.00,-112832.00,53995.00,0.00,622707.00,22865.00,65161.00,501163.00,13907.00,19611.00,1044651.00,13806.00,1025088.00,146751.00,105925.00,8007.00,32819.00,878337.00,917.00,4840.00,-83361.00,410248.00,239693.00,0.00,295749.00,125194.00,1303740.00,1392935.00,-87985.00,-1719.00,509.00,3239514.00,1684545.00,469198.00,518559.00,0.00,567212.00,4543254.00,5349950.00,58687998.00,21933407.00,18010895.00,3679170.00,171754.00,71588.00,36754591.00,4523850.00,458080.00,52841.00,4012929.00,0.00,2308438.00,77314.00,422518.00,395861.00,634536.00,778209.00,646410.00,524178.00,122232.00,16479771.00,6812855.00,2681142.00,952556.00,6033218.00,0.00,12796123.00,266784.00,1013152.00,11281674.00,199533.00,34980.00,58687998.00,9832646.00,177703.00,9477223.00,2407323.00,2102932.00,3200.00,301191.00,7069900.00,20920.00,156800.00,48855353.00
2004,1510889.00,323375.00,1187514.00,545600.00,452197.00,93403.00,114679.00,527235.00,9244756.00,527235.00,6739534.00,5421933.00,1317601.00,2537478.00,942948.00,1594530.00,562072.00,1032457.00,559491.00,9244756.00,1050612.00,1404558.00,829178.00,16771.00,116849.00,8669446.00,8260017.00,409429.00,408065.00,409429.00,1364.00,433836.00,765938.00,643850.00,122088.00,323375.00,-8727.00,-25770.00,-25770.00,1284978.00,404549.00,-58235.00,453861.00,8923.00,0.00,174433.00,6388.00,-15950.00,118267.00,137740.00,-72011.00,127369.00,116959.00,10410.00,-100005.00,-242925.00,126785.00,-54322.00,70457.00,0.00,678631.00,23627.00,30456.00,595710.00,11446.00,17392.00,1150714.00,14344.00,1118365.00,178991.00,117186.00,-20023.00,81828.00,939374.00,1554.00,16451.00,134264.00,1502089.00,254822.00,-12040.00,1099272.00,-160034.00,2457033.00,2494647.00,-34500.00,-2014.00,-1100.00,2658231.00,985895.00,283030.00,1135721.00,0.00,253585.00,5115264.00,7025418.00,66889391.00,25066814.00,20902388.00,3899492.00,189433.00,75501.00,41822577.00,4941470.00,399845.00,61764.00,4479861.00,0.00,3303885.00,83702.00,476189.00,452496.00,1537731.00,753767.00,773779.00,641137.00,132642.00,18777820.00,7555825.00,3090957.00,898234.00,7232805.00,0.00,14025623.00,290411.00,1060352.00,12411509.00,210979.00,52372.00,66889391.00,11008620.00,202459.00,10610436.00,2586314.00,2220119.00,-16823.00,383018.00,8024122.00,22474.00,173251.00,55880771.00
2005,1599539.00,362085.00,1237454.00,563363.00,466233.00,97130.00,120706.00,553385.00,9733116.00,553385.00,7086801.00,5691959.00,1394842.00,2722230.00,1089442.00,1632788.00,578311.00,1054477.00,629299.00,9733116.00,1213227.00,1491020.00,873345.00,25713.00,126055.00,9037221.00,8794110.00,243111.00,265007.00,243111.00,-21895.00,493813.00,864984.00,738897.00,126087.00,362085.00,-9086.00,-228806.00,-228806.00,892815.00,369833.00,-113846.00,481596.00,2083.00,0.00,80764.00,14704.00,-131075.00,105622.00,107295.00,-15782.00,-917.00,-9031.00,8114.00,-180206.00,-364741.00,193416.00,43945.00,-52826.00,0.00,623342.00,25572.00,11809.00,553487.00,9458.00,23016.00,1159081.00,14439.00,1130631.00,69208.00,100436.00,304.00,-31532.00,1061423.00,974.00,13037.00,-266266.00,329943.00,252363.00,-50369.00,165408.00,37460.00,2924293.00,2971058.00,-44058.00,-2583.00,-123.00,2536210.00,1045383.00,-730.00,1180799.00,0.00,310759.00,5460503.00,6055453.00,74102846.00,28688567.00,24295201.00,4107797.00,206077.00,79492.00,45414279.00,5311587.00,285999.00,63847.00,4961741.00,0.00,3535361.00,98406.00,422170.00,562429.00,1647231.00,805125.00,772862.00,632106.00,140756.00,20798606.00,8236466.00,3283643.00,942179.00,8336318.00,0.00,14995863.00,315983.00,1082599.00,13304593.00,217300.00,75388.00,74102846.00,12166622.00,216898.00,11741067.00,2655522.00,2320555.00,-16519.00,351486.00,9085545.00,22369.00,186288.00,61936223.00
2006,1689412.00,396202.00,1293211.00,590906.00,490939.00,99967.00,130835.00,571469.00,10437484.00,571469.00,7502337.00,6057402.00,1444935.00,3071622.00,1216104.00,1855517.00,723673.00,1131845.00,707944.00,10437484.00,1357059.00,1593114.00,922591.00,21476.00,137035.00,9635389.00,9303995.00,331394.00,314825.00,331394.00,16569.00,453783.00,860094.00,722731.00,137363.00,396202.00,-10110.00,-138957.00,-138957.00,890470.00,451448.00,-40162.00,485511.00,6099.00,0.00,-116826.00,19045.00,-96027.00,-49904.00,55505.00,-45445.00,66428.00,83560.00,-17132.00,-122769.00,-490827.00,154888.00,218662.00,-5493.00,0.00,612190.00,4564.00,50283.00,524496.00,14766.00,18081.00,1274748.00,16448.00,1244201.00,228759.00,120107.00,44245.00,64407.00,1015442.00,471.00,13628.00,-384278.00,516750.00,239623.00,0.00,522448.00,245321.00,205080.00,253395.00,-46902.00,-637.00,-777.00,3258219.00,1960385.00,357484.00,422452.00,0.00,517899.00,3463299.00,4294875.00,79691731.00,29588314.00,24978966.00,4300518.00,226007.00,82823.00,50103417.00,5789279.00,239580.00,69946.00,5479753.00,0.00,3497964.00,117451.00,333054.00,584022.00,1703190.00,760247.00,908142.00,784518.00,123624.00,23896882.00,10205504.00,3831321.00,1106781.00,8753277.00,0.00,16011150.00,320547.00,1055178.00,14309890.00,232066.00,93469.00,79691731.00,13460633.00,233346.00,13004531.00,2903544.00,2456716.00,30935.00,415893.00,10100987.00,22840.00,199916.00,66231098.00
2007,1749624.00,413741.00,1335883.00,616769.00,515955.00,100814.00,135113.00,584002.00,10936657.00,584002.00,7898262.00,6395168.00,1503094.00,3234589.00,1351493.00,1883096.00,816515.00,1066581.00,780196.00,10936657.00,1493194.00,1697482.00,961398.00,30607.00,149841.00,10060313.00,9750507.00,309805.00,302991.00,309805.00,6814.00,311217.00,736130.00,582263.00,153868.00,413741.00,-11173.00,-8226.00,-8226.00,1243228.00,425140.00,-75160.00,482524.00,17776.00,0.00,496480.00,-10165.00,-42211.00,315579.00,48751.00,184526.00,219705.00,232587.00,-12882.00,-449646.00,-904007.00,262258.00,238781.00,-46678.00,0.00,551549.00,6708.00,9971.00,495541.00,15545.00,23784.00,962867.00,22496.00,924734.00,178107.00,150616.00,-9142.00,36633.00,746627.00,1012.00,14625.00,280361.00,697748.00,231139.00,0.00,178022.00,-288587.00,-2058493.00,-1999465.00,-55618.00,-3088.00,-322.00,1311967.00,744898.00,225509.00,106648.00,0.00,234912.00,-746526.00,254214.00,80880758.00,28072864.00,23263384.00,4476039.00,245798.00,87643.00,52807894.00,6209346.00,153420.00,87722.00,5968204.00,0.00,4080639.00,107286.00,198324.00,802671.00,1786831.00,1185527.00,1127847.00,1017105.00,110742.00,24525847.00,10046395.00,4319088.00,1345562.00,8814802.00,0.00,16864215.00,327255.00,1077158.00,15074847.00,247611.00,137344.00,80880758.00,14395446.00,255842.00,13901211.00,3084199.00,2609880.00,21793.00,452526.00,10817012.00,23852.00,214541.00,66485312.00
2008,1855251.00,414565.00,1440686.00,658212.00,549919.00,108293.00,143214.00,639261.00,11247656.00,639261.00,8078257.00,6531869.00,1546388.00,3303642.00,1363015.00,1940628.00,805439.00,1135189.00,773504.00,11247656.00,1507806.00,1919953.00,988237.00,36623.00,157830.00,10550359.00,10013647.00,536712.00,529046.00,536712.00,7666.00,154875.00,580437.00,425287.00,155150.00,414565.00,-10997.00,374172.00,374172.00,1328063.00,417227.00,176788.00,258269.00,-17830.00,0.00,775563.00,-101328.00,150976.00,300866.00,73996.00,351053.00,-159892.00,-161015.00,1123.00,-306352.00,-208739.00,-25748.00,234212.00,-306077.00,0.00,601517.00,11022.00,54040.00,492369.00,17584.00,26502.00,10510.00,10394.00,-25243.00,-115555.00,34304.00,4636.00,-154495.00,90312.00,3155.00,22204.00,1317553.00,1181065.00,134563.00,-8316.00,111437.00,-943381.00,-3977784.00,-3943266.00,-31990.00,-1347.00,-1182.00,-8454304.00,-4187555.00,-1496645.00,-1179261.00,0.00,-1590843.00,-12432088.00,-10721977.00,70043032.00,24376882.00,19442649.00,4578612.00,263997.00,91624.00,45666150.00,6591524.00,295208.00,69892.00,6226424.00,0.00,4850415.00,5958.00,170980.00,1013684.00,1914037.00,1745756.00,967914.00,856090.00,111824.00,17358304.00,5650101.00,2796694.00,1579774.00,7331735.00,0.00,15897993.00,337277.00,1050163.00,14081512.00,265195.00,163846.00,70043032.00,14279697.00,266236.00,13749709.00,2968644.00,2644184.00,26429.00,298031.00,10781065.00,27007.00,236745.00,55763334.00
2009,1913615.00,403268.00,1510346.00,686629.00,566132.00,120497.00,152399.00,671318.00,10643370.00,671318.00,7786972.00,6251396.00,1535577.00,2901862.00,1265481.00,1636382.00,553741.00,1082641.00,716783.00,10643370.00,1152263.00,2108840.00,964407.00,38695.00,159845.00,10514389.00,9846970.00,667419.00,695807.00,667419.00,-28388.00,55185.00,468146.00,321050.00,147096.00,403268.00,-9693.00,640623.00,640623.00,604487.00,196969.00,100588.00,103549.00,-7168.00,0.00,-47358.00,16692.00,506810.00,-694488.00,129729.00,-6101.00,-48261.00,-47366.00,-895.00,-53773.00,-11306.00,331789.00,-267853.00,-107599.00,1196.00,556910.00,8735.00,23128.00,500055.00,8425.00,16567.00,86056.00,6617.00,42937.00,-27596.00,-94595.00,28339.00,38660.00,70533.00,-4922.00,41424.00,518431.00,374170.00,50255.00,0.00,446107.00,122192.00,-1095479.00,-1048067.00,-40751.00,-4669.00,-1992.00,2087225.00,1713736.00,725789.00,-1108813.00,-302.00,756815.00,991746.00,2061723.00,71898374.00,23387960.00,18431544.00,4588116.00,271906.00,96394.00,48510414.00,6773960.00,395794.00,62724.00,6315442.00,0.00,4968060.00,22650.00,836709.00,312840.00,1996545.00,1799316.00,921975.00,811046.00,110929.00,18646488.00,7352531.00,3854273.00,1311921.00,6126869.00,894.00,17199931.00,346012.00,1109537.00,15290349.00,273620.00,180413.00,71898374.00,14073316.00,272853.00,13500209.00,2876199.00,2555390.00,-15882.00,336691.00,10624010.00,22085.00,278169.00,57825057.00
2010,1928794.00,400485.00,1528309.00,696448.00,577314.00,119134.00,152788.00,679073.00,10889532.00,679073.00,7961448.00,6377525.00,1583923.00,2900229.00,1196230.00,1703999.00,544617.00,1159382.00,651217.00,10889532.00,1239251.00,2281740.00,984108.00,42951.00,158663.00,10832201.00,10202195.00,630007.00,650594.00,630007.00,-20587.00,43413.00,452375.00,318287.00,134088.00,400485.00,-8478.00,607181.00,607181.00,725863.00,208255.00,38955.00,164753.00,4547.00,0.00,-122850.00,-1501.00,315981.00,1170.00,60241.00,-498741.00,821.00,11698.00,-10877.00,-7506.00,-207947.00,212718.00,-183486.00,167254.00,3955.00,647143.00,-35234.00,8491.00,634287.00,17115.00,22484.00,-102024.00,-1585.00,-73704.00,99632.00,-28134.00,50141.00,77625.00,-173336.00,2656.00,-29391.00,827887.00,1088549.00,86866.00,0.00,780977.00,-220706.00,-471373.00,-380231.00,-88314.00,-2417.00,-411.00,2973733.00,1650596.00,408926.00,449923.00,-1010.00,465298.00,2502360.00,4241502.00,75862837.00,23044767.00,18076215.00,4586668.00,280125.00,101759.00,52818070.00,6932905.00,423467.00,67271.00,6442167.00,0.00,4984262.00,21149.00,1104212.00,289028.00,2064917.00,1504956.00,922798.00,822746.00,100052.00,21162492.00,8795180.00,4475916.00,1128435.00,6759122.00,3839.00,18815613.00,310778.00,1137483.00,16873720.00,290735.00,202897.00,75862837.00,13796277.00,271268.00,13251490.00,3122555.00,2647203.00,61036.00,414316.00,10128935.00,24741.00,248778.00,62066560.00
2011,1974359.00,398234.00,1576125.00,723941.00,597032.00,126909.00,154944.00,697240.00,11566031.00,697240.00,8269030.00,6633159.00,1635871.00,3207916.00,1232916.00,1975000.00,682245.00,1292755.00,608154.00,11566031.00,1453166.00,2310220.00,917798.00,50242.00,156091.00,11399437.00,10689304.00,710134.00,708107.00,710134.00,2027.00,45823.00,451898.00,321137.00,130761.00,398234.00,-7842.00,662284.00,662284.00,1402020.00,660408.00,300322.00,369997.00,-9911.00,0.00,9536.00,-1764.00,-194135.00,82437.00,-37948.00,160946.00,-5327.00,-6188.00,861.00,107495.00,-253755.00,148975.00,-19755.00,231530.00,501.00,629908.00,27572.00,71792.00,497250.00,14763.00,18531.00,-67058.00,-7487.00,-60358.00,18793.00,111064.00,-54884.00,-37387.00,-79151.00,-435.00,1222.00,1469078.00,700045.00,118984.00,0.00,-225733.00,-806794.00,67139.00,44768.00,17654.00,2515.00,2201.00,-31722.00,-184430.00,-145793.00,414755.00,877.00,-117131.00,35417.00,1443568.00,77098264.00,23274394.00,18148764.00,4723306.00,292961.00,109363.00,53823870.00,7593208.00,723789.00,57360.00,6812059.00,0.00,4580885.00,19385.00,699551.00,329275.00,1984086.00,1548588.00,917471.00,816558.00,100913.00,21366481.00,8403204.00,4436547.00,1108680.00,7412833.00,5217.00,19365826.00,338350.00,1199263.00,17301287.00,305498.00,221428.00,77098264.00,13588136.00,263781.00,13050049.00,3146730.00,2758267.00,11534.00,376929.00,9903319.00,24306.00,250000.00,63510128.00
2012,2029372.00,404585.00,1624787.00,759152.00,624736.00,134416.00,155986.00,709649.00,12268957.00,709649.00,8609898.00,6930266.00,1679632.00,3526749.00,1290137.00,2236613.00,834937.00,1401676.00,577339.00,12268957.00,1511400.00,2323598.00,951575.00,42740.00,174997.00,11997324.00,11050627.00,946697.00,951751.00,946697.00,-5054.00,92866.00,505322.00,367913.00,137410.00,404585.00,-7872.00,858885.00,858885.00,1177138.00,581704.00,177334.00,412250.00,-7880.00,0.00,-94037.00,-585.00,221978.00,-71206.00,-130532.00,-113692.00,12364.00,30455.00,-18091.00,209910.00,-180632.00,302443.00,1564.00,89945.00,-3409.00,467197.00,-17669.00,-29506.00,502782.00,-1757.00,13346.00,259233.00,-13832.00,268490.00,341032.00,164087.00,110822.00,66123.00,-72542.00,575.00,4000.00,917905.00,314219.00,167055.00,-20869.00,109013.00,-59020.00,1359130.00,1400062.00,-41458.00,-674.00,1200.00,3286552.00,1567730.00,512282.00,671433.00,-49.00,535155.00,4645682.00,5911652.00,83066982.00,24870421.00,19603834.00,4848903.00,301784.00,115900.00,58196561.00,8116167.00,887500.00,49480.00,7179187.00,0.00,4451077.00,18800.00,939112.00,236794.00,1830927.00,1425444.00,918772.00,835950.00,82822.00,24326062.00,9790302.00,5251272.00,1110244.00,8172485.00,1759.00,20384483.00,320681.00,1186353.00,18338934.00,303741.00,234774.00,83066982.00,13645202.00,249949.00,13116372.00,3426042.00,2920354.00,62636.00,443052.00,9690330.00,24881.00,254000.00,69421780.00
2013,2084251.00,427690.00,1656561.00,779807.00,641683.00,138124.00,157748.00,719007.00,12519339.00,719007.00,8842447.00,7116684.00,1725763.00,3507241.00,1262960.00,2244281.00,794447.00,1449834.00,549356.00,12519339.00,1677834.00,2386885.00,1104606.00,41093.00,183588.00,11981288.00,11361174.00,620114.00,600127.00,620114.00,19987.00,135564.00,571202.00,433396.00,137806.00,427690.00,-7948.00,464563.00,464563.00,1120888.00,347276.00,133985.00,210692.00,2599.00,0.00,-402928.00,-3800.00,-29886.00,-31154.00,-52814.00,-285274.00,51905.00,57276.00,-5371.00,576649.00,137507.00,230413.00,28914.00,181574.00,-1759.00,547986.00,37824.00,9294.00,488292.00,419.00,12157.00,235155.00,-14394.00,245552.00,241479.00,175845.00,28189.00,37445.00,4073.00,2997.00,1000.00,885733.00,1192461.00,185731.00,0.00,585560.00,-421170.00,2037673.00,2127641.00,-93413.00,308.00,3136.00,5656824.00,2921921.00,768588.00,967750.00,0.00,998565.00,7694497.00,9487084.00,92701440.00,27228027.00,21849192.00,4941221.00,311621.00,125993.00,65473413.00,8463473.00,1021485.00,52079.00,7389909.00,0.00,4470317.00,15000.00,1146149.00,279134.00,1826163.00,1203871.00,970677.00,893226.00,77451.00,29565440.00,12849730.00,6250273.00,1139158.00,9326280.00,0.00,22003506.00,358505.00,1233043.00,19860867.00,304160.00,246931.00,92701440.00,13792576.00,235555.00,13274143.00,3667521.00,3096199.00,90825.00,480497.00,9606622.00,27878.00,255000.00,78908864.00
