1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,39201.00,39201.00,37027.00,688.00,0.00,0.00,0.00,0.00,734.00,752.00,0.00,0.00
1970:Q3,44172.00,44172.00,41919.00,662.00,0.00,0.00,0.00,0.00,817.00,774.00,0.00,0.00
1970:Q4,46812.00,46812.00,44501.00,645.00,0.00,0.00,0.00,0.00,849.00,817.00,0.00,0.00
1971:Q1,52687.00,52687.00,50329.00,645.00,0.00,0.00,0.00,0.00,831.00,882.00,0.00,0.00
1971:Q2,52961.00,52961.00,50571.00,659.00,0.00,0.00,0.00,0.00,763.00,968.00,0.00,0.00
1971:Q3,52214.00,52214.00,49798.00,677.00,0.00,0.00,0.00,0.00,677.00,1062.00,0.00,0.00
1971:Q4,55446.00,55446.00,53006.00,690.00,0.00,0.00,0.00,0.00,600.00,1150.00,0.00,0.00
1972:Q1,57548.00,57548.00,55084.00,701.00,0.00,0.00,0.00,0.00,526.00,1237.00,0.00,0.00
1972:Q2,56656.00,56656.00,54180.00,711.00,0.00,0.00,0.00,0.00,435.00,1330.00,0.00,0.00
1972:Q3,56209.00,56209.00,53712.00,721.00,0.00,0.00,0.00,0.00,357.00,1419.00,0.00,0.00
1972:Q4,58926.00,58926.00,56383.00,732.00,0.00,0.00,0.00,0.00,317.00,1494.00,0.00,0.00
1973:Q1,52843.00,52843.00,50224.00,743.00,0.00,0.00,0.00,0.00,321.00,1555.00,0.00,0.00
1973:Q2,48013.00,48013.00,45290.00,754.00,0.00,0.00,0.00,0.00,366.00,1603.00,0.00,0.00
1973:Q3,51927.00,51927.00,49090.00,765.00,0.00,0.00,0.00,0.00,425.00,1647.00,0.00,0.00
1973:Q4,46635.00,46635.00,43695.00,775.00,0.00,0.00,0.00,0.00,470.00,1695.00,0.00,0.00
1974:Q1,44521.00,44521.00,41490.00,785.00,0.00,0.00,0.00,0.00,512.00,1734.00,0.00,0.00
1974:Q2,40662.00,40662.00,37557.00,794.00,0.00,0.00,0.00,0.00,560.00,1751.00,0.00,0.00
1974:Q3,32320.00,32320.00,29123.00,804.00,0.00,0.00,0.00,0.00,603.00,1790.00,0.00,0.00
1974:Q4,35152.00,35152.00,31813.00,816.00,0.00,0.00,0.00,0.00,628.00,1895.00,0.00,0.00
1975:Q1,40968.00,40968.00,37436.00,832.00,0.00,0.00,0.00,0.00,635.00,2065.00,0.00,0.00
1975:Q2,46061.00,46061.00,42283.00,851.00,0.00,0.00,0.00,0.00,626.00,2301.00,0.00,0.00
1975:Q3,40876.00,40876.00,36835.00,871.00,0.00,0.00,0.00,0.00,611.00,2559.00,0.00,0.00
1975:Q4,43034.00,43034.00,38749.00,890.00,0.00,0.00,0.00,0.00,600.00,2795.00,0.00,0.00
1976:Q1,46920.00,46920.00,42619.00,912.00,0.00,0.00,0.00,0.00,594.00,2795.00,0.00,0.00
1976:Q2,47003.00,47003.00,42441.00,942.00,0.00,0.00,0.00,0.00,587.00,3033.00,0.00,0.00
1976:Q3,45799.00,45799.00,40957.00,964.00,0.00,0.00,0.00,0.00,581.00,3297.00,0.00,0.00
1976:Q4,46510.00,46510.00,41436.00,964.00,0.00,0.00,0.00,0.00,576.00,3534.00,0.00,0.00
1977:Q1,43037.00,43037.00,37826.00,941.00,0.00,0.00,0.00,0.00,578.00,3692.00,0.00,0.00
1977:Q2,45901.00,45901.00,40651.00,895.00,0.00,0.00,0.00,0.00,584.00,3771.00,0.00,0.00
1977:Q3,45617.00,45617.00,40413.00,841.00,0.00,0.00,0.00,0.00,592.00,3771.00,0.00,0.00
1977:Q4,45491.00,45491.00,40355.00,790.00,0.00,0.00,0.00,0.00,600.00,3746.00,0.00,0.00
1978:Q1,44493.00,44493.00,39400.00,738.00,0.00,0.00,0.00,0.00,605.00,3750.00,0.00,0.00
1978:Q2,46687.00,46687.00,41664.00,667.00,0.00,0.00,0.00,0.00,606.00,3750.00,0.00,0.00
1978:Q3,48619.00,48619.00,43683.00,615.00,0.00,0.00,0.00,0.00,613.00,3708.00,0.00,0.00
1978:Q4,46050.00,46050.00,41080.00,618.00,0.00,0.00,0.00,0.00,637.00,3715.00,0.00,0.00
1979:Q1,47697.00,47697.00,42476.00,680.00,0.00,0.00,0.00,0.00,679.00,3862.00,0.00,0.00
1979:Q2,48943.00,48943.00,43252.00,800.00,0.00,0.00,0.00,0.00,739.00,4152.00,0.00,0.00
1979:Q3,51166.00,51166.00,44837.00,939.00,0.00,0.00,0.00,0.00,805.00,4585.00,0.00,0.00
1979:Q4,51789.00,51789.00,38388.00,1060.00,0.00,0.00,0.00,0.00,865.00,8079.00,3397.00,0.00
1980:Q1,53772.00,53772.00,39456.00,1177.00,0.00,0.00,0.00,0.00,919.00,8658.00,3562.00,0.00
1980:Q2,59434.00,59434.00,44130.00,1304.00,0.00,0.00,0.00,0.00,967.00,9302.00,3731.00,0.00
1980:Q3,66091.00,66091.00,49129.00,1421.00,0.00,0.00,0.00,0.00,1021.00,10352.00,4168.00,0.00
1980:Q4,70395.00,70395.00,52060.00,1507.00,0.00,0.00,0.00,0.00,1093.00,11184.00,4551.00,0.00
1981:Q1,71227.00,71227.00,52359.00,1541.00,0.00,0.00,0.00,0.00,1168.00,11378.00,4781.00,0.00
1981:Q2,71535.00,71535.00,53153.00,1504.00,0.00,0.00,0.00,0.00,1231.00,10829.00,4818.00,0.00
1981:Q3,65157.00,65157.00,48742.00,1498.00,0.00,0.00,0.00,0.00,1329.00,9209.00,4379.00,0.00
1981:Q4,68834.00,68834.00,52640.00,1624.00,0.00,0.00,0.00,0.00,1507.00,8297.00,4766.00,0.00
1982:Q1,66089.00,66089.00,49981.00,1882.00,0.00,0.00,0.00,0.00,1791.00,7926.00,4509.00,0.00
1982:Q2,67525.00,67525.00,50031.00,2265.00,0.00,0.00,0.00,0.00,2208.00,8486.00,4535.00,0.00
1982:Q3,75941.00,75941.00,55666.00,2689.00,0.00,0.00,0.00,0.00,2607.00,9890.00,5089.00,0.00
1982:Q4,88353.00,88353.00,65110.00,3070.00,0.00,0.00,0.00,0.00,2837.00,11240.00,6096.00,0.00
1983:Q1,101710.00,101710.00,76160.00,3409.00,0.00,0.00,0.00,0.00,2904.00,12410.00,6827.00,0.00
1983:Q2,119852.00,119852.00,92057.00,3707.00,0.00,0.00,0.00,0.00,2816.00,13627.00,7645.00,0.00
1983:Q3,123236.00,123236.00,95017.00,4044.00,0.00,0.00,0.00,0.00,2697.00,13732.00,7746.00,0.00
1983:Q4,126973.00,126973.00,98040.00,4501.00,0.00,0.00,0.00,0.00,2671.00,13889.00,7872.00,0.00
1984:Q1,129465.00,129465.00,100040.00,5034.00,0.00,0.00,0.00,0.00,2683.00,13796.00,7912.00,0.00
1984:Q2,129412.00,129412.00,100241.00,5604.00,0.00,0.00,0.00,0.00,2673.00,13274.00,7620.00,0.00
1984:Q3,145397.00,145397.00,113338.00,6295.00,0.00,0.00,0.00,0.00,2749.00,14673.00,8342.00,0.00
1984:Q4,153337.00,153337.00,119018.00,7193.00,0.00,0.00,0.00,0.00,3019.00,15515.00,8592.00,0.00
1985:Q1,174257.00,174257.00,135840.00,8651.00,0.00,0.00,0.00,0.00,3526.00,16888.00,9352.00,0.00
1985:Q2,205015.00,205015.00,162766.00,10112.00,0.00,0.00,0.00,0.00,3979.00,18211.00,9947.00,0.00
1985:Q3,221441.00,221441.00,179161.00,10393.00,0.00,0.00,0.00,0.00,4171.00,18015.00,9701.00,0.00
1985:Q4,272965.00,272965.00,219442.00,10799.00,0.00,0.00,0.00,0.00,3514.00,21105.00,18105.00,0.00
1986:Q1,340693.00,340693.00,275257.00,12589.00,0.00,0.00,0.00,0.00,6894.00,24969.00,20984.00,0.00
1986:Q2,382490.00,382490.00,312493.00,13947.00,0.00,0.00,0.00,0.00,9525.00,25457.00,21068.00,0.00
1986:Q3,407139.00,407139.00,338139.00,14709.00,0.00,0.00,0.00,0.00,11032.00,23831.00,19428.00,0.00
1986:Q4,450367.00,450367.00,375743.00,15676.00,0.00,0.00,0.00,0.00,14460.00,24712.00,19776.00,0.00
1987:Q1,539434.00,539434.00,453009.00,16057.00,0.00,0.00,0.00,0.00,13587.00,31727.00,25054.00,0.00
1987:Q2,550400.00,550400.00,458493.00,15039.00,0.00,0.00,0.00,0.00,13018.00,36335.00,27515.00,0.00
1987:Q3,556224.00,556224.00,458924.00,14628.00,0.00,0.00,0.00,0.00,12078.00,40555.00,30039.00,0.00
1987:Q4,481466.00,481466.00,397429.00,12817.00,0.00,0.00,1752.00,0.00,12099.00,33224.00,24145.00,0.00
1988:Q1,502572.00,502572.00,414777.00,12167.00,0.00,0.00,1700.00,0.00,13100.00,35767.00,25061.00,0.00
1988:Q2,511551.00,511551.00,420442.00,11478.00,0.00,0.00,1642.00,0.00,15098.00,37444.00,25447.00,0.00
1988:Q3,504894.00,504894.00,414655.00,10912.00,55.00,0.00,1500.00,0.00,17191.00,36276.00,24305.00,0.00
1988:Q4,503097.00,503097.00,410036.00,10627.00,94.00,0.00,1366.00,0.00,18474.00,38262.00,24238.00,0.00
1989:Q1,515301.00,515301.00,416105.00,10876.00,211.00,2308.00,1300.00,0.00,18916.00,40630.00,24955.00,0.00
1989:Q2,549881.00,549881.00,445148.00,11643.00,500.00,2258.00,1210.00,0.00,18483.00,44371.00,26268.00,0.00
1989:Q3,576895.00,576895.00,465044.00,12045.00,945.00,2269.00,1215.00,0.00,18212.00,48823.00,28342.00,0.00
1989:Q4,591345.00,591345.00,457339.00,11709.00,1531.00,2173.00,1218.00,0.00,37853.00,51196.00,28326.00,0.00
1990:Q1,585636.00,585636.00,450688.00,11097.00,2226.00,1944.00,1300.00,0.00,40131.00,51205.00,27045.00,0.00
1990:Q2,620236.00,620236.00,473901.00,11261.00,3000.00,1960.00,1383.00,0.00,42152.00,57280.00,29299.00,0.00
1990:Q3,568041.00,568041.00,435022.00,9296.00,3867.00,1991.00,1400.00,0.00,40236.00,51499.00,24730.00,0.00
1990:Q4,603053.00,603053.00,458213.00,9723.00,4844.00,1902.00,1413.00,0.00,42495.00,57503.00,26960.00,0.00
1991:Q1,669138.00,669138.00,503361.00,11775.00,5899.00,2486.00,1675.00,0.00,43978.00,68466.00,31498.00,0.00
1991:Q2,700414.00,700414.00,524550.00,12357.00,7000.00,2656.00,1939.00,0.00,47211.00,72702.00,31999.00,0.00
1991:Q3,769566.00,769566.00,572077.00,13606.00,8156.00,3479.00,2250.00,0.00,49192.00,82613.00,35293.00,2900.00
1991:Q4,850744.00,850744.00,633019.00,14828.00,9375.00,3740.00,2569.00,0.00,55071.00,88416.00,37925.00,5801.00
1992:Q1,889980.00,889980.00,656459.00,16197.00,10656.00,4457.00,3150.00,0.00,57285.00,94592.00,38483.00,8701.00
1992:Q2,952243.00,952243.00,700363.00,17119.00,12000.00,3990.00,3721.00,0.00,60949.00,102272.00,40228.00,11601.00
1992:Q3,1019928.00,1019928.00,752857.00,18891.00,13406.00,4353.00,3890.00,0.00,64726.00,106492.00,40812.00,14501.00
1992:Q4,1096342.00,1096342.00,801030.00,21148.00,14875.00,3356.00,4060.00,0.00,69793.00,119962.00,44716.00,17402.00
1993:Q1,1201180.00,1201180.00,876486.00,23483.00,16406.00,3742.00,4300.00,0.00,78214.00,130698.00,47549.00,20302.00
1993:Q2,1302226.00,1302226.00,949268.00,25215.00,18000.00,3367.00,4593.00,0.00,86293.00,142528.00,49760.00,23202.00
1993:Q3,1419318.00,1419318.00,1031597.00,27899.00,19649.00,3751.00,4400.00,0.00,99227.00,154751.00,51941.00,26103.00
1993:Q4,1504644.00,1504644.00,1082245.00,29776.00,21347.00,3889.00,4201.00,0.00,110116.00,168654.00,55413.00,29003.00
1994:Q1,1495186.00,1495186.00,1055369.00,29526.00,23121.00,2988.00,3700.00,85.00,114229.00,178759.00,55506.00,31903.00
1994:Q2,1504264.00,1504264.00,1043163.00,29114.00,25000.00,2330.00,3368.00,166.00,121429.00,188074.00,56817.00,34803.00
1994:Q3,1580774.00,1580774.00,1080637.00,30922.00,27107.00,2036.00,3000.00,255.00,129948.00,207870.00,61295.00,37704.00
1994:Q4,1544320.00,1544320.00,998483.00,31061.00,29100.00,2007.00,2633.00,336.00,131994.00,232886.00,75216.00,40604.00
1995:Q1,1649397.00,1649397.00,1035576.00,34725.00,31354.00,2125.00,2700.00,416.00,144370.00,270407.00,82817.00,44907.00
