1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q2,764552.00,233484.00,376959.00,91247.00,85752.00,5495.00,285712.00,-143475.00,-139326.00,-4149.00,531068.00,418011.00,345495.00,252454.00,72868.00,20172.00,72516.00,113057.00,72020.00,41037.00,767614.00,750178.00,593622.00,486110.00,345861.00,99056.00,41193.00,107512.00,156556.00,90280.00,66276.00,116.00,8903.00,439.00,439.00,0.00,0.00,8464.00,-8787.00,6124.00,-14911.00,17320.00,195507.00,-46745.00,-5031.00,-26188.00,-15526.00,242252.00,-178187.00,-163710.00,-14477.00,3063.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q3,732311.00,192318.00,373736.00,87932.00,85327.00,2605.00,285804.00,-181418.00,-175824.00,-5594.00,539993.00,424713.00,351351.00,256644.00,73797.00,20910.00,73362.00,115280.00,73552.00,41728.00,736417.00,750452.00,592959.00,484020.00,343072.00,99574.00,41374.00,108939.00,157493.00,90316.00,67177.00,108.00,8133.00,-7.00,-7.00,0.00,0.00,8140.00,-8025.00,6984.00,-15009.00,-14143.00,201463.00,-40624.00,3012.00,-25777.00,-17859.00,242087.00,-215606.00,-199572.00,-16034.00,4102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q4,673994.00,127343.00,344702.00,84969.00,86306.00,-1337.00,259733.00,-217359.00,-210174.00,-7185.00,546651.00,429476.00,355400.00,259495.00,74293.00,21613.00,74076.00,117175.00,75076.00,42099.00,695545.00,712799.00,549246.00,432378.00,298273.00,92046.00,42059.00,116868.00,163553.00,94360.00,69193.00,108.00,15975.00,9231.00,9231.00,0.00,0.00,6744.00,-15867.00,-932.00,-14935.00,-17362.00,230508.00,20311.00,59847.00,-17753.00,-21783.00,210197.00,-247870.00,-228526.00,-19344.00,21551.00,3485.00,3485.00,2249.00,1236.00,0.00,0.00,0.00
1983:Q1,693531.00,142223.00,359939.00,99364.00,96308.00,3056.00,260575.00,-217716.00,-206953.00,-10763.00,551308.00,432297.00,357643.00,261009.00,74353.00,22281.00,74654.00,119011.00,76608.00,42403.00,722170.00,730068.00,565519.00,431968.00,306769.00,82517.00,42682.00,133551.00,164549.00,96768.00,67781.00,108.00,6000.00,-346.00,-346.00,0.00,0.00,6346.00,-5892.00,10556.00,-16448.00,-8006.00,249356.00,54024.00,79533.00,-8164.00,-17345.00,195332.00,-257362.00,-237669.00,-19693.00,28641.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983:Q2,703765.00,147159.00,348765.00,113353.00,101281.00,12072.00,235412.00,-201606.00,-200837.00,-769.00,556606.00,436021.00,360592.00,263057.00,74567.00,22968.00,75429.00,120585.00,77976.00,42609.00,753432.00,781070.00,613777.00,466637.00,341061.00,81314.00,44262.00,147140.00,167293.00,100044.00,67249.00,104.00,20833.00,14349.00,14349.00,0.00,0.00,6484.00,-20729.00,-6092.00,-14637.00,-27742.00,199843.00,42626.00,58595.00,-6747.00,-9222.00,157217.00,-227585.00,-216813.00,-10772.00,49667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983:Q3,706814.00,143433.00,354553.00,118632.00,108386.00,10246.00,235921.00,-211120.00,-217340.00,6220.00,563381.00,440649.00,364248.00,265640.00,74933.00,23674.00,76401.00,122732.00,79796.00,42936.00,779024.00,826929.00,652267.00,491368.00,375114.00,69279.00,46975.00,160899.00,174662.00,104328.00,70334.00,96.00,11797.00,4893.00,4893.00,0.00,0.00,6904.00,-11701.00,4392.00,-16093.00,-48001.00,203348.00,58829.00,66230.00,5654.00,-13055.00,144519.00,-251349.00,-246264.00,-5085.00,72208.00,4344.00,4344.00,2528.00,1816.00,0.00,0.00,0.00
1983:Q4,773772.00,202884.00,387370.00,131271.00,120843.00,10428.00,256099.00,-184486.00,-194904.00,10418.00,570888.00,446177.00,368610.00,268758.00,75446.00,24407.00,77567.00,124711.00,81468.00,43243.00,839886.00,896652.00,718497.00,549331.00,402148.00,96748.00,50435.00,169166.00,178155.00,108212.00,69943.00,96.00,5282.00,-238.00,-238.00,0.00,0.00,5520.00,-5186.00,10584.00,-15770.00,-56862.00,175882.00,16902.00,53804.00,-21302.00,-15600.00,158980.00,-232744.00,-232232.00,-512.00,66113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q1,857690.00,277675.00,438315.00,144127.00,136291.00,7836.00,294188.00,-160640.00,-179758.00,19118.00,580015.00,452610.00,373678.00,272411.00,76105.00,25162.00,78932.00,127405.00,83760.00,43645.00,896143.00,974680.00,790872.00,616119.00,448220.00,115546.00,52353.00,174753.00,183808.00,110488.00,73320.00,88.00,9119.00,2445.00,2445.00,0.00,0.00,6674.00,-9031.00,7512.00,-16543.00,-78625.00,129387.00,-62306.00,-3510.00,-39441.00,-19355.00,191693.00,-208012.00,-213998.00,5986.00,38456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q2,875758.00,286508.00,451847.00,144486.00,142690.00,1796.00,307361.00,-165339.00,-189014.00,23675.00,589250.00,459546.00,379295.00,276489.00,76832.00,25974.00,80251.00,129704.00,85552.00,44152.00,920728.00,1008652.00,818897.00,639584.00,463306.00,120841.00,55437.00,179313.00,189755.00,113676.00,76079.00,92.00,11938.00,5853.00,5853.00,0.00,0.00,6085.00,-11846.00,5204.00,-17050.00,-88016.00,125528.00,-76686.00,-5010.00,-44009.00,-27667.00,202214.00,-213544.00,-222342.00,8798.00,44969.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q3,901379.00,302406.00,479510.00,151460.00,153777.00,-2317.00,328050.00,-177104.00,-195355.00,18251.00,598973.00,466985.00,385459.00,280991.00,77627.00,26841.00,81526.00,131988.00,87304.00,44684.00,942484.00,1032919.00,838850.00,659777.00,476270.00,125617.00,57890.00,179073.00,194069.00,114356.00,79713.00,100.00,9889.00,3919.00,3919.00,0.00,0.00,5970.00,-9789.00,7972.00,-17761.00,-90535.00,138861.00,-85672.00,-4316.00,-47990.00,-33366.00,224533.00,-229396.00,-230379.00,983.00,41108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
