1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,43444.00,0.00,3400.00,10760.00,0.00,9120.00,-304.00,5344.00,2628.00,1840.00,-388.00,1500.00,700.00,200.00,2716.00,15744.00,-696.00,63292.00,20563.00,10553.00,32541.00,0.00,-365.00,41076.00,6579.00,7771.00,26726.00,22216.00,13984.00,2782.00,5815.00,0.00,-365.00,17402.00,10780.00,3660.00,1249.00,900.00,813.00,1142.00,49400.00,5815.00,-56.00,24.00,43665.00,27773.00,15892.00,270192.00,18.28,16.16,10.28,5.88
1954:Q3,28016.00,0.00,10240.00,6536.00,0.00,-9676.00,-280.00,-11596.00,1192.00,1604.00,-596.00,776.00,-48.00,496.00,2676.00,15852.00,1164.00,65720.00,22070.00,10964.00,32142.00,0.00,544.00,41032.00,6658.00,7849.00,26525.00,24688.00,15412.00,3115.00,5617.00,0.00,544.00,18742.00,7624.00,2952.00,1305.00,1216.00,5645.00,1143.00,35105.00,5617.00,-508.00,28.00,30024.00,27023.00,3001.00,272157.00,12.90,11.03,9.93,1.10
1954:Q4,17128.00,0.00,-7256.00,11256.00,0.00,-6040.00,-784.00,-2564.00,-3564.00,3356.00,-2484.00,2860.00,-776.00,648.00,2648.00,16116.00,-2328.00,68100.00,23446.00,11252.00,33914.00,0.00,-512.00,41214.00,6738.00,7931.00,26545.00,26886.00,16708.00,3321.00,7369.00,0.00,-512.00,14885.00,12172.00,1532.00,3581.00,1728.00,-4128.00,1172.00,30301.00,7369.00,-192.00,28.00,23152.00,27304.00,-4152.00,277090.00,10.94,8.36,9.85,-1.50
1955:Q1,51128.00,0.00,8924.00,9120.00,0.00,7788.00,1220.00,6120.00,-728.00,1584.00,-408.00,1096.00,812.00,508.00,2728.00,16208.00,3944.00,73329.00,25295.00,11357.00,36601.00,0.00,76.00,42457.00,6874.00,7985.00,27598.00,30872.00,18421.00,3372.00,9003.00,0.00,76.00,29121.00,12776.00,1984.00,6153.00,1580.00,6628.00,1244.00,54123.00,9003.00,-312.00,24.00,45456.00,26269.00,19187.00,282520.00,19.16,16.09,9.30,6.79
1955:Q2,43708.00,0.00,-3408.00,9324.00,0.00,18748.00,636.00,11360.00,2748.00,4796.00,-792.00,944.00,-784.00,464.00,2836.00,16816.00,-1232.00,76311.00,25877.00,12474.00,38764.00,0.00,-804.00,43124.00,6992.00,8093.00,28039.00,33187.00,18885.00,4381.00,10725.00,0.00,-804.00,30634.00,13356.00,2988.00,8169.00,440.00,5681.00,1116.00,47377.00,10725.00,-64.00,28.00,36744.00,27475.00,9269.00,289051.00,16.39,12.71,9.51,3.21
1955:Q3,36588.00,0.00,6824.00,5844.00,0.00,1736.00,-176.00,-2764.00,1452.00,2708.00,516.00,596.00,-184.00,728.00,3032.00,17212.00,800.00,78091.00,25502.00,13202.00,40395.00,0.00,-1008.00,43888.00,7144.00,8218.00,28526.00,34203.00,18358.00,4984.00,11869.00,0.00,-1008.00,28480.00,12480.00,2712.00,7577.00,596.00,5115.00,1244.00,43555.00,11869.00,28.00,24.00,31682.00,29517.00,2165.00,295529.00,14.74,10.72,9.99,0.73
1955:Q4,24320.00,0.00,-6644.00,10116.00,0.00,-956.00,-552.00,-3692.00,-1640.00,3752.00,1176.00,2512.00,36.00,588.00,3024.00,17188.00,-1544.00,77714.00,24445.00,13187.00,39435.00,0.00,647.00,44879.00,7333.00,8352.00,29194.00,32835.00,17112.00,4835.00,10241.00,0.00,647.00,18526.00,11708.00,732.00,6045.00,48.00,-7.00,1408.00,40037.00,10241.00,124.00,28.00,29700.00,29594.00,106.00,299805.00,13.35,9.91,9.87,0.04
1956:Q1,55120.00,0.00,6880.00,9540.00,0.00,10152.00,2096.00,6040.00,164.00,1084.00,768.00,1936.00,280.00,1204.00,3400.00,17204.00,4524.00,74689.00,24013.00,12803.00,37570.00,0.00,303.00,47317.00,7337.00,8716.00,31264.00,27372.00,16676.00,4087.00,6306.00,0.00,303.00,24663.00,11036.00,3128.00,5397.00,228.00,4874.00,1471.00,59300.00,6306.00,400.00,28.00,52622.00,32132.00,20490.00,304135.00,19.50,17.30,10.57,6.74
1956:Q2,50432.00,0.00,76.00,10924.00,0.00,17476.00,-320.00,8716.00,3084.00,4204.00,1792.00,1508.00,-1876.00,108.00,3636.00,17624.00,956.00,73219.00,24255.00,12423.00,37708.00,0.00,-1167.00,48093.00,7542.00,8845.00,31706.00,25126.00,16713.00,3578.00,6002.00,0.00,-1167.00,20707.00,11388.00,3972.00,3445.00,344.00,1558.00,1723.00,56574.00,6002.00,420.00,32.00,50184.00,34295.00,15889.00,309099.00,18.30,16.24,11.10,5.14
1956:Q3,35456.00,0.00,3596.00,6064.00,0.00,-1084.00,-768.00,-5108.00,1408.00,2704.00,680.00,820.00,-96.00,1364.00,3564.00,18800.00,2428.00,73317.00,23831.00,12419.00,37581.00,0.00,-514.00,48761.00,7733.00,8946.00,32082.00,24556.00,16098.00,3473.00,5499.00,0.00,-514.00,19363.00,10408.00,3396.00,2953.00,196.00,2410.00,1619.00,42268.00,5499.00,388.00,32.00,36413.00,35592.00,821.00,313701.00,13.47,11.61,11.35,0.26
1956:Q4,31760.00,0.00,-2480.00,11260.00,0.00,-3888.00,-744.00,-4120.00,-3240.00,2912.00,1304.00,2700.00,1008.00,468.00,3280.00,20424.00,-1012.00,73710.00,23370.00,12436.00,39297.00,0.00,-1393.00,49751.00,7913.00,9019.00,32819.00,23959.00,15457.00,3417.00,6478.00,0.00,-1393.00,12052.00,10404.00,1040.00,2729.00,516.00,-2637.00,1603.00,45270.00,6478.00,372.00,28.00,38448.00,36769.00,1679.00,320348.00,14.13,12.00,11.48,0.52
1957:Q1,58628.00,0.00,5388.00,14116.00,0.00,8268.00,1988.00,1628.00,-356.00,2036.00,2972.00,1612.00,-376.00,892.00,2976.00,21516.00,4236.00,76062.00,22976.00,12730.00,40011.00,0.00,345.00,48655.00,7759.00,9391.00,31505.00,27407.00,15217.00,3339.00,8506.00,0.00,345.00,21544.00,9940.00,940.00,3195.00,-112.00,7581.00,1650.00,66142.00,8506.00,324.00,32.00,57344.00,36010.00,21334.00,324179.00,20.40,17.69,11.11,6.58
1957:Q2,51268.00,0.00,-2604.00,12972.00,0.00,14452.00,-668.00,9844.00,2652.00,1876.00,748.00,2032.00,460.00,860.00,2668.00,22912.00,-2484.00,75461.00,22482.00,12631.00,39608.00,0.00,740.00,49473.00,7912.00,9451.00,32110.00,25988.00,14570.00,3180.00,7498.00,0.00,740.00,15618.00,8180.00,2796.00,3027.00,1244.00,371.00,1910.00,63548.00,7498.00,-128.00,32.00,56210.00,38021.00,18189.00,328541.00,19.34,17.11,11.57,5.54
