date,FA146110005.Q,FA146000105.Q,FA145090005.Q,FA145050005.Q,FA145019005.Q,FA145012005.Q,FA145013005.Q,FA145020005.Q,FA105420005.Q,FA145000005.Q,FA144090005.Q,FA103091003.Q,FA143020005.Q,FA143030005.Q,FA143034005.Q,FA102051003.Q,FA144022005.Q,FA103069100.Q,FA143061105.Q,FA103061703.Q,FA143062005.Q,FA144023005.Q,FA143065005.Q,FA143066005.Q,FA103064203.Q,FA143070005.Q,FA103092005.Q,FA143090005.Q,FA144190005.Q,FA104122005.Q,FA103169100.Q,FA103162000.Q,FA103163003.Q,FA144123005.Q,FA143168005.Q,FA143169005.Q,FA143165005.Q,FA103164103.Q,FA143170005.Q,FA143178005.Q,FA143192005.Q,FA143190005.Q,FA112090205.Q,FA107005005.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,76102.00,27410.00,23046.00,35010.00,29468.00,2427.00,27041.00,5658.00,-116.00,-11964.00,5390.00,-41.00,-74.00,0.00,0.00,0.00,715.00,51.00,562.00,0.00,102.00,921.00,14.00,907.00,0.00,2116.00,695.00,1058.00,17354.00,4294.00,-6.00,0.00,4300.00,3113.00,697.00,416.00,2000.00,1000.00,2722.00,775.00,29.00,601.00,4820.00,4364.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,64531.00,28255.00,24620.00,24365.00,27256.00,2390.00,24866.00,-2692.00,-199.00,255.00,4064.00,0.00,903.00,0.00,0.00,0.00,1962.00,85.00,1844.00,0.00,33.00,630.00,-6.00,636.00,0.00,-899.00,631.00,837.00,3809.00,2899.00,-4.00,0.00,2903.00,66.00,-2026.00,210.00,1882.00,1212.00,0.00,-2302.00,46.00,477.00,1412.00,3635.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,81298.00,27680.00,24131.00,36036.00,30535.00,3052.00,27483.00,5770.00,-269.00,-11905.00,18413.00,47.00,1548.00,0.00,0.00,0.00,3218.00,-122.00,3173.00,0.00,167.00,1294.00,-1.00,1295.00,0.00,11039.00,585.00,682.00,30318.00,1669.00,45.00,0.00,1624.00,7485.00,4598.00,602.00,2285.00,1288.00,9236.00,7255.00,80.00,1202.00,2103.00,3549.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,87373.00,30978.00,31881.00,43498.00,33861.00,2543.00,31318.00,9909.00,-272.00,-11617.00,8740.00,34.00,2148.00,0.00,0.00,0.00,922.00,-53.00,783.00,0.00,192.00,736.00,3.00,733.00,0.00,3264.00,465.00,1171.00,20357.00,3356.00,62.00,0.00,3294.00,8366.00,5023.00,723.00,2620.00,2107.00,-43.00,4476.00,83.00,302.00,1710.00,-903.00
1952:Q1,82141.00,33718.00,17191.00,39391.00,34904.00,2482.00,32422.00,4732.00,-245.00,-22200.00,660.00,-28.00,3336.00,0.00,0.00,0.00,-3232.00,8.00,-3164.00,0.00,-76.00,722.00,4.00,718.00,0.00,7186.00,656.00,-7980.00,22860.00,4404.00,80.00,0.00,4324.00,2088.00,772.00,-748.00,2064.00,2292.00,5344.00,384.00,48.00,2720.00,5579.00,16527.00
1952:Q2,81342.00,32544.00,31634.00,33823.00,35590.00,2568.00,33022.00,-1523.00,-244.00,-2189.00,-1640.00,72.00,1368.00,0.00,0.00,0.00,-4748.00,1508.00,-4908.00,0.00,-1348.00,1546.00,4.00,1542.00,0.00,-2878.00,1416.00,1584.00,549.00,6036.00,156.00,0.00,5880.00,3096.00,236.00,612.00,2248.00,2656.00,-9192.00,-2552.00,124.00,387.00,-6.00,910.00
1952:Q3,83195.00,32822.00,45606.00,38139.00,32817.00,2526.00,30291.00,5574.00,-252.00,7467.00,22692.00,-16.00,-460.00,0.00,0.00,0.00,1804.00,-88.00,1532.00,0.00,360.00,1542.00,4.00,1538.00,0.00,8518.00,256.00,11048.00,15225.00,4536.00,28.00,0.00,4508.00,5088.00,1788.00,1264.00,2036.00,1560.00,7672.00,-5772.00,36.00,400.00,1705.00,-12784.00
1952:Q4,85297.00,35341.00,36800.00,40742.00,35735.00,2697.00,33038.00,5274.00,-267.00,-3942.00,8372.00,-92.00,-2980.00,0.00,0.00,0.00,2448.00,-1008.00,2516.00,0.00,940.00,1206.00,4.00,1202.00,0.00,6238.00,912.00,640.00,12314.00,4092.00,-16.00,0.00,4108.00,5584.00,1904.00,1764.00,1916.00,2772.00,1564.00,-4684.00,200.00,-90.00,2876.00,-1459.00
1953:Q1,87175.00,35998.00,18506.00,41094.00,37513.00,2789.00,34724.00,3890.00,-309.00,-22588.00,-1660.00,108.00,-3956.00,0.00,0.00,0.00,2204.00,-72.00,2068.00,0.00,208.00,1241.00,4.00,1237.00,0.00,5635.00,664.00,-7556.00,20928.00,3052.00,12.00,0.00,3040.00,3988.00,1556.00,624.00,1808.00,2072.00,7192.00,1924.00,200.00,932.00,1568.00,17492.00
1953:Q2,86755.00,34725.00,30317.00,41386.00,38135.00,2796.00,35339.00,3577.00,-326.00,-11069.00,912.00,-112.00,4904.00,0.00,0.00,0.00,-6384.00,184.00,-6840.00,0.00,272.00,-303.00,4.00,-307.00,0.00,-201.00,884.00,2124.00,11981.00,4012.00,-40.00,0.00,4052.00,2016.00,-336.00,52.00,2300.00,2180.00,776.00,3220.00,-24.00,254.00,-453.00,4408.00
1953:Q3,84725.00,34395.00,46858.00,41096.00,39102.00,2701.00,36401.00,2331.00,-337.00,5762.00,16576.00,44.00,-1240.00,0.00,0.00,0.00,7556.00,92.00,7112.00,0.00,352.00,709.00,0.00,709.00,0.00,-2141.00,680.00,10968.00,10814.00,2160.00,40.00,0.00,2120.00,4432.00,1640.00,960.00,1832.00,1260.00,1336.00,472.00,188.00,248.00,717.00,-12463.00
1953:Q4,75734.00,32197.00,36550.00,36301.00,38651.00,2659.00,35992.00,-2006.00,-344.00,249.00,-1292.00,116.00,-844.00,0.00,0.00,0.00,3800.00,-168.00,4032.00,0.00,-64.00,-95.00,0.00,-95.00,0.00,-5093.00,484.00,340.00,-1541.00,5120.00,272.00,0.00,4848.00,-5696.00,-7148.00,-656.00,2108.00,1552.00,-8968.00,-3196.00,84.00,-257.00,9820.00,-4353.00
1954:Q1,78889.00,34708.00,16499.00,35197.00,37479.00,2636.00,34843.00,-1966.00,-316.00,-18698.00,-12316.00,4.00,-2532.00,200.00,0.00,0.00,-5228.00,352.00,-5412.00,0.00,-168.00,285.00,0.00,285.00,0.00,1951.00,460.00,-7456.00,6382.00,3480.00,372.00,0.00,3108.00,2632.00,640.00,168.00,1824.00,2948.00,4892.00,-6844.00,56.00,963.00,-1745.00,18209.00
1954:Q2,79443.00,36304.00,29341.00,33790.00,37505.00,2818.00,34687.00,-3378.00,-337.00,-4449.00,-4344.00,52.00,3896.00,200.00,0.00,0.00,-12020.00,196.00,-12052.00,0.00,-164.00,-427.00,0.00,-427.00,0.00,1779.00,972.00,1204.00,105.00,3828.00,88.00,0.00,3740.00,876.00,-1300.00,-560.00,2736.00,2088.00,1116.00,-5412.00,104.00,562.00,-3056.00,6963.00
1954:Q3,81894.00,37193.00,47773.00,35932.00,38400.00,3030.00,35370.00,-2091.00,-377.00,11841.00,23808.00,88.00,4692.00,200.00,0.00,0.00,6172.00,-96.00,5968.00,0.00,300.00,601.00,0.00,601.00,0.00,1495.00,156.00,10404.00,11967.00,5328.00,228.00,0.00,5100.00,3348.00,368.00,604.00,2376.00,912.00,5480.00,-1016.00,76.00,906.00,-3067.00,-10580.00
1954:Q4,84340.00,39489.00,41754.00,37851.00,38601.00,3209.00,35392.00,-316.00,-434.00,3903.00,17412.00,32.00,2788.00,200.00,0.00,0.00,4424.00,-104.00,4628.00,0.00,-100.00,929.00,4.00,925.00,0.00,8079.00,808.00,152.00,13509.00,2020.00,-172.00,0.00,2192.00,3084.00,-1424.00,1356.00,3152.00,384.00,3616.00,396.00,80.00,396.00,3534.00,-2265.00
1955:Q1,90905.00,42084.00,29715.00,42429.00,39165.00,3377.00,35788.00,3804.00,-540.00,-12714.00,8124.00,-44.00,3112.00,-100.00,0.00,0.00,888.00,-164.00,80.00,600.00,372.00,865.00,12.00,853.00,0.00,9843.00,324.00,-6764.00,20838.00,1840.00,-192.00,0.00,2032.00,5068.00,3004.00,-1000.00,3064.00,2124.00,9876.00,692.00,132.00,1660.00,-554.00,12369.00
1955:Q2,92231.00,43383.00,31992.00,45650.00,41631.00,3475.00,38156.00,4620.00,-601.00,-13658.00,8588.00,-80.00,780.00,-100.00,0.00,0.00,-2552.00,292.00,-3020.00,200.00,-24.00,177.00,16.00,161.00,0.00,7191.00,1108.00,2064.00,22246.00,2628.00,-268.00,0.00,2896.00,10944.00,5616.00,984.00,4344.00,640.00,8420.00,3088.00,176.00,968.00,-4618.00,11391.00
1955:Q3,93720.00,42924.00,48124.00,47759.00,44111.00,3419.00,40692.00,4295.00,-647.00,365.00,30616.00,-16.00,1292.00,-100.00,0.00,0.00,7812.00,-312.00,7324.00,200.00,600.00,1489.00,16.00,1473.00,0.00,9863.00,480.00,9796.00,30251.00,1672.00,-224.00,0.00,1896.00,10040.00,5380.00,908.00,3752.00,1112.00,14932.00,4560.00,100.00,438.00,-2602.00,-5200.00
1955:Q4,95617.00,44035.00,37142.00,52604.00,46047.00,3299.00,42748.00,7233.00,-676.00,-15462.00,23756.00,24.00,-204.00,-100.00,0.00,0.00,10776.00,-112.00,10648.00,200.00,40.00,685.00,12.00,673.00,0.00,10447.00,1060.00,1068.00,39218.00,5252.00,8.00,0.00,5244.00,12140.00,5908.00,1756.00,4476.00,3000.00,8692.00,6312.00,172.00,180.00,3469.00,6893.00
1956:Q1,94108.00,43501.00,27492.00,52546.00,46819.00,3325.00,43494.00,6398.00,-671.00,-25054.00,-9496.00,-136.00,-3232.00,0.00,0.00,0.00,-8804.00,-392.00,-9612.00,100.00,1100.00,1749.00,8.00,1741.00,0.00,4791.00,1128.00,-4992.00,15558.00,1648.00,-40.00,0.00,1688.00,11028.00,7608.00,448.00,2972.00,2088.00,4768.00,-5284.00,252.00,306.00,751.00,16009.00
1956:Q2,95507.00,43988.00,30799.00,50908.00,48004.00,3348.00,44656.00,3585.00,-681.00,-20109.00,-2576.00,184.00,-32.00,0.00,0.00,0.00,-12808.00,580.00,-12844.00,100.00,-644.00,-1099.00,4.00,-1103.00,0.00,7799.00,1392.00,1988.00,17533.00,3724.00,-116.00,0.00,3840.00,11388.00,7612.00,-84.00,3860.00,936.00,8912.00,-5192.00,236.00,-29.00,-2442.00,13189.00
1956:Q3,93747.00,45726.00,54144.00,52377.00,49494.00,3306.00,46188.00,3569.00,-686.00,1767.00,21504.00,-88.00,500.00,0.00,0.00,0.00,-52.00,368.00,-368.00,100.00,-152.00,1265.00,4.00,1261.00,0.00,9011.00,2108.00,8760.00,19737.00,4508.00,240.00,0.00,4268.00,8016.00,4552.00,608.00,2856.00,2292.00,5624.00,304.00,204.00,189.00,-1400.00,-8418.00
1956:Q4,96842.00,45858.00,47310.00,51557.00,50003.00,3190.00,46813.00,2244.00,-690.00,-4247.00,17440.00,76.00,2308.00,0.00,0.00,0.00,4656.00,-204.00,4572.00,100.00,188.00,445.00,12.00,433.00,0.00,5703.00,2812.00,1440.00,21687.00,4088.00,-20.00,0.00,4108.00,6944.00,2736.00,1416.00,2792.00,3684.00,880.00,3468.00,72.00,-613.00,3164.00,-1452.00
1957:Q1,97462.00,47696.00,32702.00,52666.00,51193.00,3462.00,47731.00,2162.00,-689.00,-19964.00,-512.00,240.00,-356.00,0.00,0.00,0.00,-1624.00,-124.00,-2208.00,400.00,308.00,1023.00,16.00,1007.00,0.00,4365.00,1804.00,-5964.00,19452.00,5744.00,-136.00,0.00,5880.00,6600.00,2144.00,1576.00,2880.00,3040.00,4468.00,-2796.00,84.00,1198.00,1114.00,14994.00
1957:Q2,95830.00,47920.00,34819.00,53221.00,51261.00,3384.00,47877.00,2657.00,-697.00,-18402.00,-2512.00,-88.00,-388.00,0.00,0.00,0.00,-7440.00,-20.00,-7756.00,400.00,-64.00,-645.00,20.00,-665.00,0.00,117.00,4652.00,1280.00,15890.00,5856.00,-4.00,0.00,5860.00,9016.00,5992.00,132.00,2892.00,3612.00,44.00,-2860.00,192.00,63.00,-33.00,13101.00
1957:Q3,95742.00,47925.00,57081.00,54683.00,52584.00,3363.00,49221.00,2808.00,-709.00,2398.00,16148.00,-92.00,2924.00,0.00,0.00,0.00,3260.00,248.00,2184.00,400.00,428.00,415.00,20.00,395.00,0.00,1237.00,1492.00,6912.00,13750.00,5976.00,-76.00,0.00,6052.00,5028.00,-296.00,2324.00,3000.00,1196.00,1848.00,-1036.00,-16.00,672.00,82.00,-9156.00
1957:Q4,90717.00,46596.00,41060.00,46542.00,51785.00,3353.00,48432.00,-4518.00,-725.00,-5482.00,6244.00,-88.00,648.00,0.00,0.00,0.00,3956.00,416.00,3264.00,400.00,-124.00,-465.00,16.00,-481.00,0.00,-1903.00,1400.00,2696.00,11726.00,6728.00,392.00,0.00,6336.00,3532.00,-1132.00,1140.00,3524.00,1916.00,1180.00,-1840.00,288.00,-487.00,410.00,5536.00
1958:Q1,87074.00,44292.00,34980.00,43451.00,48216.00,3903.00,44313.00,-4009.00,-756.00,-8471.00,-4048.00,116.00,-692.00,2200.00,0.00,0.00,-5328.00,900.00,-4780.00,-400.00,-1048.00,-175.00,16.00,-191.00,0.00,5979.00,576.00,-6724.00,4423.00,8520.00,1060.00,0.00,7460.00,1108.00,-2964.00,1492.00,2580.00,884.00,-4220.00,-5996.00,104.00,1036.00,2987.00,9312.00
1958:Q2,87942.00,45481.00,29378.00,41934.00,46940.00,4008.00,42932.00,-4235.00,-771.00,-12556.00,3604.00,-112.00,3248.00,2200.00,0.00,0.00,-8392.00,-1236.00,-8216.00,-800.00,1860.00,-927.00,16.00,-943.00,0.00,2275.00,1684.00,3628.00,16160.00,4772.00,452.00,0.00,4320.00,3532.00,844.00,-1316.00,4004.00,3432.00,7340.00,-4640.00,56.00,-219.00,1887.00,16103.00
1958:Q3,92515.00,47949.00,52584.00,47710.00,46947.00,4341.00,42606.00,1547.00,-784.00,4874.00,33228.00,160.00,6064.00,-400.00,0.00,0.00,4028.00,-700.00,3340.00,200.00,1188.00,1181.00,16.00,1165.00,0.00,15115.00,580.00,6500.00,28354.00,5512.00,-272.00,0.00,5784.00,5436.00,404.00,36.00,4996.00,1940.00,11448.00,-784.00,12.00,1568.00,3222.00,-4635.00
1958:Q4,98339.00,51333.00,49022.00,53619.00,49177.00,4817.00,44360.00,5235.00,-793.00,-4597.00,24464.00,-92.00,1988.00,-400.00,0.00,0.00,11920.00,136.00,11668.00,200.00,-84.00,585.00,12.00,573.00,0.00,6243.00,1500.00,2720.00,29061.00,4712.00,-296.00,0.00,5008.00,10948.00,2656.00,1572.00,6720.00,1616.00,6736.00,1040.00,204.00,363.00,3442.00,2311.00
1959:Q1,101368.00,53013.00,38350.00,54048.00,50965.00,5146.00,45819.00,3876.00,-793.00,-15698.00,9166.00,-24.00,-1628.00,-400.00,0.00,0.00,5840.00,688.00,4752.00,400.00,0.00,1895.00,-52.00,1947.00,0.00,6617.00,1044.00,-4178.00,24864.00,2156.00,-212.00,0.00,2368.00,8364.00,1952.00,2112.00,4300.00,2044.00,9168.00,4280.00,216.00,1562.00,-2925.00,14663.00
1959:Q2,106336.00,55425.00,43123.00,59229.00,52741.00,5310.00,47431.00,7288.00,-800.00,-16106.00,15957.00,-24.00,-2544.00,-400.00,0.00,0.00,4692.00,392.00,3296.00,800.00,204.00,51.00,-48.00,99.00,0.00,7837.00,1660.00,4685.00,32063.00,2852.00,-596.00,0.00,3448.00,17492.00,9232.00,2160.00,6100.00,2952.00,8756.00,7936.00,328.00,-526.00,-7727.00,12302.00
1959:Q3,99750.00,52917.00,61861.00,53095.00,54091.00,5156.00,48935.00,384.00,-1380.00,8766.00,16111.00,32.00,-4048.00,-400.00,0.00,0.00,9732.00,-1280.00,8828.00,400.00,1784.00,99.00,-164.00,263.00,0.00,3145.00,788.00,6763.00,7345.00,2184.00,-88.00,0.00,2272.00,11088.00,4716.00,1176.00,5196.00,1040.00,916.00,-2100.00,216.00,828.00,-6828.00,-8944.00
1959:Q4,98378.00,53758.00,52620.00,56663.00,53925.00,5002.00,48923.00,4120.00,-1382.00,-4043.00,10602.00,-52.00,-1744.00,-400.00,0.00,0.00,5724.00,2328.00,5240.00,800.00,-2644.00,4171.00,0.00,4171.00,0.00,13.00,1560.00,1330.00,14645.00,3752.00,-476.00,0.00,4228.00,10712.00,2812.00,1952.00,5948.00,2276.00,784.00,-1620.00,80.00,-747.00,-592.00,1138.00
1960:Q1,102403.00,55337.00,40167.00,66320.00,55604.00,5034.00,50570.00,11200.00,-484.00,-26153.00,3207.00,-44.00,-2012.00,-928.00,0.00,0.00,-4440.00,-520.00,-6540.00,0.00,2620.00,-2976.00,4.00,-2980.00,0.00,13916.00,2540.00,-2849.00,29360.00,1852.00,164.00,0.00,1688.00,13052.00,5892.00,3960.00,3200.00,1404.00,12012.00,-468.00,300.00,1408.00,-200.00,15170.00
1960:Q2,98920.00,53688.00,33710.00,58585.00,56077.00,4749.00,51328.00,3224.00,-716.00,-24875.00,-6809.00,76.00,-988.00,-724.00,0.00,0.00,-7608.00,-144.00,-6956.00,572.00,-1080.00,672.00,4.00,668.00,0.00,728.00,2232.00,-1197.00,18066.00,4332.00,768.00,0.00,3564.00,11584.00,3740.00,2544.00,5300.00,1476.00,3140.00,-380.00,332.00,-646.00,-1772.00,19978.00
1960:Q3,97080.00,53754.00,57096.00,58750.00,55169.00,4801.00,50368.00,4320.00,-739.00,-1654.00,9990.00,204.00,396.00,1036.00,0.00,0.00,-6436.00,-96.00,-7204.00,-612.00,1476.00,-952.00,4.00,-956.00,0.00,7376.00,2896.00,5470.00,11644.00,3620.00,492.00,0.00,3128.00,6484.00,376.00,696.00,5412.00,1600.00,3924.00,-4128.00,296.00,702.00,-855.00,-3342.00
1960:Q4,94963.00,52719.00,45655.00,48611.00,55093.00,5031.00,50062.00,-5812.00,-670.00,-2956.00,3405.00,-224.00,-3924.00,6616.00,0.00,0.00,-2792.00,944.00,-2776.00,-296.00,-664.00,396.00,0.00,396.00,0.00,-1040.00,3612.00,761.00,6361.00,5700.00,392.00,0.00,5308.00,8264.00,900.00,2244.00,5120.00,980.00,-5352.00,-1384.00,52.00,-1178.00,-721.00,7064.00
1961:Q1,95013.00,51841.00,37081.00,51409.00,54556.00,5353.00,49203.00,-2548.00,-599.00,-14328.00,269.00,164.00,1744.00,1088.00,0.00,0.00,-2660.00,-1424.00,-2108.00,-720.00,1592.00,-2699.00,8.00,-2707.00,0.00,6659.00,2968.00,-6995.00,14597.00,560.00,-884.00,0.00,1444.00,8996.00,4112.00,-724.00,5608.00,2680.00,6780.00,-2264.00,216.00,2782.00,-5154.00,14760.00
1961:Q2,98805.00,55078.00,52496.00,56892.00,55885.00,5704.00,50181.00,1792.00,-785.00,-4396.00,20108.00,96.00,1444.00,2364.00,0.00,0.00,-1168.00,-8.00,-2356.00,1188.00,8.00,325.00,8.00,317.00,0.00,10727.00,2068.00,4252.00,24504.00,8580.00,768.00,0.00,7812.00,4824.00,-2076.00,-164.00,7064.00,4672.00,4880.00,1108.00,312.00,-834.00,963.00,2582.00
1961:Q3,102352.00,56599.00,55104.00,62646.00,56837.00,6290.00,50547.00,6656.00,-847.00,-7542.00,17291.00,100.00,1124.00,2972.00,0.00,0.00,-4648.00,-952.00,-5392.00,60.00,1636.00,773.00,8.00,765.00,0.00,9627.00,2812.00,4531.00,24833.00,3436.00,608.00,0.00,2828.00,10628.00,1776.00,1428.00,7424.00,1532.00,5980.00,1124.00,200.00,1308.00,625.00,1495.00
1961:Q4,107807.00,58957.00,55914.00,64098.00,58762.00,6737.00,52025.00,5996.00,-660.00,-8184.00,18376.00,-8.00,8540.00,-2024.00,0.00,0.00,3636.00,3588.00,3232.00,0.00,-3184.00,1325.00,12.00,1313.00,0.00,5955.00,2228.00,-1276.00,26560.00,6304.00,808.00,0.00,5496.00,13024.00,2328.00,2176.00,8520.00,-400.00,1460.00,2516.00,364.00,-1215.00,4507.00,3043.00
1962:Q1,107376.00,61219.00,44326.00,68639.00,60048.00,7074.00,52974.00,9408.00,-817.00,-24313.00,4949.00,-8.00,-5320.00,5180.00,0.00,0.00,1892.00,-2476.00,484.00,-40.00,3924.00,279.00,20.00,259.00,124.00,6761.00,2032.00,-5991.00,29262.00,3148.00,-156.00,0.00,3304.00,9776.00,2692.00,480.00,6604.00,244.00,8372.00,2452.00,312.00,3410.00,1547.00,16893.00
1962:Q2,106250.00,61179.00,50484.00,66429.00,61934.00,7489.00,54445.00,5444.00,-949.00,-15945.00,8137.00,128.00,1620.00,636.00,0.00,0.00,-4960.00,1108.00,-4624.00,-216.00,-1228.00,2071.00,24.00,2047.00,296.00,3385.00,2716.00,2245.00,24082.00,6452.00,276.00,0.00,6176.00,14088.00,5264.00,288.00,8536.00,576.00,1808.00,2412.00,480.00,-1125.00,-609.00,10695.00
