date,FA413065005.Q,FA413065105.Q,FA413065405.Q,FA413065505.Q,FA413065605.Q,FA413065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3.00,0.00,0.00,0.00,3.00,3.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25.00,0.00,0.00,0.00,25.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1957:Q2,36.00,0.00,0.00,0.00,36.00,36.00
1957:Q3,16.00,0.00,0.00,0.00,16.00,16.00
1957:Q4,12.00,0.00,0.00,0.00,12.00,12.00
1958:Q1,8.00,0.00,0.00,0.00,8.00,8.00
1958:Q2,8.00,0.00,0.00,0.00,8.00,8.00
1958:Q3,24.00,0.00,0.00,0.00,24.00,24.00
1958:Q4,28.00,0.00,0.00,0.00,28.00,28.00
1959:Q1,20.00,0.00,0.00,0.00,20.00,20.00
1959:Q2,24.00,0.00,0.00,0.00,24.00,24.00
1959:Q3,4.00,0.00,0.00,0.00,4.00,4.00
1959:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1960:Q1,4.00,0.00,0.00,0.00,4.00,4.00
1960:Q2,8.00,0.00,0.00,0.00,8.00,8.00
1960:Q3,-8.00,0.00,0.00,0.00,-8.00,-8.00
1960:Q4,-12.00,0.00,0.00,0.00,-12.00,-12.00
1961:Q1,0.00,0.00,0.00,4.00,-4.00,0.00
1961:Q2,-4.00,0.00,0.00,8.00,-12.00,-4.00
1961:Q3,176.00,0.00,0.00,4.00,172.00,176.00
1961:Q4,184.00,0.00,0.00,0.00,184.00,184.00
1962:Q1,88.00,0.00,0.00,4.00,84.00,88.00
1962:Q2,96.00,0.00,0.00,4.00,92.00,96.00
1962:Q3,148.00,0.00,0.00,4.00,144.00,148.00
1962:Q4,160.00,0.00,0.00,4.00,156.00,160.00
1963:Q1,160.00,0.00,0.00,4.00,156.00,160.00
1963:Q2,168.00,0.00,0.00,4.00,164.00,168.00
1963:Q3,56.00,0.00,4.00,12.00,40.00,56.00
1963:Q4,64.00,0.00,0.00,8.00,56.00,64.00
1964:Q1,104.00,0.00,0.00,12.00,92.00,104.00
1964:Q2,120.00,0.00,0.00,12.00,108.00,120.00
1964:Q3,84.00,0.00,4.00,36.00,44.00,84.00
1964:Q4,88.00,0.00,0.00,44.00,44.00,88.00
1965:Q1,208.00,0.00,0.00,52.00,156.00,208.00
1965:Q2,216.00,0.00,0.00,56.00,160.00,216.00
1965:Q3,268.00,92.00,4.00,72.00,100.00,268.00
1965:Q4,288.00,108.00,4.00,72.00,104.00,288.00
1966:Q1,320.00,136.00,0.00,84.00,100.00,320.00
1966:Q2,336.00,152.00,-4.00,88.00,100.00,336.00
1966:Q3,536.00,264.00,4.00,92.00,176.00,536.00
1966:Q4,588.00,312.00,0.00,96.00,180.00,588.00
1967:Q1,664.00,360.00,4.00,100.00,200.00,664.00
1967:Q2,720.00,408.00,0.00,104.00,208.00,720.00
1967:Q3,644.00,372.00,8.00,116.00,148.00,644.00
1967:Q4,668.00,404.00,8.00,108.00,148.00,668.00
1968:Q1,724.00,436.00,4.00,104.00,180.00,724.00
1968:Q2,760.00,468.00,8.00,100.00,184.00,760.00
1968:Q3,340.00,232.00,12.00,64.00,32.00,340.00
1968:Q4,328.00,232.00,12.00,60.00,24.00,328.00
1969:Q1,360.00,232.00,16.00,56.00,56.00,360.00
1969:Q2,340.00,224.00,16.00,56.00,44.00,340.00
1969:Q3,992.00,512.00,16.00,68.00,396.00,992.00
1969:Q4,1020.00,532.00,20.00,64.00,404.00,1020.00
1970:Q1,1180.00,612.00,20.00,60.00,488.00,1180.00
1970:Q2,856.00,656.00,20.00,60.00,120.00,856.00
1970:Q3,1676.00,1276.00,32.00,48.00,320.00,1676.00
1970:Q4,2492.00,2108.00,28.00,40.00,316.00,2492.00
1971:Q1,4808.00,4204.00,36.00,44.00,524.00,4808.00
1971:Q2,6460.00,5832.00,40.00,44.00,544.00,6460.00
1971:Q3,3188.00,2704.00,36.00,144.00,304.00,3188.00
1971:Q4,4588.00,4000.00,104.00,140.00,344.00,4588.00
1972:Q1,4104.00,3676.00,128.00,-332.00,632.00,4104.00
1972:Q2,4824.00,4180.00,264.00,144.00,236.00,4824.00
