1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,33894.00,6623.00,11341.00,36639.00,28078.00,-2779.00,-7757.00,6096.00,13853.00,3039.00,16799.00,16753.00,46.00,8618.00,8529.00,961.00,-810.00,0.00,62.00,1854.00,1813661.00
1976:Q1,50196.00,11188.00,16214.00,42078.00,28550.00,-2686.00,-8178.00,19080.00,27258.00,3152.00,14105.00,14016.00,89.00,12125.00,10534.00,655.00,1004.00,0.00,67.00,12778.00,1863858.00
1976:Q2,66583.00,27100.00,20266.00,45682.00,29141.00,-3725.00,3329.00,29327.00,25998.00,3505.00,31215.00,31195.00,20.00,10896.00,7510.00,1761.00,1624.00,0.00,0.00,-2628.00,1930440.00
1976:Q3,47225.00,7300.00,20293.00,46341.00,29852.00,-3804.00,-14822.00,18124.00,32945.00,1829.00,27644.00,27656.00,-12.00,12025.00,9422.00,1513.00,1063.00,27.00,0.00,256.00,1977665.00
1976:Q4,44929.00,4589.00,19083.00,45868.00,30683.00,-3898.00,-16532.00,612.00,17144.00,2038.00,28172.00,28163.00,9.00,55293.00,11155.00,1584.00,-330.00,60765.00,17881.00,-43126.00,2022594.00
1977:Q1,53370.00,14338.00,22564.00,48837.00,31635.00,-5362.00,-8066.00,27124.00,35190.00,-160.00,33995.00,34061.00,-66.00,14077.00,11062.00,998.00,2021.00,0.00,5.00,-9040.00,2075964.00
1977:Q2,53615.00,14959.00,22069.00,50851.00,32613.00,-3831.00,-7543.00,17106.00,24648.00,432.00,24598.00,24551.00,47.00,11366.00,10385.00,1463.00,-482.00,0.00,0.00,2693.00,2129579.00
1977:Q3,54862.00,20651.00,24785.00,56041.00,33619.00,-2363.00,-5240.00,35536.00,40776.00,1105.00,29388.00,29406.00,-18.00,13823.00,11500.00,1680.00,644.00,0.00,0.00,-9000.00,2184440.00
1977:Q4,55984.00,14021.00,24680.00,55190.00,34652.00,-4142.00,-12009.00,34674.00,46683.00,1350.00,27415.00,27423.00,-8.00,23656.00,12320.00,1755.00,1826.00,11904.00,4149.00,-9109.00,2240424.00
1978:Q1,54410.00,11205.00,28058.00,58572.00,35715.00,-5201.00,-15243.00,34750.00,49992.00,-1611.00,29624.00,29651.00,-27.00,18280.00,12529.00,2250.00,3525.00,0.00,23.00,-4698.00,2294834.00
1978:Q2,79227.00,9568.00,32589.00,63653.00,36864.00,-5800.00,-23719.00,15413.00,39132.00,698.00,42652.00,42615.00,37.00,18981.00,12925.00,1836.00,4220.00,0.00,0.00,8026.00,2374061.00
