1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,5272.00,5272.00,176.00,5096.00,0.00,0.00,5272.00,5252.00,-1080.00,0.00,-56.00,-972.00,-4.00,4.00,0.00,908.00,292.00,204.00,0.00,0.00,0.00,0.00,0.00,724.00,0.00
1960:Q3,5252.00,5252.00,544.00,4708.00,0.00,0.00,5252.00,692.00,1476.00,0.00,56.00,1536.00,-12.00,4.00,0.00,768.00,612.00,148.00,0.00,0.00,0.00,0.00,0.00,-28.00,0.00
1960:Q4,4964.00,4964.00,412.00,4552.00,0.00,0.00,4964.00,2792.00,-664.00,0.00,236.00,1784.00,-8.00,0.00,0.00,660.00,312.00,52.00,0.00,0.00,0.00,0.00,0.00,-200.00,0.00
1961:Q1,5380.00,5380.00,1036.00,4344.00,0.00,0.00,5380.00,-1368.00,1592.00,0.00,236.00,3576.00,16.00,4.00,0.00,760.00,420.00,-28.00,0.00,0.00,0.00,0.00,0.00,172.00,0.00
1961:Q2,3952.00,3952.00,-716.00,4668.00,0.00,0.00,3952.00,3996.00,8.00,0.00,72.00,-1332.00,12.00,4.00,0.00,908.00,140.00,-100.00,0.00,0.00,0.00,0.00,0.00,244.00,0.00
1961:Q3,6192.00,6192.00,688.00,5504.00,0.00,0.00,6192.00,-2600.00,1636.00,0.00,-68.00,6104.00,36.00,4.00,0.00,1060.00,320.00,-176.00,0.00,0.00,0.00,0.00,0.00,-124.00,0.00
1961:Q4,5988.00,5988.00,-64.00,6052.00,0.00,0.00,5988.00,5968.00,-3184.00,0.00,-176.00,2776.00,-52.00,0.00,0.00,1164.00,320.00,-268.00,0.00,0.00,0.00,0.00,0.00,-560.00,0.00
1962:Q1,6644.00,6644.00,724.00,5920.00,0.00,0.00,6644.00,-4256.00,3924.00,0.00,-204.00,5304.00,144.00,0.00,0.00,896.00,604.00,-352.00,0.00,0.00,0.00,0.00,0.00,584.00,0.00
1962:Q2,4932.00,4932.00,-396.00,5328.00,0.00,0.00,4932.00,-72.00,-1228.00,0.00,-132.00,5596.00,192.00,0.00,0.00,868.00,-60.00,-468.00,0.00,0.00,0.00,0.00,0.00,236.00,0.00
1962:Q3,4640.00,4640.00,-976.00,5616.00,0.00,0.00,4640.00,1116.00,-52.00,0.00,-148.00,3636.00,24.00,0.00,0.00,832.00,196.00,-512.00,0.00,0.00,0.00,0.00,0.00,-452.00,0.00
