1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,1671203.00,608074.00,445773.00,2726.00,502.00,159073.00,378826.00,302998.00,40433.00,4110.00,31285.00,0.00,320993.00,268373.00,52620.00,173677.00,89873.00,68454.00,15350.00,169441.00,164944.00,3968.00,529.00,20192.00,47046.00,2625.00,44421.00,26854.00,6961.00,19893.00,1671203.00,39601.00,2.43,1696117.00,38002.00,2.29
1957:Q1,1679284.00,619054.00,453596.00,2825.00,516.00,162117.00,383014.00,306042.00,41249.00,4183.00,31540.00,0.00,306790.00,254023.00,52767.00,176587.00,90518.00,69996.00,16073.00,172042.00,167494.00,4008.00,540.00,21797.00,48147.00,2486.00,45661.00,26350.00,6621.00,19729.00,1679284.00,8081.00,0.48,1709125.00,13008.00,0.77
1957:Q2,1722146.00,630623.00,461358.00,2873.00,529.00,165863.00,386969.00,309173.00,41384.00,4242.00,32170.00,0.00,326030.00,273076.00,52954.00,178895.00,92485.00,69572.00,16838.00,176847.00,172252.00,4045.00,550.00,22782.00,50133.00,2645.00,47488.00,27351.00,7112.00,20239.00,1722146.00,42863.00,2.55,1745761.00,36636.00,2.14
1957:Q3,1713581.00,639377.00,468792.00,2952.00,542.00,167091.00,391356.00,312500.00,41737.00,4321.00,32798.00,0.00,298582.00,245392.00,53190.00,181546.00,93766.00,70161.00,17619.00,178389.00,173714.00,4113.00,562.00,24331.00,50816.00,2388.00,48428.00,26485.00,6484.00,20001.00,1713581.00,-8565.00,-0.50,1743912.00,-1849.00,-0.11
1957:Q4,1722237.00,643776.00,471674.00,3050.00,555.00,168497.00,393648.00,313203.00,42764.00,4392.00,33289.00,0.00,299142.00,245747.00,53395.00,182737.00,93804.00,70526.00,18407.00,177575.00,172809.00,4192.00,574.00,25359.00,51887.00,2233.00,49654.00,26528.00,6091.00,20437.00,1722237.00,8656.00,0.51,1760616.00,16704.00,0.96
1958:Q1,1743387.00,644343.00,468427.00,3092.00,571.00,172253.00,399910.00,316191.00,42523.00,4524.00,36672.00,0.00,314931.00,261319.00,53612.00,181819.00,92902.00,69723.00,19194.00,176488.00,171691.00,4209.00,588.00,25896.00,52873.00,2320.00,50553.00,26977.00,6328.00,20649.00,1743387.00,21150.00,1.23,1793737.00,33121.00,1.88
1958:Q2,1780331.00,650042.00,474349.00,3155.00,589.00,171949.00,404331.00,319560.00,43012.00,4580.00,37179.00,0.00,332394.00,278565.00,53829.00,184851.00,95047.00,69850.00,19954.00,181710.00,176851.00,4257.00,602.00,27003.00,54490.00,2514.00,51976.00,27487.00,6840.00,20647.00,1780331.00,36944.00,2.12,1820693.00,26955.00,1.50
1958:Q3,1835297.00,660432.00,484262.00,3205.00,608.00,172357.00,408008.00,321477.00,43434.00,4598.00,38498.00,0.00,364630.00,310541.00,54089.00,188512.00,96918.00,70900.00,20694.00,186748.00,181793.00,4337.00,618.00,26967.00,55684.00,2786.00,52898.00,28717.00,7537.00,21180.00,1835297.00,54966.00,3.09,1874571.00,53878.00,2.96
1958:Q4,1867464.00,670313.00,493819.00,3263.00,628.00,172603.00,409861.00,323570.00,43680.00,4596.00,38015.00,0.00,378956.00,324670.00,54286.00,191637.00,98485.00,71731.00,21421.00,189734.00,184590.00,4508.00,636.00,26963.00,57056.00,3095.00,53961.00,30093.00,8305.00,21788.00,1867464.00,32167.00,1.75,1904070.00,29499.00,1.57
1959:Q1,1887212.00,674223.00,493678.00,3341.00,648.00,176556.00,412595.00,325793.00,44368.00,4577.00,37857.00,0.00,386540.00,332012.00,54528.00,193254.00,98375.00,72753.00,22126.00,193922.00,188924.00,4344.00,654.00,26678.00,57680.00,3193.00,54487.00,31002.00,8475.00,22527.00,1887212.00,19748.00,1.06,1924185.00,20116.00,1.06
