1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,4855.00,1617.00,3111.00,127.00,4855.00,721.00,325.00,15.00,615.00,0.00,3083.00,0.00,0.00,1.00,0.00,0.00,35.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,4605.00,1151.00,3316.00,138.00,4605.00,958.00,350.00,14.00,628.00,0.00,2556.00,0.00,0.00,1.00,0.00,0.00,36.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,4619.00,917.00,3559.00,143.00,4619.00,1115.00,375.00,6.00,685.00,0.00,2330.00,0.00,0.00,1.00,0.00,0.00,43.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,4953.00,1356.00,3448.00,149.00,4953.00,959.00,400.00,9.00,758.00,0.00,2712.00,0.00,0.00,1.00,0.00,0.00,47.00,0.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,5380.00,1378.00,3845.00,157.00,5380.00,933.00,500.00,20.00,815.00,0.00,2972.00,0.00,0.00,1.00,0.00,0.00,65.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,5538.00,926.00,4446.00,166.00,5538.00,1154.00,600.00,18.00,829.00,0.00,2782.00,0.00,0.00,1.00,0.00,0.00,72.00,0.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,5509.00,704.00,4635.00,170.00,5509.00,1100.00,700.00,19.00,788.00,0.00,2730.00,0.00,0.00,1.00,0.00,0.00,82.00,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,6700.00,1679.00,4848.00,173.00,6700.00,1463.00,800.00,13.00,739.00,0.00,3474.00,0.00,0.00,1.00,0.00,0.00,113.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,7178.00,2275.00,4728.00,175.00,7178.00,1208.00,700.00,55.00,695.00,0.00,4275.00,0.00,0.00,1.00,0.00,0.00,142.00,0.00,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,6024.00,1222.00,4625.00,177.00,6024.00,824.00,500.00,26.00,670.00,0.00,3785.00,0.00,0.00,1.00,0.00,0.00,111.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,6314.00,1291.00,4840.00,183.00,6314.00,798.00,550.00,7.00,641.00,0.00,4089.00,0.00,0.00,1.00,0.00,0.00,116.00,0.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,6713.00,1598.00,4925.00,190.00,6713.00,833.00,600.00,3.00,597.00,0.00,4396.00,0.00,0.00,1.00,0.00,50.00,116.00,0.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,6550.00,1314.00,5041.00,195.00,6550.00,917.00,700.00,2.00,562.00,0.00,4046.00,0.00,0.00,1.00,0.00,61.00,137.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,7137.00,1026.00,5910.00,201.00,7137.00,1523.00,900.00,6.00,573.00,0.00,3756.00,0.00,0.00,1.00,0.00,74.00,172.00,0.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,7863.00,939.00,6722.00,202.00,7863.00,2011.00,1000.00,15.00,578.00,0.00,3849.00,0.00,0.00,1.00,0.00,82.00,188.00,0.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,8272.00,949.00,7120.00,203.00,8272.00,2267.00,1200.00,2.00,546.00,0.00,3846.00,0.00,0.00,1.00,0.00,72.00,192.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,8138.00,978.00,6956.00,204.00,8138.00,1630.00,1200.00,47.00,536.00,0.00,4109.00,0.00,0.00,1.00,114.00,73.00,269.00,0.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,8769.00,953.00,7610.00,206.00,8769.00,1909.00,1343.00,16.00,622.00,0.00,4112.00,0.00,0.00,1.00,190.00,100.00,305.00,0.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,8322.00,392.00,7726.00,204.00,8322.00,1294.00,1190.00,4.00,793.00,0.00,4285.00,0.00,0.00,1.00,163.00,105.00,303.00,0.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,8749.00,688.00,7860.00,201.00,8749.00,1033.00,1116.00,37.00,1050.00,0.00,4797.00,0.00,0.00,1.00,140.00,101.00,278.00,0.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,8513.00,934.00,7378.00,201.00,8513.00,359.00,936.00,36.00,1287.00,0.00,4979.00,0.00,0.00,1.00,340.00,91.00,270.00,0.00,214.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,8571.00,656.00,7715.00,200.00,8571.00,224.00,1233.00,13.00,1116.00,0.00,4968.00,0.00,0.00,1.00,452.00,81.00,250.00,0.00,233.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,8893.00,436.00,8213.00,244.00,8893.00,244.00,1248.00,37.00,1474.00,0.00,4909.00,0.00,0.00,1.00,364.00,103.00,261.00,0.00,252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,9759.00,995.00,8474.00,290.00,9759.00,592.00,1248.00,35.00,1520.00,0.00,5459.00,0.00,0.00,1.00,234.00,110.00,289.00,0.00,271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,10457.00,1294.00,8851.00,312.00,10457.00,567.00,1238.00,38.00,1534.00,0.00,5848.00,0.00,0.00,1.00,368.00,121.00,333.00,0.00,325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00
1962:Q2,10871.00,1347.00,9188.00,336.00,10871.00,410.00,1184.00,8.00,1617.00,0.00,6159.00,0.00,0.00,1.00,511.00,115.00,354.00,0.00,343.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.00
1962:Q3,10861.00,748.00,9740.00,373.00,10861.00,286.00,1308.00,5.00,1708.00,0.00,5893.00,0.00,0.00,1.00,534.00,142.00,351.00,0.00,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.00
1962:Q4,11939.00,1538.00,9988.00,413.00,11939.00,235.00,1275.00,0.00,1867.00,0.00,6967.00,0.00,0.00,1.00,433.00,105.00,324.00,0.00,395.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337.00
1963:Q1,11315.00,1739.00,9123.00,453.00,11315.00,9.00,930.00,10.00,1570.00,0.00,6967.00,0.00,0.00,2.00,586.00,100.00,333.00,0.00,387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421.00
1963:Q2,12012.00,1489.00,10028.00,495.00,12012.00,0.00,1314.00,59.00,1625.00,0.00,7032.00,0.00,0.00,3.00,609.00,118.00,335.00,0.00,381.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,504.00
1963:Q3,12145.00,936.00,10700.00,509.00,12145.00,0.00,1399.00,41.00,1450.00,0.00,7264.00,0.00,0.00,4.00,512.00,121.00,377.00,0.00,351.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,588.00
1963:Q4,13416.00,1367.00,11524.00,525.00,13416.00,0.00,1608.00,29.00,2402.00,0.00,7401.00,0.00,0.00,6.00,397.00,139.00,370.00,0.00,347.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,672.00
1964:Q1,12740.00,1236.00,10953.00,551.00,12740.00,0.00,1325.00,21.00,2282.00,0.00,6898.00,0.00,0.00,8.00,548.00,121.00,386.00,0.00,341.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,756.00
1964:Q2,13630.00,1364.00,11685.00,581.00,13630.00,0.00,1364.00,14.00,2576.00,0.00,7159.00,0.00,0.00,10.00,719.00,136.00,373.00,0.00,375.00,0.00,0.00,64.00,0.00,0.00,0.00,0.00,840.00
1964:Q3,13574.00,1177.00,11795.00,602.00,13574.00,0.00,1152.00,20.00,2748.00,0.00,7202.00,0.00,0.00,13.00,571.00,139.00,362.00,0.00,369.00,0.00,0.00,74.00,0.00,0.00,0.00,0.00,924.00
1964:Q4,14783.00,2222.00,11937.00,624.00,14783.00,245.00,1000.00,12.00,2932.00,0.00,8044.00,0.00,0.00,16.00,454.00,129.00,477.00,0.00,381.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,1008.00
1965:Q1,15040.00,2308.00,12056.00,676.00,15040.00,21.00,1078.00,18.00,2998.00,0.00,8299.00,0.00,0.00,19.00,512.00,136.00,403.00,0.00,376.00,0.00,0.00,88.00,0.00,0.00,0.00,0.00,1092.00
1965:Q2,15930.00,1966.00,13234.00,730.00,15930.00,618.00,1059.00,25.00,3078.00,0.00,8229.00,0.00,0.00,20.00,692.00,151.00,404.00,0.00,381.00,0.00,0.00,97.00,0.00,0.00,0.00,0.00,1176.00
1965:Q3,16790.00,2268.00,13725.00,797.00,16790.00,909.00,1254.00,47.00,3039.00,0.00,8427.00,0.00,0.00,24.00,637.00,179.00,431.00,0.00,485.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,1260.00
1965:Q4,17385.00,2670.00,13846.00,869.00,17385.00,1132.00,1238.00,45.00,3100.00,0.00,8678.00,0.00,0.00,35.00,602.00,167.00,454.00,0.00,492.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,1344.00
