1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,14397.00,1836.00,12736.00,-175.00,0.00,14397.00,5171.00,30.00,0.00,6.00,0.00,4465.00,0.00,30.00,123.00,4501.00,39.00,15.00,0.00,0.00,17.00,0.00
1953:Q1,14660.00,1913.00,13012.00,-265.00,0.00,14660.00,5238.00,31.00,0.00,6.00,0.00,4567.00,0.00,31.00,125.00,4590.00,42.00,16.00,0.00,0.00,14.00,0.00
1953:Q2,14939.00,1987.00,12937.00,15.00,0.00,14939.00,5303.00,32.00,0.00,7.00,0.00,4679.00,0.00,32.00,129.00,4679.00,45.00,17.00,0.00,0.00,16.00,0.00
1953:Q3,15212.00,2050.00,12993.00,169.00,0.00,15212.00,5366.00,32.00,0.00,10.00,0.00,4787.00,0.00,32.00,134.00,4766.00,47.00,19.00,0.00,0.00,19.00,0.00
1953:Q4,15564.00,2132.00,13365.00,67.00,0.00,15564.00,5462.00,32.00,0.00,17.00,0.00,4916.00,0.00,32.00,139.00,4878.00,50.00,20.00,0.00,0.00,18.00,0.00
1954:Q1,15880.00,2224.00,13630.00,26.00,0.00,15880.00,5567.00,32.00,0.00,12.00,0.00,5037.00,0.00,32.00,143.00,4963.00,53.00,22.00,0.00,0.00,19.00,0.00
1954:Q2,16324.00,2322.00,13482.00,520.00,0.00,16324.00,5700.00,32.00,0.00,16.00,0.00,5228.00,0.00,32.00,145.00,5072.00,56.00,23.00,0.00,0.00,20.00,0.00
1954:Q3,16782.00,2397.00,13402.00,983.00,0.00,16782.00,5846.00,32.00,0.00,9.00,0.00,5418.00,0.00,32.00,145.00,5194.00,59.00,25.00,0.00,0.00,22.00,0.00
1954:Q4,17313.00,2412.00,13810.00,1091.00,0.00,17313.00,6016.00,33.00,0.00,9.00,0.00,5596.00,0.00,33.00,143.00,5371.00,62.00,26.00,0.00,0.00,24.00,0.00
1955:Q1,17765.00,2441.00,14089.00,1235.00,0.00,17765.00,6114.00,36.00,0.00,14.00,0.00,5793.00,0.00,36.00,144.00,5507.00,66.00,28.00,0.00,0.00,27.00,0.00
1955:Q2,18263.00,2295.00,14258.00,1710.00,0.00,18263.00,6248.00,40.00,0.00,24.00,0.00,6002.00,0.00,40.00,146.00,5631.00,71.00,30.00,0.00,0.00,31.00,0.00
1955:Q3,18819.00,2262.00,14468.00,2089.00,0.00,18819.00,6407.00,44.00,0.00,26.00,0.00,6229.00,0.00,44.00,149.00,5774.00,77.00,31.00,0.00,0.00,38.00,0.00
1955:Q4,19375.00,2166.00,15297.00,1913.00,0.00,19375.00,6589.00,47.00,0.00,30.00,0.00,6397.00,0.00,47.00,152.00,5959.00,83.00,33.00,0.00,0.00,38.00,0.00
1956:Q1,19954.00,2438.00,15500.00,2016.00,0.00,19954.00,6738.00,49.00,0.00,32.00,0.00,6639.00,0.00,49.00,156.00,6130.00,90.00,35.00,0.00,0.00,36.00,0.00
1956:Q2,20582.00,2569.00,15582.00,2431.00,0.00,20582.00,6916.00,50.00,0.00,37.00,0.00,6869.00,0.00,50.00,159.00,6329.00,99.00,37.00,0.00,0.00,36.00,0.00
1956:Q3,21199.00,2787.00,15654.00,2758.00,0.00,21199.00,7093.00,51.00,0.00,35.00,0.00,7097.00,0.00,51.00,161.00,6526.00,108.00,39.00,0.00,0.00,38.00,0.00
1956:Q4,21803.00,2861.00,16163.00,2779.00,0.00,21803.00,7262.00,54.00,0.00,37.00,0.00,7277.00,0.00,54.00,161.00,6763.00,117.00,42.00,0.00,0.00,36.00,0.00
1957:Q1,22321.00,2878.00,16662.00,2781.00,0.00,22321.00,7427.00,58.00,0.00,38.00,0.00,7392.00,0.00,58.00,161.00,6985.00,126.00,46.00,0.00,0.00,30.00,0.00
1957:Q2,22794.00,2923.00,16727.00,3144.00,0.00,22794.00,7558.00,63.00,0.00,52.00,0.00,7513.00,0.00,63.00,161.00,7172.00,135.00,49.00,0.00,0.00,28.00,0.00
1957:Q3,23478.00,3123.00,16822.00,3533.00,0.00,23478.00,7782.00,68.00,0.00,52.00,0.00,7746.00,0.00,68.00,161.00,7376.00,143.00,54.00,0.00,0.00,28.00,0.00
1957:Q4,24259.00,3256.00,17421.00,3582.00,0.00,24259.00,8022.00,72.00,0.00,56.00,0.00,7975.00,0.00,72.00,161.00,7660.00,154.00,59.00,0.00,0.00,28.00,0.00
1958:Q1,24812.00,3579.00,17692.00,3541.00,0.00,24812.00,8181.00,76.00,0.00,55.00,0.00,8148.00,0.00,76.00,161.00,7856.00,163.00,65.00,0.00,0.00,31.00,0.00
1958:Q2,25496.00,3859.00,17889.00,3749.00,0.00,25496.00,8390.00,80.00,0.00,56.00,0.00,8461.00,0.00,80.00,161.00,7990.00,173.00,70.00,0.00,0.00,35.00,0.00
1958:Q3,26204.00,3932.00,18125.00,4147.00,0.00,26204.00,8595.00,84.00,0.00,55.00,0.00,8739.00,0.00,84.00,161.00,8189.00,183.00,76.00,0.00,0.00,38.00,0.00
1958:Q4,27222.00,3874.00,19053.00,4295.00,0.00,27222.00,8885.00,87.00,0.00,54.00,0.00,9154.00,0.00,87.00,160.00,8474.00,196.00,83.00,0.00,0.00,42.00,0.00
1959:Q1,27761.00,4118.00,19034.00,4609.00,0.00,27761.00,9054.00,74.00,0.00,51.00,0.00,9452.00,0.00,74.00,160.00,8551.00,210.00,89.00,0.00,0.00,46.00,0.00
1959:Q2,28553.00,4280.00,19016.00,5257.00,0.00,28553.00,9302.00,62.00,0.00,50.00,0.00,9918.00,0.00,62.00,158.00,8636.00,226.00,95.00,0.00,0.00,44.00,0.00
1959:Q3,29283.00,4382.00,18951.00,5950.00,0.00,29283.00,9540.00,21.00,0.00,48.00,0.00,10257.00,0.00,21.00,155.00,8849.00,243.00,102.00,0.00,0.00,47.00,0.00
1959:Q4,30228.00,4373.00,19731.00,6124.00,0.00,30228.00,9826.00,21.00,0.00,47.00,0.00,10621.00,0.00,21.00,146.00,9121.00,262.00,113.00,0.00,0.00,50.00,0.00
1960:Q1,30899.00,4813.00,19651.00,6435.00,0.00,30899.00,10017.00,22.00,0.00,46.00,0.00,10872.00,0.00,22.00,145.00,9319.00,281.00,124.00,0.00,0.00,51.00,0.00
1960:Q2,31668.00,4946.00,19725.00,6997.00,0.00,31668.00,10225.00,23.00,0.00,45.00,0.00,11178.00,0.00,23.00,145.00,9539.00,303.00,138.00,0.00,0.00,49.00,0.00
1960:Q3,32531.00,5084.00,19920.00,7527.00,0.00,32531.00,10464.00,24.00,0.00,45.00,0.00,11533.00,0.00,24.00,147.00,9765.00,325.00,153.00,0.00,0.00,51.00,0.00
1960:Q4,33407.00,5212.00,20409.00,7786.00,0.00,33407.00,10708.00,24.00,0.00,45.00,0.00,11848.00,0.00,24.00,149.00,10045.00,346.00,168.00,0.00,0.00,50.00,0.00
1961:Q1,34121.00,5333.00,20291.00,8497.00,0.00,34121.00,10873.00,26.00,0.00,50.00,0.00,12158.00,0.00,26.00,153.00,10238.00,364.00,182.00,1.00,0.00,50.00,0.00
1961:Q2,35173.00,5458.00,20537.00,9178.00,0.00,35173.00,11148.00,28.00,0.00,53.00,0.00,12600.00,0.00,28.00,156.00,10526.00,381.00,197.00,3.00,0.00,53.00,0.00
1961:Q3,36085.00,5604.00,20712.00,9769.00,0.00,36085.00,11391.00,30.00,0.00,54.00,0.00,12990.00,0.00,30.00,157.00,10761.00,397.00,210.00,4.00,0.00,61.00,0.00
1961:Q4,37403.00,5747.00,21634.00,10022.00,0.00,37403.00,11827.00,33.00,0.00,56.00,0.00,13577.00,0.00,33.00,155.00,11007.00,416.00,224.00,4.00,0.00,71.00,0.00
1962:Q1,38374.00,5888.00,21932.00,10554.00,0.00,38374.00,11795.00,38.00,0.00,57.00,0.00,14281.00,0.00,38.00,154.00,11263.00,437.00,237.00,5.00,0.00,69.00,0.00
1962:Q2,39584.00,6054.00,22301.00,11229.00,0.00,39584.00,11882.00,44.00,0.00,58.00,0.00,15122.00,0.00,44.00,150.00,11491.00,460.00,249.00,6.00,0.00,78.00,0.00
1962:Q3,40733.00,6215.00,22741.00,11777.00,0.00,40733.00,11918.00,50.00,0.00,60.00,0.00,15874.00,0.00,50.00,144.00,11803.00,482.00,259.00,7.00,0.00,86.00,0.00
1962:Q4,42206.00,6343.00,23739.00,12124.00,0.00,42206.00,11976.00,54.00,0.00,62.00,0.00,16673.00,0.00,54.00,134.00,12380.00,505.00,272.00,8.00,0.00,88.00,0.00
1963:Q1,43148.00,6546.00,24083.00,12519.00,0.00,43148.00,11894.00,56.00,0.00,65.00,0.00,17344.00,0.00,56.00,131.00,12693.00,528.00,284.00,9.00,0.00,88.00,0.00
1963:Q2,44492.00,6653.00,24584.00,13255.00,0.00,44492.00,11884.00,56.00,0.00,67.00,0.00,18302.00,0.00,56.00,128.00,13048.00,549.00,295.00,10.00,0.00,97.00,0.00
1963:Q3,45835.00,6779.00,25147.00,13909.00,0.00,45835.00,11833.00,56.00,0.00,71.00,0.00,19222.00,0.00,56.00,126.00,13467.00,573.00,308.00,13.00,0.00,110.00,0.00
1963:Q4,47304.00,6939.00,26158.00,14207.00,0.00,47304.00,11790.00,60.00,0.00,75.00,0.00,20067.00,0.00,60.00,121.00,14078.00,600.00,322.00,15.00,0.00,116.00,0.00
1964:Q1,47831.00,7085.00,26658.00,14088.00,0.00,47831.00,11524.00,65.00,0.00,79.00,0.00,20669.00,0.00,65.00,120.00,14211.00,636.00,332.00,18.00,0.00,112.00,0.00
1964:Q2,48672.00,7241.00,27082.00,14349.00,0.00,48672.00,11304.00,72.00,0.00,83.00,0.00,21457.00,0.00,72.00,120.00,14405.00,675.00,342.00,21.00,0.00,121.00,0.00
1964:Q3,49848.00,7392.00,27826.00,14630.00,0.00,49848.00,11135.00,79.00,0.00,93.00,0.00,22488.00,0.00,79.00,120.00,14633.00,709.00,356.00,30.00,0.00,126.00,0.00
1964:Q4,51179.00,7544.00,29022.00,14613.00,0.00,51179.00,10981.00,84.00,0.00,101.00,0.00,23434.00,0.00,84.00,120.00,15087.00,747.00,373.00,41.00,0.00,127.00,0.00
1965:Q1,51982.00,7722.00,29685.00,14575.00,0.00,51982.00,10740.00,86.00,0.00,107.00,0.00,24049.00,0.00,86.00,124.00,15432.00,785.00,390.00,54.00,0.00,129.00,0.00
1965:Q2,53197.00,7909.00,30026.00,15262.00,0.00,53197.00,10523.00,86.00,0.00,111.00,0.00,25024.00,0.00,86.00,130.00,15768.00,856.00,410.00,68.00,0.00,135.00,0.00
1965:Q3,54413.00,8090.00,30478.00,15845.00,0.00,54413.00,10307.00,86.00,0.00,119.00,0.00,25944.00,0.00,86.00,137.00,16180.00,889.00,432.00,86.00,0.00,147.00,0.00
1965:Q4,55661.00,8262.00,31374.00,16025.00,0.00,55661.00,10093.00,88.00,0.00,127.00,0.00,26717.00,0.00,88.00,142.00,16790.00,913.00,454.00,104.00,0.00,145.00,0.00
1966:Q1,57017.00,8440.00,31877.00,16700.00,0.00,57017.00,10118.00,93.00,0.00,105.00,0.00,27521.00,0.00,93.00,140.00,17251.00,948.00,480.00,125.00,0.00,143.00,0.00
1966:Q2,58796.00,8620.00,32937.00,17239.00,0.00,58796.00,10303.00,100.00,0.00,120.00,0.00,28481.00,0.00,100.00,140.00,17777.00,976.00,510.00,147.00,0.00,142.00,0.00
1966:Q3,60317.00,8804.00,33844.00,17669.00,0.00,60317.00,10429.00,108.00,0.00,130.00,0.00,29200.00,0.00,108.00,140.00,18337.00,1013.00,540.00,170.00,0.00,142.00,0.00
1966:Q4,61468.00,8960.00,34689.00,17819.00,0.00,61468.00,10456.00,114.00,0.00,140.00,0.00,29692.00,0.00,114.00,143.00,18847.00,1071.00,566.00,194.00,0.00,131.00,0.00
1967:Q1,62233.00,9153.00,35218.00,17862.00,0.00,62233.00,10355.00,115.00,0.00,148.00,0.00,29999.00,0.00,115.00,171.00,19298.00,1095.00,588.00,219.00,0.00,130.00,0.00
1967:Q2,63577.00,9201.00,35497.00,18879.00,0.00,63577.00,10387.00,113.00,0.00,155.00,0.00,30846.00,0.00,113.00,176.00,19694.00,1094.00,611.00,245.00,0.00,143.00,0.00
1967:Q3,64924.00,9399.00,35701.00,19825.00,0.00,64924.00,10402.00,111.00,0.00,177.00,0.00,31744.00,0.00,111.00,181.00,20036.00,1118.00,622.00,274.00,0.00,148.00,0.00
1967:Q4,66249.00,11951.00,33930.00,20368.00,0.00,66249.00,10422.00,112.00,0.00,196.00,0.00,32552.00,0.00,112.00,185.00,20467.00,1125.00,632.00,301.00,0.00,145.00,0.00
1968:Q1,67543.00,9814.00,37249.00,20453.00,27.00,67543.00,10289.00,106.00,0.00,222.00,0.00,33398.00,0.00,106.00,188.00,20834.00,1130.00,652.00,327.00,0.00,140.00,151.00
1968:Q2,69114.00,9976.00,37378.00,21706.00,54.00,69114.00,10128.00,104.00,0.00,248.00,0.00,34544.00,0.00,104.00,190.00,21160.00,1122.00,669.00,352.00,0.00,150.00,343.00
1968:Q3,70927.00,10157.00,37841.00,22822.00,107.00,70927.00,10161.00,103.00,0.00,265.00,0.00,35695.00,0.00,103.00,192.00,21609.00,1130.00,674.00,368.00,0.00,157.00,470.00
1968:Q4,73019.00,10306.00,38775.00,23804.00,134.00,73019.00,9898.00,100.00,0.00,283.00,0.00,36960.00,0.00,100.00,193.00,22388.00,1132.00,692.00,383.00,0.00,170.00,720.00
1969:Q1,74367.00,10491.00,39519.00,24118.00,239.00,74367.00,10070.00,123.00,0.00,302.00,0.00,37652.00,0.00,123.00,195.00,22707.00,1136.00,700.00,397.00,0.00,169.00,793.00
1969:Q2,75792.00,10689.00,38990.00,25866.00,247.00,75792.00,9928.00,160.00,100.00,322.00,0.00,38448.00,0.00,160.00,196.00,23065.00,1133.00,709.00,411.00,0.00,184.00,976.00
1969:Q3,77271.00,10871.00,38699.00,27448.00,253.00,77271.00,9871.00,201.00,200.00,343.00,0.00,39235.00,0.00,201.00,197.00,23488.00,1150.00,713.00,428.00,0.00,179.00,1065.00
1969:Q4,79051.00,11020.00,39293.00,28450.00,288.00,79051.00,9756.00,236.00,300.00,365.00,0.00,39776.00,0.00,236.00,200.00,24370.00,1172.00,696.00,444.00,0.00,199.00,1301.00
1970:Q1,78950.00,11335.00,51390.00,15935.00,290.00,78950.00,9019.00,194.00,400.00,389.00,92.00,40082.00,0.00,194.00,208.00,24662.00,1178.00,714.00,459.00,0.00,135.00,1224.00
1970:Q2,81253.00,11521.00,52021.00,17411.00,300.00,81253.00,9781.00,202.00,500.00,411.00,117.00,40498.00,0.00,202.00,220.00,25145.00,1176.00,764.00,474.00,0.00,337.00,1426.00
1970:Q3,84057.00,11739.00,52988.00,18982.00,348.00,84057.00,10869.00,208.00,600.00,425.00,165.00,41280.00,0.00,208.00,233.00,25495.00,1203.00,806.00,486.00,0.00,440.00,1639.00
1970:Q4,86503.00,11907.00,54052.00,20178.00,366.00,86503.00,10838.00,214.00,700.00,439.00,187.00,42494.00,0.00,214.00,245.00,26018.00,1176.00,911.00,496.00,0.00,541.00,2030.00
1971:Q1,87700.00,12186.00,54948.00,20176.00,390.00,87700.00,10189.00,219.00,800.00,453.00,251.00,43401.00,0.00,219.00,245.00,26422.00,1178.00,908.00,507.00,0.00,661.00,2247.00
1971:Q2,90090.00,12116.00,55648.00,21913.00,413.00,90090.00,9647.00,199.00,900.00,465.00,300.00,45277.00,0.00,199.00,240.00,26847.00,1148.00,921.00,518.00,0.00,844.00,2585.00
1971:Q3,93327.00,12351.00,56286.00,24266.00,424.00,93327.00,9157.00,220.00,1000.00,501.00,397.00,47616.00,0.00,220.00,233.00,27497.00,1136.00,913.00,554.00,0.00,984.00,2899.00
1971:Q4,96983.00,12482.00,58057.00,25988.00,456.00,96983.00,8604.00,239.00,1100.00,539.00,413.00,49960.00,0.00,239.00,223.00,28503.00,1269.00,924.00,589.00,0.00,1141.00,3240.00
1972:Q1,100034.00,12696.00,60818.00,26032.00,488.00,100034.00,8567.00,237.00,1200.00,550.00,504.00,51987.00,0.00,237.00,215.00,28853.00,1276.00,949.00,506.00,0.00,1498.00,3455.00
1972:Q2,104306.00,12882.00,61725.00,29075.00,624.00,104306.00,8726.00,199.00,1300.00,544.00,593.00,54804.00,0.00,199.00,204.00,29353.00,1210.00,948.00,542.00,0.00,1771.00,3913.00
1972:Q3,108330.00,13096.00,63088.00,31447.00,699.00,108330.00,8841.00,271.00,1400.00,537.00,599.00,57598.00,0.00,271.00,193.00,30060.00,1155.00,988.00,582.00,0.00,1547.00,4288.00
1972:Q4,114168.00,13249.00,65492.00,34656.00,771.00,114168.00,9307.00,226.00,1500.00,320.00,664.00,60601.00,0.00,226.00,181.00,31608.00,1096.00,1070.00,867.00,0.00,1535.00,4967.00
1973:Q1,118253.00,13526.00,67475.00,36398.00,854.00,118253.00,8931.00,264.00,1567.00,314.00,752.00,63363.00,20.00,264.00,176.00,32307.00,1092.00,1178.00,867.00,0.00,1699.00,5459.00
1973:Q2,124008.00,13559.00,73412.00,36091.00,946.00,124008.00,9150.00,300.00,1626.00,263.00,783.00,66767.00,14.00,300.00,173.00,33363.00,1055.00,1335.00,970.00,0.00,1739.00,6170.00
1973:Q3,129035.00,13796.00,83765.00,30525.00,949.00,129035.00,8458.00,312.00,1665.00,331.00,816.00,69917.00,30.00,312.00,171.00,34651.00,1020.00,1393.00,950.00,0.00,1889.00,7120.00
1973:Q4,133706.00,13862.00,94595.00,24277.00,972.00,133706.00,8253.00,324.00,1688.00,218.00,857.00,72208.00,52.00,324.00,166.00,36496.00,1071.00,1544.00,1124.00,0.00,1905.00,7476.00
1974:Q1,137455.00,14154.00,96319.00,25965.00,1017.00,137455.00,8228.00,397.00,1764.00,272.00,925.00,74282.00,60.00,397.00,164.00,37397.00,1081.00,1622.00,1118.00,0.00,2018.00,7730.00
1974:Q2,142377.00,14185.00,96664.00,30505.00,1023.00,142377.00,8190.00,471.00,1830.00,419.00,977.00,77421.00,66.00,471.00,162.00,38579.00,1068.00,1733.00,1065.00,0.00,2226.00,7699.00
1974:Q3,145045.00,14432.00,93865.00,35706.00,1042.00,145045.00,7178.00,617.00,1869.00,1524.00,982.00,79205.00,82.00,617.00,161.00,39739.00,1057.00,1784.00,0.00,0.00,2362.00,7868.00
1974:Q4,148279.00,14474.00,93104.00,39642.00,1059.00,148279.00,7152.00,746.00,1888.00,1629.00,1198.00,80061.00,100.00,746.00,157.00,41256.00,1064.00,2013.00,0.00,0.00,2597.00,7672.00
1975:Q1,150411.00,14686.00,93178.00,41490.00,1057.00,150411.00,8016.00,813.00,1860.00,1700.00,1254.00,80755.00,215.00,807.00,151.00,42268.00,1107.00,2120.00,0.00,0.00,2542.00,6803.00
1975:Q2,153431.00,14703.00,93999.00,43691.00,1039.00,153431.00,8707.00,860.00,1836.00,1863.00,1254.00,82660.00,348.00,822.00,172.00,43265.00,1102.00,2236.00,0.00,0.00,2438.00,5868.00
1975:Q3,157058.00,14986.00,95509.00,45554.00,1010.00,157058.00,9601.00,944.00,1820.00,1946.00,1251.00,85457.00,286.00,874.00,191.00,44042.00,1123.00,2319.00,0.00,0.00,2539.00,4665.00
1975:Q4,161019.00,14997.00,96996.00,48014.00,1012.00,161019.00,10021.00,1035.00,1811.00,2138.00,1242.00,88282.00,185.00,928.00,221.00,45196.00,1166.00,2313.00,0.00,0.00,2677.00,3804.00
1976:Q1,163221.00,15185.00,96332.00,50651.00,1053.00,163221.00,9758.00,1353.00,1812.00,2218.00,1244.00,89854.00,165.00,902.00,221.00,45887.00,1166.00,2346.00,0.00,0.00,2795.00,3500.00
1976:Q2,166355.00,15356.00,98317.00,51548.00,1134.00,166355.00,9704.00,1351.00,1842.00,2255.00,1243.00,92226.00,162.00,875.00,245.00,46479.00,1158.00,2421.00,0.00,0.00,3203.00,3191.00
1976:Q3,170146.00,15497.00,100682.00,52762.00,1205.00,170146.00,9704.00,1327.00,1940.00,2424.00,1264.00,94994.00,128.00,855.00,244.00,47336.00,1158.00,2506.00,0.00,0.00,3391.00,2875.00
1976:Q4,174189.00,15558.00,102590.00,54701.00,1340.00,174189.00,9386.00,1329.00,2096.00,2512.00,1245.00,97521.00,89.00,838.00,273.00,48864.00,1228.00,2559.00,0.00,0.00,3697.00,2552.00
1977:Q1,177453.00,15708.00,103331.00,57087.00,1327.00,177453.00,9275.00,1336.00,2166.00,2634.00,1288.00,99504.00,91.00,804.00,327.00,49557.00,1270.00,2579.00,0.00,0.00,4243.00,2379.00
1977:Q2,180348.00,15943.00,105322.00,57818.00,1265.00,180348.00,8768.00,1352.00,2271.00,2806.00,1281.00,101510.00,102.00,770.00,368.00,50447.00,1359.00,2714.00,0.00,0.00,4393.00,2207.00
1977:Q3,185795.00,16093.00,109046.00,59429.00,1227.00,185795.00,8772.00,1492.00,2461.00,2966.00,1281.00,104926.00,81.00,860.00,395.00,51797.00,1336.00,2772.00,0.00,0.00,4622.00,2034.00
1977:Q4,193261.00,16318.00,114462.00,61268.00,1213.00,193261.00,8848.00,1612.00,2722.00,3094.00,1282.00,108960.00,55.00,930.00,384.00,54435.00,1334.00,2925.00,0.00,0.00,4819.00,1861.00
1978:Q1,197958.00,16583.00,117465.00,62902.00,1008.00,197958.00,8745.00,1473.00,2910.00,3746.00,1296.00,112104.00,67.00,770.00,375.00,55652.00,1328.00,2919.00,0.00,0.00,4742.00,1831.00
1978:Q2,203343.00,16910.00,121171.00,64157.00,1105.00,203343.00,8734.00,1347.00,3138.00,3405.00,1293.00,116469.00,86.00,594.00,365.00,57245.00,1377.00,2851.00,0.00,0.00,4641.00,1798.00
1978:Q3,208876.00,16892.00,123629.00,67144.00,1211.00,208876.00,8715.00,1397.00,3466.00,3620.00,1289.00,119549.00,96.00,594.00,366.00,59153.00,1376.00,2902.00,0.00,0.00,4605.00,1748.00
1978:Q4,214511.00,17153.00,124791.00,71254.00,1313.00,214511.00,8373.00,1422.00,3875.00,3661.00,1323.00,122051.00,103.00,594.00,391.00,62232.00,1379.00,3024.00,0.00,0.00,4350.00,1733.00
1979:Q1,219175.00,17231.00,127787.00,72806.00,1351.00,219175.00,8023.00,1473.00,4344.00,3943.00,1327.00,124336.00,119.00,595.00,448.00,63855.00,1401.00,3059.00,0.00,0.00,4532.00,1720.00
1979:Q2,225711.00,17267.00,127219.00,79882.00,1343.00,225711.00,7590.00,1528.00,4789.00,4111.00,1372.00,128383.00,136.00,600.00,428.00,65964.00,1375.00,3077.00,0.00,0.00,4652.00,1706.00
