1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,331739.00,2839.00,230733.00,4031.00,37866.00,56270.00,331739.00,320809.00,0.00,50208.00,232735.00,37866.00,7508.00,476.00,119.00,1967.00,62.00,0.00,4884.00,0.00,0.00,0.00,0.00,3422.00,331739.00,117912.00,89295.00,16134.00,0.00,8.00,12475.00,207907.00,24737.00,95997.00,728.00,343.00,117.00,10149.00,45513.00,8870.00,9273.00,8305.00,0.00,608.00,589.00,0.00,872.00,0.00,0.00,0.00,1738.00,0.00,68.00,5920.00
1954:Q3,336272.00,2915.00,234029.00,2699.00,39376.00,57253.00,336272.00,325525.00,0.00,51583.00,234566.00,39376.00,7423.00,492.00,123.00,2092.00,70.00,0.00,4646.00,0.00,0.00,0.00,0.00,3324.00,336272.00,118748.00,88373.00,17663.00,0.00,6.00,12706.00,211256.00,23946.00,98877.00,716.00,350.00,119.00,10415.00,45899.00,9203.00,9281.00,8606.00,0.00,648.00,603.00,0.00,896.00,0.00,0.00,0.00,1626.00,0.00,71.00,6268.00
1954:Q4,343474.00,2904.00,237857.00,4480.00,40663.00,57570.00,343474.00,332936.00,0.00,52078.00,240195.00,40663.00,7274.00,706.00,176.00,2064.00,78.00,0.00,4250.00,0.00,0.00,0.00,0.00,3264.00,343474.00,119824.00,88122.00,18786.00,0.00,1.00,12915.00,217220.00,24888.00,102372.00,798.00,350.00,121.00,10685.00,46294.00,9589.00,9359.00,8912.00,0.00,671.00,620.00,0.00,849.00,0.00,0.00,0.00,1635.00,0.00,77.00,6430.00
1955:Q1,341555.00,3112.00,233485.00,4726.00,42155.00,58077.00,341555.00,330790.00,0.00,52555.00,236080.00,42155.00,7595.00,652.00,163.00,2045.00,86.00,0.00,4649.00,0.00,0.00,0.00,0.00,3170.00,341555.00,122487.00,90275.00,19039.00,0.00,7.00,13166.00,212639.00,23505.00,98215.00,781.00,349.00,124.00,10764.00,46861.00,9964.00,9347.00,9188.00,0.00,677.00,638.00,0.00,982.00,0.00,0.00,0.00,1150.00,0.00,94.00,6429.00
1955:Q2,341869.00,3047.00,232883.00,4006.00,43267.00,58666.00,341869.00,330859.00,0.00,53159.00,234433.00,43267.00,7898.00,530.00,132.00,2361.00,95.00,0.00,4780.00,0.00,0.00,0.00,0.00,3112.00,341869.00,123749.00,91875.00,18399.00,0.00,8.00,13467.00,211709.00,23423.00,95846.00,876.00,344.00,128.00,10909.00,47167.00,10326.00,9702.00,9459.00,0.00,728.00,659.00,0.00,869.00,0.00,0.00,0.00,1182.00,0.00,91.00,6411.00
1955:Q3,345916.00,3020.00,235344.00,3615.00,44668.00,59269.00,345916.00,334544.00,0.00,53624.00,236252.00,44668.00,8300.00,542.00,136.00,2602.00,105.00,0.00,4915.00,0.00,0.00,0.00,0.00,3072.00,345916.00,128044.00,93957.00,20323.00,0.00,4.00,13760.00,211261.00,23421.00,93934.00,903.00,339.00,132.00,11202.00,47656.00,10628.00,9975.00,9788.00,0.00,795.00,680.00,0.00,637.00,0.00,0.00,0.00,1067.00,0.00,104.00,6611.00
1955:Q4,352435.00,2749.00,238466.00,4732.00,45697.00,60791.00,352435.00,340700.00,0.00,54926.00,240077.00,45697.00,8664.00,518.00,130.00,3005.00,116.00,0.00,4895.00,0.00,0.00,0.00,0.00,3071.00,352435.00,132079.00,94951.00,23017.00,0.00,20.00,14091.00,213680.00,24415.00,93747.00,963.00,336.00,136.00,11377.00,47741.00,10844.00,10048.00,10139.00,0.00,820.00,700.00,0.00,936.00,0.00,0.00,0.00,1387.00,0.00,91.00,6676.00
1956:Q1,351166.00,3326.00,234182.00,4855.00,46932.00,61871.00,351166.00,338079.00,0.00,55348.00,235799.00,46932.00,9926.00,534.00,133.00,3111.00,127.00,0.00,6021.00,0.00,0.00,0.00,0.00,3161.00,351166.00,132954.00,97763.00,20868.00,0.00,15.00,14308.00,211097.00,23318.00,91068.00,894.00,339.00,140.00,11419.00,48058.00,11088.00,10061.00,10594.00,0.00,916.00,720.00,0.00,1256.00,0.00,0.00,0.00,1091.00,0.00,135.00,7115.00
1956:Q2,348020.00,3221.00,229199.00,4605.00,47853.00,63142.00,348020.00,334438.00,0.00,56235.00,230350.00,47853.00,10340.00,553.00,138.00,3316.00,138.00,0.00,6195.00,0.00,0.00,0.00,0.00,3242.00,348020.00,131225.00,98874.00,17675.00,0.00,14.00,14662.00,209595.00,23475.00,88401.00,888.00,346.00,144.00,11461.00,48330.00,11388.00,10377.00,10840.00,0.00,826.00,739.00,0.00,1267.00,0.00,0.00,0.00,1015.00,0.00,98.00,7200.00
1956:Q3,352211.00,3401.00,230632.00,4619.00,49038.00,64521.00,352211.00,338001.00,0.00,57414.00,231549.00,49038.00,10894.00,650.00,163.00,3559.00,143.00,0.00,6379.00,0.00,0.00,0.00,0.00,3316.00,352211.00,133026.00,100441.00,17616.00,0.00,6.00,14963.00,211619.00,23310.00,88728.00,866.00,354.00,148.00,11612.00,48852.00,11781.00,10918.00,11073.00,0.00,1025.00,758.00,0.00,1257.00,0.00,0.00,0.00,817.00,0.00,120.00,7566.00
