1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,38402.00,7271.00,5242.00,0.00,556.00,18071.00,0.00,13790.00,1474.00,2807.00,0.00,1783.00,0.00,0.00,4413.00,564.00,502.00,116039.00,75018.00,3875.00,71143.00,1441.00,8237.00,31343.00
1961:Q4,39377.00,8161.00,5465.00,0.00,-55.00,18285.00,0.00,14002.00,1520.00,2763.00,0.00,1849.00,0.00,0.00,4521.00,643.00,508.00,118445.00,76349.00,3693.00,72656.00,1466.00,8496.00,32134.00
1962:Q1,39901.00,7977.00,6087.00,0.00,41.00,18222.00,0.00,13976.00,1534.00,2712.00,0.00,1914.00,0.00,0.00,4529.00,616.00,515.00,118561.00,78037.00,3901.00,74136.00,1551.00,8754.00,30219.00
1962:Q2,40712.00,8189.00,6341.00,0.00,0.00,18516.00,0.00,14220.00,1617.00,2679.00,0.00,1979.00,0.00,0.00,4587.00,639.00,461.00,118692.00,79203.00,3735.00,75468.00,1712.00,9012.00,28765.00
1962:Q3,41678.00,7841.00,6115.00,0.00,912.00,18931.00,0.00,14581.00,1708.00,2642.00,0.00,2042.00,0.00,0.00,4766.00,651.00,420.00,118659.00,80552.00,3680.00,76872.00,1764.00,9276.00,27067.00
1962:Q4,42731.00,8223.00,6450.00,0.00,466.00,19597.00,0.00,15157.00,1867.00,2573.00,0.00,2100.00,0.00,0.00,4844.00,670.00,381.00,118767.00,81800.00,3682.00,78118.00,1970.00,9543.00,25454.00
1963:Q1,43658.00,8097.00,7309.00,0.00,-1.00,20170.00,0.00,16107.00,1570.00,2493.00,0.00,2154.00,0.00,0.00,4879.00,645.00,405.00,120755.00,82976.00,3508.00,79468.00,2031.00,9820.00,25928.00
1963:Q2,44401.00,8263.00,7466.00,0.00,0.00,20457.00,0.00,16398.00,1625.00,2434.00,0.00,2202.00,0.00,0.00,4950.00,683.00,380.00,123106.00,84724.00,3946.00,80778.00,2052.00,10099.00,26231.00
1963:Q3,45326.00,7636.00,7458.00,0.00,1004.00,20802.00,0.00,16966.00,1450.00,2386.00,0.00,2249.00,0.00,0.00,5100.00,700.00,377.00,125175.00,85899.00,4005.00,81894.00,2154.00,10389.00,26733.00
1963:Q4,46232.00,9153.00,8093.00,0.00,-745.00,21050.00,0.00,16314.00,2402.00,2334.00,0.00,2297.00,0.00,0.00,5308.00,748.00,328.00,127204.00,87040.00,4128.00,82912.00,2203.00,10685.00,27276.00
1964:Q1,46646.00,9503.00,8361.00,0.00,-943.00,21067.00,0.00,16504.00,2282.00,2281.00,0.00,2353.00,0.00,0.00,5241.00,778.00,286.00,128974.00,88177.00,4162.00,84015.00,2199.00,10986.00,27612.00
1964:Q2,47512.00,8666.00,8680.00,0.00,0.00,21265.00,0.00,16446.00,2576.00,2243.00,0.00,2413.00,0.00,0.00,5350.00,859.00,279.00,131512.00,89948.00,4695.00,85253.00,2274.00,11298.00,27992.00
1964:Q3,48784.00,8649.00,8887.00,0.00,344.00,21766.00,0.00,16793.00,2748.00,2225.00,0.00,2471.00,0.00,0.00,5554.00,820.00,293.00,134392.00,91760.00,5092.00,86668.00,2372.00,11614.00,28646.00
1964:Q4,50424.00,10417.00,9812.00,0.00,-1758.00,22488.00,0.00,17333.00,2932.00,2223.00,0.00,2524.00,0.00,0.00,5840.00,792.00,309.00,137032.00,93160.00,4889.00,88271.00,2464.00,11933.00,29475.00
1965:Q1,51409.00,9506.00,10450.00,0.00,-848.00,22816.00,0.00,17597.00,2998.00,2221.00,0.00,2574.00,0.00,0.00,5903.00,738.00,270.00,139388.00,94661.00,4689.00,89972.00,2523.00,12258.00,29946.00
1965:Q2,52881.00,9214.00,10573.00,0.00,0.00,23272.00,0.00,17987.00,3078.00,2207.00,0.00,2622.00,0.00,0.00,6070.00,848.00,282.00,142849.00,96858.00,5309.00,91549.00,2655.00,12596.00,30740.00
1965:Q3,54621.00,8931.00,11049.00,0.00,539.00,23988.00,0.00,18760.00,3039.00,2189.00,0.00,2667.00,0.00,0.00,6291.00,837.00,319.00,146118.00,98905.00,5712.00,93193.00,2719.00,12951.00,31543.00
1965:Q4,56595.00,9834.00,12186.00,0.00,-708.00,24791.00,0.00,19524.00,3100.00,2167.00,0.00,2713.00,0.00,0.00,6603.00,869.00,307.00,148939.00,100397.00,5507.00,94890.00,2777.00,13314.00,32451.00
1966:Q1,57766.00,10148.00,12244.00,0.00,-265.00,25074.00,0.00,19835.00,3098.00,2141.00,0.00,2758.00,0.00,0.00,6616.00,882.00,309.00,151598.00,101842.00,5275.00,96567.00,2823.00,13684.00,33249.00
1966:Q2,59111.00,10290.00,12634.00,0.00,0.00,25328.00,0.00,20346.00,2863.00,2119.00,0.00,2805.00,0.00,0.00,6750.00,930.00,374.00,155476.00,104141.00,6051.00,98090.00,2910.00,14062.00,34363.00
1966:Q3,59740.00,9265.00,12761.00,0.00,1708.00,24967.00,0.00,20248.00,2607.00,2112.00,0.00,2848.00,0.00,0.00,6975.00,839.00,377.00,158547.00,105524.00,6236.00,99288.00,3207.00,14447.00,35369.00
1966:Q4,60631.00,10323.00,13462.00,0.00,805.00,24583.00,0.00,20097.00,2361.00,2125.00,0.00,2888.00,0.00,0.00,7244.00,874.00,452.00,161229.00,106633.00,6168.00,100465.00,3404.00,14849.00,36343.00
