1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,7927.00,-304.00,-304.00,0.00,0.00,0.00,8231.00,7927.00,7927.00,0.00
1973:Q4,7979.00,306.00,306.00,0.00,0.00,0.00,7673.00,7979.00,7979.00,0.00
1974:Q1,7846.00,-386.00,-386.00,0.00,0.00,0.00,8232.00,7846.00,7846.00,0.00
1974:Q2,7964.00,3799.00,3799.00,0.00,0.00,0.00,4165.00,7964.00,7964.00,0.00
1974:Q3,8077.00,-786.00,-786.00,0.00,0.00,0.00,8863.00,8077.00,8077.00,0.00
1974:Q4,8100.00,112.00,112.00,0.00,0.00,0.00,7988.00,8100.00,8100.00,0.00
1975:Q1,7946.00,-409.00,-409.00,0.00,0.00,0.00,8355.00,7946.00,7946.00,0.00
1975:Q2,8063.00,5096.00,5096.00,0.00,0.00,0.00,2967.00,8063.00,8063.00,0.00
1975:Q3,8191.00,-1081.00,-1081.00,0.00,0.00,0.00,9272.00,8191.00,8191.00,0.00
1975:Q4,8244.00,99.00,99.00,0.00,0.00,0.00,8145.00,8244.00,8244.00,0.00
1976:Q1,8217.00,-738.00,-738.00,0.00,0.00,0.00,8955.00,8217.00,8217.00,0.00
1976:Q2,8288.00,6358.00,6358.00,0.00,0.00,0.00,1930.00,8288.00,8288.00,0.00
1976:Q3,8461.00,-1369.00,-1369.00,0.00,0.00,0.00,9830.00,8461.00,8461.00,0.00
1976:Q4,8565.00,345.00,345.00,0.00,0.00,0.00,8220.00,8565.00,8565.00,0.00
1977:Q1,8527.00,-1191.00,-1191.00,0.00,0.00,0.00,9718.00,8527.00,8527.00,0.00
1977:Q2,8846.00,1462.00,1462.00,0.00,0.00,0.00,7384.00,8846.00,8846.00,0.00
1977:Q3,9273.00,6174.00,6174.00,0.00,0.00,0.00,3099.00,9273.00,9273.00,0.00
1977:Q4,9687.00,130.00,130.00,0.00,0.00,0.00,9557.00,9687.00,9687.00,0.00
1978:Q1,9893.00,-1266.00,-1266.00,0.00,0.00,0.00,11159.00,9893.00,9893.00,0.00
1978:Q2,10374.00,1459.00,1459.00,0.00,0.00,0.00,8915.00,10374.00,10374.00,0.00
1978:Q3,10753.00,6228.00,6228.00,0.00,0.00,0.00,4525.00,10753.00,10753.00,0.00
1978:Q4,10892.00,606.00,606.00,0.00,0.00,0.00,10286.00,10892.00,10892.00,0.00
1979:Q1,10708.00,-1708.00,-1708.00,0.00,0.00,0.00,12416.00,10708.00,10708.00,0.00
1979:Q2,10843.00,1495.00,1495.00,0.00,0.00,0.00,9348.00,10843.00,10843.00,0.00
1979:Q3,10984.00,7561.00,7561.00,0.00,0.00,0.00,3423.00,10984.00,10984.00,0.00
1979:Q4,11034.00,652.00,652.00,0.00,0.00,0.00,10382.00,11034.00,11034.00,0.00
1980:Q1,10985.00,-2098.00,-2098.00,0.00,0.00,0.00,13083.00,10985.00,10985.00,0.00
1980:Q2,11073.00,1197.00,1197.00,0.00,0.00,0.00,9876.00,11073.00,11073.00,0.00
1980:Q3,11296.00,9566.00,9566.00,0.00,0.00,0.00,1730.00,11296.00,11296.00,0.00
1980:Q4,11408.00,259.00,259.00,0.00,0.00,0.00,11149.00,11408.00,11408.00,0.00
1981:Q1,11283.00,-2744.00,-2744.00,0.00,0.00,0.00,14027.00,11283.00,11283.00,0.00
1981:Q2,11550.00,1214.00,1214.00,0.00,0.00,0.00,10336.00,11550.00,11550.00,0.00
1981:Q3,11844.00,11242.00,11242.00,0.00,0.00,0.00,602.00,11844.00,11844.00,0.00
1981:Q4,12024.00,284.00,284.00,0.00,0.00,0.00,11740.00,12024.00,12024.00,0.00
1982:Q1,11927.00,-2866.00,-2866.00,0.00,0.00,0.00,14793.00,11927.00,11927.00,0.00
1982:Q2,12189.00,2032.00,2032.00,0.00,0.00,0.00,10157.00,12189.00,12189.00,0.00
1982:Q3,12399.00,12171.00,12171.00,0.00,0.00,0.00,228.00,12399.00,12399.00,0.00
1982:Q4,12438.00,729.00,729.00,0.00,0.00,0.00,11709.00,12438.00,12438.00,0.00
1983:Q1,12225.00,-2871.00,-2871.00,0.00,0.00,0.00,15096.00,12225.00,12225.00,0.00
1983:Q2,12501.00,2361.00,2361.00,0.00,0.00,0.00,10140.00,12501.00,12501.00,0.00
1983:Q3,12920.00,12765.00,12765.00,0.00,0.00,0.00,155.00,12920.00,12920.00,0.00
1983:Q4,13331.00,2287.00,2287.00,0.00,0.00,0.00,11044.00,13331.00,13331.00,0.00
1984:Q1,13635.00,-2147.00,-2147.00,0.00,0.00,0.00,15782.00,13635.00,13635.00,0.00
1984:Q2,14036.00,3907.00,3907.00,0.00,0.00,0.00,10129.00,14036.00,14036.00,0.00
1984:Q3,14468.00,13417.00,13417.00,0.00,0.00,0.00,1051.00,14468.00,14468.00,0.00
1984:Q4,14613.00,3298.00,3298.00,0.00,0.00,0.00,11315.00,14613.00,14613.00,0.00
1985:Q1,14377.00,8601.00,8601.00,0.00,0.00,0.00,5776.00,14377.00,14377.00,0.00
1985:Q2,14640.00,3976.00,3976.00,0.00,0.00,0.00,10664.00,14640.00,14640.00,0.00
1985:Q3,15001.00,13902.00,13902.00,0.00,0.00,0.00,1099.00,15001.00,15001.00,0.00
1985:Q4,15295.00,13389.00,13389.00,0.00,0.00,0.00,1906.00,15295.00,15295.00,0.00
1986:Q1,15251.00,-2428.00,-2428.00,0.00,0.00,0.00,17679.00,15251.00,15251.00,0.00
1986:Q2,15626.00,5467.00,5467.00,0.00,0.00,0.00,10159.00,15626.00,15626.00,0.00
1986:Q3,15836.00,11472.00,11472.00,0.00,0.00,0.00,4364.00,15836.00,15836.00,0.00
1986:Q4,15702.00,15041.00,15041.00,0.00,0.00,0.00,661.00,15702.00,15702.00,0.00
1987:Q1,15152.00,-3099.00,-3099.00,0.00,0.00,0.00,18251.00,15152.00,15152.00,0.00
1987:Q2,15518.00,6051.00,6051.00,0.00,0.00,0.00,9467.00,15518.00,15128.00,390.00
1987:Q3,15546.00,13934.00,13934.00,0.00,0.00,0.00,1612.00,15546.00,15209.00,337.00
1987:Q4,15622.00,14468.00,14468.00,0.00,0.00,0.00,1154.00,15622.00,15263.00,359.00
1988:Q1,15596.00,-3642.00,-3642.00,0.00,0.00,0.00,19238.00,15596.00,15247.00,349.00
1988:Q2,15858.00,7381.00,7381.00,0.00,0.00,0.00,8477.00,15858.00,15447.00,411.00
1988:Q3,16255.00,13689.00,13686.00,0.00,3.00,5.00,2561.00,16255.00,15825.00,430.00
1988:Q4,16480.00,17001.00,17000.00,0.00,1.00,2.00,-523.00,16480.00,16014.00,466.00
1989:Q1,16322.00,-4063.00,-4066.00,0.00,3.00,11.00,20374.00,16322.00,15820.00,502.00
1989:Q2,16661.00,8552.00,8549.00,0.00,3.00,9.00,8100.00,16661.00,16114.00,547.00
1989:Q3,16901.00,13507.00,13504.00,0.00,3.00,12.00,3382.00,16901.00,16371.00,530.00
1989:Q4,17020.00,18699.00,18694.00,0.00,5.00,13.00,-1692.00,17020.00,16416.00,604.00
1990:Q1,16704.00,-4667.00,-4676.00,0.00,9.00,34.00,21337.00,16704.00,16088.00,616.00
1990:Q2,17017.00,7716.00,7706.00,0.00,10.00,34.00,9267.00,17017.00,16304.00,713.00
1990:Q3,17244.00,14329.00,14320.00,0.00,9.00,39.00,2876.00,17244.00,16549.00,695.00
1990:Q4,17619.00,18676.00,18630.00,0.00,46.00,181.00,-1238.00,17619.00,16655.00,964.00
1991:Q1,17106.00,-5402.00,-5427.00,0.00,25.00,66.00,22442.00,17106.00,16432.00,674.00
1991:Q2,17561.00,10116.00,10103.00,0.00,13.00,25.00,7420.00,17561.00,16790.00,771.00
1991:Q3,17952.00,15234.00,15202.00,20.00,12.00,165.00,2553.00,17952.00,17186.00,766.00
1991:Q4,18434.00,21175.00,21135.00,25.00,15.00,219.00,-2960.00,18434.00,17405.00,1029.00
1992:Q1,18316.00,-5756.00,-5812.00,35.00,21.00,371.00,23701.00,18316.00,17387.00,929.00
1992:Q2,18569.00,10511.00,10467.00,27.00,17.00,285.00,7773.00,18569.00,17462.00,1107.00
1992:Q3,18593.00,16283.00,16217.00,41.00,25.00,250.00,2060.00,18593.00,17588.00,1005.00
1992:Q4,18613.00,21798.00,21742.00,35.00,21.00,306.00,-3491.00,18613.00,17393.00,1220.00
1993:Q1,17850.00,-7290.00,-7345.00,34.00,21.00,399.00,24741.00,17850.00,16775.00,1075.00
1993:Q2,17968.00,10436.00,10354.00,51.00,31.00,345.00,7187.00,17968.00,16750.00,1218.00
1993:Q3,18052.00,15680.00,15577.00,64.00,39.00,396.00,1976.00,18052.00,16823.00,1229.00
1993:Q4,18184.00,21458.00,21382.00,48.00,28.00,526.00,-3800.00,18184.00,16834.00,1350.00
1994:Q1,17740.00,-7311.00,-7403.00,58.00,34.00,588.00,24463.00,17740.00,16547.00,1193.00
1994:Q2,17983.00,10212.00,10187.00,16.00,9.00,371.00,7400.00,17983.00,16825.00,1158.00
1994:Q3,18610.00,15654.00,15624.00,19.00,11.00,397.00,2559.00,18610.00,17069.00,1541.00
1994:Q4,18337.00,22543.00,22547.00,-3.00,-1.00,346.00,-4552.00,18337.00,17071.00,1266.00
1995:Q1,18382.00,-7269.00,-7294.00,16.00,9.00,376.00,25275.00,18382.00,16661.00,1721.00
1995:Q2,18308.00,10915.00,10873.00,27.00,15.00,634.00,6759.00,18308.00,16785.00,1523.00
1995:Q3,18303.00,15366.00,15316.00,32.00,18.00,734.00,2203.00,18303.00,16902.00,1401.00
1995:Q4,18341.00,-3586.00,-3658.00,44.00,28.00,891.00,21036.00,18341.00,16843.00,1498.00
1996:Q1,18279.00,14057.00,13975.00,50.00,32.00,1032.00,3190.00,18279.00,16616.00,1663.00
1996:Q2,18514.00,12476.00,12470.00,4.00,2.00,1243.00,4795.00,18514.00,16595.00,1919.00
1996:Q3,18135.00,13594.00,13548.00,28.00,18.00,894.00,3647.00,18135.00,16785.00,1350.00
1996:Q4,18652.00,26400.00,26387.00,8.00,5.00,1033.00,-8781.00,18652.00,16823.00,1829.00
1997:Q1,17684.00,-9615.00,-9625.00,6.00,4.00,926.00,26373.00,17684.00,16518.00,1166.00
1997:Q2,18699.00,10330.00,10315.00,9.00,6.00,1090.00,7279.00,18699.00,16782.00,1917.00
1997:Q3,18236.00,15526.00,15500.00,16.00,10.00,1210.00,1500.00,18236.00,17062.00,1174.00
1997:Q4,19225.00,25968.00,25905.00,39.00,24.00,1178.00,-7921.00,19225.00,17170.00,2055.00
1998:Q1,18248.00,-10914.00,-10979.00,40.00,25.00,1027.00,28135.00,18248.00,16911.00,1337.00
1998:Q2,19219.00,11624.00,11584.00,25.00,15.00,1436.00,6159.00,19219.00,17222.00,1997.00
1998:Q3,18238.00,14992.00,14884.00,67.00,41.00,446.00,2800.00,18238.00,17544.00,694.00
1998:Q4,20362.00,28250.00,28120.00,78.00,52.00,1069.00,-8957.00,20362.00,17678.00,2684.00
1999:Q1,18498.00,-10339.00,-10384.00,27.00,18.00,1064.00,27773.00,18498.00,17416.00,1082.00
1999:Q2,20013.00,11197.00,11182.00,9.00,6.00,1282.00,7534.00,20013.00,17716.00,2297.00
1999:Q3,19439.00,15249.00,15273.00,-14.00,-10.00,929.00,3261.00,19439.00,17993.00,1446.00
