1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q1,1504049.00,826307.00,162295.00,7440.00,2895.00,215746.00,19079.00,5913.00,3400.00,0.00,48951.00,22347.00,99917.00,2313.00,-64910.00,21007.00,131349.00,1969133.00,1416419.00,45706.00,13236.00,9151.00,5397.00,147341.00,23035.00,3363.00,6993.00,0.00,67915.00,139777.00,6609.00,8570.00,9202.00,0.00,29357.00,-3647.00,4357.00,22374.00,13978.00,-465084.00
1990:Q2,1499004.00,815737.00,161474.00,7693.00,2685.00,200789.00,19207.00,6266.00,3600.00,0.00,47215.00,24319.00,112951.00,1584.00,-62260.00,19058.00,138686.00,1938428.00,1377258.00,45526.00,31632.00,10301.00,4951.00,141467.00,21958.00,4215.00,8701.00,0.00,67848.00,130704.00,7829.00,11019.00,9706.00,0.00,32687.00,-3063.00,3569.00,18846.00,13274.00,-439424.00
1990:Q3,1440461.00,753418.00,160653.00,7437.00,2865.00,203111.00,22662.00,6561.00,3800.00,0.00,44299.00,19232.00,120472.00,2292.00,-53958.00,27460.00,120157.00,1950890.00,1373879.00,45971.00,35476.00,8868.00,5693.00,149279.00,25490.00,4223.00,9207.00,0.00,66446.00,129935.00,7625.00,5792.00,9634.00,0.00,31220.00,-6034.00,3061.00,22872.00,22253.00,-510429.00
1990:Q4,1408383.00,771191.00,159833.00,7688.00,1756.00,183831.00,21932.00,6487.00,3900.00,0.00,39945.00,24898.00,120125.00,1202.00,-52341.00,25228.00,92708.00,1988074.00,1413627.00,46790.00,47127.00,10299.00,6046.00,144992.00,25176.00,4192.00,8173.00,0.00,66449.00,113974.00,7831.00,4240.00,9980.00,0.00,32941.00,-2589.00,4270.00,23120.00,21436.00,-579691.00
1991:Q1,1557215.00,892238.00,159681.00,7421.00,1363.00,179487.00,25912.00,6272.00,3800.00,0.00,62168.00,25757.00,130213.00,1171.00,-53739.00,20684.00,94787.00,2059448.00,1479477.00,48270.00,40251.00,11104.00,5318.00,147771.00,30047.00,4100.00,10154.00,0.00,79739.00,111103.00,3910.00,4920.00,8525.00,0.00,32294.00,-6454.00,4273.00,24234.00,20412.00,-502233.00
1991:Q2,1538701.00,883896.00,160029.00,7675.00,1289.00,172805.00,23461.00,5782.00,3900.00,0.00,63922.00,27727.00,128430.00,1777.00,-51217.00,19947.00,89278.00,2051383.00,1459836.00,49876.00,46621.00,11373.00,5044.00,136777.00,26644.00,3937.00,13611.00,0.00,77457.00,118879.00,4763.00,6688.00,8654.00,0.00,31129.00,-1792.00,4293.00,26144.00,21449.00,-512682.00
1991:Q3,1608846.00,970431.00,162377.00,6705.00,1560.00,165616.00,25741.00,5237.00,4800.00,0.00,61818.00,31464.00,132384.00,1745.00,-52720.00,20042.00,71646.00,2081417.00,1457474.00,49606.00,79118.00,9941.00,5136.00,128027.00,31008.00,3762.00,15452.00,0.00,83939.00,117194.00,5032.00,5864.00,8634.00,0.00,32173.00,1710.00,3775.00,23080.00,20492.00,-472571.00
1991:Q4,1628367.00,996172.00,163475.00,6959.00,1187.00,167876.00,26486.00,4863.00,4500.00,0.00,45748.00,31843.00,140124.00,2851.00,-55793.00,19769.00,72307.00,2106822.00,1465203.00,50962.00,80712.00,13922.00,5572.00,131063.00,30186.00,3669.00,12759.00,0.00,82759.00,111918.00,4621.00,7855.00,10305.00,0.00,39208.00,6010.00,5411.00,22603.00,22084.00,-478455.00
1992:Q1,1833474.00,1160020.00,166934.00,6669.00,745.00,171725.00,25502.00,5270.00,4000.00,0.00,51947.00,40256.00,150490.00,247.00,-58038.00,20499.00,87208.00,2198613.00,1571271.00,51964.00,88089.00,10133.00,5093.00,126971.00,30775.00,3649.00,16924.00,0.00,81237.00,99695.00,4738.00,7871.00,23953.00,0.00,31073.00,-1436.00,6400.00,18980.00,21233.00,-365139.00
1992:Q2,1813608.00,1136657.00,170393.00,6924.00,-131.00,175329.00,26416.00,5359.00,4400.00,0.00,53884.00,36638.00,139991.00,1147.00,-55390.00,19642.00,92349.00,2141741.00,1493829.00,53092.00,96210.00,11680.00,5154.00,130751.00,31162.00,3366.00,16657.00,0.00,81778.00,103190.00,4741.00,10487.00,28117.00,0.00,32356.00,-5209.00,6028.00,15539.00,22813.00,-328133.00
1992:Q3,1810318.00,1130942.00,172602.00,6631.00,-40.00,177931.00,31293.00,5357.00,4989.00,0.00,56653.00,40129.00,143982.00,1041.00,-62212.00,23729.00,77291.00,2154477.00,1479217.00,55344.00,97334.00,8690.00,7047.00,126395.00,36975.00,3127.00,17600.00,0.00,82957.00,101622.00,4037.00,11428.00,38513.00,0.00,33069.00,-3522.00,6433.00,23542.00,24669.00,-344159.00
1992:Q4,1833619.00,1157230.00,177312.00,6884.00,367.00,173957.00,27443.00,5479.00,4554.00,0.00,47397.00,45391.00,150639.00,2424.00,-60746.00,23645.00,71643.00,2174550.00,1534213.00,56971.00,94599.00,10641.00,7351.00,121967.00,33403.00,2992.00,16465.00,0.00,79576.00,98822.00,4544.00,12896.00,29522.00,0.00,26901.00,-4440.00,3134.00,21458.00,23535.00,-340931.00
1993:Q1,1884821.00,1248141.00,178576.00,6791.00,817.00,181064.00,28365.00,5633.00,4755.00,0.00,52596.00,34613.00,142645.00,646.00,-71405.00,23516.00,48068.00,2250137.00,1600954.00,59779.00,93591.00,3273.00,7690.00,117711.00,35096.00,2849.00,18656.00,0.00,80573.00,98733.00,4637.00,15239.00,30923.00,0.00,29477.00,1914.00,2248.00,23168.00,23626.00,-365316.00
