date,FL713014003.Q,FL713014003.Q,FL313112003.Q,FL713012003.Q,FL903012005.Q
1945:Q4,0.00,0.00,2310.00,4183.00,-1873.00
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,2436.00,4406.00,-1970.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,2408.00,4406.00,-1998.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,2403.00,4433.00,-2030.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,2384.00,4442.00,-2058.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,2374.00,4480.00,-2106.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
2000:Q4,2200.00,2200.00,23180.00,31643.00,-8463.00
2001:Q1,2200.00,2200.00,23578.00,32271.00,-8693.00
2001:Q2,2200.00,2200.00,23904.00,32670.00,-8766.00
2001:Q3,2200.00,2200.00,24462.00,32957.00,-8495.00
2001:Q4,2200.00,2200.00,24462.00,33017.00,-8555.00
2002:Q1,2200.00,2200.00,24696.00,33630.00,-8934.00
2002:Q2,2200.00,2200.00,24846.00,33995.00,-9149.00
2002:Q3,2200.00,2200.00,25450.00,34315.00,-8865.00
2002:Q4,2200.00,2200.00,25450.00,34597.00,-9147.00
2003:Q1,2200.00,2200.00,25591.00,34798.00,-9207.00
2003:Q2,2200.00,2200.00,25992.00,35065.00,-9073.00
2003:Q3,2200.00,2200.00,26015.00,35273.00,-9258.00
2003:Q4,2200.00,2200.00,26014.00,35468.00,-9454.00
2004:Q1,2200.00,2200.00,26210.00,35761.00,-9551.00
2004:Q2,2200.00,2200.00,26499.00,36039.00,-9540.00
2004:Q3,2200.00,2200.00,26673.00,36279.00,-9606.00
2004:Q4,2200.00,2200.00,26703.00,36434.00,-9731.00
2005:Q1,2200.00,2200.00,26902.00,36545.00,-9643.00
2005:Q2,2200.00,2200.00,27172.00,36615.00,-9443.00
2005:Q3,2200.00,2200.00,27401.00,36429.00,-9028.00
2005:Q4,2200.00,2200.00,27482.00,36540.00,-9058.00
2006:Q1,2200.00,2200.00,27626.00,37879.00,-10253.00
2006:Q2,2200.00,2200.00,27815.00,37990.00,-10175.00
2006:Q3,2200.00,2200.00,28065.00,38084.00,-10019.00
2006:Q4,2200.00,2200.00,28064.00,38206.00,-10142.00
2007:Q1,2200.00,2200.00,28166.00,38371.00,-10205.00
2007:Q2,2200.00,2200.00,27835.00,38521.00,-10686.00
2007:Q3,2200.00,2200.00,27484.00,38639.00,-11155.00
2007:Q4,2200.00,2200.00,27383.00,38681.00,-11298.00
2008:Q1,2200.00,2200.00,27156.00,38679.00,-11523.00
2008:Q2,2200.00,2200.00,27039.00,38677.00,-11638.00
2008:Q3,2200.00,2200.00,26742.00,38675.00,-11933.00
2008:Q4,2200.00,2200.00,26551.00,38674.00,-12123.00
2009:Q1,2200.00,2200.00,26550.00,42261.00,-15711.00
2009:Q2,2200.00,2200.00,26549.00,42427.00,-15878.00
2009:Q3,5200.00,5200.00,26299.00,42564.00,-16265.00
2009:Q4,5200.00,5200.00,26199.00,42691.00,-16492.00
2010:Q1,5200.00,5200.00,26199.00,42745.00,-16546.00
2010:Q2,5200.00,5200.00,26198.00,43205.00,-17007.00
2010:Q3,5200.00,5200.00,25923.00,43413.00,-17490.00
