date,FL344090045.Q,FL344022045.Q,FL343061165.Q,FL343061733.Q,FL343063033.Q,LM343064133.Q,FL343073045.Q,FL344190045.Q
1945:Q4,24055.00,2903.00,2903.00,0.00,0.00,0.00,21152.00,24055.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,28162.00,3273.00,3273.00,0.00,0.00,0.00,24889.00,28162.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31565.00,4096.00,4096.00,0.00,0.00,0.00,27469.00,31565.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35122.00,4919.00,4919.00,0.00,0.00,0.00,30203.00,35122.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38974.00,5959.00,5959.00,0.00,0.00,0.00,33015.00,38974.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,43275.00,6743.00,6743.00,0.00,0.00,0.00,36532.00,43275.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,267419.00,25147.00,25147.00,0.00,0.00,0.00,242272.00,267419.00
1970:Q1,275062.00,25185.00,25185.00,0.00,0.00,0.00,249877.00,275062.00
1970:Q2,283116.00,26910.00,26910.00,0.00,0.00,0.00,256206.00,283116.00
1970:Q3,291549.00,27046.00,27046.00,0.00,0.00,0.00,264503.00,291549.00
1970:Q4,300232.00,27528.00,27528.00,0.00,0.00,0.00,272704.00,300232.00
1971:Q1,306969.00,27726.00,27726.00,0.00,0.00,0.00,279243.00,306969.00
1971:Q2,313933.00,29583.00,29583.00,0.00,0.00,0.00,284350.00,313933.00
1971:Q3,321098.00,29814.00,29814.00,0.00,0.00,0.00,291284.00,321098.00
1971:Q4,328364.00,30371.00,30371.00,0.00,0.00,0.00,297993.00,328364.00
1972:Q1,335676.00,30289.00,30289.00,0.00,0.00,0.00,305387.00,335676.00
1972:Q2,343066.00,32423.00,32423.00,0.00,0.00,0.00,310643.00,343066.00
1972:Q3,350618.00,32693.00,32693.00,0.00,0.00,0.00,317925.00,350618.00
1972:Q4,358252.00,33364.00,33364.00,0.00,0.00,0.00,324888.00,358252.00
1973:Q1,365800.00,33182.00,33182.00,0.00,0.00,0.00,332618.00,365800.00
1973:Q2,373504.00,35497.00,35497.00,0.00,0.00,0.00,338007.00,373504.00
1973:Q3,381358.00,35193.00,35193.00,0.00,0.00,0.00,346165.00,381358.00
1973:Q4,389264.00,35499.00,35499.00,0.00,0.00,0.00,353765.00,389264.00
1974:Q1,397053.00,35113.00,35113.00,0.00,0.00,0.00,361940.00,397053.00
1974:Q2,404960.00,38912.00,38912.00,0.00,0.00,0.00,366048.00,404960.00
1974:Q3,412981.00,38126.00,38126.00,0.00,0.00,0.00,374855.00,412981.00
1974:Q4,421024.00,38238.00,38238.00,0.00,0.00,0.00,382786.00,421024.00
1975:Q1,428928.00,37947.00,37947.00,0.00,0.00,0.00,390981.00,428928.00
1975:Q2,436949.00,43043.00,43043.00,0.00,0.00,0.00,393906.00,436949.00
1975:Q3,445099.00,41962.00,41962.00,0.00,0.00,0.00,403137.00,445099.00
1975:Q4,453301.00,42061.00,42061.00,0.00,0.00,0.00,411240.00,453301.00
1976:Q1,461396.00,41323.00,41323.00,0.00,0.00,0.00,420073.00,461396.00
1976:Q2,469562.00,47681.00,47681.00,0.00,0.00,0.00,421881.00,469562.00
1976:Q3,477900.00,46312.00,46312.00,0.00,0.00,0.00,431588.00,477900.00
1976:Q4,486343.00,46657.00,46657.00,0.00,0.00,0.00,439686.00,486343.00
1977:Q1,494443.00,45466.00,45466.00,0.00,0.00,0.00,448977.00,494443.00
1977:Q2,502862.00,46928.00,46928.00,0.00,0.00,0.00,455934.00,502862.00
1977:Q3,511708.00,53102.00,53102.00,0.00,0.00,0.00,458606.00,511708.00
1977:Q4,520967.00,53232.00,53232.00,0.00,0.00,0.00,467735.00,520967.00
1978:Q1,530717.00,51966.00,51966.00,0.00,0.00,0.00,478751.00,530717.00
1978:Q2,540948.00,53425.00,53425.00,0.00,0.00,0.00,487523.00,540948.00
1978:Q3,551558.00,59653.00,59653.00,0.00,0.00,0.00,491905.00,551558.00
1978:Q4,562307.00,60259.00,60259.00,0.00,0.00,0.00,502048.00,562307.00
1979:Q1,572829.00,58551.00,58551.00,0.00,0.00,0.00,514278.00,572829.00
1979:Q2,583485.00,60046.00,60046.00,0.00,0.00,0.00,523439.00,583485.00
1979:Q3,594283.00,67607.00,67607.00,0.00,0.00,0.00,526676.00,594283.00
1979:Q4,605130.00,68259.00,68259.00,0.00,0.00,0.00,536871.00,605130.00
1980:Q1,615920.00,66161.00,66161.00,0.00,0.00,0.00,549759.00,615920.00
1980:Q2,626797.00,67358.00,67358.00,0.00,0.00,0.00,559439.00,626797.00
1980:Q3,637898.00,76924.00,76924.00,0.00,0.00,0.00,560974.00,637898.00
1980:Q4,649110.00,77183.00,77183.00,0.00,0.00,0.00,571927.00,649110.00
1981:Q1,660134.00,74439.00,74439.00,0.00,0.00,0.00,585695.00,660134.00
1981:Q2,671425.00,75653.00,75653.00,0.00,0.00,0.00,595772.00,671425.00
1981:Q3,683010.00,86895.00,86895.00,0.00,0.00,0.00,596115.00,683010.00
1981:Q4,694775.00,87179.00,87179.00,0.00,0.00,0.00,607596.00,694775.00
1982:Q1,706535.00,84313.00,84313.00,0.00,0.00,0.00,622222.00,706535.00
1982:Q2,718557.00,86345.00,86345.00,0.00,0.00,0.00,632212.00,718557.00
1982:Q3,730790.00,98516.00,98516.00,0.00,0.00,0.00,632274.00,730790.00
1982:Q4,743061.00,99245.00,99245.00,0.00,0.00,0.00,643816.00,743061.00
1983:Q1,755018.00,96374.00,96374.00,0.00,0.00,0.00,658644.00,755018.00
1983:Q2,767251.00,98735.00,98735.00,0.00,0.00,0.00,668516.00,767251.00
1983:Q3,779902.00,111500.00,111500.00,0.00,0.00,0.00,668402.00,779902.00
1983:Q4,792965.00,113787.00,113787.00,0.00,0.00,0.00,679178.00,792965.00
1984:Q1,805816.00,111640.00,111640.00,0.00,0.00,0.00,694176.00,805816.00
1984:Q2,819068.00,115547.00,115547.00,0.00,0.00,0.00,703521.00,819068.00
1984:Q3,832753.00,128964.00,128964.00,0.00,0.00,0.00,703789.00,832753.00
1984:Q4,846582.00,132262.00,132262.00,0.00,0.00,0.00,714320.00,846582.00
1985:Q1,860737.00,140863.00,140863.00,0.00,0.00,0.00,719874.00,860737.00
1985:Q2,875156.00,144839.00,144839.00,0.00,0.00,0.00,730317.00,875156.00
1985:Q3,889935.00,158741.00,158741.00,0.00,0.00,0.00,731194.00,889935.00
1985:Q4,905008.00,172130.00,172130.00,0.00,0.00,0.00,732878.00,905008.00
1986:Q1,921831.00,169702.00,169702.00,0.00,0.00,0.00,752129.00,921831.00
1986:Q2,939028.00,175169.00,175169.00,0.00,0.00,0.00,763859.00,939028.00
1986:Q3,956435.00,186641.00,186641.00,0.00,0.00,0.00,769794.00,956435.00
1986:Q4,973708.00,201682.00,201682.00,0.00,0.00,0.00,772026.00,973708.00
1987:Q1,988780.00,198583.00,198583.00,0.00,0.00,0.00,790197.00,988780.00
1987:Q2,1003828.00,204244.00,204244.00,0.00,0.00,0.00,799584.00,1003828.00
1987:Q3,1018958.00,217841.00,217841.00,0.00,0.00,0.00,801117.00,1018958.00
1987:Q4,1034141.00,231950.00,231950.00,0.00,0.00,0.00,802191.00,1034141.00
1988:Q1,1049224.00,227959.00,227959.00,0.00,0.00,0.00,821265.00,1049224.00
1988:Q2,1064505.00,234929.00,234929.00,0.00,0.00,0.00,829576.00,1064505.00
1988:Q3,1080166.00,248193.00,248193.00,0.00,0.00,0.00,831973.00,1080166.00
1988:Q4,1096015.00,264730.00,264730.00,0.00,0.00,0.00,831285.00,1096015.00
1989:Q1,1111662.00,260176.00,260176.00,0.00,0.00,0.00,851486.00,1111662.00
1989:Q2,1127604.00,268190.00,268190.00,0.00,0.00,0.00,859414.00,1127604.00
1989:Q3,1143803.00,281179.00,281179.00,0.00,0.00,0.00,862624.00,1143803.00
1989:Q4,1160046.00,299287.00,299287.00,0.00,0.00,0.00,860759.00,1160046.00
1990:Q1,1175861.00,294038.00,294038.00,0.00,0.00,0.00,881823.00,1175861.00
1990:Q2,1191891.00,301075.00,301075.00,0.00,0.00,0.00,890816.00,1191891.00
1990:Q3,1208167.00,314748.00,314748.00,0.00,0.00,0.00,893419.00,1208167.00
1990:Q4,1224549.00,332641.00,332641.00,0.00,0.00,0.00,891908.00,1224549.00
1991:Q1,1240812.00,326631.00,326631.00,0.00,0.00,0.00,914181.00,1240812.00
1991:Q2,1257432.00,336001.00,336001.00,0.00,0.00,0.00,921431.00,1257432.00
1991:Q3,1274449.00,350634.00,350634.00,0.00,0.00,0.00,923815.00,1274449.00
1991:Q4,1291684.00,370999.00,370999.00,0.00,0.00,0.00,920685.00,1291684.00
1992:Q1,1309244.00,364685.00,364685.00,0.00,0.00,0.00,944559.00,1309244.00
1992:Q2,1326879.00,374374.00,374374.00,0.00,0.00,0.00,952505.00,1326879.00
1992:Q3,1344641.00,389902.00,389902.00,0.00,0.00,0.00,954739.00,1344641.00
1992:Q4,1362207.00,410786.00,410786.00,0.00,0.00,0.00,951421.00,1362207.00
1993:Q1,1378925.00,402820.00,402820.00,0.00,0.00,0.00,976105.00,1378925.00
1993:Q2,1395619.00,412383.00,412383.00,0.00,0.00,0.00,983236.00,1395619.00
1993:Q3,1412385.00,427230.00,427230.00,0.00,0.00,0.00,985155.00,1412385.00
1993:Q4,1429163.00,447864.00,447864.00,0.00,0.00,0.00,981299.00,1429163.00
1994:Q1,1445676.00,439948.00,439948.00,0.00,0.00,0.00,1005728.00,1445676.00
1994:Q2,1462468.00,449373.00,449373.00,0.00,0.00,0.00,1013095.00,1462468.00
