1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,788.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,712.00,0.00,405.00,307.00,0.00,-24.00,725.00,-409.00,1075.00,0.00,1075.00,0.00,0.00,0.00,59.00
1952:Q1,812.00,0.00,0.00,102.00,0.00,102.00,0.00,0.00,0.00,735.00,0.00,357.00,378.00,0.00,-25.00,745.00,-415.00,1095.00,0.00,1095.00,0.00,0.00,0.00,65.00
1952:Q2,899.00,0.00,0.00,103.00,0.00,103.00,0.00,0.00,0.00,823.00,0.00,404.00,419.00,0.00,-27.00,829.00,-436.00,1193.00,0.00,1193.00,0.00,0.00,0.00,72.00
1952:Q3,970.00,0.00,0.00,104.00,0.00,104.00,0.00,0.00,0.00,895.00,0.00,360.00,535.00,0.00,-29.00,897.00,-441.00,1258.00,0.00,1258.00,0.00,0.00,0.00,80.00
1952:Q4,1024.00,0.00,0.00,107.00,0.00,106.00,1.00,0.00,0.00,949.00,0.00,390.00,559.00,0.00,-32.00,947.00,-491.00,1351.00,0.00,1351.00,0.00,0.00,0.00,87.00
1953:Q1,1090.00,0.00,0.00,108.00,0.00,107.00,1.00,0.00,0.00,1015.00,0.00,395.00,620.00,0.00,-33.00,1006.00,-474.00,1387.00,0.00,1387.00,0.00,0.00,0.00,93.00
1953:Q2,1192.00,0.00,0.00,109.00,0.00,108.00,1.00,0.00,0.00,1119.00,0.00,428.00,691.00,0.00,-36.00,1103.00,-521.00,1523.00,0.00,1523.00,0.00,0.00,0.00,101.00
1953:Q3,1280.00,0.00,0.00,110.00,0.00,109.00,1.00,0.00,0.00,1208.00,0.00,386.00,822.00,0.00,-38.00,1184.00,-521.00,1595.00,0.00,1595.00,0.00,0.00,0.00,110.00
1953:Q4,1333.00,0.00,0.00,113.00,0.00,112.00,1.00,0.00,0.00,1260.00,0.00,383.00,877.00,0.00,-40.00,1230.00,-581.00,1688.00,0.00,1688.00,0.00,0.00,0.00,123.00
1954:Q1,1361.00,0.00,0.00,115.00,0.00,114.00,1.00,0.00,0.00,1287.00,0.00,361.00,926.00,0.00,-41.00,1254.00,-610.00,1724.00,0.00,1724.00,0.00,0.00,0.00,140.00
1954:Q2,1448.00,0.00,0.00,117.00,0.00,116.00,1.00,0.00,0.00,1375.00,0.00,456.00,919.00,0.00,-44.00,1338.00,-648.00,1830.00,0.00,1830.00,0.00,0.00,0.00,156.00
1954:Q3,1522.00,0.00,0.00,119.00,0.00,118.00,1.00,0.00,0.00,1449.00,0.00,416.00,1033.00,0.00,-46.00,1408.00,-690.00,1926.00,0.00,1926.00,0.00,0.00,0.00,172.00
1954:Q4,1562.00,0.00,0.00,121.00,0.00,120.00,1.00,0.00,0.00,1490.00,0.00,407.00,1083.00,0.00,-49.00,1445.00,-782.00,2037.00,0.00,2037.00,0.00,0.00,0.00,190.00
1955:Q1,1615.00,0.00,0.00,124.00,0.00,123.00,1.00,0.00,0.00,1541.00,0.00,505.00,1036.00,0.00,-50.00,1488.00,-781.00,2066.00,0.00,2066.00,0.00,0.00,0.00,203.00
1955:Q2,1740.00,0.00,0.00,128.00,0.00,127.00,1.00,0.00,0.00,1665.00,0.00,543.00,1122.00,0.00,-53.00,1605.00,-811.00,2198.00,0.00,2198.00,0.00,0.00,0.00,218.00
1955:Q3,1858.00,0.00,0.00,132.00,0.00,131.00,1.00,0.00,0.00,1782.00,0.00,526.00,1256.00,0.00,-56.00,1713.00,-839.00,2318.00,0.00,2318.00,0.00,0.00,0.00,234.00
1955:Q4,1929.00,0.00,0.00,136.00,0.00,135.00,1.00,0.00,0.00,1852.00,0.00,524.00,1328.00,0.00,-59.00,1774.00,-924.00,2446.00,0.00,2446.00,0.00,0.00,0.00,252.00
1956:Q1,1986.00,0.00,0.00,140.00,0.00,139.00,1.00,0.00,0.00,1908.00,0.00,522.00,1386.00,0.00,-62.00,1823.00,-993.00,2544.00,0.00,2544.00,0.00,0.00,0.00,272.00
1956:Q2,2112.00,0.00,0.00,144.00,0.00,143.00,1.00,0.00,0.00,2033.00,0.00,649.00,1384.00,0.00,-65.00,1940.00,-1009.00,2657.00,0.00,2657.00,0.00,0.00,0.00,292.00
1956:Q3,2231.00,0.00,0.00,148.00,0.00,147.00,1.00,0.00,0.00,2150.00,0.00,596.00,1554.00,0.00,-67.00,2049.00,-1007.00,2742.00,0.00,2742.00,0.00,0.00,0.00,314.00
1956:Q4,2324.00,0.00,0.00,151.00,0.00,150.00,1.00,0.00,0.00,2244.00,0.00,593.00,1651.00,0.00,-71.00,2133.00,-1117.00,2914.00,0.00,2914.00,0.00,0.00,0.00,336.00
1957:Q1,2391.00,0.00,0.00,155.00,0.00,154.00,1.00,0.00,0.00,2310.00,0.00,678.00,1632.00,0.00,-74.00,2190.00,-1178.00,3009.00,0.00,3009.00,0.00,0.00,0.00,359.00
1957:Q2,2544.00,0.00,0.00,159.00,0.00,158.00,1.00,0.00,0.00,2462.00,0.00,686.00,1776.00,0.00,-77.00,2333.00,-1170.00,3119.00,0.00,3119.00,0.00,0.00,0.00,384.00
1957:Q3,2694.00,0.00,0.00,163.00,0.00,162.00,1.00,0.00,0.00,2610.00,0.00,651.00,1959.00,0.00,-79.00,2471.00,-1145.00,3204.00,0.00,3204.00,0.00,0.00,0.00,412.00
1957:Q4,2776.00,0.00,0.00,166.00,0.00,165.00,1.00,0.00,0.00,2694.00,0.00,592.00,2102.00,0.00,-84.00,2543.00,-1281.00,3381.00,0.00,3381.00,0.00,0.00,0.00,443.00
1958:Q1,2765.00,0.00,0.00,170.00,0.00,169.00,1.00,0.00,0.00,2682.00,0.00,666.00,2016.00,0.00,-87.00,2525.00,-1433.00,3480.00,0.00,3480.00,0.00,0.00,0.00,478.00
1958:Q2,2871.00,0.00,0.00,174.00,0.00,173.00,1.00,0.00,0.00,2787.00,0.00,631.00,2156.00,0.00,-90.00,2623.00,-1480.00,3592.00,0.00,3592.00,0.00,0.00,0.00,511.00
1958:Q3,2961.00,0.00,0.00,178.00,0.00,177.00,1.00,0.00,0.00,2875.00,0.00,665.00,2210.00,0.00,-92.00,2704.00,-1519.00,3679.00,0.00,3679.00,0.00,0.00,0.00,544.00
1958:Q4,3045.00,0.00,0.00,181.00,0.00,180.00,1.00,0.00,0.00,2961.00,0.00,619.00,2342.00,0.00,-97.00,2781.00,-1665.00,3869.00,0.00,3869.00,0.00,0.00,0.00,577.00
1959:Q1,3111.00,0.00,0.00,184.00,0.00,183.00,1.00,0.00,0.00,3027.00,0.00,723.00,2304.00,0.00,-100.00,2833.00,-1756.00,3985.00,9.00,3976.00,0.00,0.00,0.00,604.00
1959:Q2,3317.00,0.00,0.00,186.00,0.00,185.00,1.00,0.00,0.00,3235.00,0.00,730.00,2505.00,0.00,-104.00,3025.00,-1721.00,4116.00,10.00,4106.00,0.00,0.00,0.00,630.00
1959:Q3,3543.00,0.00,0.00,188.00,0.00,187.00,1.00,0.00,0.00,3462.00,0.00,780.00,2682.00,0.00,-107.00,3236.00,-1641.00,4220.00,10.00,4210.00,0.00,0.00,0.00,657.00
1959:Q4,3704.00,0.00,0.00,191.00,0.00,190.00,1.00,0.00,0.00,3625.00,0.00,752.00,2873.00,0.00,-112.00,3382.00,-1745.00,4441.00,10.00,4431.00,0.00,0.00,0.00,686.00
1960:Q1,3818.00,0.00,0.00,193.00,0.00,192.00,1.00,0.00,0.00,3740.00,0.00,930.00,2810.00,0.00,-115.00,3484.00,-1783.00,4548.00,11.00,4537.00,0.00,0.00,0.00,719.00
1960:Q2,4075.00,0.00,0.00,195.00,0.00,194.00,1.00,0.00,0.00,3999.00,0.00,906.00,3093.00,0.00,-119.00,3729.00,-1693.00,4672.00,11.00,4661.00,0.00,0.00,0.00,750.00
1960:Q3,4256.00,0.00,0.00,197.00,0.00,196.00,1.00,0.00,0.00,4180.00,0.00,875.00,3305.00,0.00,-121.00,3896.00,-1633.00,4753.00,11.00,4742.00,0.00,0.00,0.00,776.00
1960:Q4,4374.00,0.00,0.00,201.00,0.00,200.00,1.00,0.00,0.00,4300.00,0.00,853.00,3447.00,0.00,-127.00,4003.00,-1776.00,4981.00,12.00,4969.00,0.00,0.00,0.00,798.00
1961:Q1,4367.00,0.00,0.00,205.00,0.00,204.00,1.00,0.00,0.00,4292.00,0.00,993.00,3299.00,0.00,-130.00,3985.00,-1945.00,5106.00,12.00,5094.00,0.00,0.00,0.00,824.00
1961:Q2,4550.00,0.00,0.00,210.00,0.00,209.00,1.00,0.00,0.00,4474.00,0.00,926.00,3548.00,0.00,-134.00,4157.00,-1943.00,5251.00,12.00,5239.00,0.00,0.00,0.00,849.00
1961:Q3,4674.00,0.00,0.00,215.00,0.00,214.00,1.00,0.00,0.00,4596.00,0.00,1015.00,3581.00,0.00,-137.00,4269.00,-1967.00,5364.00,12.00,5352.00,0.00,0.00,0.00,872.00
1961:Q4,4788.00,0.00,0.00,221.00,0.00,220.00,1.00,0.00,0.00,4710.00,0.00,1083.00,3627.00,0.00,-143.00,4373.00,-2156.00,5639.00,13.00,5626.00,0.00,0.00,0.00,890.00
1962:Q1,4787.00,0.00,0.00,226.00,0.00,225.00,1.00,0.00,0.00,4708.00,0.00,1134.00,3574.00,0.00,-147.00,4355.00,-2350.00,5802.00,13.00,5789.00,0.00,0.00,0.00,903.00
1962:Q2,5064.00,0.00,0.00,230.00,0.00,229.00,1.00,0.00,0.00,4984.00,0.00,1095.00,3889.00,0.00,-150.00,4614.00,-2240.00,5939.00,14.00,5925.00,0.00,0.00,0.00,915.00
1962:Q3,5260.00,0.00,0.00,235.00,0.00,234.00,1.00,0.00,0.00,5178.00,0.00,1158.00,4020.00,0.00,-153.00,4790.00,-2179.00,6048.00,14.00,6034.00,0.00,0.00,0.00,921.00
1962:Q4,5412.00,0.00,0.00,241.00,0.00,240.00,1.00,0.00,0.00,5330.00,0.00,1227.00,4103.00,0.00,-159.00,4925.00,-2329.00,6331.00,15.00,6316.00,0.00,0.00,0.00,923.00
1963:Q1,5442.00,0.00,0.00,251.00,0.00,249.00,2.00,0.00,0.00,5354.00,0.00,1327.00,4027.00,0.00,-163.00,4938.00,-2504.00,6518.00,15.00,6503.00,0.00,0.00,0.00,924.00
1963:Q2,5769.00,0.00,0.00,263.00,0.00,260.00,3.00,0.00,0.00,5673.00,0.00,1321.00,4352.00,0.00,-167.00,5246.00,-2364.00,6691.00,16.00,6675.00,0.00,0.00,0.00,919.00
1963:Q3,5978.00,0.00,0.00,275.00,0.00,271.00,4.00,0.00,0.00,5873.00,0.00,1395.00,4478.00,0.00,-170.00,5436.00,-2309.00,6831.00,16.00,6815.00,0.00,0.00,0.00,914.00
1963:Q4,6137.00,0.00,0.00,286.00,0.00,280.00,6.00,0.00,0.00,6028.00,0.00,1482.00,4546.00,0.00,-177.00,5578.00,-2493.00,7165.00,17.00,7148.00,0.00,0.00,0.00,906.00
1964:Q1,6195.00,0.00,0.00,294.00,0.00,286.00,8.00,0.00,0.00,6082.00,0.00,1486.00,4596.00,0.00,-181.00,5607.00,-2641.00,7357.00,17.00,7340.00,0.00,0.00,0.00,891.00
1964:Q2,6542.00,0.00,0.00,300.00,0.00,290.00,10.00,0.00,0.00,6429.00,0.00,1428.00,5001.00,0.00,-187.00,5926.00,-2585.00,7635.00,18.00,7617.00,0.00,0.00,0.00,876.00
1964:Q3,6814.00,0.00,0.00,306.00,0.00,293.00,13.00,0.00,0.00,6700.00,0.00,1485.00,5215.00,0.00,-192.00,6167.00,-2523.00,7828.00,18.00,7810.00,0.00,0.00,0.00,862.00
1964:Q4,6998.00,0.00,0.00,311.00,0.00,295.00,16.00,0.00,0.00,6887.00,0.00,1450.00,5437.00,0.00,-200.00,6321.00,-2751.00,8225.00,19.00,8206.00,0.00,0.00,0.00,847.00
1965:Q1,7106.00,0.00,0.00,316.00,0.00,297.00,19.00,0.00,0.00,6994.00,0.00,1589.00,5405.00,0.00,-204.00,6399.00,-2834.00,8398.00,19.00,8379.00,0.00,0.00,0.00,835.00
1965:Q2,7562.00,0.00,0.00,318.00,0.00,298.00,20.00,0.00,0.00,7453.00,0.00,1586.00,5867.00,0.00,-209.00,6824.00,-2643.00,8644.00,20.00,8624.00,0.00,0.00,0.00,823.00
1965:Q3,7815.00,0.00,0.00,323.00,0.00,299.00,24.00,0.00,0.00,7705.00,0.00,1505.00,6200.00,0.00,-213.00,7044.00,-2562.00,8796.00,20.00,8776.00,0.00,0.00,0.00,810.00
1965:Q4,8020.00,0.00,0.00,338.00,0.00,303.00,35.00,0.00,0.00,7904.00,0.00,1426.00,6478.00,0.00,-222.00,7219.00,-2797.00,9220.00,21.00,9199.00,0.00,0.00,0.00,796.00
1966:Q1,8116.00,0.00,0.00,363.00,0.00,308.00,55.00,0.00,0.00,7979.00,0.00,1672.00,6307.00,0.00,-226.00,7283.00,-2895.00,9391.00,22.00,9369.00,0.00,0.00,0.00,787.00
1966:Q2,8553.00,0.00,0.00,399.00,0.00,315.00,84.00,0.00,0.00,8385.00,0.00,1623.00,6762.00,0.00,-231.00,7688.00,-2718.00,9626.00,22.00,9604.00,0.00,0.00,0.00,780.00
1966:Q3,8883.00,0.00,0.00,437.00,0.00,322.00,115.00,0.00,0.00,8679.00,0.00,1502.00,7177.00,0.00,-233.00,7981.00,-2510.00,9720.00,23.00,9697.00,0.00,0.00,0.00,771.00
1966:Q4,9114.00,0.00,0.00,467.00,0.00,327.00,140.00,0.00,0.00,8888.00,0.00,1434.00,7454.00,0.00,-241.00,8180.00,-2652.00,10071.00,23.00,10048.00,0.00,0.00,0.00,761.00
1967:Q1,9111.00,0.00,0.00,490.00,0.00,329.00,161.00,0.00,0.00,8866.00,0.00,1435.00,7431.00,0.00,-245.00,8150.00,-2858.00,10249.00,24.00,10225.00,0.00,0.00,0.00,759.00
1967:Q2,9506.00,0.00,0.00,507.00,0.00,328.00,179.00,0.00,0.00,9251.00,0.00,1428.00,7823.00,0.00,-252.00,8521.00,-2809.00,10573.00,24.00,10549.00,0.00,0.00,0.00,757.00
1967:Q3,9758.00,0.00,0.00,525.00,0.00,328.00,197.00,0.00,0.00,9489.00,0.00,1425.00,8064.00,0.00,-256.00,8745.00,-2735.00,10727.00,25.00,10702.00,0.00,0.00,0.00,753.00
1967:Q4,9956.00,0.00,0.00,549.00,0.00,331.00,218.00,0.00,0.00,9671.00,0.00,1384.00,8287.00,0.00,-264.00,8918.00,-2934.00,11103.00,26.00,11077.00,0.00,0.00,0.00,749.00
1968:Q1,10026.00,0.00,0.00,582.00,0.00,334.00,248.00,0.00,0.00,9714.00,0.00,1319.00,8395.00,0.00,-270.00,8958.00,-3132.00,11348.00,26.00,11322.00,0.00,0.00,0.00,742.00
1968:Q2,10570.00,0.00,0.00,617.00,0.00,334.00,283.00,0.00,0.00,10231.00,0.00,1311.00,8920.00,0.00,-278.00,9473.00,-3003.00,11742.00,27.00,11715.00,0.00,0.00,0.00,734.00
1968:Q3,11016.00,0.00,0.00,659.00,0.00,339.00,320.00,0.00,0.00,10638.00,0.00,1279.00,9359.00,0.00,-281.00,9884.00,-2695.00,11852.00,27.00,11825.00,0.00,0.00,0.00,727.00
1968:Q4,11428.00,0.00,0.00,712.00,0.00,357.00,355.00,0.00,0.00,11007.00,0.00,1276.00,9731.00,0.00,-291.00,10267.00,-2766.00,12312.00,29.00,12283.00,0.00,0.00,0.00,721.00
1969:Q1,11704.00,0.00,0.00,778.00,0.00,390.00,388.00,0.00,0.00,11225.00,0.00,1259.00,9966.00,0.00,-299.00,10508.00,-2876.00,12671.00,29.00,12642.00,0.00,0.00,0.00,713.00
1969:Q2,12509.00,0.00,0.00,858.00,0.00,441.00,417.00,0.00,0.00,11958.00,0.00,1182.00,10776.00,0.00,-307.00,11278.00,-2476.00,13046.00,30.00,13016.00,0.00,0.00,0.00,708.00
1969:Q3,13080.00,0.00,0.00,943.00,0.00,492.00,451.00,0.00,0.00,12448.00,0.00,1087.00,11361.00,0.00,-311.00,11807.00,-2135.00,13238.00,31.00,13207.00,0.00,0.00,0.00,704.00
1969:Q4,13465.00,0.00,0.00,1028.00,0.00,527.00,501.00,0.00,0.00,12759.00,0.00,1055.00,11704.00,0.00,-322.00,12157.00,-2286.00,13740.00,32.00,13708.00,0.00,0.00,0.00,703.00
1970:Q1,13489.00,0.00,0.00,1114.00,0.00,546.00,568.00,0.00,0.00,12706.00,0.00,745.00,11961.00,0.00,-331.00,12146.00,-2674.00,14114.00,33.00,14081.00,0.00,0.00,0.00,706.00
1970:Q2,14112.00,0.00,0.00,1206.00,0.00,553.00,653.00,0.00,0.00,13248.00,0.00,764.00,12484.00,0.00,-342.00,12734.00,-2584.00,14607.00,34.00,14573.00,0.00,0.00,0.00,711.00
1970:Q3,14620.00,0.00,0.00,1295.00,0.00,555.00,740.00,0.00,0.00,13672.00,0.00,784.00,12888.00,0.00,-347.00,13201.00,-2354.00,14838.00,34.00,14804.00,0.00,0.00,0.00,717.00
1970:Q4,14796.00,0.00,0.00,1371.00,0.00,558.00,813.00,0.00,0.00,13786.00,0.00,800.00,12986.00,0.00,-361.00,13343.00,-2866.00,15486.00,36.00,15450.00,0.00,0.00,0.00,723.00
1971:Q1,14865.00,0.00,0.00,1430.00,0.00,562.00,868.00,0.00,0.00,13813.00,0.00,813.00,13000.00,0.00,-378.00,13366.00,-3605.00,16261.00,38.00,16223.00,0.00,0.00,0.00,710.00
1971:Q2,15585.00,0.00,0.00,1468.00,0.00,566.00,902.00,0.00,0.00,14513.00,0.00,824.00,13689.00,0.00,-396.00,14038.00,-3754.00,17099.00,40.00,17059.00,0.00,0.00,0.00,693.00
1971:Q3,16250.00,0.00,0.00,1511.00,0.00,567.00,944.00,0.00,0.00,15145.00,0.00,835.00,14310.00,0.00,-406.00,14645.00,-3617.00,17586.00,41.00,17545.00,0.00,0.00,0.00,676.00
1971:Q4,16781.00,0.00,0.00,1587.00,0.00,564.00,1023.00,0.00,0.00,15617.00,0.00,847.00,14770.00,0.00,-423.00,15123.00,-3895.00,18358.00,43.00,18315.00,0.00,0.00,0.00,660.00
1972:Q1,17041.00,0.00,0.00,1694.00,0.00,554.00,1140.00,0.00,0.00,15791.00,0.00,881.00,14910.00,0.00,-444.00,15328.00,-4647.00,19333.00,45.00,19288.00,0.00,0.00,0.00,642.00
1972:Q2,18305.00,0.00,0.00,1831.00,0.00,533.00,1298.00,0.00,0.00,16937.00,0.00,927.00,16010.00,0.00,-463.00,16532.00,-4313.00,20220.00,47.00,20173.00,0.00,0.00,0.00,625.00
1972:Q3,18949.00,0.00,0.00,1977.00,0.00,517.00,1460.00,0.00,0.00,17445.00,0.00,972.00,16473.00,0.00,-473.00,17104.00,-4200.00,20696.00,48.00,20648.00,0.00,0.00,0.00,608.00
1972:Q4,19579.00,0.00,0.00,2108.00,0.00,518.00,1590.00,0.00,0.00,17964.00,0.00,1000.00,16964.00,0.00,-493.00,17669.00,-4548.00,21626.00,50.00,21576.00,0.00,0.00,0.00,591.00
1973:Q1,20176.00,0.00,0.00,2229.00,0.00,641.00,1588.00,0.00,0.00,18465.00,0.00,1155.00,17310.00,0.00,-518.00,18236.00,-5137.00,22769.00,53.00,22716.00,0.00,0.00,0.00,604.00
1973:Q2,21463.00,0.00,0.00,2353.00,0.00,690.00,1663.00,0.00,0.00,19653.00,0.00,1264.00,18389.00,0.00,-543.00,19491.00,-5086.00,23958.00,56.00,23902.00,0.00,0.00,0.00,619.00
1973:Q3,22533.00,0.00,0.00,2473.00,0.00,740.00,1733.00,0.00,0.00,20605.00,0.00,1369.00,19236.00,0.00,-545.00,20505.00,-4124.00,23993.00,56.00,23937.00,0.00,0.00,0.00,636.00
1973:Q4,23102.00,0.00,0.00,2585.00,0.00,777.00,1808.00,0.00,0.00,21074.00,0.00,1441.00,19633.00,0.00,-557.00,21027.00,-4140.00,24512.00,57.00,24455.00,0.00,0.00,0.00,655.00
1974:Q1,23100.00,0.00,0.00,2677.00,0.00,798.00,1879.00,0.00,0.00,21003.00,0.00,1476.00,19527.00,0.00,-580.00,21047.00,-5257.00,25569.00,59.00,25510.00,0.00,0.00,0.00,735.00
1974:Q2,24055.00,0.00,0.00,2738.00,0.00,802.00,1936.00,0.00,0.00,21920.00,0.00,1471.00,20449.00,0.00,-603.00,22025.00,-5456.00,26661.00,62.00,26599.00,0.00,0.00,0.00,820.00
1974:Q3,25314.00,0.00,0.00,2819.00,0.00,811.00,2008.00,0.00,0.00,23101.00,0.00,1470.00,21631.00,0.00,-606.00,23286.00,-4314.00,26696.00,62.00,26634.00,0.00,0.00,0.00,904.00
1974:Q4,25757.00,0.00,0.00,2973.00,0.00,848.00,2125.00,0.00,0.00,23408.00,0.00,1513.00,21895.00,0.00,-624.00,23746.00,-4755.00,27518.00,64.00,27454.00,0.00,0.00,0.00,983.00
1975:Q1,26104.00,0.00,0.00,3201.00,0.00,912.00,2289.00,0.00,0.00,23564.00,0.00,1605.00,21959.00,0.00,-661.00,24048.00,-6225.00,29305.00,68.00,29237.00,0.00,0.00,0.00,968.00
1975:Q2,27432.00,0.00,0.00,3508.00,0.00,1004.00,2504.00,0.00,0.00,24622.00,0.00,1744.00,22878.00,0.00,-698.00,25328.00,-6715.00,31099.00,72.00,31027.00,0.00,0.00,0.00,944.00
1975:Q3,29687.00,0.00,0.00,3826.00,0.00,1100.00,2726.00,0.00,0.00,26574.00,0.00,1887.00,24687.00,0.00,-713.00,27511.00,-5185.00,31778.00,74.00,31704.00,0.00,0.00,0.00,918.00
1975:Q4,31008.00,0.00,0.00,4088.00,0.00,1177.00,2911.00,0.00,0.00,27659.00,0.00,1993.00,25666.00,0.00,-739.00,28768.00,-5140.00,33013.00,76.00,32937.00,0.00,0.00,0.00,895.00
1976:Q1,31994.00,0.00,0.00,4287.00,0.00,1232.00,3055.00,0.00,0.00,28486.00,0.00,2119.00,26367.00,0.00,-779.00,29695.00,-6153.00,34964.00,133.00,34831.00,0.00,0.00,0.00,884.00
1976:Q2,34197.00,0.00,0.00,4448.00,0.00,1275.00,3173.00,0.00,0.00,30565.00,0.00,2251.00,28314.00,0.00,-816.00,31832.00,-5741.00,36693.00,180.00,36513.00,0.00,0.00,0.00,880.00
1976:Q3,36317.00,0.00,0.00,4588.00,0.00,1310.00,3278.00,0.00,0.00,32563.00,0.00,2381.00,30182.00,0.00,-834.00,33864.00,-4484.00,37464.00,231.00,37233.00,0.00,0.00,0.00,884.00
1976:Q4,37528.00,0.00,0.00,4726.00,0.00,1343.00,3383.00,0.00,0.00,33669.00,0.00,2500.00,31169.00,0.00,-867.00,34999.00,-4898.00,39005.00,283.00,38722.00,0.00,0.00,0.00,892.00
1977:Q1,38586.00,0.00,0.00,4862.00,0.00,1378.00,3484.00,0.00,0.00,34640.00,0.00,2590.00,32050.00,0.00,-916.00,36126.00,-6254.00,41354.00,362.00,40992.00,0.00,0.00,0.00,1026.00
1977:Q2,41041.00,0.00,0.00,4993.00,0.00,1419.00,3574.00,0.00,0.00,37008.00,0.00,2656.00,34352.00,0.00,-960.00,38645.00,-5932.00,43414.00,458.00,42956.00,0.00,0.00,0.00,1163.00
1977:Q3,43208.00,0.00,0.00,5106.00,0.00,1443.00,3663.00,0.00,0.00,39094.00,0.00,2721.00,36373.00,0.00,-992.00,40863.00,-5345.00,44904.00,553.00,44351.00,0.00,0.00,0.00,1304.00
1977:Q4,44559.00,0.00,0.00,5184.00,0.00,1424.00,3760.00,0.00,0.00,40405.00,0.00,2800.00,37605.00,0.00,-1030.00,42272.00,-5876.00,46696.00,638.00,46058.00,0.00,0.00,0.00,1452.00
1978:Q1,45914.00,0.00,0.00,5131.00,0.00,1254.00,3877.00,0.00,0.00,41639.00,0.00,2915.00,38724.00,0.00,-856.00,43570.00,-7422.00,49518.00,747.00,48747.00,24.00,0.00,0.00,1474.00
1978:Q2,49476.00,0.00,0.00,4839.00,0.00,1023.00,3816.00,0.00,0.00,44988.00,0.00,3052.00,41936.00,0.00,-351.00,47058.00,-6099.00,51658.00,902.00,50696.00,60.00,0.00,0.00,1499.00
1978:Q3,51297.00,0.00,0.00,4640.00,0.00,895.00,3745.00,0.00,0.00,46569.00,0.00,2702.00,43867.00,0.00,88.00,48773.00,-5137.00,52394.00,980.00,51322.00,92.00,0.00,0.00,1516.00
1978:Q4,52665.00,0.00,0.00,4353.00,0.00,727.00,3626.00,0.00,0.00,47684.00,0.00,2512.00,45172.00,0.00,628.00,50027.00,-4537.00,53048.00,1079.00,51841.00,128.00,0.00,0.00,1516.00
1979:Q1,53320.00,0.00,0.00,4229.00,0.00,772.00,3457.00,0.00,0.00,48154.00,0.00,2641.00,45513.00,0.00,937.00,50652.00,-5922.00,55017.00,1168.00,53685.00,164.00,0.00,0.00,1557.00
1979:Q2,54535.00,0.00,0.00,4099.00,0.00,863.00,3236.00,0.00,0.00,49166.00,0.00,2632.00,46534.00,0.00,1270.00,51837.00,-6803.00,57061.00,1337.00,55524.00,200.00,0.00,0.00,1579.00
1979:Q3,56109.00,0.00,0.00,3909.00,0.00,887.00,3022.00,0.00,0.00,50499.00,0.00,2499.00,48000.00,0.00,1701.00,53361.00,-6412.00,58192.00,1441.00,56515.00,236.00,0.00,0.00,1581.00
