1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,-244.00,-469.00,359.00,-46.00,3.00,-91.00,-334.00,-24.00,-469.00,0.00,0.00,159.00,90.00,-159.00,-159.00,0.00,-310.00,-310.00,0.00,0.00,-24.00,-24.00,-550.00,526.00,166.00,166.00,0.00,-44.00,-22.00,22.00,-37.00,-36.00,-1.00,0.00,0.00,0.00,159.00,181.00,178.00,0.00,-3.00,91.00,-3.00,90.00
1959:Q2,856.00,164.00,708.00,-60.00,9.00,35.00,521.00,420.00,164.00,0.00,0.00,-63.00,335.00,170.00,170.00,0.00,-6.00,-6.00,0.00,0.00,420.00,420.00,100.00,320.00,-8.00,-8.00,0.00,-57.00,-24.00,33.00,-2.00,-2.00,0.00,0.00,0.00,0.00,-63.00,294.00,291.00,0.00,-9.00,-35.00,-3.00,335.00
1959:Q3,-369.00,-448.00,36.00,-46.00,9.00,80.00,-1027.00,-458.00,-448.00,0.00,0.00,-121.00,658.00,-20.00,-20.00,0.00,-428.00,-428.00,0.00,0.00,-458.00,-458.00,105.00,-563.00,-59.00,-59.00,0.00,-43.00,-15.00,28.00,19.00,20.00,-1.00,0.00,0.00,0.00,-121.00,573.00,570.00,1.00,-9.00,-80.00,-3.00,658.00
1959:Q4,351.00,186.00,343.00,-82.00,8.00,-104.00,995.00,763.00,186.00,0.00,0.00,46.00,-644.00,-228.00,-228.00,0.00,414.00,414.00,0.00,0.00,763.00,763.00,639.00,124.00,134.00,134.00,0.00,-76.00,-136.00,-60.00,12.00,12.00,0.00,0.00,0.00,0.00,46.00,-542.00,-546.00,2.00,-8.00,104.00,-4.00,-644.00
1960:Q1,-421.00,-110.00,-356.00,84.00,-1.00,-38.00,-273.00,-405.00,-110.00,0.00,0.00,242.00,-148.00,348.00,348.00,0.00,-458.00,-458.00,0.00,0.00,-405.00,-405.00,-767.00,362.00,118.00,118.00,0.00,105.00,122.00,17.00,-19.00,-19.00,0.00,0.00,0.00,0.00,242.00,-88.00,-98.00,11.00,1.00,38.00,-10.00,-148.00
1960:Q2,-203.00,-58.00,-301.00,70.00,-4.00,90.00,-197.00,-503.00,-58.00,0.00,0.00,364.00,-6.00,130.00,130.00,0.00,-188.00,-188.00,0.00,0.00,-503.00,-503.00,45.00,-548.00,280.00,280.00,0.00,94.00,123.00,29.00,10.00,8.00,2.00,0.00,0.00,0.00,364.00,-70.00,-79.00,13.00,4.00,-90.00,-9.00,-6.00
1960:Q3,1743.00,580.00,1007.00,102.00,-6.00,60.00,1265.00,445.00,580.00,0.00,0.00,240.00,478.00,50.00,50.00,0.00,530.00,530.00,0.00,0.00,445.00,445.00,119.00,326.00,134.00,134.00,0.00,124.00,133.00,9.00,18.00,17.00,1.00,0.00,0.00,0.00,240.00,445.00,437.00,13.00,6.00,-60.00,-8.00,478.00
1960:Q4,-1365.00,-1171.00,-137.00,92.00,-6.00,-143.00,-876.00,313.00,-1171.00,0.00,0.00,-18.00,-489.00,-194.00,-194.00,0.00,-977.00,-977.00,0.00,0.00,313.00,313.00,881.00,-568.00,-109.00,-109.00,0.00,116.00,134.00,18.00,25.00,24.00,1.00,0.00,0.00,0.00,-18.00,-317.00,-326.00,14.00,6.00,143.00,-9.00,-489.00
1961:Q1,-2057.00,-805.00,-1280.00,205.00,-8.00,-169.00,-1553.00,-1011.00,-805.00,0.00,0.00,263.00,-504.00,284.00,284.00,0.00,-1089.00,-1089.00,0.00,0.00,-1011.00,-1011.00,-1092.00,81.00,56.00,56.00,0.00,193.00,224.00,31.00,-14.00,-13.00,-1.00,0.00,0.00,0.00,263.00,-338.00,-329.00,-2.00,8.00,169.00,9.00,-504.00
1961:Q2,425.00,-3.00,235.00,201.00,-10.00,2.00,672.00,345.00,-3.00,0.00,0.00,330.00,-247.00,-727.00,-727.00,0.00,724.00,724.00,0.00,0.00,345.00,345.00,416.00,-71.00,158.00,158.00,0.00,188.00,223.00,35.00,16.00,17.00,-1.00,0.00,0.00,0.00,330.00,-251.00,-241.00,-2.00,10.00,-2.00,10.00,-247.00
