1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,5003.00,80.00,4793.00,-834.00,430.00,402.00,10.00,122.00,18.00,-526.00,-424.00,407.00,269.00,66.00,0.00,226.00,4985.00
1967:Q1,-3486.00,100.00,-4081.00,-55.00,-108.00,417.00,10.00,231.00,1889.00,492.00,659.00,497.00,-132.00,66.00,0.00,307.00,-5375.00
1967:Q2,2391.00,170.00,1257.00,-19.00,418.00,419.00,10.00,136.00,2720.00,1799.00,-168.00,567.00,144.00,67.00,0.00,311.00,-329.00
1967:Q3,3743.00,180.00,2676.00,396.00,11.00,419.00,10.00,51.00,5448.00,4291.00,440.00,311.00,203.00,69.00,0.00,134.00,-1705.00
1967:Q4,6879.00,180.00,6072.00,-413.00,331.00,432.00,10.00,267.00,1928.00,1748.00,-400.00,93.00,363.00,76.00,0.00,48.00,4951.00
1968:Q1,-2938.00,140.00,-941.00,-2270.00,-283.00,447.00,10.00,-41.00,2124.00,2810.00,-1129.00,227.00,-80.00,71.00,0.00,225.00,-5062.00
1968:Q2,5431.00,60.00,4629.00,161.00,-154.00,465.00,20.00,250.00,6184.00,5289.00,-157.00,182.00,283.00,70.00,0.00,517.00,-753.00
1968:Q3,7253.00,190.00,5868.00,592.00,49.00,474.00,20.00,60.00,8061.00,6797.00,527.00,61.00,363.00,74.00,0.00,239.00,-808.00
1968:Q4,7670.00,160.00,6891.00,-588.00,372.00,485.00,10.00,340.00,4393.00,3629.00,-608.00,105.00,381.00,85.00,0.00,801.00,3277.00
1969:Q1,494.00,140.00,-19.00,225.00,-343.00,496.00,10.00,-15.00,6146.00,5018.00,602.00,436.00,73.00,96.00,0.00,-79.00,-5652.00
1969:Q2,6284.00,170.00,5053.00,428.00,-34.00,508.00,20.00,139.00,7344.00,6267.00,88.00,353.00,331.00,108.00,0.00,197.00,-1060.00
1969:Q3,7221.00,160.00,6210.00,526.00,-161.00,511.00,20.00,-45.00,9470.00,8265.00,360.00,263.00,370.00,112.00,0.00,100.00,-2249.00
1969:Q4,9424.00,200.00,8260.00,-537.00,460.00,509.00,20.00,512.00,3737.00,3273.00,-595.00,-133.00,465.00,106.00,0.00,621.00,5687.00
1970:Q1,-1307.00,160.00,-2258.00,21.00,-165.00,522.00,10.00,403.00,4230.00,3998.00,221.00,-168.00,-17.00,113.00,0.00,83.00,-5537.00
1970:Q2,3350.00,120.00,2880.00,195.00,-532.00,531.00,10.00,146.00,2577.00,2731.00,-471.00,-194.00,193.00,116.00,0.00,202.00,773.00
1970:Q3,2656.00,200.00,1923.00,-40.00,-120.00,561.00,0.00,132.00,2974.00,2893.00,-442.00,-162.00,167.00,119.00,0.00,399.00,-318.00
1970:Q4,5272.00,160.00,5321.00,-854.00,-221.00,573.00,10.00,283.00,-1035.00,-1179.00,-795.00,-253.00,279.00,124.00,0.00,789.00,6307.00
1971:Q1,654.00,190.00,-1917.00,1652.00,-2.00,582.00,10.00,139.00,3253.00,1858.00,1710.00,-436.00,71.00,73.00,0.00,-23.00,-2599.00
1971:Q2,2077.00,150.00,2066.00,-511.00,-393.00,596.00,10.00,159.00,2252.00,3345.00,-181.00,-860.00,138.00,28.00,0.00,-218.00,-175.00
1971:Q3,4086.00,320.00,3286.00,-165.00,-79.00,599.00,20.00,105.00,5470.00,5379.00,378.00,-236.00,223.00,50.00,0.00,-324.00,-1384.00
1971:Q4,9822.00,220.00,10229.00,-773.00,-649.00,617.00,20.00,158.00,2272.00,1830.00,-407.00,-172.00,497.00,140.00,0.00,384.00,7550.00
1972:Q1,-397.00,160.00,-1167.00,225.00,-283.00,626.00,20.00,22.00,7083.00,6417.00,513.00,4.00,23.00,234.00,0.00,-108.00,-7480.00
1972:Q2,3681.00,170.00,2788.00,534.00,-433.00,621.00,20.00,-19.00,6334.00,5331.00,188.00,10.00,203.00,334.00,0.00,268.00,-2653.00
1972:Q3,10277.00,180.00,8483.00,702.00,242.00,632.00,20.00,18.00,8868.00,7444.00,562.00,-173.00,506.00,345.00,0.00,184.00,1409.00
1972:Q4,14973.00,330.00,13071.00,-316.00,675.00,656.00,20.00,537.00,7636.00,7214.00,-616.00,-660.00,722.00,268.00,0.00,708.00,7337.00
1973:Q1,2534.00,40.00,1489.00,458.00,-246.00,670.00,10.00,113.00,13355.00,11927.00,470.00,110.00,284.00,208.00,0.00,356.00,-10821.00
1973:Q2,13194.00,300.00,11177.00,898.00,67.00,678.00,10.00,64.00,13226.00,11003.00,513.00,333.00,761.00,168.00,0.00,448.00,-32.00
1973:Q3,11102.00,180.00,8488.00,936.00,241.00,696.00,10.00,551.00,14593.00,12698.00,623.00,-98.00,668.00,141.00,0.00,561.00,-3491.00
