date,FU796000105.Q,FU795090005.Q,FU795019005.Q,FU645012063.Q,FU795013005.Q,FU795000005.Q,FU794090005.Q,FU713011005.Q,FU713014003.Q,FU713012003.Q,FU633091003.Q,FU794010005.Q,FU793020005.Q,FU793030005.Q,FU793034005.Q,FU792050005.Q,FU794022005.Q,FU793069175.Q,FU793061105.Q,FU793061705.Q,FU793062005.Q,FU793063005.Q,FU794023005.Q,FU793068005.Q,FU793069005.Q,FU793065005.Q,FU793066005.Q,FU793064105.Q,FU793064205.Q,FU793070005.Q,FU793040005.Q,FU793092005.Q,FU793090005.Q,FU794190005.Q,FU794110005.Q,FU793120005.Q,FU703130005.Q,FU634090005.Q,FU792150005.Q,FU794122005.Q,FU793169175.Q,FU423161705.Q,FU793163005.Q,FU794123005.Q,FU793168005.Q,FU793169005.Q,FU643165005.Q,FU793164105.Q,FU653164205.Q,FU663170003.Q,FU543140005.Q,FU153050005.Q,FU793178005.Q,FU662090205.Q,FU793192005.Q,FU793190005.Q,FU797005005.Q
1986:Q1,10327.00,13333.00,17518.00,32.00,17486.00,-4185.00,232208.00,97.00,0.00,155.00,146.00,-4805.00,-1932.00,1413.00,1438.00,1870.00,121524.00,9712.00,50337.00,29395.00,-3335.00,35415.00,48871.00,-567.00,4570.00,46256.00,-1388.00,4924.00,4804.00,1487.00,0.00,2077.00,50139.00,236393.00,-7700.00,-28094.00,37895.00,22726.00,20152.00,46862.00,-2007.00,25481.00,23388.00,-966.00,-2434.00,1334.00,134.00,4481.00,38702.00,-1253.00,3900.00,50857.00,217.00,178.00,-203.00,48639.00,-3006.00
1986:Q2,10661.00,24422.00,17621.00,3.00,17618.00,6801.00,314408.00,103.00,100.00,123.00,2873.00,1985.00,318.00,1552.00,2099.00,31276.00,120654.00,15073.00,21455.00,40793.00,8412.00,34921.00,113040.00,12283.00,7936.00,73211.00,19610.00,5860.00,2311.00,1312.00,0.00,1148.00,29654.00,307607.00,-7714.00,53122.00,21555.00,11570.00,29920.00,73304.00,11068.00,39233.00,23003.00,12117.00,9911.00,1979.00,227.00,4222.00,36113.00,549.00,4100.00,51458.00,514.00,565.00,-1086.00,17298.00,-13761.00
1986:Q3,10646.00,21367.00,17805.00,-1.00,17806.00,3562.00,342057.00,199.00,200.00,108.00,582.00,5735.00,1836.00,3320.00,763.00,29468.00,161494.00,4058.00,36641.00,42957.00,29898.00,47940.00,106291.00,-2146.00,537.00,86818.00,21082.00,4098.00,1452.00,1676.00,0.00,-531.00,25367.00,338495.00,10493.00,9056.00,46878.00,17949.00,29387.00,77919.00,6720.00,52746.00,18453.00,8781.00,1648.00,7147.00,-14.00,2840.00,32830.00,-217.00,4500.00,62956.00,545.00,236.00,1288.00,33054.00,-10721.00
1986:Q4,10475.00,27368.00,18416.00,176.00,18240.00,8952.00,438091.00,31.00,0.00,129.00,-472.00,15454.00,5535.00,4396.00,1458.00,23612.00,136719.00,-1693.00,41425.00,60235.00,6562.00,30190.00,175242.00,63169.00,22463.00,77645.00,11965.00,20879.00,3222.00,1277.00,0.00,-2660.00,53269.00,429139.00,8158.00,91319.00,45024.00,-3896.00,23485.00,97343.00,8455.00,61482.00,27406.00,18281.00,-628.00,19000.00,-91.00,3164.00,37995.00,555.00,4721.00,76251.00,177.00,216.00,2437.00,23909.00,-16894.00
1987:Q1,9514.00,24824.00,17888.00,-10.00,17898.00,6936.00,228319.00,-622.00,0.00,168.00,4921.00,-5291.00,-1703.00,-3574.00,675.00,2806.00,118591.00,14664.00,10577.00,54016.00,6444.00,32890.00,17313.00,-26719.00,2708.00,60768.00,-19444.00,23101.00,2107.00,1411.00,0.00,1012.00,67404.00,221383.00,15939.00,-74956.00,11188.00,12323.00,4463.00,82176.00,10719.00,39210.00,32247.00,-14712.00,-7559.00,-7244.00,91.00,7416.00,51141.00,1155.00,6878.00,51976.00,159.00,-354.00,-1119.00,67710.00,-15310.00
1987:Q2,11223.00,26058.00,18341.00,11.00,18330.00,7717.00,272714.00,-1646.00,0.00,154.00,-3172.00,-8691.00,-1893.00,2281.00,2394.00,19443.00,82164.00,15199.00,11754.00,44158.00,-9199.00,20252.00,133990.00,5741.00,22924.00,91477.00,13848.00,18954.00,1570.00,1165.00,0.00,-97.00,26098.00,264997.00,-15297.00,57244.00,36370.00,-2986.00,8072.00,85095.00,15747.00,47102.00,22246.00,7556.00,923.00,6629.00,4.00,1529.00,12165.00,-363.00,5897.00,49997.00,-1923.00,-413.00,-1123.00,23177.00,-14835.00
1987:Q3,11985.00,8188.00,18966.00,40.00,18926.00,-10778.00,286292.00,93.00,0.00,117.00,-1221.00,3035.00,342.00,2310.00,1025.00,19259.00,86793.00,8065.00,22084.00,30332.00,-2069.00,28381.00,109970.00,9268.00,7119.00,75763.00,17820.00,818.00,1166.00,1233.00,0.00,720.00,60633.00,297070.00,33791.00,-5637.00,35456.00,4693.00,29505.00,68685.00,1379.00,39896.00,27410.00,4825.00,-1830.00,6618.00,37.00,5471.00,2068.00,468.00,6283.00,69044.00,-49.00,-104.00,524.00,42047.00,3797.00
1987:Q4,12280.00,27990.00,19287.00,126.00,19161.00,8703.00,189044.00,-1612.00,0.00,171.00,-1089.00,5630.00,3379.00,-3212.00,-2553.00,-28689.00,70174.00,-10790.00,28491.00,25591.00,-4913.00,31795.00,124112.00,14499.00,15768.00,80795.00,13050.00,9107.00,-78.00,1564.00,0.00,-73.00,12212.00,180341.00,-1999.00,27323.00,68319.00,9914.00,-38877.00,37563.00,-935.00,41799.00,-3301.00,-3396.00,-3786.00,202.00,188.00,452.00,-15677.00,-2064.00,4678.00,60021.00,-207.00,52.00,7063.00,27176.00,-15710.00
1988:Q1,13726.00,14904.00,19581.00,5.00,19577.00,-4677.00,252842.00,-462.00,0.00,162.00,488.00,-6772.00,1820.00,4293.00,1861.00,45279.00,69914.00,11974.00,-4341.00,23607.00,1216.00,37458.00,54916.00,732.00,2905.00,53072.00,-1793.00,16338.00,-690.00,1869.00,0.00,2166.00,61659.00,257519.00,-12608.00,-22464.00,53764.00,28588.00,49828.00,38305.00,8543.00,18752.00,11010.00,-3433.00,-1667.00,-1753.00,-13.00,1761.00,1329.00,1472.00,3469.00,76042.00,-205.00,208.00,-4770.00,46233.00,-1178.00
1988:Q2,15108.00,13897.00,20280.00,19.00,20261.00,-6383.00,280847.00,107.00,0.00,162.00,13.00,-527.00,2825.00,5699.00,4668.00,5864.00,76545.00,17285.00,-7448.00,18515.00,-1136.00,49329.00,128626.00,21619.00,12191.00,80337.00,14479.00,-2762.00,1072.00,2343.00,0.00,204.00,56008.00,287230.00,15018.00,40852.00,32429.00,-16876.00,7196.00,64638.00,21415.00,21837.00,21386.00,10936.00,3192.00,7726.00,18.00,6052.00,337.00,1113.00,5403.00,68069.00,-396.00,373.00,-6787.00,58873.00,1211.00
1988:Q3,14051.00,30886.00,20692.00,21.00,20671.00,10194.00,240635.00,3767.00,0.00,136.00,383.00,515.00,1688.00,4885.00,-2017.00,41482.00,75885.00,-8256.00,29878.00,22448.00,-228.00,32043.00,95198.00,-6899.00,8124.00,79220.00,14753.00,-2911.00,-720.00,2370.00,0.00,1041.00,18933.00,230441.00,-8617.00,-5104.00,53735.00,-651.00,38641.00,51515.00,5067.00,36427.00,10021.00,1770.00,-4488.00,6282.00,-24.00,9432.00,-5482.00,-401.00,5271.00,72921.00,623.00,-183.00,-2344.00,19315.00,-16834.00
1988:Q4,14027.00,11379.00,21483.00,68.00,21416.00,-10104.00,271216.00,-890.00,0.00,162.00,7185.00,5880.00,-246.00,-1845.00,3939.00,-27026.00,86716.00,14256.00,10670.00,22746.00,-755.00,39799.00,133846.00,19390.00,23926.00,78132.00,12398.00,3349.00,721.00,1940.00,0.00,884.00,56600.00,281320.00,11706.00,28982.00,44228.00,11705.00,-39141.00,73327.00,19806.00,43760.00,9761.00,16699.00,5234.00,11173.00,292.00,5661.00,-2099.00,-464.00,8742.00,76513.00,1336.00,-302.00,959.00,43468.00,2648.00
1989:Q1,14724.00,43155.00,22205.00,12.00,22194.00,20950.00,224443.00,2052.00,350.00,237.00,-665.00,-7756.00,-4504.00,17529.00,-596.00,51423.00,79797.00,19974.00,2775.00,27604.00,2240.00,27204.00,62587.00,-1072.00,12268.00,52400.00,-1009.00,-12750.00,443.00,1329.00,0.00,2289.00,32679.00,203494.00,-15317.00,-57617.00,37139.00,26199.00,69484.00,65884.00,14744.00,41391.00,9749.00,9599.00,-2892.00,12443.00,48.00,-294.00,-981.00,-85.00,4000.00,63069.00,-483.00,57.00,1245.00,1595.00,-28431.00
1989:Q2,15648.00,29519.00,22746.00,12.00,22734.00,6773.00,343246.00,6015.00,3150.00,217.00,-6687.00,-1814.00,3322.00,11714.00,3532.00,70764.00,78763.00,27166.00,-1250.00,26639.00,-859.00,27067.00,110928.00,9796.00,13027.00,73420.00,14685.00,9527.00,-66.00,982.00,0.00,4790.00,48109.00,336472.00,-15774.00,37171.00,20470.00,20795.00,79097.00,46018.00,6922.00,28693.00,10403.00,9413.00,5650.00,3743.00,20.00,-1005.00,6771.00,69.00,7531.00,71758.00,730.00,-843.00,2401.00,51870.00,-13871.00
1989:Q3,13312.00,48963.00,23438.00,49.00,23389.00,25525.00,163197.00,3055.00,0.00,172.00,7058.00,-4320.00,891.00,8145.00,-1242.00,-40696.00,61741.00,12766.00,13176.00,13758.00,4344.00,17697.00,87844.00,5654.00,-10862.00,79846.00,13206.00,2263.00,363.00,830.00,0.00,3941.00,33152.00,137671.00,-3111.00,-12421.00,29789.00,30926.00,-40229.00,40788.00,-586.00,33972.00,7402.00,-9203.00,9368.00,-18700.00,129.00,2190.00,8609.00,-316.00,5201.00,66723.00,-91.00,-19.00,-2824.00,21659.00,-35651.00
1989:Q4,14356.00,17801.00,23055.00,49.00,23007.00,-5254.00,257344.00,1492.00,0.00,202.00,-3026.00,12136.00,-962.00,2739.00,9981.00,-14032.00,100708.00,9269.00,59278.00,9779.00,-2157.00,24539.00,98590.00,7368.00,2780.00,71417.00,17025.00,11223.00,1686.00,1600.00,0.00,1730.00,33277.00,262598.00,-7937.00,39891.00,41292.00,13225.00,-14949.00,68966.00,10268.00,45435.00,13263.00,5431.00,3045.00,2256.00,130.00,2722.00,14903.00,-211.00,10671.00,76185.00,-796.00,-930.00,3716.00,10419.00,-3445.00
